Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	-1	1	1	-1	1	1	-1	-1
RS_G2407__GALNTL1__GALNTL1	2.7185	1.4373	3.4989	3.4628	4.2839	5.3036	1.4688	1.4409	1.9837	2.218	0.43896	0.71371	1.6141	0.38746	0.83294	2.6977	1.8837	3.2399	4.0921	5.064	2.5198	7.2783	1.3518	1.3157	3.6006	0.31102	1.207	1.5418	5.9632	0.8547	2.6105	0.50251	0	1.8633	1.7732	2.517	1.8036
RS_G18941__ELOVL2__ELOVL2	0.97832	0	3.1252	7.4774	5.5966	8.5441	1.7512	1.7666	0.070198	6.2925	0.42152	0.29691	1.3447	0	0.35705	2.9121	4.5434	0.059748	1.7002	1.7841	4.9042	7.7265	2.7866	0.3406	4.9088	0	0.95714	1.7719	0	0.46971	1.6876	0.37686	2.9014	4.5296	1.4157	3.6414	3.3965
RS_G269__PRSS3__PRSS3	0.35343	0.82397	0	0	0	0	1.1189	0.48236	0.79957	0.31429	3.9888	10.2482	0.33195	1.0975	0	4.0374	0	3.7863	0.24885	0.22944	0	0	0.49577	7.8197	0.50247	0.96621	5.5398	0	0	3.352	1.0003	7.0381	0	0.26426	3.8493	0	0
RS_G9703__CCL28__CCL28	3.4659	1.8114	1.1828	4.438	0	1.1414	6.2787	1.3718	4.9862	9.1727	1.1825	4.8766	4.8853	6.2531	5.4816	2.9553	0.54407	7.5796	1.2174	0	4.6088	1.2885	5.0435	3.507	3.2631	6.3013	6.9981	2.2221	0.52257	0	5.2953	3.2568	4.8865	5.5501	6.523	6.8023	2.0285
RS_G14071__HOXB2__HOXB2	0	1.4939	0.61128	3.8831	6.8712	2.1445	0	0.49328	8.0832	0.41649	0.51773	5.0166	1.9303	6.6224	6.3175	0	4.6361	7.1941	3.1744	0.43886	1.9508	0.16898	5.5597	0	5.126	7.0143	0	0	1.9493	0	5.5557	5.4183	7.3697	8.5803	7.6631	1.4454	1.5406
RS_G12622__ENTPD3__ENTPD3	4.2057	1.6276	2.4329	2.2836	0.094504	1.3137	2.4286	0.70161	2.6439	0.25413	0.3192	4.9483	0.97482	2.9286	4.3004	0.36104	0	5.8247	0	3.3313	1.5158	0.18811	0.28822	1.9706	0.86462	0.46191	0.47913	1.6258	0.17393	0.98866	4.5946	0.52321	0.10292	2.4856	4.1525	0	0
RS_G12720__CMAH__CMAH	0.48171	5.6554	5.1662	4.0198	2.0013	5.0915	2.5327	4.4091	1.3797	0	0.089889	0	4.3521	0.4123	1.4282	5.4981	2.3863	1.1419	2.4096	0.19054	2.3585	1.4728	6.2953	0.41732	1.4534	0	7.6795	6.3681	0.33939	3.9595	2.7635	0	0.63247	0	0.8565	2.4873	4.7647
RS_G4492__LOXL3__LOXL3	3.9342	3.899	4.0538	3.1695	0.36243	3.2813	6.1376	2.3251	0.55202	3.1632	4.854	4.583	4.4703	3.6321	1.3452	4.0132	5.0728	3.1669	9.4901	5.2671	3.7001	4.5109	3.8202	4.004	3.3395	3.0077	6.2279	4.4572	3.3937	4.9542	1.8223	3.4845	3.6618	3.0611	4.5489	3.3379	3.4962
RS_G13164__FABP6__FABP6	2.3614	5.0613	0	1.2049	0	0	0	1.3002	6.2218	0.68448	0	5.6808	4.4541	2.3389	5.7149	0.74174	0	0	1.7984	3.477	3.3971	0	1.042	3.6119	0.39506	1.3707	0.94948	1.4427	0	0.53013	3.8371	0	6.9112	4.9649	4.3056	0.70066	0
RS_G11774__DEFB1__DEFB1	1.993	2.346	1.9138	0	0	0	0	1.7511	0.92315	0	1.0764	2.6711	4.6884	10.3764	1.4116	8.1565	0	9.3815	0	0	0	0	5.5335	0	1.9353	4.1392	0	0	0	0.89009	5.4286	4.2375	2.4838	0	1.9013	0	0
RS_G11127__OLFML2B__OLFML2B	0.42875	0.13423	0.23792	0.40981	5.7677	4.4756	3.339	9.4493	0.30186	0	1.2164	0.33768	1.2905	0.97504	0	1.9934	7.0512	2.5686	5.708	0.40258	0.28477	6.7681	1.3501	2.3956	0.30446	0.37271	2.8528	0	5.2065	0.9963	0	0.51857	7.5456	0	0.44843	0.70319	0.30943
RS_G5781__OPRL1__OPRL1	4.534	1.6695	0.95283	4.2781	1.5212	1.6941	1.5183	0.62697	2.1401	1.4334	3.2103	0.3316	0.80273	0	0.79524	2.1467	2.3743	2.1919	1.2947	4.4101	3.2073	3.3572	0.86525	0.48697	1.694	1.73	3.8516	1.6668	6.922	3.9209	3.0435	1.6348	1.7889	1.0742	2.0271	3.8285	3.6366
RS_G3849__UPK2__UPK2	1.2179	2.5918	2.4864	2.9857	2.6149	1.444	2.281	2.1097	3.0251	2.428	2.8133	5.2106	4.5908	3.0002	1.8	1.4478	0	3.7605	0	8.8632	6.3477	1.2022	6.0449	1.1257	4.7025	2.0134	2.0921	0.63424	0.47434	5.77	3.8561	5.3843	3.8374	6.7099	8.458	0.91701	2.3886
RS_G3962__OAS2__OAS2	4.3877	1.8619	0.23744	7.0052	0.056976	0.1167	0	2.5129	0.6103	3.2922	9.1157	5.693	5.8469	5.639	6.1434	0.22552	2.2623	9.5512	0.30327	2.3693	1.4216	0.27765	3.6094	0.76221	0.49092	0	5.0771	0.28245	0.20349	2.0593	8.8459	3.6212	4.2907	6.5074	0.28765	1.9355	0.55898
RS_G16187__BEGAIN__BEGAIN	1.5527	3.6808	0.77715	4.4646	4.2433	1.7438	3.3344	1.032	0	3.3095	3.7931	1.2583	2.6657	1.2259	0.77226	4.2185	1.838	0.71485	2.033	4.4953	2.4041	3.0335	2.7335	0.49161	1.4905	1.4344	3.458	1.7416	5.0066	7.3112	1.8843	2.3465	2.027	1.75	3.1416	2.1009	3.6259
RS_G17613__DNER__DNER	2.294	0	2.4646	3.4789	3.6529	1.1389	5.8237	1.9231	1.3251	0	2.8314	3.7397	2.2167	3.9148	0	4.4929	0.54296	1.5037	6.9983	0.29029	0.8161	8.8187	4.9399	0.99509	5.2065	0	6.8288	0	4.4448	7.0268	3.188	5.3424	5.9503	0	2.1153	2.4246	1.2397
RS_G22203__AC068228.8__AC068228.8	1.211	3.9353	2.0361	0.41371	0	0.42214	0	1.0851	1.6436	1.8201	0	5.6945	3.5015	1.7286	1.8523	0.743	0	2.3202	0.24946	1.7006	1.2123	0	0.85055	0	1.6003	0.68164	0	0	0.38692	0	1.1511	5.0313	1.583	0	0	0	0
RS_G6542__C1QL1__C1QL1	3.763	4.6965	0.75664	6.0783	6.7676	3.3057	7.5882	5.6589	1.999	4.6891	4.5608	2.6627	4.9491	2.2673	0	5.8265	4.975	2.0219	4.1685	5.4241	5.4863	4.5279	3.8951	3.1588	3.6742	0.55244	4.1357	4.3193	4.3657	9.8207	1.907	4.538	3.6612	6.0295	4.0256	6.7244	5.8191
