Cell lines	600MPE	AU565	BT474	BT483	BT549	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
Response	1	1	1	1	-1	-1	1	1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	1	1	-1	-1	1	1	-1	-1
RS_G12862__LGALS9__LGALS9	6.1513	3.8085	2.4838	4.3619	1.2065	1.1498	2.0604	1.6809	0.81283	3.6725	3.8578	4.5519	8.239	2.1576	3.5171	1.8164	8.8117	1.1612	0.30805	0	2.0891	3.6262	1.098	1.1014	0	4.3563	0.74292	5.2937	4.2458	2.1547	2.1856	2.0067	4.7714	1.8861	0.97357
RS_G14453__NR2F1__NR2F1	0	0.62002	0.26207	0	8.065	1.6759	1.1938	1.1083	3.4171	0.14742	3.5416	4.981	4.7643	0.56207	4.1435	1.2267	4.8295	7.9087	2.6308	0.72901	1.9212	1.1957	8.0721	9.375	10.4319	0	6.7984	3.8738	4.3224	1.7813	4.5034	1.195	5.4634	4.6681	8.2892
RS_G6638__PPP1R1B__PPP1R1B	9.1888	7.6126	4.4299	3.4995	0.23954	1.8579	0.70371	8.2727	0.7143	13.4847	0.80076	4.3668	6.14	5.4565	6.6736	0.53447	6.17	0.79314	2.1675	0	6.2008	7.1262	0	5.8269	0	8.7928	0.59718	2.5011	2.2995	2.5734	1.9065	6.5712	10.6896	1.0367	0
RS_G13924__C11orf86__C11orf86	1.453	9.9466	0	0.50858	1.1966	0	0	0	0	3.5889	0	0	1.786	2.1623	4.2136	0	0	0	0	0	0	7.1704	1.6118	0	0	4.8992	0.88539	7.3083	3.5987	5.714	0	2.939	5.2253	0	0
RS_G4095__RBM24__RBM24	0	0.18099	2.7361	6.8059	5.2114	3.1305	0.67503	2.4326	6.8352	1.4929	1.5526	2.9359	0.57117	0.20004	4.7801	6.5447	0.48409	3.744	3.949	2.8777	9.1516	0.62792	7.44	4.9553	0	0	4.2684	0.54062	0.30704	0	5.4843	2.1862	0	3.1769	2.4745
RS_G8360__GRB7__GRB7	8.0056	12.1647	10.381	7.194	0.81984	6.1071	2.0939	11.6616	5.7069	12.2019	5.2958	5.5994	12.9359	10.3673	7.5671	0.68484	7.2676	0.69935	6.6271	5.5221	6.5424	7.9202	4.3394	9.092	9.3835	11.2459	0	5.772	7.3719	7.0799	6.8735	11.3881	12.4499	7.0867	7.2831
RS_G8362__PNMT__PNMT	0.44623	4.8999	7.3726	5.2727	0	0.33162	0.4332	11.4553	1.7285	1.4818	0.57924	0	3.0748	8.8248	0	2.0961	0.97013	0.42865	1.4931	0.68934	7.0506	4.7939	0	6.2953	2.8879	4.8305	0	1.6774	2.6683	0	2.3264	10.3755	10.719	2.1811	0
RS_G18941__ELOVL2__ELOVL2	0.97832	0	3.1252	7.4774	5.5966	1.7512	1.7666	0.070198	6.2925	0.42152	0.29691	1.3447	0	0.35705	2.9121	4.5434	0.059748	1.7002	1.7841	4.9042	7.7265	2.7866	0.3406	4.9088	0	1.7719	0	0.46971	0.37686	2.9014	4.5296	1.4157	0	3.6414	3.3965
RS_G18988__AKR1B10__AKR1B10	6.0862	6.4031	3.4204	4.4495	3.4368	3.6936	13.2877	6.9807	1.5061	1.9267	6.7916	5.592	11.1161	5.4083	6.367	3.9192	8.1433	2.5406	4.3702	1.7214	2.4865	6.1488	1.9461	3.7713	0.52788	3.873	1.0774	4.063	9.6947	2.5692	0.50493	2.3659	5.0285	1.4491	1.9367
RS_G19250__ABCA4__ABCA4	2.5925	1.8337	3.9603	5.4901	0.26948	0.23368	4.4163	1.9681	6.1509	2.5443	0.3723	2.4337	1.3841	6.106	1.9661	0.29762	0.88168	1.2798	2.2154	0.99615	0.14858	3.3904	1.4951	0.99526	0.25117	3.5587	1.6032	3.7364	1.4958	1.6978	2.6309	6.0141	0.98523	4.9307	0.65076
RS_G16044__NXPH3__NXPH3	0.63973	1.6768	3.3225	4.9965	1.4449	3.7241	2.1343	4.6757	4.5822	0.48173	0.35093	1.4048	1.158	2.7146	3.0732	2.7136	0.83939	3.4998	3.5653	3.6032	7.6833	0.3628	2.3113	6.4008	3.532	0	1.4849	1.5721	2.0227	0.82821	1.8999	0.72051	0.68788	4.1853	1.3407
RS_G12622__ENTPD3__ENTPD3	4.2057	1.6276	2.4329	2.2836	0.094504	2.4286	0.70161	2.6439	0.25413	0.3192	4.9483	0.97482	2.9286	4.3004	0.36104	0	5.8247	0	3.3313	1.5158	0.18811	0.28822	1.9706	0.86462	0.46191	1.6258	0.17393	0.98866	0.52321	0.10292	2.4856	4.1525	3.9138	0	0
RS_G22179__AC104692.1__AC104692.1	0	1.0213	6.1553	5.323	4.6508	0	1.8859	5.2296	1.4075	5.5417	2.2715	0	4.987	1.7182	7.6104	0	4.8789	0	0	0	0	7.8349	5.5001	0.65229	0	0	6.7274	5.1084	0	0	0	0.84432	0	0	0
RS_G10899__PERLD1__PERLD1	7.7632	10.8788	10.843	8.1343	5.7015	5.4851	6.0545	11.6693	6.7597	1.9356	4.6347	4.808	11.5693	10.3273	7.3482	6.5941	7.0206	5.8111	6.5555	5.7895	6.5318	7.7669	5.3794	9.638	8.0489	10.3657	5.6013	6.5852	6.0695	5.4877	7.267	11.6018	11.2609	7.3184	6.7812
RS_G2624__MXRA5__MXRA5	5.0837	3.4195	7.5759	6.375	0.20632	1.6586	1.0157	0.058217	0	0.23401	2.3124	1.2112	3.8501	6.5451	0	4.6149	4.8628	3.9665	0.15856	0.66448	0	0.088941	0	0	0.09952	1.2267	2.57	0	3.7177	0.22955	0	4.5144	4.2467	4.9451	1.5408
RS_G4197__TBX18__TBX18	0	2.9032	0	0	6.7911	0	2.4184	0	0	5.9388	5.1825	0	5.7711	0	5.3067	0	4.4794	0	0	0	0	0.32925	0	0	0	1.4806	6.5899	5.9947	4.2898	0	0	0	0	0	0
RS_G12287__ANPEP__ANPEP	4.6781	3.3458	0.4918	2.3499	9.3546	0.60793	3.8277	2.1245	1.2098	2.4168	4.5501	9.2789	0.94625	1.0267	0.81235	7.8441	6.672	8.9544	1.7722	1.5798	0.72205	10.471	0.4706	0.586	0.65303	2.6835	13.7475	11.5166	7.974	0.8554	1.2223	6.7332	3.5849	1.7071	0.4654
RS_G22491__AC008734.7__AC008734.7	2.8709	6.4765	0.59515	2.5045	0	6.2257	0.13237	0.12501	0.078348	0.813	3.8512	5.8028	0.55869	3.9361	3.0198	0	3.8887	0	0.17013	1.8018	0.11947	5.4715	0	0.13791	0.54559	6.0522	0	3.4623	4.1309	0	0	1.7923	2.702	1.6888	0.84556
RS_G13225__KRT75__KRT75	0.1001	0.48837	0.13704	2.6322	0	5.1256	5.5198	0	0	2.0876	2.7652	3.4922	6.9589	0.61436	8.326	0	2.9312	1.6538	1.0494	0	0.44826	7.6739	0	0	0	1.8503	2.1211	0.93863	3.1433	0.25517	0.87163	3.2242	0.16919	0	0
RS_G5954__WNK4__WNK4	5.1287	0.79205	2.5978	4.274	0.5909	1.2907	0.90576	8.0818	1.6841	5.8715	1.8048	2.8025	2.1026	2.2251	1.247	3.0602	0.54739	1.1837	2.3966	0.75549	5.7045	3.1369	2.3806	2.3498	2.8618	3.0046	3.866	2.5784	2.3071	0.6056	4.2054	6.543	1.4324	1.9687	0.39401
RS_G386__CNTN1__CNTN1	5.1297	4.4821	4.0003	1.6827	0.2822	1.4143	0.16983	5.5541	0.38665	0	5.2014	7.4095	5.7192	4.6712	3.524	0.40369	0	0	0	0	2.5186	0.56659	1.6466	1.0276	0	1.9387	0	4.7842	2.9306	3.7199	0.17292	1.5049	1.9162	4.0685	1.9316
RS_G10592__HOXB13__HOXB13	0.13852	0.41729	7.3933	4.8456	3.0727	3.2697	0.58562	4.225	0	4.5096	4.0837	3.6472	0	7.497	0.82986	4.5798	0	2.4854	0.90775	0.86504	0	4.3853	0	1.7184	0	0	2.9856	0	3.0351	5.4196	0	6.077	4.4027	0	0
RS_G10072__APCDD1__APCDD1	3.6283	0	3.4981	1.7279	5.1196	8.1676	5.0126	4.698	4.311	0.49093	0.3134	4.4235	0.7662	0	5.3693	0.79178	4.2019	6.4553	4.2763	1.278	2.5733	3.1425	0.77135	4.5634	0	0	1.5594	0	0	3.1684	0.75881	4.9168	1.234	3.3698	2.6144
RS_G2589__MAP1LC3A__MAP1LC3A	5.4336	7.1958	6.0458	0.63413	8.0698	0.95044	5.8552	1.1291	0.5447	9.0622	2.5355	1.2561	0.14229	1.3253	2.4131	5.7958	3.7533	6.2558	0.41055	0.28982	6.6626	2.6565	0.27231	1.1472	0.26588	3.7384	7.5561	6.9562	6.105	5.1861	1.7702	8.0319	3.3952	2.0084	0.40504
RS_G14073__MARCH3__MARCH3	2.7745	3.2569	2.3112	3.8079	7.2639	3.3371	3.5078	4.7162	3.7624	3.8529	2.2062	4.095	4.8337	0.69297	3.733	3.2795	3.1876	5.5727	4.1582	4.2518	5.4319	4.115	5.8431	2.9157	3.9047	3.2788	3.641	1.93	5.393	3.9215	5.5492	4.9057	1.0072	4.0362	3.6738
RS_G178__GAS7__GAS7	0.23393	0.79868	3.7512	0.60208	0.060325	0.4579	0.89591	1.6052	0.58061	7.4591	0.81088	3.7882	3.5067	0.18004	2.8269	0.42668	0.02884	0.46526	0.091648	0.1238	0.83713	5.9946	0.059891	0.18529	0.057997	0.53052	0.11579	0.34439	0.43877	3.5497	2.8263	4.9676	0.064362	0.13361	0.17756
RS_G8562__RGS16__RGS16	3.6383	7.9152	3.1434	4.2812	0	0.82754	4.8652	7.453	2.0693	4.5062	4.3101	2.672	4.8678	2.4771	1.5237	0.53533	2.5687	0.83849	5.7894	7.078	4.9839	6.6086	2.0042	4.5416	3.1614	6.6121	8.0521	3.1614	4.6667	4.6968	5.3382	4.7611	7.9632	6.9381	6.5567
RS_G5561__PI3__PI3	3.0706	3.6429	3.0152	0	2.5138	5.0806	3.2166	0.42835	0.53604	11.0888	3.8493	12.335	8.9357	0	5.0919	5.1559	10.2125	0.7907	1.1857	0	0	10.7066	0	0.39099	0	7.5841	0.66256	11.976	9.9971	2.5749	0	1.8475	1.0592	0	0
RS_G18751__COL4A6__COL4A6	0.67594	0.13292	0.082024	0	2.7738	0.39431	0.12632	0.04069	0.15342	0.06856	5.2708	4.3231	2.4073	0.27736	0.8942	3.3987	0.59125	2.8252	0.45164	0.87533	1.2266	1.004	0.68802	3.537	2.2581	0.099219	0.63428	4.2757	5.7836	3.0149	3.9285	0.34172	0.41123	0.38657	0.43794
RS_G2069__IKZF5__IKZF5	5.7021	4.4128	5.3513	5.0351	5.3352	4.9167	5.9685	5.2985	5.6042	5.5172	6.1113	6.074	5.4231	4.6603	5.4279	5.283	5.6724	4.1876	4.6831	5.8147	6.2913	4.6276	5.7219	5.5635	5.2171	5.5553	4.6446	4.5729	4.1707	11.8927	5.4297	5.0336	4.5353	5.5195	4.6727
RS_G16898__AC073468.9__AC073468.9	2.771	6.104	3.2477	2.9543	0	2.1311	2.1588	0.48723	0	3.5396	2.6112	3.5696	3.464	4.4522	4.6909	0	4.557	0	3.053	1.4065	1.2126	4.682	0	2.3478	0.5494	4.3933	0.55787	1.3527	2.3273	7.8208	1.3018	2.9242	3.7231	2.9131	0.94339
RS_G1589__PGR__PGR	0	0	5.8141	4.6073	0	0	0	0	6.0643	0	0	0	0	0	0	0.29135	0	0	5.3098	2.2482	2.7384	0.085527	0	4.3203	0.097528	0	0	0	0	0.84492	7.8522	6.9785	0	6.2611	0.35204
RS_G28763__AC004510.1__AC004510.1	4.18	3.003	2.4121	1.6074	0	3.6551	0.20787	4.8439	0.65083	1.3738	8.3064	10.732	8.894	0	2.8922	0.17524	8.3564	0.54728	1.6529	0.49128	1.3465	7.7787	3.2587	3.0726	0.58147	1.8833	0.59034	8.2401	9.2063	1.1354	2.6933	4.6852	3.53	0	0.48286
RS_G8364__STAC2__STAC2	2.9266	4.9482	7.7713	2.7693	1.8024	3.0434	5.2152	2.9297	3.3607	3.8694	2.5517	3.3504	1.8462	4.4703	8.1413	2.7202	2.1892	3.3251	2.3285	2.5082	3.3381	9.6307	2.1445	2.0836	2.5218	5.5875	2.1731	8.3711	5.9682	2.0444	1.97	2.0667	2.0578	2.4866	2.4299
RS_G16526__ALDH1A3__ALDH1A3	6.9869	6.6244	3.4412	2.4634	1.2073	11.2405	5.3582	10.9346	1.4376	5.1885	8.2874	10.8421	12.6084	5.5356	10.846	3.2546	8.3779	5.4292	5.6338	1.6124	1.2527	9.3386	4.3207	2.1737	1.7792	7.9504	1.5677	6.6021	9.1305	3.6909	6.7618	5.3565	9.581	5.1568	3.5552
RS_G17181__CYP4X1__CYP4X1	3.2584	0.19578	3.5439	4.1191	0.40002	2.5935	1.6836	1.8874	1.0942	0.19735	0.48011	0.59456	2.6567	1.1924	0.66645	0	7.9111	0	0	0.64786	1.6739	4.6775	0	1.502	0	2.2153	0	5.9057	4.6334	8.0328	4.8838	5.4748	4.5057	1.2638	0
RS_G8740__AFF3__AFF3	0.44693	0.29226	4.8621	7.33	5.4881	0.58624	3.254	3.5345	5.2327	2.2544	0.19739	0.1946	0.030628	0.86284	1.9919	3.4856	0.29365	4.3984	3.8837	3.673	9.2559	0.99939	0.84566	5.9017	1.941	0	1.8813	1.9608	0.28438	5.0712	6.2548	3.8718	0.40722	2.3747	0.30224
RS_G17665__FAM25A__FAM25A	0.91608	7.1962	4.2358	5.7438	0	0	0	3.3216	3.1388	0	4.8461	0	2.0457	1.6908	2.761	0	0	0	6.2332	0	3.654	6.0496	0	4.6771	0	5.606	0	2.74	0	3.3555	4.3747	9.3534	3.6138	0	2.0778
RS_G11089__FAM102B__FAM102B	4.7681	4.3549	4.9539	5.1912	4.7079	4.2957	4.4037	6.2818	5.6482	4.1809	3.3366	4.1433	5.0864	1.249	6.1751	6.3835	5.8081	3.9008	5.9013	9.6937	6.6725	3.8133	7.2909	4.2476	3.6212	5.8356	4.6297	3.0788	1.297	4.307	4.2755	2.9334	2.9321	4.4104	4.2158
RS_G11215__EN1__EN1	0	1.6203	1.7416	2.0997	3.3363	6.9753	4.5556	2.3857	0	6.6847	4.0274	2.9926	1.3909	0.92511	6.7749	1.863	2.198	4.1982	0	0	0	4.627	0	0.12776	0.30582	0	5.4291	7.244	1.2845	0	0	0.33268	0.69571	0	0
RS_G3267__ITGB8__ITGB8	5.1564	0.27889	2.0303	3.4893	0.14738	4.6975	2.6815	3.0352	2.3442	8.4305	4.611	4.1636	5.4276	2.5057	5.2617	1.3995	6.1267	1.6822	0.35153	0.93842	0.36975	4.8645	0.53386	0.59803	0.30829	0.15176	0.8868	5.8392	5.3211	1.0727	1.298	2.2218	0.45322	0.45843	0.59579
RS_G7887__RASGEF1B__RASGEF1B	4.5234	3.0685	3.1092	2.1049	0	2.0377	3.4467	1.2394	0.30568	7.4825	0	2.1076	3.6157	2.2784	4.0506	0	6.5017	0	0.4149	1.5545	2.4279	2.4655	0.56239	1.9391	0.94464	3.8842	4.0339	2.498	0	4.6456	1.7787	2.0873	3.8848	2.8939	2.4747
RS_G3314__CPVL__CPVL	2.9507	6.6103	3.8799	3.6083	0	0	3.8694	0	2.277	8.656	3.351	7.146	2.9736	1.678	3.2959	7.101	0.77609	0.23995	0.10496	0.7097	1.1043	5.688	5.9007	0.38588	0.36679	7.2629	0	6.5484	3.7745	5.2759	5.3372	3.9972	1.1391	1.9393	0
RS_G2770__GDPD3__GDPD3	5.7813	10.6318	4.8723	6.1391	3.3539	2.9664	3.776	7.5407	4.0359	3.3238	4.3605	5.7742	4.4425	4.0949	4.6084	4.1315	4.2824	2.2524	7.0924	7.5877	3.4442	5.5215	2.1837	5.1432	5.1427	9.0082	5.0971	6.6166	4.791	8.2566	4.4144	7.2016	6.2353	5.7162	3.5616
RS_G16432__C1orf64__C1orf64	7.5817	5.6156	7.5603	5.6306	0	0.1454	0.9382	8.8167	1.8555	0.21876	0.25986	0.25555	0.15475	8.3654	0	0.16111	0.15095	0.4392	0.63111	0.17079	1.6817	2.3787	0	6.8421	1.2505	8.026	0	0.46451	0	0.096899	2.7013	7.8181	0.43084	6.8627	5.9547
RS_G11774__DEFB1__DEFB1	1.993	2.346	1.9138	0	0	0	1.7511	0.92315	0	1.0764	2.6711	4.6884	10.3764	1.4116	8.1565	0	9.3815	0	0	0	0	5.5335	0	1.9353	4.1392	0	0	0.89009	4.2375	2.4838	0	1.9013	3.6463	0	0
RS_G17716__IGFL1__IGFL1	0.51855	5.2215	1.994	2.7983	2.2231	6.3222	1.5139	0.66238	0	0	4.3337	5.2263	2.9253	0	8.5702	0	3.1231	0	4.8811	0	0	9.7328	0	0	0	2.1947	1.5873	4.1314	6.8497	0	0	5.5371	2.135	0.83279	2.5156
RS_G2301__RASD2__RASD2	4.5481	6.2115	2.1119	2.4793	1.3613	5.2822	5.7371	1.482	1.2282	6.6562	1.6672	4.6446	4.05	6.7502	4.0684	0.46126	5.3658	2.0311	2.7243	1.2697	3.6782	5.0976	1.6692	1.3274	1.8435	5.8517	6.667	1.033	6.1902	4.075	1.5484	3.506	4.6051	6.948	4.7369
