Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	-1	-1	-1	1
RS_G9341__ANKRD1__ANKRD1	6.4828	0	0	0.8261	4.6532	0	6.6578	0.82492	0	0.1835	1.1514	3.337	4.898	2.6463	5.0848	1.2721	0.23193	3.6273	0.25672	0	1.1723	10.4614	0.49467	0.6149	0	0.82193	2.257	3.3586	0.34827	1.9709	4.3821	1.2895	2.7655	1.0823	0
RS_G8887__PLAC8__PLAC8	3.4307	0.78955	1.4119	1.8455	6.3471	2.1601	3.6961	2.6576	2.0722	2.8257	3.7442	4.2756	6.833	4.3387	2.138	2.6302	1.977	3.3026	2.2767	3.133	3.0243	7.9065	2.0243	1.8874	2.3395	2.7574	2.9311	5.5878	2.4519	7.3535	6.9757	3.1961	4.5752	2.3072	1.8458
RS_G5632__POF1B__POF1B	3.5829	2.9715	6.5667	4.6059	0	3.611	1.8493	0	5.1177	8.4924	0.11745	1.93	0.5287	1.2403	0.74799	0.9373	5.002	0	5.5091	2.4432	0.41607	0	4.135	0.95867	0.55468	2.3599	0	0	4.4269	1.5172	1.4106	1.9519	0.56039	5.3682	2.3153
RS_G5810__CD70__CD70	2.1298	0	0	0	9.7205	0	0	1.7744	0	0	2.6289	1.0273	7.8922	0	6.1861	6.9112	1.3388	6.277	0	0	0	0	0	0	5.1436	0	9.1854	7.1955	0	5.7209	1.9353	4.0443	2.049	2.2205	0
RS_G13477__EGFL9__EGFL9	0.35305	1.0213	0.17399	0.30014	7.0141	1.1287	6.5699	1.9639	1.6324	3.5774	4.4184	6.5339	5.819	1.846	4.6749	3.1119	2.0049	4.3364	1.4514	1.356	2.8469	4.4761	2.3108	2.1277	3.36	0	7.3809	3.9582	1.752	9.0993	6.445	4.0929	3.8002	1.9344	0
RS_G424__FHL1__FHL1	2.0586	0.14817	0	0.62912	8.4195	0	7.8581	7.6811	0	0.22544	5.2396	7.0935	5.4999	1.6533	8.1859	4.294	0.90187	10.0365	2.4039	0.32044	3.163	4.1986	1.521	0.52788	3.2163	0.9089	7.0593	5.007	3.6967	2.9989	7.6498	0	4.6859	0.6065	1.4646
RS_G2995__SLC39A14__SLC39A14	6.5459	5.6769	5.6594	5.6152	8.7657	6.1716	7.0063	7.7195	6.3535	6.2607	9.1892	7.0224	6.7042	5.8478	7.8421	8.046	5.0282	8.6902	5.871	5.7726	6.4523	7.8138	5.2543	5.461	9.0738	6.3889	11.4705	6.4913	4.5856	7.4146	6.5071	6.5466	6.7714	6.9246	7.2669
RS_G1917__LEPREL1__LEPREL1	1.6812	1.213	1.016	0.15032	9.6328	0	8.6274	7.5555	0	0.20528	2.3881	6.6588	10.0755	7.8581	6.0855	6.9596	8.8539	6.6718	0	0.54021	4.5962	7.6461	0.14506	0	5.0402	1.8994	2.7188	5.8777	1.6577	6.3893	3.8936	2.3297	1.1214	2.3917	0
RS_G8938__IQGAP2__IQGAP2	4.9364	3.2259	5.623	2.3392	0.13382	6.2903	2.0729	0.53615	0.58039	1.0363	0	0.40008	1.1611	4.0429	0.62697	0.53648	3.826	0	1.0825	2.2397	0	0	2.1637	4.2405	0.12995	4.3124	0	0.85454	1.4654	0	0	0	0.38642	4.3239	2.9035
