Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	1	1	-1	-1	-1	1
RS_G17313__GPR103__GPR103	0.2541	0.19648	0	0	2.3885	0.31353	5.8962	5.3647	0	0.64283	7.2065	1.4331	0.4547	0.10611	0	3.9701	4.8501	0.24643	0.11209	0.30443	0.32413	0.092657	0	0.15618	0.19049	5.8225	0	0.38243	6.3115	0.064452	0.47337	0.44342	0	0.28476	0	0
RS_G9825__PRDM8__PRDM8	0	0.22311	0.14198	0	1.2978	0	1.8698	2.636	0.53811	0	0.059588	3.1775	0.72884	1.1762	0	3.6636	2.422	4.8363	0	0	0.61495	0.10572	6.586	0.45871	0	0.54515	0	8.9585	1.6272	0	2.1404	0	0	0.39293	0	1.5376
RS_G14674__FOXC2__FOXC2	0	0	0	0	0	0	5.0339	5.3056	0.44201	0.21381	3.25	5.8163	4.8008	0	2.4171	1.153	0	8.6324	0.64546	0	0	0	0	0	0	7.2676	0	5.6112	3.0385	0	3.8454	0.5871	0	0	0	0
RS_G13234__AC135457.2__AC135457.2	4.438	5.5184	2.9816	4.176	0	4.1144	0.57084	0.81969	8.4437	3.1298	0.76268	0	0.3818	0.91582	0.58332	0	0	0.90435	1.9106	3.1711	4.0342	2.8411	0.1258	6.1146	7.5507	0	4.8409	0.23253	0	4.1265	0	0.80114	3.9769	3.6333	6.1201	5.5207
RS_G1470__BPIL1__BPIL1	9.0019	2.3379	6.5411	4.0732	0.67379	1.6678	0	0	5.0973	0.35871	0.2413	0	0.21207	2.5818	0	0	0.62709	0.42834	0.26293	0.58624	0.70384	1.2384	0	4.738	4.0067	0	2.2751	0	0	7.9807	0	10.7986	0.76241	4.7405	1.2949	0.37323
RS_G13164__FABP6__FABP6	2.3614	5.0613	0	1.2049	0	0	0	1.3002	6.2218	0.68448	0	5.6808	4.4541	2.3389	0.74174	0	0	1.7984	3.477	3.3971	0	1.042	3.6119	0.39506	1.3707	0.94948	1.4427	0	0.53013	3.8371	0	6.9112	4.9649	4.3056	0.70066	0
RS_G2367__COCH__COCH	0.078931	0.32453	4.4732	4.4393	1.5191	0.72457	2.9099	3.5115	3.3733	1.9067	0	6.0282	4.5403	0.33689	6.2127	6.6458	6.5294	1.6237	2.6078	2.9941	0.79188	2.5396	0	3.3829	0	3.1789	0.55108	0.33616	4.0822	2.279	2.6193	0	0.31537	0.36014	2.087	3.3283
RS_G2490__SALL4__SALL4	0.87541	3.0032	3.7493	1.5847	0	0.22779	2.8696	2.4846	1.3087	0.46749	2.5464	5.4893	4.1678	1.6176	0.48619	4.7341	2.6721	2.5211	3.5542	6.0056	1.2161	1.2598	0	3.7915	0	2.0331	1.9441	2.9444	2.851	2.0342	4.282	0	0	0.28931	0.30869	1.1997
RS_G1696__AKR1B1__AKR1B1	1.6658	3.0827	2.2074	1.2461	8.3908	0	0.9276	12.6493	0.66845	7.6641	9.1769	9.7921	10.7386	3.4039	10.1457	10.6783	12.3341	10.3571	3.372	0	1.8295	10.5974	10.1671	2.5479	1.3236	11.957	1.821	9.0595	11.5065	3.0981	11.4649	3.3056	0	0	4.7219	5.5162
RS_G1328__ADD2__ADD2	0.20263	0.2254	0.4463	0.25086	0	0.13381	6.7679	7.3903	0	4.9889	4.1361	6.0514	7.516	0.33157	6.6719	5.0306	0.81879	0.28117	1.5899	0.13083	1.1201	3.7528	6.9199	4.0692	0.42801	3.3359	0	4.463	6.2682	1.4621	3.5953	0.073313	0	0.089001	0.18417	0
RS_G835__GNA15__GNA15	1.2334	0.21489	0.37624	0	0.43131	0	2.4189	0.77872	0.6554	0.32327	0.21659	8.3867	5.6862	2.9916	0.54819	0.52322	5.7739	0.77707	1.0429	0	1.56	6.699	7.4091	1.7814	0.4093	4.7529	0	0.58613	6.8932	0	7.4618	0	0.69439	0.16463	0	0.4793
RS_G17577__P2RX2__P2RX2	1.3699	5.6587	1.7281	7.6192	0.25976	0.69501	1.6549	0.15633	5.106	3.9282	4.3574	2.5458	0.38581	0.63772	0.69729	0.25811	0	0.54424	6.4267	5.6475	0.38942	5.1452	0.63987	2.6185	1.1863	0	4.2646	0.45772	0	1.0983	0.71099	0	8.5345	6.106	4.7114	5.3932
RS_G13359__HAS2__HAS2	0	0	0	0	6.2901	0	0.50167	7.8174	0.34679	2.7205	0	8.4229	1.3124	0	0	3.943	0.54231	8.0381	0	0	0	0	3.7323	0	0	5.7447	0	0	2.9735	0	1.4913	0.35491	0	0	0	0
RS_G15486__AC018865.4__AC018865.4	2.13	4.5406	5.0811	0.74284	0.071995	0.92425	0.76633	5.3237	3.3037	7.4879	0.34968	3.1145	0.85964	4.1003	3.552	5.228	1.0833	4.9886	3.8307	2.2298	4.6364	3.8094	0.75508	3.5143	1.0318	0.97502	3.6921	5.7375	2.8797	4.5738	2.6637	2.6865	2.4276	0.60505	1.3514	3.0839
RS_G14073__MARCH3__MARCH3	2.7745	3.2569	2.3112	3.8079	7.2639	3.9127	3.3371	3.5078	4.7162	3.7624	3.8529	2.2062	4.095	4.8337	3.733	3.2795	3.1876	5.5727	4.1582	4.2518	5.4319	4.115	5.8431	2.9157	3.9047	8.6586	3.2788	3.641	1.93	5.5269	5.393	3.9215	5.5492	4.9057	4.0362	3.6738
RS_G13229__KRT6C__KRT6C	0.2586	0	0.24559	0	0	0.42636	8.32	4.2096	0.23185	0	0.54005	2.5804	5.8341	0	1.0175	0	0.74665	0	0.2218	0	0.23174	4.0766	0	1.2634	0.68429	6.1073	0	0	5.1643	4.719	9.633	9.2454	0	0	0	0
RS_G6011__RP11-526D8.3__RP11-526D8.3	2.9849	1.1162	2.0449	2.4218	1.0407	3.8038	3.8918	2.1486	2.674	1.9041	1.3642	1.7846	2.3432	2.5619	1.7005	3.4867	0.83674	1.1684	2.7743	2.0927	4.071	4.1106	1.8802	2.2954	0.84248	5.867	0	4.2372	5.5314	0.1666	1.2526	1.5343	0	1.9734	0.70079	2.5296
RS_G13235__KRT4__KRT4	9.3812	11.4788	3.7138	6.6081	0.19191	1.292	4.5089	0.67209	6.6696	4.7751	0.6186	9.2252	10.5856	8.4049	5.9863	0.10105	10.3706	1.7151	4.2725	1.7253	0	6.4769	0.82122	4.2504	1.1517	0	10.7577	0	1.1482	6.9112	3.9312	8.1608	5.2153	10.2398	4.5519	0.62627
RS_G3189__FAM83E__FAM83E	5.5054	1.2887	6.353	0.46463	0	0.66648	2.1666	0.72379	2.2539	2.0567	0	0.54652	0.91415	0.6177	1.8641	1.3612	6.4207	0.62619	0.24924	0.64938	2.6827	3.2312	0.43665	6.4674	1.5424	1.724	0.31951	1.7205	1.4596	2.1883	3.2627	0.50302	0.72718	0.71148	0	1.3318
RS_G10718__TFF3__TFF3	9.803	7.179	11.1887	12.8489	0	6.3298	0.97441	0.986	13.1896	11.0513	1.8337	0	0.53575	1.7682	2.2698	0	0	1.8517	9.9781	8.776	7.7139	12.8413	5.8853	12.3423	6.3096	0	5.0467	0	0	6.5283	0	0.69196	8.9041	15.7551	12.4151	11.5272
