Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	1	1	1	1	-1	-1	-1
RS_G16049__EPGN__EPGN	0.62908	1.2748	0.81396	1.382	0	0	2.3756	0	0.79607	0.96975	0.49786	3.9373	1.4815	2.3909	0	3.8394	0	0	0	0.56023	0.80166	0	1.4689	0	1.9751	1.4898	0.88324	4.5126	5.4435	2.7586	6.7991	2.2266	0	0	0
RS_G6413__KLHDC7B__KLHDC7B	0.44351	1.5307	0.26069	3.0774	0	0.36018	2.9582	0	0.57664	0.17453	6.5033	2.0385	8.7777	3.2379	0.23533	9.8389	0.27498	1.5856	0.44704	0.36343	1.4672	0.51994	0.11993	0.41783	5.7495	0	3.5951	9.2685	6.0434	4.1718	0.85166	0.80079	1.2281	2.9772	0
RS_G1435__LAMP3__LAMP3	0.62064	1.9683	1.0047	1.3769	0.22252	1.1839	5.1333	1.5909	0.88608	2.8659	9.5505	4.2488	5.5942	4.792	1.4715	6.877	0.97266	1.1293	1.0233	1.7863	2.7514	1.085	0.59349	0.78725	5.5369	0	3.2642	2.8191	5.5633	3.373	4.535	5.5329	0.78899	0.7314	0.65096
RS_G15383__ARL14__ARL14	0	0.18019	0.72953	2.3706	0	0	0.58572	0.42152	0.40015	0	0	2.6526	4.8541	0.93297	0.36786	3.4795	0	0	0	0.69233	0	0	0.57875	0	0	0	0	1.3343	1.231	1.8454	0.98861	0	0	0	0
RS_G18754__CYP2B7P1__CYP2B7P1	7.8731	0.71843	4.2739	6.4891	0.97565	1.959	0.71636	1.7225	3.0186	5.0364	0.23268	4.7275	1.0877	0.094855	0.75563	0.43847	0.86152	2.1059	1.3998	2.6524	1.6952	1.0342	8.1502	0.77303	0.95711	2.1599	0.44639	0.84597	0.49865	0.49534	0.64224	1.8966	4.7722	10.3949	8.5954
RS_G12862__LGALS9__LGALS9	6.1513	3.8085	2.4838	4.3619	1.2065	0.16906	1.1498	2.0604	1.6809	0.81283	3.6725	3.8578	4.5519	3.5171	1.8164	8.8117	1.1612	0.30805	0	2.0891	3.6262	1.098	1.1014	0	4.8931	4.3563	0.74292	5.2937	7.885	4.2458	2.1547	2.1856	2.0067	1.8861	0.97357
RS_G9463__JPH2__JPH2	2.9164	6.4318	0.050524	2.0686	6.643	0.13498	3.9489	2.8076	0.049104	4.1973	3.0619	4.5416	6.5243	6.73	3.4244	3.5498	4.8069	1.8198	0	0.64612	4.9427	0.41633	1.7217	0.15656	6.7396	4.5877	0.16338	7.7631	6.2006	4.8813	4.0896	5.5659	1.214	1.3387	0
RS_G11215__EN1__EN1	0	1.6203	1.7416	2.0997	3.3363	0	6.9753	4.5556	2.3857	0	6.6847	4.0274	2.9926	6.7749	1.863	2.198	4.1982	0	0	0	4.627	0	0.12776	0.30582	7.8873	0	5.4291	7.244	3.8745	1.2845	0	0	0.33268	0	0
RS_G3786__CRYAB__CRYAB	7.266	8.3291	0	2.3366	1.0408	1.6832	8.482	1.5039	2.9838	5.1028	5.354	4.559	7.128	9.9378	4.6023	7.0517	3.9155	1.2213	1.0565	0.87791	7.1533	0	1.715	0.98245	10.8931	7.0148	4.779	4.9852	10.0216	3.5368	5.8363	4.1438	2.0266	0	1.7462
RS_G8516__GJA5__GJA5	5.1528	7.3724	0.25609	0.30595	0.75881	0	2.1537	1.8724	0	1.103	0.51023	0.46303	6.1047	9.1154	0	1.4256	0.41661	0	0	0.63186	5.1935	0	0	0	7.1706	7.402	0	4.5966	2.5251	1.2018	6.2637	2.113	0.1099	0.3266	0
RS_G17181__CYP4X1__CYP4X1	3.2584	0.19578	3.5439	4.1191	0.40002	0.58507	2.5935	1.6836	1.8874	1.0942	0.19735	0.48011	0.59456	0.66645	0	7.9111	0	0	0.64786	1.6739	4.6775	0	1.502	0	2.3717	2.2153	0	5.9057	5.3618	4.6334	8.0328	4.8838	5.4748	1.2638	0
RS_G6275__KLK8__KLK8	0.33827	2.1437	0	4.4067	0	0	6.9642	0	0	0	0	6.7567	8.6102	4.5337	0	2.8049	0.24842	1.3141	0	0	8.6402	0	0.38986	0	5.6314	0	0.69648	0.74274	7.5473	9.9341	7.1862	4.1111	7.1867	5.4714	0.31492
RS_G22410__KRT6A__KRT6A	3.5895	2.5889	2.9468	0.55164	2.2719	0.71416	10.8969	3.7479	0.58643	0.5174	4.0519	13.3732	10.576	5.5642	0.38198	5.0609	0.61854	3.3575	0.83309	0	9.6891	0.66193	2.9479	4.5726	7.6441	0.69475	1.5973	12.9285	9.936	14.7791	14.0538	1.3901	1.238	1.3633	1.0956
RS_G10662__SPON2__SPON2	2.7812	6.1264	1.323	1.9091	9.9503	1.7098	1.7203	1.2119	0.29091	0.37481	4.2431	0.42609	1.4054	1.9704	1.2893	1.9114	4.3765	1.8882	1.8656	1.3386	9.2918	0	2.7858	0.82777	6.4201	0	5.8784	7.0758	4.2263	5.7229	3.9687	2.5838	6.3939	1.0492	0.68924
RS_G5729__MT1G__MT1G	0	2.6191	0	0	0	0	4.9557	0.62973	0	0.7331	0	5.6489	1.6687	6.9593	2.3812	5.6695	0	0	0	0	0	0	0.53834	0	7.4163	4.4929	3.7126	2.7817	5.326	2.0164	1.8496	0	3.1253	0	0
RS_G18405__S100A2__S100A2	5.2484	3.6935	3.4186	3.8443	8.6925	2.6605	13.4485	7.4326	2.2239	2.1404	3.8567	13.4345	10.1256	11.2875	8.0382	9.5068	5.9126	5.1554	2.1463	1.2281	11.1424	4.8228	3.2845	5.5373	8.6751	1.1917	8.571	10.041	5.5117	13.4869	5.0461	4.175	3.2161	3.0922	4.4221
RS_G12055__IFI27__IFI27	4.0922	4.7513	0.72205	6.7926	1.0972	0	3.8876	3.2258	0.38186	2.8312	8.1137	6.5826	10.0905	3.6058	0.89527	13.3216	2.2262	7.8184	2.6569	2.6229	6.5223	0.62258	1.4227	1.8776	6.1896	0	3.5761	10.5207	14.2497	10.7408	1.7041	6.718	0.48054	1.8182	1.1944
RS_G11011__PDZK1IP1__PDZK1IP1	8.8939	5.1203	0	0.39	1.3271	0	4.385	0.76975	0	0	8.5938	1.1708	7.7195	9.5445	0.92984	11.5825	0.436	0	0	0.39925	5.7253	0	0	0.88496	9.365	2.9495	1.1043	8.6643	7.0538	3.5271	0.5957	2.5331	1.0949	2.3211	0.5381
RS_G5964__IFI6__IFI6	5.3782	8.5811	5.9672	11.3914	7.0701	4.3614	9.5009	7.3907	6.6723	7.664	12.1836	6.5744	9.3088	4.292	5.2167	14.3723	6.944	9.5876	8.5173	9.97	6.977	6.6483	4.6766	6.3087	11.7519	6.9747	6.9378	10.5253	13.8974	8.8025	8.4812	9.361	7.8955	7.5298	3.1302
RS_G6759__XAF1__XAF1	0.70494	0.24912	0.077767	3.8743	4.3757	0.34105	0.51684	0.78531	0.15423	0.37371	8.1182	1.6447	5.2741	0.3472	4.516	7.9514	1.8859	0.74722	0.55715	0.21993	0.27561	0.070228	0	0.25471	5.1957	0	2.2428	4.2314	6.9815	4.6265	0.15909	0.9767	0.050434	0.10585	0.10335
RS_G13448__KRT15__KRT15	5.6084	7.3499	6.7924	10.1044	1.6019	2.1401	8.8359	2.2532	11.4728	6.5404	9.0315	5.7168	10.5476	9.7623	1.8575	5.6722	2.3194	4.8297	3.9225	3.523	9.0893	2.5715	3.421	2.6323	8.4361	6.2237	2.157	5.7716	4.1064	6.2661	5.9218	8.0833	5.988	5.8624	6.6787
RS_G21898__CARD16__CARD16	0.84619	1.2359	0	0	0	0	0	0	0	0.4364	1.243	4.3336	2.7053	3.3761	0	7.5705	1.1067	0	0	0	0	1.5332	0	0	1.661	3.0494	0	2.3581	5.1972	4.1815	3.8427	5.8372	0	0	0
RS_G17866__FZD9__FZD9	0	4.6771	0.4403	2.9437	3.445	2.5305	3.3357	2.1183	0.12145	0.93021	5.7118	3.3851	3.5463	3.7746	0	2.9777	2.2666	4.1247	1.9509	0.94309	4.9195	0	0.16042	0	9.7636	4.2909	4.2862	1.9381	2.3712	4.1039	2.547	3.9233	2.9662	0	0
RS_G4692__PLA2G4A__PLA2G4A	0.3939	1.7648	1.0591	0	3.7798	0	0.15113	3.5427	0.35835	0	0	6.9035	2.8598	3.8272	4.5847	7.7553	0.37811	0	0	0	0	3.9355	0.16825	0	8.1941	2.5685	1.1468	4.8091	2.435	3.2342	0.52016	3.5699	0	2.7344	3.4777
RS_G10720__TFF1__TFF1	9.5716	6.8461	12.1442	15.3072	0	8.1211	1.5719	0	12.8985	14.5477	1.9333	1.5228	4.0155	0	0	0	3.3081	14.9851	14.3712	8.4157	10.5333	4.5944	14.5594	6.0558	0	3.1878	1.9663	2.5271	2.6641	2.5734	1.4334	3.9827	16.1221	11.9576	13.9006
RS_G4157__PDE10A__PDE10A	0.24391	1.0968	0.56945	1.6686	0	1.8322	1.7856	3.8587	0	0	3.5858	0.49179	0.10121	0.36315	4.6507	3.6118	4.0025	0.18602	0.92933	6.2747	0.82034	4.6996	0.24783	0.22552	0.37536	0.35049	0	2.3777	0.35275	0	0	0	3.1557	2.3037	1.2322
RS_G5128__C6orf97__C6orf97	3.1578	0	5.1411	4.0963	0	4.1221	0	0.32115	5.2392	6.3162	4.2969	0.082714	0.15617	0	0	0.33528	0.36194	6.6388	6.3693	5.8502	0.5478	0.048768	4.0578	0.26259	2.5829	0	0.26705	0	0	0.29656	0	4.7903	4.3059	5.6965	4.9746
RS_G3490__CXCL12__CXCL12	0	0	2.9622	3.9301	0.4426	5.8654	3.0639	8.8931	1.0707	2.2694	3.4802	0.50156	0.42784	0	3.9302	0	6.1614	3.4437	4.9364	4.9118	0	0	4.2011	0	0	0	0.49502	0	0	0	0	2.6646	3.0752	3.6662	0
