Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	-1	1	1	1	-1	1	1	-1	1	-1	-1	1	1	-1	1	1	1	1	1	1	1	-1	-1	1	-1	1	-1	1	-1	1	-1	-1	1
RS_G7887__RASGEF1B__RASGEF1B	4.5234	3.0685	3.1092	2.1049	0	2.6887	2.0377	3.4467	1.2394	0.30568	7.4825	0	2.1076	3.6157	4.0506	0	6.5017	0	0.4149	1.5545	2.4279	2.4655	0.56239	1.9391	0.94464	5.4039	3.8842	4.0339	2.498	5.1872	0	4.6456	1.7787	2.0873	2.8939	2.4747
RS_G2624__MXRA5__MXRA5	5.0837	3.4195	7.5759	6.375	0.20632	0	1.6586	1.0157	0.058217	0	0.23401	2.3124	1.2112	3.8501	0	4.6149	4.8628	3.9665	0.15856	0.66448	0	0.088941	0	0	0.09952	1.2934	1.2267	2.57	0	4.8102	3.7177	0.22955	0	4.5144	4.9451	1.5408
RS_G19080__ZIM2__ZIM2	6.3995	0	1.6217	3.8248	0.068706	2.3328	0.17028	6.1929	0.14616	0	0.063162	0.10869	4.8515	0.3263	5.5466	0.12794	4.134	0.079499	0	0	7.342	1.0229	0.72704	0.034218	0	4.3588	1.0769	3.3596	0	1.666	0.21099	7.7102	0	7.3298	2.6177	0.099799
RS_G2301__RASD2__RASD2	4.5481	6.2115	2.1119	2.4793	1.3613	2.4544	5.2822	5.7371	1.482	1.2282	6.6562	1.6672	4.6446	4.05	4.0684	0.46126	5.3658	2.0311	2.7243	1.2697	3.6782	5.0976	1.6692	1.3274	1.8435	8.0263	5.8517	6.667	1.033	3.8066	6.1902	4.075	1.5484	3.506	6.948	4.7369
RS_G13093__TM4SF1__TM4SF1	10.4225	8.9741	6.3961	10.5422	10.2741	5.8997	11.4386	9.303	3.5257	7.7572	12.9126	7.6636	9.4061	10.3038	8.7437	10.129	12.1941	10.6962	5.09	6.0437	9.1954	9.319	10.9392	7.3568	10.462	11.4483	7.2096	10.7158	7.7496	10.4649	8.9015	9.9612	5.7164	6.3285	8.242	3.2361
RS_G16898__AC073468.9__AC073468.9	2.771	6.104	3.2477	2.9543	0	0	2.1311	2.1588	0.48723	0	3.5396	2.6112	3.5696	3.464	4.6909	0	4.557	0	3.053	1.4065	1.2126	4.682	0	2.3478	0.5494	3.0729	4.3933	0.55787	1.3527	4.7935	2.3273	7.8208	1.3018	2.9242	2.9131	0.94339
RS_G13648__CALB2__CALB2	7.6915	2.1737	1.662	6.2908	0	0	5.2036	3.9799	1.7043	5.3998	10.1444	5.0336	6.1106	8.6075	8.2301	3.0522	9.9809	0.80746	0.82851	2.3077	1.4654	6.4264	2.8203	1.4489	0.55944	8.0724	0	0.79094	2.0732	8.9452	4.5404	7.127	0.38243	3.7476	2.8904	0.46928
RS_G12489__TTYH1__TTYH1	1.4517	4.1679	2.3853	3.6837	0.82544	2.1058	6.3974	1.0686	2.0382	3.3387	8.0912	1.2649	4.06	2.4374	1.5351	1.2435	7.9391	1.7661	1.8495	1.3163	1.9614	3.5957	0.92956	1.4193	2.7172	6.1694	4.3956	1.7052	1.1684	2.7498	3.0141	5.2256	5.7806	4.13	4.2378	2.2327
RS_G6305__ARHGEF6__ARHGEF6	3.6158	2.0595	1.7338	3.0204	0.092084	2.9368	0.53229	3.3219	4.3147	1.4984	2.8263	0.28355	2.7223	2.0664	2.1888	4.0055	5.1471	1.2646	1.5766	2.4823	3.8895	2.6284	2.306	0.65311	1.2642	4.7765	3.7053	3.8696	0.17625	4.3437	0.14587	7.2125	4.8643	3.6378	3.4944	1.6541
