Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
Response	1	1	-1	-1	-1	1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1
RS_G9807__GJA1__GJA1	0.13345	0	0	1.5965	9.6756	1.0466	0	7.367	1.0679	6.27	0.28768	7.3863	0.24719	0.15634	0.31066	1.3307	8.0511	1.5159	7.4051	0	0.44917	1.3709	0.57752	6.7865	0.041003	0.28226	0.22974	0.21191	8.8231	0.16798	0.18699	3.3086	0.85553	3.5435	0	2.5186
RS_G12138__AP000926.6__AP000926.6	0.93522	1.4863	0.84409	1.9858	6.1205	0.2896	0.16521	7.2957	0	1.6327	2.942	5.6383	6.523	0.85542	0	1.2249	6.2727	2.4321	7.6418	0.58207	0.72117	0.37787	3.864	2.4918	1.2955	0.72971	2.439	0	6.6793	5.9479	2.5442	4.3758	0	1.5434	3.3381	0.95756
RS_G16005__AC132938.1__AC132938.1	3.3968	7.0684	3.238	3.177	1.1178	3.9758	3.6169	3.755	2.6302	3.0794	0.23316	1.5437	0.9469	1.9486	2.0463	2.4857	1.3451	0	0.74679	4.6038	4.1822	2.4883	3.0345	0.95226	4.3185	3.5446	3.2467	4.409	2.2798	1.0105	1.4261	1.6071	1.2745	4.283	9.0349	10.1017
RS_G12120__LARP6__LARP6	4.2188	1.299	3.6514	2.9647	6.568	0.41765	5.2848	8.1059	3.3645	1.9411	9.7435	4.7567	5.4148	3.8387	1.199	5.773	5.0126	6.7561	5.8904	3.7507	2.9315	4.4766	4.378	6.7601	4.6908	0.67497	7.6855	0	8.9712	6.2283	6.3424	5.1701	5.3971	3.8833	3.6215	3.6772
RS_G11315__FSTL1__FSTL1	6.1696	3.6176	6.5735	5.6716	12.563	0.96659	3.0155	9.048	1.7602	5.437	5.1741	7.2908	9.4235	7.6366	0.59939	10.3975	9.8128	7.9845	10.7719	0.77713	0.82926	0.93212	7.4038	8.5847	1.4346	1.2163	8.1641	3.6582	5.9561	8.1278	5.414	5.686	1.736	7.4048	0.67477	0.38166
RS_G1729__CEACAM6__CEACAM6	11.2531	7.9363	10.8111	5.9404	0	1.8647	1.1825	1.3513	10.349	2.7211	0	3.8865	5.1973	10.3268	4.9433	2.3833	0	9.8898	0.33274	7.0239	6.9464	1.0683	5.9412	0	8.5402	0.18692	3.1528	7.701	0.64487	0	10.0528	1.3566	4.5531	5.094	7.8943	9.4952
RS_G14548__GPX2__GPX2	4.8242	8.3252	3.7534	2.8777	0	1.6118	6.1796	1.3359	4.7997	3.4838	0	10.0663	6.0728	10.4041	2.2858	5.6684	0.98442	0.92393	2.4784	5.9235	3.1149	5.1792	7.1739	0	10.1258	1.5012	3.1834	7.4542	0.69745	2.1315	5.2688	8.4757	3.3507	2.9068	4.7251	4.0923
RS_G4220__LOX__LOX	0	0.68991	0.90169	0.66555	10.7791	0.13865	4.9709	5.7714	0.79742	0.96733	5.2774	4.4823	2.895	0.54503	1.9725	5.5501	7.6689	5.766	10.1643	0.90667	0.75454	0.48913	3.2735	6.0679	0.45546	0.44199	4.3449	0	11.6434	8.3827	2.7516	9.2551	0.4056	2.3981	1.3457	0
RS_G16320__PCBP3__PCBP3	0	1.233	2.8412	5.1319	4.7329	0	1.8135	7.1215	2.717	1.4734	6.7411	1.1414	3.7919	3.7675	0	3.7909	4.1238	5.8191	0.75128	4.5505	4.5556	4.431	2.5031	3.5964	0.47491	0	1.0568	0	3.3797	3.9459	5.3921	1.2824	5.3456	0	0	0
