Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1
RS_G1729__CEACAM6__CEACAM6	11.2531	7.9363	10.8111	5.9404	0	1.8647	1.1825	1.3513	10.349	2.7211	0	3.8865	5.1973	10.3268	4.9433	2.3833	0	9.8898	0.33274	7.0239	6.9464	1.0683	5.9412	0	8.5402	0.18692	3.1528	7.701	0.64487	0	10.0528	1.3566	4.5531	5.094	6.3261	7.8943	9.4952
RS_G13378__SOX7__SOX7	1.0588	0.80182	0.33529	0.37561	2.2023	0.73492	1.4256	0.908	1.4048	0.41113	3.8063	7.2916	4.6599	0.35444	0.42879	0.57451	3.0217	1.1564	1.5305	0.49771	0.44132	1.1929	1.6638	1.6426	1.246	1.1283	3.1652	1.9944	0.7326	1.8712	0.048543	6.6796	0.17357	1.1133	0.74282	0.95838	1.3032
RS_G13766__MUCL1__MUCL1	8.2971	9.2684	12.3825	10.0828	0	8.4661	0	0.90826	7.872	5.344	1.4703	1.545	2.4156	8.9393	4.3595	0	0	5.508	0	7.4503	7.7859	7.1029	9.5099	0	13.1852	9.8025	5.3187	9.1199	1.9667	0.85403	14.8568	1.8097	13.9402	2.6873	12.0261	11.3802	3.1773
RS_G380__AC115090.8__AC115090.8	5.5401	4.5937	8.2773	5.6462	1.8168	4.4074	1.7069	2.3845	3.3208	3.0223	3.7229	1.0776	3.1471	4.6588	6.9533	2.4415	0.71518	3.2748	1.9988	4.269	3.2441	5.2386	4.9617	1.7625	5.7094	6.0719	2.0778	3.1752	2.8722	3.1587	5.4452	3.6614	5.309	4.1984	9.4664	4.2942	3.8001
RS_G21732__AL136362.10__AL136362.10	3.6177	1.379	2.4086	2.3687	6.8619	2.9602	8.6421	5.8491	4.1982	5.6378	2.8629	7.9821	8.2796	3.0449	3.3737	4.9523	3.5242	4.687	7.4838	1.6056	2.2294	4.1893	2.5963	5.016	2.5979	2.9509	8.6236	1.0728	4.8527	7.0765	2.0186	7.1972	2.0514	2.0133	2.6182	1.9024	2.0164
RS_G3155__CEACAM5__CEACAM5	7.7277	3.0865	5.2121	4.8633	0.070684	0.77155	0.33646	0.23729	6.8653	2.8689	0.19396	1.5222	1.9951	3.6506	2.6469	0.67372	0.38368	1.983	0.44479	4.5313	5.7591	1.2814	6.2762	0.25678	6.8029	0.24994	1.5637	1.7276	0	0	5.413	0.66264	3.5968	3.7252	3.876	4.8808	6.2929
RS_G12846__TMEM22__TMEM22	0.12489	0	0.32872	0.95172	4.2412	0.87813	2.461	4.4274	0.80793	3.5709	4.2807	6.2727	4.3571	0	1.7302	0	7.038	2.6853	6.3906	0	0.5475	1.363	0.4634	7.9347	1.5709	0.51138	3.5586	0	0.28293	4.4032	1.3373	4.1658	0	0	0.88919	0	0
RS_G18071__CXCL17__CXCL17	1.6218	1.6066	6.1534	1.2095	0	0.74132	0.6322	0.45695	3.1228	1.3713	0	0	3.6124	9.5671	6.8488	3.7511	0	12.3037	0	2.1353	2.7126	0	7.6157	0	5.9685	0.3767	2.0065	0	0.38286	0	3.7402	1.4859	0	0	3.4737	6.5787	4.2359
RS_G13359__HAS2__HAS2	0	0	0	0	6.2901	0	0.50167	7.8174	0.34679	2.7205	0	8.4229	1.3124	0	0	0	3.943	0.54231	8.0381	0	0	0	0	3.7323	0	0	5.7447	0	0	2.9735	0	1.4913	0.35491	0	0	0	0
RS_G2624__MXRA5__MXRA5	5.0837	3.4195	7.5759	6.375	0.20632	0	1.6586	1.0157	0.058217	0	0.23401	2.3124	1.2112	3.8501	6.5451	0	4.6149	4.8628	3.9665	0.15856	0.66448	0	0.088941	0	0	0.09952	1.2934	1.2267	2.57	0	4.8102	3.7177	0.22955	0	4.5144	4.9451	1.5408
RS_G7164__C9orf61__C9orf61	4.8022	0.16473	2.4311	3.6999	0	2.8137	2.0588	0.46741	0.19574	1.9729	1.5573	0	3.7812	4.2492	0.18218	4.2811	0.61178	2.4214	0	3.8531	4.0848	0	3.9713	1.9287	2.0662	0	2.096	0	0.81004	0.35035	3.3579	0.28052	3.0649	0	6.688	5.4726	1.911
RS_G5919__SLURP1__SLURP1	1.6964	3.5263	0.83884	1.8081	0	0.79327	0.67817	0	6.8835	1.3081	0	0	3.6621	0.41528	6.3316	0	0	2.1742	0	4.2731	2.746	0	5.2151	0	2.0254	0.72351	1.335	0	0	0.79023	4.85	0	2.5992	3.9811	3.3385	2.0289	1.0161
RS_G10056__ADAMTS1__ADAMTS1	0.40649	0.19684	2.7451	4.6542	9.1222	3.9788	5.5768	5.2846	2.2992	7.1431	5.8779	7.4379	3.0483	2.3121	3.8107	6.6168	5.8881	3.6986	9.0055	0.10674	0.26857	2.8343	3.8711	3.8867	5.6499	6.545	7.2146	0	2.307	6.9795	5.0715	2.4462	1.1737	1.1843	1.2481	4.9621	4.8179
RS_G12786__IL7R__IL7R	0	0.251	0	0.50142	6.5911	0.28503	6.1027	3.2925	0	0	0.65531	4.9125	6.2297	5.4595	0	4.9738	6.5351	0.25223	5.1619	0	0	0	1.8082	5.4855	0.070492	0.82882	0.68499	0	0	3.6661	0	2.0069	0	0	0	0	0
RS_G920__BCAS1__BCAS1	6.6372	8.9475	11.0683	7.1505	0.93032	5.61	1.127	1.64	10.7186	6.2652	0.25653	0.51932	2.3365	4.0923	7.4486	1.1356	0.70967	1.8382	0.95512	8.6848	6.957	6.1282	6.1222	0.83247	6.1234	2.181	0.54974	9.4061	0.49246	0.40769	7.3227	1.9885	4.6113	6.1188	8.185	7.2271	7.9636
RS_G11476__GRIK3__GRIK3	0.10161	0.11567	3.4404	6.7434	0	2.7903	0	0.21375	0.13788	5.5946	0.22452	0	0	5.8427	0	0	0	2.4098	0	3.8784	3.1195	6.9585	0.8144	0	0	0	0	0	0.2254	0	0.073992	0	0	2.2317	7.3857	7.1047	6.2115
RS_G12178__SERPINB7__SERPINB7	0.9442	0	0	0	5.6432	0	4.7067	3.7483	0	0	5.5995	5.3599	5.0834	3.2114	0	4.5919	3.2161	2.0948	3.124	0	0	0.75502	3.0792	2.3119	0	0	9.9222	2.1682	0	4.6954	0.18709	3.6766	0.6301	0	0	0	0
RS_G1470__BPIL1__BPIL1	9.0019	2.3379	6.5411	4.0732	0.67379	1.6678	0	0	5.0973	0.35871	0.2413	0	0.21207	2.5818	3.5613	0	0	0.62709	0.42834	0.26293	0.58624	0.70384	1.2384	0	4.738	4.0067	0	2.2751	0	0	7.9807	0	10.7986	0.76241	4.7405	1.2949	0.37323
RS_G7308__CAPN9__CAPN9	6.4438	3.1332	3.5347	3.5598	0	1.0939	0.31269	0.32114	6.6264	0.27084	0.18039	0	0.54781	0.42803	2.2606	0	0	0.48368	0.58627	2.7745	2.9198	2.5747	3.4162	0	6.9213	2.4802	0	2.4484	0	0	3.2866	0	2.8086	4.4383	4.2802	5.3116	6.7046
RS_G7932__FBN2__FBN2	0.019862	0.045061	0.57831	1.1596	1.946	1.6834	5.1368	4.5745	0.054308	0.22874	1.2318	3.0649	0.29171	1.1022	1.0422	5.0247	7.6781	0.089204	5.8631	0.18858	0.47837	2.2476	0.32467	0.45439	2.9296	1.8496	4.8218	0	0.99648	1.3781	0.61224	3.0375	0	0.11434	0.25183	0.49504	0.20828
RS_G7983__GLIPR1__GLIPR1	0.55287	0.2859	0.94121	0.19873	8.8142	0.67508	3.8198	6.0225	0.83764	0.62063	3.6456	5.4165	4.5642	4.8421	0.25714	6.5035	8.1578	4.0803	7.825	0.6577	0.57361	0.73209	1.9436	6.5993	0.1263	0	4.548	1.235	1.7892	3.8954	0.71376	4.6243	0.72126	1.595	0.29975	0.35881	0.094808
RS_G1887__ARHGAP4__ARHGAP4	4.1786	3.0121	1.9665	7.2583	1.9084	2.7376	1.9753	1.4454	1.9656	6.1295	2.5424	1.2974	1.0461	1.8831	5.4233	1.9435	1.0348	1.9753	1.5813	6.2534	4.0368	2.8938	5.8286	1.1546	3.2345	4.0066	4.2606	2.8494	9.6532	5.0163	4.6067	3.4539	3.2018	6.2045	5.5849	8.5811	8.4355
RS_G4436__CCL20__CCL20	1.9698	0	0	0	0.92801	0.95898	0.82603	1.8539	0.57533	0	9.1032	2.6324	1.6539	0.51556	0	6.5061	0.53131	1.0229	0.60805	0	0	0	0.45769	0.90037	0	0	7.5608	0	0	6.4299	0.17882	3.4352	0	0	0	0	0
RS_G5897__C20orf114__C20orf114	7.2811	4.1593	6.4009	4.4106	0	0.79278	0.42508	0.85199	5.3667	1.576	0.63302	0	6.651	7.7517	0.67061	0	0.2615	6.3258	0.30149	2.4042	2.3954	6.6345	11.8817	0	6.9239	0.24599	0	6.1223	0	0.87411	2.0639	0	3.1221	4.9933	9.8768	8.9966	6.0651
