Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	1	1	1	1	1	1	-1	-1	-1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
RS_G5570__C20orf95__C20orf95	7.1527	5.7301	0.36922	6.5895	0	0.95995	0	0.53327	0	3.1196	6.5813	3.8441	4.4064	3.3533	0	0.17468	1.2766	0.37972	0	0.4825	0.96841	5.9026	5.4557	7.0925	1.4186	2.1898	5.6898	0.31651	5.4739	9.1567	5.0249	8.2665	6.8861	10.0052	5.7786	3.3218
RS_G17779__SERPINA5__SERPINA5	2.8363	0.88334	1.7537	7.4424	0	0.23529	0	0.36698	0.35356	1.8683	0.82706	0	1.0527	4.4296	2.936	0.50421	1.9214	2.4654	1.8548	7.4494	7.6962	1.0774	1.7123	4.375	0	3.386	0	0	3.2862	3.8223	4.998	8.8759	1.1276	7.6693	3.3835	0
RS_G17967__APOD__APOD	7.9573	4.7281	1.1531	4.2103	0	0	1.3402	1.4179	5.0426	1.8301	8.9852	0	3.1323	1.6186	0.46548	0	0	0.86846	3.5346	7.8269	2.6663	8.3778	1.8524	1.6608	0	5.378	7.8481	0	0.81118	1.4761	0.66133	9.7289	10.7762	7.0968	11.3141	2.7866
RS_G2274__TIMP3__TIMP3	7.1676	1.4484	0.20404	4.3628	0	0.54618	0.15932	7.2281	0.73369	0.19599	11.9588	8.3461	9.2857	0.17607	7.7407	0.49099	0.92898	10.0072	4.2692	9.644	8.0855	7.3564	5.7329	2.0761	1.5956	5.5897	1.9357	0.46861	4.2941	4.6453	7.3446	4.9621	4.2155	4.6465	2.5201	0.72845
RS_G12533__NTF4__NTF4	5.098	0.60197	0	3.3569	0.96059	1.4685	1.7073	1.0688	0	0.85575	3.2205	4.229	4.2264	3.9442	3.8572	2.0025	3.0439	2.7479	2.4274	1.4549	2.1966	1.5277	1.9687	2.3877	1.2635	2.1082	1.1826	1.0546	4.8998	0	6.5895	4.4162	5.0027	2.7503	4.0469	2.9513
RS_G16393__AC011443.6__AC011443.6	0.78149	0	0	2.0242	0.98271	0	2.6501	0.13026	0.43563	0.15815	5.8548	2.0264	5.1701	0.82457	0	0	0	1.7873	3.5388	0.57774	2.4709	5.1725	0	0.39217	0	1.7524	0	0.38765	4.7857	2.489	5.3562	0	1.979	6.2604	2.0745	0.97076
RS_G12983__SPRR1A__SPRR1A	2.6766	0	1.2073	4.6224	0	0	4.4152	0	0	1.1468	1.0479	0.96978	5.1369	4.8631	0	0	4.4045	0	0.3708	0	0	6.2122	0	0.35494	0	2.7869	0	0	1.1341	2.8241	2.8212	1.2049	4.8655	3.6111	2.3955	2.8989
RS_G29779__HMX1__HMX1	0	0.12473	3.8952	5.4103	0	0	0	0	0	0.63916	6.1664	3.6621	2.6571	2.9916	1.7597	0.2596	0	0.29934	0	0	4.6009	3.798	0	0	0	0.19458	0	1.3222	0	4.5457	0	2.5287	4.5008	5.8831	0.6615	4.6114
RS_G1852__OAS1__OAS1	5.873	7.3675	0.87272	8.3026	0.27817	0	2.6877	0.69174	1.2597	4.9797	8.7283	7.0169	7.0589	5.6182	1.7419	1.3085	9.4755	0.57917	5.8054	4.6882	5.5888	4.7801	4.2812	3.7085	0.67147	5.0287	5.5583	0.85197	5.9702	10.0225	5.7018	7.0538	5.5675	1.3235	5.011	2.773
