Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
Response	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	1	1	1	1	1	-1	1	1	-1	1	-1	1	1	1	-1	1	1	1	1	1	-1	1	-1	1
RS_G8573__ECM1__ECM1	4.8617	4.7393	5.8238	4.9641	2.9491	2.9311	7.9628	6.8961	11.2304	3.4946	2.8586	6.3894	4.9619	3.4121	2.5694	4.2049	5.5615	4.459	8.7029	2.4417	2.5781	3.3888	5.2516	8.4389	4.5503	3.36	2.5147	7.9556	5.7183	4.52	2.2735	2.4162	4.0931	5.7441	1.8392	10.0731	1.202
RS_G12470__CORO6__CORO6	1.3736	5.0261	0.59829	1.6239	4.7642	1.2424	0.53723	2.196	0.58695	1.6114	3.6444	2.0788	3.9669	3.775	2.8041	4.9726	3.2655	1.2535	2.6312	0.73365	0.41837	2.0176	3.8302	3.9416	2.9862	3.0768	4.5564	1.1636	4.1819	5.1099	4.2711	2.3894	5.3274	2.2478	2.0977	0.47368	1.1167
RS_G5278__CSTA__CSTA	0.45526	1.7151	4.4625	1.6336	2.2838	0	0	3.9302	2.4582	4.8816	5.0285	8.4207	6.5421	5.1336	0	5.5396	3.5366	8.6231	1.5014	2.5131	9.801	0	2.8632	0	3.0641	0.883	5.5628	0	6.7393	7.0626	3.4916	2.8224	0	0	5.4387	0.85901	1.2257
RS_G5988__EVI2A__EVI2A	1.2756	0.13752	0.30944	0	7.1056	0.15699	0.24882	4.0118	0	1.0625	0	0	1.3617	1.032	0.28992	0	6.1551	0.48768	3.8192	0	0	1.3205	0	6.7313	0.074104	0	0	1.1689	0.54354	0	0	0	0	0.20844	0	0.9357	0.40834
RS_G4761__ACTL8__ACTL8	0	4.1513	0	0.49839	1.8156	1.7294	1.7722	1.2647	0	1.0987	9.1407	1.2168	2.2249	0.82274	0	0	0	4.9166	0.76598	5.2179	2.0632	0.71367	4.2102	0.46473	2.0947	1.0879	1.4646	0	4.7146	2.428	2.758	2.3907	1.9083	3.9319	4.9194	3.6359	4.9693
RS_G5550__INHA__INHA	2.803	4.8975	2.2334	4.1783	3.3355	2.7597	0.72731	1.7803	2.3328	2.9138	4.8991	0.72573	2.4269	4.5893	3.0781	4.3798	0.93674	3.1222	0.68198	5.5781	5.2467	4.2458	4.8462	0	5.8881	4.6199	5.7173	4.7246	9.0315	5.2734	8.0172	4.0025	1.9518	10.1158	4.4776	1.4434	1.5657
RS_G15925__TSEN54__TSEN54	7.2344	8.3459	6.4633	7.5892	6.3917	7.9159	7.7411	6.4839	6.8253	8.3035	7.0863	7.4429	7.0836	7.421	8.0853	7.972	6.2994	7.2044	6.6307	10.0525	8.9556	6.8742	8.4277	7.161	9.7546	9.4051	9.1787	7.8424	7.1251	8.4663	7.997	8.3349	8.7783	12.7359	8.8604	5.6995	8.5107
RS_G10099__PTPRN2__PTPRN2	6.9326	0.095017	7.022	5.2637	0.60536	3.1299	0	0.47464	8.0282	0.61173	0.30912	0	1.3147	0.31892	0.19978	0.75979	0	0.048546	4.3741	1.4962	3.1622	8.3841	6.4687	0.89397	1.715	0	0	3.4536	0.88861	1.2191	5.1409	0.22943	8.2309	3.3359	2.5798	2.5044	2.1644
RS_G27825__RP5-857K21.11__RP5-857K21.11	10.9434	6.6704	13.2896	12.1731	10.1851	12.3866	12.2165	12.1985	12.3339	11.8487	10.0205	11.1852	10.4344	10.7845	13.3398	10.3199	11.7062	10.6909	11.5127	7.1751	11.6662	11.723	9.4247	10.3684	10.1889	9.1151	9.7862	8.7916	12.4549	9.1959	9.7	10.1982	9.1015	9.5745	9.4473	13.1989	12.2867
RS_G3849__UPK2__UPK2	1.2179	2.5918	2.4864	2.9857	2.6149	1.444	2.281	2.1097	3.0251	2.428	2.8133	5.2106	4.5908	3.0002	1.8	1.4478	0	3.7605	0	8.8632	6.3477	1.2022	6.0449	1.1257	4.7025	2.0134	0.63424	0.47434	5.77	5.3843	3.8374	6.7099	8.458	3.5172	0.91701	0	2.3886
RS_G16239__CCBE1__CCBE1	1.1161	0.50662	0.87902	0.61557	0.55127	0.78538	1.6318	1.3054	1.0989	1.887	0.44792	1.9175	2.0205	0.58084	1.1984	1.3956	1.9127	0.50876	6.035	0.6116	0.6678	1.8377	0.77331	6.1112	0.45356	1.0472	0.6324	2.1768	3.0047	4.2038	0.17808	0.74833	0.72401	0.70957	1.2971	1.1566	0.83157
RS_G6639__KHDRBS3__KHDRBS3	2.7656	1.8859	6.3116	2.5982	3.6717	3.9119	7.3774	8.9619	0.14162	3.5335	5.9593	3.7957	4.6798	4.5205	1.334	3.9564	3.1927	3.2543	5.0197	0.13271	1.6897	3.5037	3.0254	7.1711	4.1739	3.1378	0.99985	6.8705	2.3588	0.69378	2.4602	2.8818	4.0823	4.8074	4.0691	5.9758	5.0319
RS_G3172__GRIN2D__GRIN2D	1.2815	7.681	0.11453	0.68008	6.2801	0.3443	5.0838	1.1036	1.736	0.83669	0.90964	7.0748	2.9299	1.246	1.8482	4.2991	1.361	3.6096	2.9072	3.4213	3.0676	2.3793	3.8963	1.1365	0.84688	0.18568	7.0486	4.253	3.6892	8.309	7.4344	1.1701	0.90614	0.72063	2.5652	0	2.0206
RS_G2407__GALNTL1__GALNTL1	2.7185	1.4373	3.4989	3.4628	4.2839	5.3036	1.4688	1.4409	1.9837	2.218	0.43896	0.71371	1.6141	0.38746	0.83294	2.6977	1.8837	3.2399	4.0921	5.064	2.5198	7.2783	1.3518	1.3157	3.6006	0.31102	1.5418	5.9632	0.8547	0.50251	0	1.8633	1.7732	5.2074	2.517	1.5756	1.8036
RS_G180__MATK__MATK	0.50499	0.41669	2.383	0	0.79262	0	6.2572	2.271	1.7386	0	4.6248	5.672	0	3.3626	0.36849	5.2526	2.0979	0	0	7.4683	5.5238	0	4.5215	0	4.2111	0	0	3.9548	8.2368	4.4908	0	0	2.9773	0.07338	0.71016	0	6.8048
RS_G34074__RP11-258C19.3__RP11-258C19.3	3.8291	2.8681	3.1395	2.661	1.3579	4.1726	3.0209	3.4128	4.8519	4.6919	1.5425	2.3974	3.452	1.9856	7.856	0.44921	2.4535	1.3594	2.8584	1.9851	3.3219	4.9203	3.9604	0.73805	1.7849	1.9667	1.3973	0.99103	4.5668	0	1.6502	2.3215	2.5155	2.2695	0	3.9041	3.4593
RS_G16898__AC073468.9__AC073468.9	2.771	6.104	3.2477	2.9543	0	0	2.1311	2.1588	0.48723	0	3.5396	2.6112	3.5696	3.464	4.4522	4.6909	0	4.557	0	3.053	1.4065	1.2126	4.682	0	2.3478	0.5494	4.3933	0.55787	1.3527	2.3273	7.8208	1.3018	2.9242	3.7231	2.9131	0.36525	0.94339
RS_G6138__BAIAP2L2__BAIAP2L2	1.8619	4.4149	0.13304	1.6299	6.1142	1.2764	0.91234	0.473	1.6039	1.7708	8.4277	5.8264	4.8764	0.79441	1.5262	0.62381	0.59391	3.215	2.7982	1.4413	0.90306	1.3959	1.9401	0	2.8525	3.8127	4.9919	2.553	4.3806	1.6165	2.5815	3.6222	2.6405	1.6025	2.9765	1.3838	0.92168
RS_G1906__ICAM1__ICAM1	5.8954	4.5585	0.6419	3.9904	0.75254	4.0039	3.6008	1.596	2.0527	4.2381	11.2307	4.9372	7.9394	6.7583	4.6935	4.4833	3.4969	7.6289	2.6603	4.8286	5.0179	1.8138	6.6162	4.6042	5.1194	5.6166	4.1407	1.2766	8.1046	4.9325	0	4.0788	4.094	4.1801	4.029	0.72641	1.5646
RS_G4197__TBX18__TBX18	0	2.9032	0	0	6.7911	0	0	2.4184	0	0	5.9388	5.1825	0	5.7711	0	5.3067	0	4.4794	0	0	0	0	0.32925	0	0	0	1.4806	6.5899	5.9947	4.2898	0	0	0	0	0	0	0
RS_G21732__AL136362.10__AL136362.10	3.6177	1.379	2.4086	2.3687	6.8619	2.9602	8.6421	5.8491	4.1982	5.6378	2.8629	7.9821	8.2796	3.0449	3.3737	4.9523	3.5242	4.687	7.4838	1.6056	2.2294	4.1893	2.5963	5.016	2.5979	2.9509	1.0728	4.8527	7.0765	7.1972	2.0514	2.0133	2.6182	2.1096	1.9024	4.1572	2.0164
RS_G3823__CCND1__CCND1	11.467	10.2873	9.7956	11.0955	7.5774	10.8624	12.4704	7.9377	9.8988	10.1898	6.9323	10.1513	11.3166	11.978	7.0419	7.8671	9.0157	9.3554	10.1335	11.149	10.4301	15.2047	9.4841	10.5959	11.1601	10.8596	8.7887	8.7105	7.5246	9.6036	9.6678	8.5391	10.1398	11.1175	11.3211	11.0685	11.0084
RS_G11890__AQP3__AQP3	8.0116	10.6287	2.1647	1.9014	0	4.2468	5.9918	1.0506	0.53786	0.1979	0.81239	8.8606	9.6576	5.2418	7.5979	8.1506	0.68742	6.8679	2.5285	9.4709	8.5654	0.81789	6.6899	6.2827	8.6321	6.4726	10.8643	1.743	5.1633	10.0805	1.1812	5.8895	1.0436	3.2008	7.5892	0.31637	3.3056
RS_G7562__NOV__NOV	6.3991	0.7816	3.3497	1.5592	0.39352	0.80455	6.7812	3.3477	0	0.15448	0	2.2916	5.127	2.5802	0.97304	2.5852	1.0721	3.7115	8.1961	0.56584	0.57226	0	5.6987	6.3971	2.8916	1.217	0	8.2172	4.5959	4.8195	0.69733	0.95114	1.2699	3.0763	0.76414	7.1356	0
RS_G3858__SLC15A3__SLC15A3	0.89932	5.5094	2.8801	2.931	0	0.79011	0.38408	0.49219	2.0004	1.8214	7.3716	2.0224	5.7384	1.474	3.0271	0.94978	4.2055	4.9413	2.0345	1.8448	1.3939	1.5233	5.5805	1.4814	2.9525	1.4075	4.8346	0	1.9831	3.555	1.3756	6.484	4.3499	1.8849	2.4676	1.1032	1.1282
RS_G118__CRLF1__CRLF1	0.95481	3.4098	2.7357	4.2579	1.8533	0.82276	2.3065	1.9642	3.8323	5.0392	4.7469	5.1545	3.3215	3.831	2.3885	3.3975	1.0969	0.8225	3.868	5.9449	6.8572	2.0323	3.1764	0.48881	6.5761	1.7395	1.4224	1.8384	1.5634	4.8437	4.7497	6.5653	4.6619	1.7779	4.4083	1.3143	3.7399
RS_G16452__NPW__NPW	0.92642	1.4213	0	2.4697	0.2454	0.65448	1.172	0.5077	0.26622	1.0368	5.9176	4.5334	4.1669	0	3.1399	0	0.4498	2.1341	0	2.1758	1.085	0	0.54611	0	2.8689	1.2498	1.1663	5.1687	4.4809	6.0124	1.5207	4.5138	6.4954	2.0477	4.8912	1.0702	1.5426
RS_G18751__COL4A6__COL4A6	0.67594	0.13292	0.082024	0	2.7738	0.18736	0.39431	0.12632	0.04069	0.15342	0.06856	5.2708	4.3231	2.4073	0.27736	0.8942	3.3987	0.59125	2.8252	0.45164	0.87533	1.2266	1.004	0.68802	3.537	2.2581	0.099219	0.63428	4.2757	5.7836	3.0149	3.9285	0.34172	0.41123	0.38657	0.088037	0.43794
RS_G10072__APCDD1__APCDD1	3.6283	0	3.4981	1.7279	5.1196	0.94106	8.1676	5.0126	4.698	4.311	0.49093	0.3134	4.4235	0.7662	0	5.3693	0.79178	4.2019	6.4553	4.2763	1.278	2.5733	3.1425	0.77135	4.5634	0	0	1.5594	0	0	3.1684	0.75881	4.9168	1.234	3.3698	3.4677	2.6144
RS_G12533__NTF4__NTF4	5.098	0.60197	0	3.3569	0.96059	1.4685	1.7073	1.0688	0	0.85575	3.2205	4.229	4.2264	3.9442	4.3794	3.8572	2.0025	3.0439	2.7479	2.4274	1.4549	2.1966	1.5277	1.9687	2.3877	1.2635	1.1826	1.0546	4.8998	6.5895	4.4162	5.0027	2.7503	2.2765	4.0469	0	2.9513
RS_G2174__SCARF2__SCARF2	0.99226	1.4054	2.0403	4.0099	8.0048	1.1916	4.052	0.51672	1.9477	2.1618	7.3407	5.5777	2.7189	3.7544	2.5177	3.7682	5.4166	2.3726	7.7584	3.9993	1.8754	0.69889	2.52	2.3524	4.2897	4.5508	0	7.0169	3.4351	2.2091	2.4421	4.3461	4.7467	2.3432	4.064	2.2822	4.2022
RS_G2913__KIAA1199__KIAA1199	7.641	2.9944	1.7452	2.2245	8.7442	1.1372	1.3566	4.1092	1.6288	1.1836	1.0036	0.63034	1.6954	1.9755	0.43909	1.4692	3.9475	1.0185	8.171	2.3433	3.1087	4.1294	3.0434	4.72	2.3213	0.96256	0.42582	3.094	0.79594	0.6955	2.814	1.156	4.3478	5.3088	0.37723	1.2181	0.75076
RS_G9022__SCUBE3__SCUBE3	3.5466	0.2618	2.5074	6.8946	1.7019	0.87587	2.3629	3.9423	4.4599	2.2384	2.795	0.92187	2.8216	0.42772	5.6363	1.3151	1.3521	1.3012	4.7496	1.9989	1.9342	3.1102	3.0681	3.0285	2.9598	3.4945	0.25785	2.954	1.0921	1.0796	0.10982	2.6449	4.6731	0.60944	1.8505	1.1401	0.94161
RS_G10216__C8orf38__C8orf38	5.1491	2.3135	7.2087	6.021	6.0859	6.1608	5.772	5.2176	9.8137	6.1035	5.9847	4.9133	6.629	6.0311	6.1521	5.9104	5.835	6.3356	6.2182	4.299	6.6008	5.9155	3.8127	5.874	4.967	4.503	4.5255	4.0145	4.2857	4.629	4.5804	5.8105	5.2216	5.7507	4.6899	4.5446	5.1276
RS_G16319__SERHL2__SERHL2	5.5576	9.6885	4.2228	5.1276	3.5316	4.1391	4.4021	2.9824	9.3149	3.0556	6.0929	4.8312	4.2306	3.487	4.2993	5.1006	5.2126	4.4447	4.1099	5.1008	8.2175	3.9131	8.19	3.8247	5.6157	3.797	11.2439	4.1716	4.2778	4.8636	3.1849	6.6946	6.6957	10.5394	10.0126	3.2253	9.7217
RS_G10476__CLSTN2__CLSTN2	5.8455	0.55251	6.1216	6.7817	1.1877	8.6981	5.6714	2.6739	4.8612	6.8926	0	0	2.5088	1.3812	0	5.16	5.5442	0	2.1758	1.5753	6.5852	9.3094	3.9052	0	4.6367	6.445	0.59842	0.72	0.84752	0	1.6132	4.7589	7.2315	0.61353	4.8856	2.065	0.39654
RS_G8841__BOC__BOC	3.3987	3.812	2.6923	4.1468	5.7883	6.2704	2.7079	5.6154	1.8777	4.9295	3.0221	0.95373	3.9221	1.324	3.0435	4.0079	3.4844	0.91426	4.8738	3.0677	0.81298	4.6997	4.9335	2.1279	3.2277	3.7861	2.4018	4.5654	1.6691	0.19148	3.1072	2.204	3.2129	6.1523	4.2148	2.3816	1.8986
RS_G11441__TM4SF18__TM4SF18	0.063627	0.33303	5.7812	5.1303	2.4429	4.9049	7.7835	1.6684	4.4129	6.1745	0.21054	0	6.7182	3.4103	6.1319	3.3713	5.3957	3.9681	0.17964	1.3098	2.3027	1.2533	0.55321	8.1172	2.2255	2.2631	0	1.5581	0	0.24403	0.76783	2.6463	0.97751	3.4624	1.224	0	0.11762
RS_G13241__LONRF2__LONRF2	3.7903	0.13384	4.3477	6.6943	2.2956	4.2931	1.4733	0.35575	5.1387	7.8064	0.33337	0.31323	0.59924	0.20636	0.11329	0.35946	0.8376	0.035217	0.26581	4.131	5.2239	6.7852	0.7994	0.66303	4.3186	0.070664	0.30533	1.1188	0.15278	0.089869	4.0044	3.3933	4.6452	0.23247	3.8043	3.1376	3.1669
RS_G13247__KRT83__KRT83	4.4686	6.0206	0.84412	2.8622	1.2037	0	1.6	0.15982	1.0608	3.8349	7.5226	0.21658	3.8995	4.0819	5.3611	6.2556	0.2605	0.45353	0	6.3004	5.1009	0.39899	3.2356	1.2838	4.3141	1.0845	5.2935	0.46695	9.9153	1.1824	6.0218	0.43923	3.059	6.5686	1.7506	0.67561	1.8815
