Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	1	-1	1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	1	1	-1	1	1	-1	-1	1
RS_G19132__NRARP__NRARP	3.3563	5.9645	5.6026	7.2418	4.5032	7.7172	8.3562	1.8067	6.2538	6.2684	6.799	7.1035	7.1614	3.1299	6.3495	3.617	9.4205	1.5323	8.106	7.4106	6.849	6.6626	3.5847	8.322	8.5739	7.4719	4.9533	5.5331	8.1234	5.6934	7.2971	5.8926	7.7073	5.4552	6.8244	8.6855
RS_G11747__CTSB__CTSB	9.8416	8.2842	7.3598	8.8658	10.7399	7.7915	10.2099	9.493	8.6772	9.5489	8.9823	9.516	9.74	8.7557	10.2834	9.9357	8.3334	11.0293	8.6087	8.539	8.406	9.6896	9.0618	8.77	8.7307	8.5938	7.9661	14.2059	8.7494	7.516	9.1268	7.5318	8.3295	9.5108	9.6418	9.0078
RS_G6975__LOXL2__LOXL2	1.5391	2.7296	1.2016	5.6888	11.6528	0.8968	6.3164	9.3974	1.5447	2.0715	6.3622	3.9725	6.3672	6.8128	8.6672	8.2651	5.7011	11.1125	7.6294	3.625	0.83296	9.4404	8.9271	1.3338	2.0015	8.8622	1.078	8.2155	10.5325	5.5342	7.3102	1.0611	1.131	6.4413	3.8986	1.1635
RS_G9341__ANKRD1__ANKRD1	6.4828	0	0	0.8261	4.6532	0	6.6578	0.82492	0	0.1835	1.1514	3.337	4.898	2.6463	5.0848	1.2721	0.23193	3.6273	3.9893	0.25672	0	1.1723	10.4614	0.49467	0.6149	0	0.82193	2.257	3.3586	0.34827	1.9709	4.3821	1.2895	2.7655	1.0823	0
RS_G6452__GATA5__GATA5	0	4.94	1.3896	5.8865	0	0.8752	0	0	0.38815	6.1074	0	3.0853	1.4507	0.092615	0	1.0026	0	0	0.36992	0.28951	4.6308	0.56404	0	3.0839	0.85482	0	0	0	0	4.1711	0.66483	4.124	4.5765	6.5887	2.8352	0.27519
RS_G9656__TEX9__TEX9	4.2374	1.2952	4.0477	4.067	2.5317	6.9286	2.6932	2.1361	2.019	3.7916	0.57729	2.784	2.0646	4.3718	3.5397	4.1276	3.9276	1.5805	2.1614	2.2238	4.4367	3.1377	2.9177	5.2171	7.8711	3.2482	3.9164	1.006	0.63633	4.2606	3.1244	3.0016	3.9567	2.0313	3.575	3.4162
RS_G11471__NMNAT3__NMNAT3	3.2876	0.98265	3.7081	3.9964	0.2993	6.1909	0.33705	1.2249	1.0633	4.365	0	2.136	3.923	1.0631	0	2.6955	0.097999	0	2.2573	2.2258	7.3217	4.0756	1.1246	1.6219	3.0718	2.3893	0	1.3699	1.3746	4.781	2.5735	5.1841	5.1134	3.8199	0	0.5434
RS_G2995__SLC39A14__SLC39A14	6.5459	5.6769	5.6594	5.6152	8.7657	6.1716	7.0063	7.7195	6.3535	6.2607	9.1892	7.0224	6.7042	5.8478	7.8421	8.046	5.0282	8.6902	5.9951	5.871	5.7726	6.4523	7.8138	5.2543	5.461	9.0738	6.3889	11.4705	6.4913	4.5856	7.4146	6.5071	6.5466	6.7714	6.9246	7.2669
RS_G5188__TGFBI__TGFBI	5.034	7.8938	4.4353	2.9263	3.9121	0.64517	3.9922	12.5626	5.0232	2.457	1.7131	9.6873	8.6593	10.3838	5.9284	12.1863	10.1886	13.0785	6.3418	5.2622	0.5123	7.7857	8.6722	3.0034	3.5245	2.8576	6.2873	11.1203	9.0184	3.4824	11.8996	1.0937	2.4821	4.288	2.7243	0.84147
