Cell lines	21MT1	21NT	600MPE	AU565	BT474	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	1
RS_G4492__LOXL3__LOXL3	3.9714	3.7142	3.9342	3.899	4.0538	0.36243	3.2813	6.1376	2.3251	0.55202	3.1632	4.854	4.583	4.4703	3.6321	4.0132	5.0728	3.1669	9.4901	5.2671	3.7001	4.5109	3.8202	4.004	3.3395	3.0077	6.2279	4.4572	3.3937	4.9542	3.4845	3.6618	3.0611	4.5489	3.3379	3.4962
RS_G11441__TM4SF18__TM4SF18	1.5013	3.5688	0.063627	0.33303	5.7812	2.4429	4.9049	7.7835	1.6684	4.4129	6.1745	0.21054	0	6.7182	3.4103	3.3713	5.3957	3.9681	0.17964	1.3098	2.3027	1.2533	0.55321	8.1172	2.2255	2.2631	2.2897	0	1.5581	0	0.24403	0.76783	2.6463	0.97751	1.224	0.11762
RS_G8194__TGFB1I1__TGFB1I1	1.7073	2.119	4.2726	2.3439	1.5566	9.8909	0.51218	4.6719	3.9998	1.9533	0	6.8274	5.2331	4.7585	0.25652	0.71603	6.9022	4.8033	9.6163	5.4314	2.0027	4.1516	2.6547	8.2845	0.19792	0	8.5533	1.3892	0.97629	7.6316	6.9564	2.8172	1.8548	4.6982	3.2699	2.7503
RS_G18071__CXCL17__CXCL17	2.6219	3.1275	1.6218	1.6066	6.1534	0	0.74132	0.6322	0.45695	3.1228	1.3713	0	0	3.6124	9.5671	3.7511	0	12.3037	0	2.1353	2.7126	0	7.6157	0	5.9685	0.3767	2.0065	0	0.38286	0	1.4859	0	0	3.4737	6.5787	4.2359
RS_G761__KCNH2__KCNH2	0.6712	0.61464	4.3974	7.7662	1.4548	0.71042	1.2467	1.9196	0.35086	0.38368	3.1721	6.314	1.4979	1.0985	0.37606	0.77169	0.11002	0	0.87414	5.3995	4.2125	6.9596	4.0376	0.65077	3.5139	0.86035	1.3898	3.6229	0.98382	0.73108	3.7015	4.5043	0.55219	5.3417	4.1343	3.3441
RS_G15626__MAP6D1__MAP6D1	5.8009	4.7673	2.2504	0.85483	5.8526	5.4591	5.8612	3.9654	3.1315	4.4177	8.4145	3.7921	6.3579	5.3975	4.4178	5.4406	4.2591	2.9896	2.1446	6.133	5.0368	2.5589	4.9943	3.9445	5.6564	3.9162	2.4325	3.151	3.4771	3.7012	3.6466	3.883	9.7553	7.2833	3.7728	3.0512
RS_G28921__AP002448.3__AP002448.3	0	0.3675	0.15678	2.16	4.5166	0	0	0	0.40965	3.7876	3.4604	4.2473	0	3.7405	4.6547	0.36884	0.35732	6.8538	0.72705	0.36192	0.36419	1.2286	1.5217	0	4.6525	0	0.86445	4.0954	0.60887	0	2.9716	0	5.3124	4.4783	5.8805	0.5014
RS_G10899__PERLD1__PERLD1	9.086	9.4411	7.7632	10.8788	10.843	5.7015	7.023	5.4851	6.0545	11.6693	6.7597	1.9356	4.6347	4.808	11.5693	7.3482	6.5941	7.0206	5.8111	6.5555	5.7895	6.5318	7.7669	5.3794	9.638	8.0489	7.0386	10.3657	5.6013	6.5852	6.0695	5.4877	7.267	11.6018	7.3184	6.7812
RS_G17313__GPR103__GPR103	0	0.31312	0.2541	0.19648	0	2.3885	0.31353	5.8962	5.3647	0	0.64283	7.2065	1.4331	0.4547	0.10611	0	3.9701	4.8501	0.24643	0.11209	0.30443	0.32413	0.092657	0	0.15618	0.19049	5.8225	0	0.38243	6.3115	0.47337	0.44342	0	0.28476	0	0
