Cell lines	21MT1	21NT	600MPE	AU565	BT474	BT549	CAMA1	EFM192A	EFM192B	EFM192C	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
Response	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	1	-1	1	1	-1	-1	1
RS_G9937__PID1__PID1	4.9572	6.6237	3.531	3.4933	0.99515	2.7231	0	2.8429	1.251	2.7361	3.8103	7.2734	3.7721	1.9968	4.77	1.9694	1.4947	1.1073	5.107	5.6305	3.47	5.7238	0.23988	0.46569	1.2408	3.3321	0.79121	3.9905	0	0	4.7638	4.4948	5.1605	9.1818	2.9212	4.2784	5.3652	0.53315	2.6993	1.5765
RS_G8395__COL6A1__COL6A1	8.9566	7.6118	5.4602	5.1508	3.3975	7.3394	3.4729	4.2804	7.0082	6.2378	9.921	10.6743	1.6458	3.4276	8.8942	7.4773	8.2099	3.563	4.938	10.6909	0.88895	13.8151	10.9608	5.0202	3.678	1.0221	5.5817	7.6313	5.1513	0.86484	10.1471	2.4509	9.1319	9.7023	7.0085	9.4911	5.3568	5.7383	5.3044	5.3749
RS_G14301__CHST2__CHST2	0	0	1.0835	0.13336	0.23835	4.1777	0	0	0	0.31352	3.102	3.8426	0.1568	0	2.6096	1.3665	1.1804	0.13922	1.2898	4.074	0	6.1227	0	0.14698	0	0.15375	1.5489	4.6798	0	0.26037	6.8572	0	5.0333	4.8977	1.8192	2.0316	2.7945	0	0.62457	1.5682
RS_G14674__FOXC2__FOXC2	0.18769	0.29892	0	0	0	0	0	0	0	0	5.0339	5.3056	0.44201	0.21381	3.25	5.8163	4.8008	0	2.4171	1.153	0	8.6324	0.31055	0.64546	0	0	0	0	0	0	7.2676	0	5.6112	3.0385	0	3.8454	0.5871	0	0	0
RS_G17665__FAM25A__FAM25A	3.0813	3.4017	0.91608	7.1962	4.2358	0	3.7671	6.3114	6.5172	8.4085	0	0	3.3216	3.1388	0	4.8461	0	2.0457	2.761	0	0	0	7.9801	6.2332	0	3.654	6.0496	0	4.6771	0	0	5.606	0	2.74	0	0	3.3555	4.3747	0	2.0778
RS_G161__SCIN__SCIN	1.1082	1.686	2.7109	3.6588	1.1965	0	9.3262	6.2179	7.9843	5.0413	0.16851	0	0	4.9978	0	1.3433	0.54791	1.1152	1.8553	1.5526	8.3614	0	0	5.1779	0	1.2007	2.8424	4.2942	2.3898	0.34155	0	5.7814	0	0	1.0897	0.43341	6.6911	5.4665	4.8425	0
RS_G14428__C7orf10__C7orf10	3.5374	3.0889	3.7743	1.0982	0.7662	5.2894	0.14994	0.54238	0.55996	0	3.7882	2.8196	2.0669	0.37628	4.9639	4.3508	2.6963	2.255	2.9243	4.0509	0.65512	4.1949	1.0828	0.3938	0.96976	1.5258	1.2013	2.0049	0.13633	0	4.5349	0	4.8912	2.9044	0	1.2329	0.30448	2.8094	1.8441	2.0889
RS_G4297__DPYSL3__DPYSL3	4.7155	3.375	4.2682	0.83739	3.5608	0.35313	0.36739	0.38086	2.5386	0	0.99867	6.742	0.05365	0.13571	4.9268	2.2627	1.653	0.09219	1.0895	7.5919	1.2393	9.5025	4.8312	2.118	0.35981	1.9442	0.92822	2.376	1.1786	0.17482	5.85	0	3.4451	0.51889	1.7287	1.6933	7.2656	3.9465	2.248	4.8161
RS_G8399__COL6A2__COL6A2	5.486	4.8326	0.09725	1.2175	2.8781	7.9295	1.5704	2.9326	5.3236	2.2809	9.9917	10.7921	0.12627	1.3977	8.5995	6.9876	7.7184	3.3578	4.7661	10.2763	0.66729	13.2127	11.1192	4.7809	5.0646	0.064059	0.64549	6.3192	4.4906	0.84685	10.9299	0.54742	9.0792	8.6458	5.6524	9.1203	0.74141	3.3194	2.3452	6.8501
