Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1
RS_G11890__AQP3__AQP3	8.0116	10.6287	2.1647	1.9014	0	4.2468	5.9918	1.0506	0.53786	0.1979	0.81239	8.8606	9.6576	5.2418	7.5979	8.1506	0.68742	6.8679	2.5285	9.4709	8.5654	0.81789	6.6899	6.2827	8.6321	6.4726	3.8282	10.8643	1.743	5.1633	8.3696	10.0805	1.1812	5.8895	1.0436	7.5892	3.3056
RS_G6438__H19__H19	1.1105	10.4938	2.6615	4.2746	0.23891	1.0195	3.0509	2.0724	0.83467	4.1738	2.527	9.1435	2.137	3.2118	2.9071	4.9475	0.12357	0.57515	9.9367	12.6153	2.9375	2.5878	10.9996	0.51368	4.7313	1.5866	5.89	12.8147	1.434	0.45922	3.8168	12.6438	9.9543	5.8115	3.6638	3.5258	2.5666
RS_G15449__PSTK__PSTK	3.0441	2.5953	2.506	2.888	3.4201	1.9302	3.6997	3.918	3.1924	3.047	4.0419	3.5195	3.7742	3.8694	1.2227	4.1269	3.8838	3.0608	2.759	3.2617	3.0766	3.4609	2.7387	4.1285	3.3489	3.8483	5.2788	2.2706	4.3471	3.1501	3.2526	2.3549	9.5518	2.9723	3.3824	3.321	2.3236
RS_G16320__PCBP3__PCBP3	0	1.233	2.8412	5.1319	4.7329	0	1.8135	7.1215	2.717	1.4734	6.7411	1.1414	3.7919	3.7675	0	3.7909	4.1238	5.8191	0.75128	4.5505	4.5556	4.431	2.5031	3.5964	0.47491	0	1.0568	0	3.3797	3.9459	5.3921	1.2824	5.3456	0	0	0	0
RS_G18582__MAGEA12__MAGEA12	0	7.7305	0	0	0.29613	0	0	0.33841	0	9.4865	0.27224	8.3753	1.6656	0	4.6108	1.051	0	5.8085	8.396	0.5451	0.30005	0	9.1989	0	1.36	0	1.111	8.2333	0	0	8.8769	0.45187	0	2.2033	0.83189	7.2668	7.5631
RS_G9403__SESN3__SESN3	2.3465	0.95592	1.9433	1.1053	1.9298	0	2.8601	6.7706	0.38727	1.3803	2.9138	1.2586	3.1787	5.218	0	3.7349	1.2617	5.7426	0.72009	1.0257	3.5018	4.8632	1.551	3.829	1.2595	2.6745	4.7057	0	2.2333	1.6506	2.2977	3.064	0	0	2.0062	3.2095	1.8699
RS_G3379__MEST__MEST	0.28456	7.7409	7.8393	7.4767	7.0437	7.6778	7.4615	1.4366	1.0201	7.6848	0.16774	8.4186	6.9275	6.6173	8.08	1.1371	11.3032	0.69041	4.0757	7.3671	8.1143	6.6208	7.5349	6.2993	7.2189	7.299	0.25759	9.0774	0.325	0	6.652	7.5819	0	1.0173	5.9816	6.7253	7.8146
RS_G11943__C10orf10__C10orf10	6.4294	2.4145	3.8936	2.0915	3.4013	0.56101	6.3853	5.9015	2.378	1.5633	7.4403	1.1295	5.9323	4.8405	1.5111	5.9809	4.172	7.2064	3.6636	0.63589	2.0915	3.3694	6.6362	2.4972	2.1318	2.6079	8.6536	0	6.2562	1.5369	5.9749	4.0583	1.1558	2.2516	3.1047	1.3846	2.7746
RS_G4751__ST6GALNAC5__ST6GALNAC5	1.3493	1.0504	1.3399	1.0143	5.9416	0.2507	6.665	1.5309	5.1082	0.17517	7.3934	0.37743	6.2258	5.5602	0.23447	8.2988	7.1961	7.0426	1.3656	0	2.2612	3.6181	7.0606	5.7759	0	0	9.2757	0	0.75056	6.2159	0.6064	0.52553	0	0	1.0276	1.2189	0.95463
