Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
Response	1	1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	-1
RS_G761__KCNH2__KCNH2	4.3974	7.7662	1.4548	5.3576	0.71042	1.2467	1.9196	0.35086	0.38368	3.1721	6.314	1.4979	1.0985	0.37606	0.31183	0.77169	0.11002	0	0.87414	4.2125	6.9596	4.0376	0.65077	3.5139	0.86035	1.3898	3.6229	0.98382	0.73108	2.2861	3.7015	4.5043	0.55219	4.1343	3.3441
RS_G1852__OAS1__OAS1	5.873	7.3675	0.87272	8.3026	0.27817	0	2.6877	0.69174	1.2597	4.9797	8.7283	7.0169	7.0589	5.6182	6.2165	1.7419	1.3085	9.4755	0.57917	4.6882	5.5888	4.7801	4.2812	3.7085	0.67147	5.0287	5.5583	0.85197	5.9702	10.0225	5.7018	7.0538	5.5675	5.011	2.773
RS_G18018__MAOA__MAOA	1.499	1.4209	1.6194	1.0587	0.45391	0.25499	0.84025	0.71244	2.1915	3.9341	1.285	6.3396	3.7694	3.3519	0.7258	0.82697	0.24317	3.7618	0.66434	5.926	4.9146	2.7722	4.261	1.9019	0.75157	0.85341	1.8171	3.1022	3.848	0.34473	6.5254	3.8521	0.40455	1.4899	0.56698
RS_G16506__KCNJ12__KCNJ12	5.0094	4.985	0	0.32763	0.36341	0	0.24471	0.27287	1.565	0.20359	0.092253	3.5222	2.7475	0.34782	0	2.5407	1.931	0.046719	1.0266	0	0.81377	0.69034	0	3.3482	0	0.91828	1.5272	2.0692	2.4894	3.881	2.1048	7.9899	0	0	0.27664
RS_G10477__COLEC12__COLEC12	0	0.63558	8.1128	0.80205	0	4.195	1.1604	4.2167	5.2352	0	0.22341	0	0.47351	0	4.9758	2.7664	2.5115	3.3369	6.0277	0	1.3449	0.13838	0	0.68978	2.5487	1.3747	1.441	0	0	1.1812	0	0.34827	0	0.43999	1.7849
RS_G13457__KRT13__KRT13	4.7028	5.6353	0	10.5246	0	0	3.7695	0.17168	0.96284	8.3302	0	10.7883	10.8032	4.6532	0.28749	0	0.28252	0.37577	0.17184	0.28982	0.94145	5.2467	0	0.39019	0	1.1797	5.3517	0	0.53341	0.75767	8.4012	4.1338	6.7909	4.6193	0.40504
RS_G7186__UPK3B__UPK3B	4.3257	6.4156	1.2753	3.3334	0.3283	2.2296	1.8455	1.4654	5.3559	2.2089	1.8358	4.9271	6.6409	1.9608	1.9226	2.5166	0.59218	4.232	0.67228	4.4801	2.2886	9.9063	2.0549	1.5968	1.4107	2.1768	5.4363	1.7678	7.0829	4.2696	9.7015	4.642	9.9793	4.186	2.2517
RS_G12798__FAM178B__FAM178B	0.98678	6.1251	3.3804	4.5129	0	1.8948	1.2255	1.5866	3.0813	7.686	5.4392	4.6694	0.87177	0.22072	1.9869	2.1263	0	4.9947	1.438	3.3825	4.1545	3.0771	0	4.1486	0	1.9637	4.8261	1.399	3.5345	6.4377	0.3566	2.3155	0	4.0431	0.92306
RS_G3586__RAPGEFL1__RAPGEFL1	5.9537	7.4913	4.0582	7.5022	4.1912	5.1146	3.3035	3.1857	2.9684	9.3785	5.0089	3.3274	6.6928	3.2089	3.7361	3.7624	5.0324	4.6098	2.8293	4.2898	7.0599	5.3646	4.4551	4.0532	3.1024	3.1666	6.7893	4.5768	5.97	2.4325	7.7749	5.3003	7.3069	7.8427	6.2748
