Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	1
RS_G11890__AQP3__AQP3	8.0116	10.6287	2.1647	1.9014	0	4.2468	5.9918	1.0506	0.53786	0.1979	0.81239	8.8606	9.6576	5.2418	8.1506	0.68742	6.8679	2.5285	9.4709	8.5654	0.81789	6.6899	6.2827	8.6321	6.4726	3.8282	10.8643	1.743	5.1633	8.3696	10.0805	1.1812	5.8895	1.0436	7.5892	3.3056
RS_G7673__TMPRSS4__TMPRSS4	2.699	7.5287	3.7492	3.3157	0	0	4.5026	0.31816	8.8153	1.9174	1.9884	4.8015	5.6948	7.7551	4.0871	0	6.8365	0.168	5.3764	5.8953	4.31	6.1115	0.26802	3.6486	0.47906	1.2545	7.1336	0	0	5.449	4.4458	0.96487	0	3.3235	5.4337	1.2718
RS_G13853__MYEOV__MYEOV	6.3729	7.3037	0.94306	2.7936	0.86396	5.76	8.559	0.96641	2.897	1.1154	1.0353	7.6376	8.0653	11.6292	8.5816	0	2.3799	2.052	5.606	1.7781	6.2019	7.8823	8.4674	1.4604	0.38509	1.5409	5.6216	6.1858	0.41537	4.5424	7.588	9.6487	4.8669	6.2237	5.1539	1.1507
RS_G8719__DQX1__DQX1	5.6099	3.965	0.20971	1.1459	0.57524	3.789	0.78162	0.57264	1.3792	0.37708	1.3782	1.3153	1.5275	0.84184	4.096	0.87143	0.3289	1.2424	1.3906	1.5839	4.8405	0.98642	0	3.7419	4.363	0.38452	3.8751	1.7522	0.36883	0	3.2749	1.7461	2.8997	1.878	0.49587	0.69789
RS_G12622__ENTPD3__ENTPD3	4.2057	1.6276	2.4329	2.2836	0.094504	1.3137	2.4286	0.70161	2.6439	0.25413	0.3192	4.9483	0.97482	2.9286	0.36104	0	5.8247	0	3.3313	1.5158	0.18811	0.28822	1.9706	0.86462	0.46191	0.47913	1.6258	0.17393	0.98866	4.5946	0.52321	0.10292	2.4856	4.1525	0	0
RS_G2255__SLC5A1__SLC5A1	7.3639	0.18874	0	0	0	0	7.3973	0.4324	0.32026	0	3.7281	0.59098	3.9327	4.9666	2.8481	0	6.8247	0	0	0	0.79107	3.7325	0	0.37256	0	4.0638	0	0	0	6.317	1.9414	0	0.23941	0.14429	0	0.29703
RS_G14301__CHST2__CHST2	1.0835	0.13336	0.23835	2.7032	4.1777	0	3.102	3.8426	0.1568	0	2.6096	1.3665	1.1804	0.13922	1.2898	4.074	0	6.1227	0.14698	0	0.15375	1.5489	4.6798	0	0.26037	6.8572	0	5.0333	4.8977	1.8192	2.0316	2.7945	0	4.0125	0.62457	1.5682
RS_G10056__ADAMTS1__ADAMTS1	0.40649	0.19684	2.7451	4.6542	9.1222	3.9788	5.5768	5.2846	2.2992	7.1431	5.8779	7.4379	3.0483	2.3121	6.6168	5.8881	3.6986	9.0055	0.10674	0.26857	2.8343	3.8711	3.8867	5.6499	6.545	7.2146	0	2.307	6.9795	5.0715	2.4462	1.1737	1.1843	1.2481	4.9621	4.8179
RS_G17030__AL391099.12__AL391099.12	0.79472	0	0.34856	3.2495	7.0864	0.12082	0.50749	2.7995	0.34788	1.7984	0.38468	6.4598	0.47817	0.21289	3.135	7.1336	0.29773	4.0806	0	0.59638	0.61194	0	5.5472	0.11398	0.92648	6.6016	0	5.2696	1.9796	0	2.6767	0	3.4413	0.35791	0.16657	3.3942
RS_G13359__HAS2__HAS2	0	0	0	0	6.2901	0	0.50167	7.8174	0.34679	2.7205	0	8.4229	1.3124	0	0	3.943	0.54231	8.0381	0	0	0	0	3.7323	0	0	5.7447	0	0	2.9735	0	1.4913	0.35491	0	0	0	0
RS_G3762__SLC2A9__SLC2A9	1.4954	0.57568	0.93317	0	0	0.89166	2.8768	0.14422	0.84178	0	2.7674	2.9945	4.708	2.8274	3.9188	0.23875	4.7518	0	0	0	0	3.5199	0	2.0806	2.3324	2.0517	0.56566	0	0.79858	5.2984	5.7181	2.0498	0	3.8285	2.6854	0.18248
RS_G1108__HES2__HES2	4.4607	3.9302	2.8301	3.7611	1.2035	3.2374	5.4767	2.0637	3.8406	3.773	0.79735	5.1219	4.3317	3.298	3.1671	1.5783	7.0011	1.8801	3.2803	2.8103	3.2227	4.7428	3.3004	1.7809	1.2412	2.1333	3.0231	1.9509	3.0032	6.1151	5.2663	0.95994	2.2767	1.9497	2.1743	2.2709
