Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	1	-1	1	-1	1
RS_G3462__DDX58__DDX58	4.6464	1.2425	3.6748	6.6044	3.2513	4.3522	5.5147	4.703	3.0799	3.8092	9.1085	4.3983	6.7743	4.4267	6.5675	5.7537	3.6558	8.7787	3.3188	2.216	4.2702	5.7884	3.5604	3.4966	1.0427	1.8856	4.3942	2.1718	2.8206	4.5015	1.9092	3.7722	3.2852
RS_G17022__IFITM1__IFITM1	4.1688	6.5642	0	9.3264	6.1064	4.4432	9.9995	9.2552	2.5984	3.4169	14.0221	6.7156	9.6267	10.438	3.9334	7.6444	4.3719	13.821	7.8255	8.2274	7.9265	5.5216	1.1189	0	6.0727	7.1558	11.4136	7.8003	0.67796	8.022	3.0564	5.2924	0
RS_G228__IL32__IL32	5.6181	1.7467	0	4.5202	3.1875	3.1313	4.4773	3.7172	1.0388	1.9051	9.5237	4.2661	7.5667	3.3088	4.516	9.905	3.9209	4.1936	5.3523	3.0265	1.7987	6.2951	1.4724	0	0	3.5915	10.3044	4.842	0	3.2789	2.4651	3.6558	0.78332
SNP__LOC440300	-0.003	-0.195	-0.185	-0.095	0.12	-0.192	-0.11	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	0.068	-0.028	-0.025	-0.318	-0.054	0.275	0.093	0.064	-0.64	-0.238	-2.399	0.202	0.016	-0.224	0	-2.542	0.085	-0.388
SNP__LOC388152	-0.003	-0.195	-0.185	-0.095	0.12	-0.192	-0.11	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	0.068	-0.028	-0.025	-0.318	-0.054	0.275	0.093	0.064	-0.64	-0.238	-2.399	0.202	0.016	-0.224	0	-2.542	0.085	-0.388
SNP__LOC161527	-0.003	-0.195	-0.185	-0.095	0.12	-0.192	-0.11	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	0.068	-0.028	-0.025	-0.318	-0.054	0.275	0.093	0.064	-0.64	-0.238	-2.399	0.202	0.016	-0.224	0	-2.542	0.085	-0.388
RS_G2763__MSLN__MSLN	1.9172	1.1072	0.26865	1.2587	0	0.65029	3.3609	0.69047	0.922	0.46614	3.6581	8.9361	4.948	1.1454	0	3.8141	0	4.6543	1.4248	1.3942	0.55045	1.9546	0.64745	0.59172	1.0695	1.0139	12.2802	2.7117	1.1483	1.5429	1.1955	1.4456	0.34563
RS_G7112__STATIP1__STATIP1	7.3404	5.7894	7.9124	8.0689	7.1623	7.1651	7.2975	8.1415	6.5724	6.4872	6.779	6.3207	5.2695	6.5046	6.8907	6.956	9.3609	7.3751	6.6918	7.1384	10.5164	6.8239	6.2761	6.284	6.2343	6.1861	6.8933	6.3592	6.3899	7.162	6.6163	8.2923	11.5181
RS_G15926__RGMA__RGMA	6.6212	0.66506	2.3204	1.4114	3.8693	0	2.3197	7.0042	0.32865	1.3678	8.8727	1.2891	5.0712	0.52872	0	3.1229	0.60114	5.4599	0.17933	3.2546	0.92041	0	1.6905	0	0	3.5632	3.6555	1.3777	0.33244	4.1545	1.8524	1.9628	1.7706
RS_G11400__ADAMTS9__ADAMTS9	0.2465	0	1.37	0.39237	0	0	4.9386	0.89744	0.15387	0.10069	4.6682	0.17282	4.183	1.6897	0	2.1726	0.46728	0.55645	0.5346	2.1523	3.539	0.57193	0.16876	0	0	1.1799	3.8561	2.6306	0.299	0	0.098299	0	0
SNP__RPS10P2	0.013	0.304	0.122	0.437	-0.355	0.09	0.165	-0.04	-0.052	-0.073	0.435	-0.752	-0.026	-0.084	0.05	-0.007	0.422	-0.08	0.305	0.168	0.109	0.143	-1.165	0.157	-0.255	-0.374	0.868	0.024	-0.133	-0.292	-0.31	-0.202	-0.375
RS_G2940__PDGFRL__PDGFRL	2.6739	4.1099	2.9019	3.515	0	4.2179	3.9699	7.0584	1.7974	3.4083	3.6951	1.7797	1.169	2.143	3.6444	4.6062	1.2527	2.0745	4.794	4.7959	5.5508	3.2887	1.1575	0	0	1.1272	1.7769	0	1.0353	0	4.3258	4.5822	3.1866
RS_G4157__PDE10A__PDE10A	0.24391	1.0968	0.56945	1.6686	0	1.8322	1.7856	3.8587	0	0	3.5858	0.49179	0.10121	0.86591	0	0.36315	4.6507	3.6118	4.0025	0.18602	0.92933	4.6996	0.24783	0.22552	0.35049	0	2.3777	0	0	0	3.1557	2.3037	1.2322
RS_G802__LAMC2__LAMC2	7.8004	1.3479	2.8528	5.2033	1.2503	0	9.9091	3.9319	2.2628	1.8877	2.4189	10.3037	10.1862	2.1806	2.5928	9.101	4.8812	8.625	4.9635	4.5273	2.5351	6.7557	4.1532	3.7465	0	1.5224	8.3867	11.0569	0.69749	5.7706	5.35	3.5768	2.2536
SNP__RHD	-2.45	-0.136	-0.234	-0.44	0.218	-0.163	-0.081	0.122	-0.12	0.025	-0.354	-0.116	-1.366	-0.931	-2.184	-2.619	0.132	-2.179	0.23	-0.407	0.288	-1.752	0.344	0.387	0.262	0.226	0.206	0.245	0.482	-0.299	0.165	-2.045	-1.621
