Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	1	-1	-1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	-1	1	-1	-1
RS_G18066__GSPT2__GSPT2	6.2175	0	0	0	0	0.20684	4.3112	1.7446	0	0	0	0	0.16352	0	0	2.1342	4.5726	0	3.0978	0	0	0	0.40592	0	0	0	0.20974	0	2.4223	0	1.1025	5.3381	4.9864	5.5342
RS_G8362__PNMT__PNMT	0.44623	4.8999	7.3726	5.2727	0	1.4466	0.33162	0.4332	11.4553	1.7285	1.4818	0.57924	0	3.0748	8.8248	0	2.0961	0.97013	0.42865	1.4931	0.68934	0	6.2953	2.8879	4.8305	0	1.6774	5.8587	2.6683	0	2.3264	10.3755	2.1811	0
RS_G8360__GRB7__GRB7	8.0056	12.1647	10.381	7.194	0.81984	5.4189	6.1071	2.0939	11.6616	5.7069	12.2019	5.2958	5.5994	12.9359	10.3673	7.5671	0.68484	7.2676	0.69935	6.6271	5.5221	4.3394	9.092	9.3835	11.2459	0	5.772	14.3583	7.3719	7.0799	6.8735	11.3881	7.0867	7.2831
RS_G4095__RBM24__RBM24	0	0.18099	2.7361	6.8059	5.2114	5.5365	3.1305	0.67503	2.4326	6.8352	1.4929	1.5526	2.9359	0.57117	0.20004	4.7801	6.5447	0.48409	3.744	3.949	2.8777	7.44	4.9553	0	0	4.2684	0.54062	0	0.30704	0	5.4843	2.1862	3.1769	2.4745
RS_G18941__ELOVL2__ELOVL2	0.97832	0	3.1252	7.4774	5.5966	8.5441	1.7512	1.7666	0.070198	6.2925	0.42152	0.29691	1.3447	0	0.35705	2.9121	4.5434	0.059748	1.7002	1.7841	4.9042	0.3406	4.9088	0	1.7719	0	0.46971	1.6876	0.37686	2.9014	4.5296	1.4157	3.6414	3.3965
RS_G16049__EPGN__EPGN	0.62908	1.2748	0.81396	1.382	0	0	2.3756	0	0.79607	0.96975	0.49786	3.9373	1.4815	5.3723	1.695	2.3909	0	3.8394	0	0	0	0	1.4689	0	1.4898	0.88324	4.5126	5.4435	2.7586	6.7991	2.2266	0	0	0
RS_G6542__C1QL1__C1QL1	3.763	4.6965	0.75664	6.0783	6.7676	3.3057	7.5882	5.6589	1.999	4.6891	4.5608	2.6627	4.9491	2.2673	0	5.8265	4.975	2.0219	4.1685	5.4241	5.4863	3.1588	3.6742	0.55244	4.3193	4.3657	9.8207	1.907	4.538	3.6612	6.0295	4.0256	6.7244	5.8191
RS_G12798__FAM178B__FAM178B	0.98678	6.1251	3.3804	4.5129	0	1.8948	1.2255	1.5866	3.0813	7.686	5.4392	4.6694	0.87177	0.22072	1.9869	2.1263	0	4.9947	1.438	3.2679	3.3825	0	4.1486	0	4.8261	1.399	3.5345	6.4377	0.3566	2.3155	0	5.4827	4.0431	0.92306
RS_G11751__DLC1__DLC1	0.52174	1.3191	0.98144	2.5792	0.43438	3.7499	4.3824	3.6961	0	5.6513	3.3982	3.7535	2.7178	0.031946	0	2.4551	5.2094	0.060786	8.0268	4.6003	3.4051	7.5742	0.45432	0.22823	2.4852	0.53131	2.3611	0	4.4893	0	1.6785	1.2521	3.4241	3.5875
