Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
Response	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	1	1	1	1	1
RS_G9324__ST8SIA6__ST8SIA6	3.8932	0	4.7236	4.8714	2.1798	3.4005	2.6211	0.20409	4.2456	4.6402	4.6694	0	1.0323	0	0	0.86801	0	4.2708	0.3832	3.6887	4.65	0	2.0304	3.3897	0	0	1.0637	2.499	0.50878	4.465	3.4748	0.25324	0.47484
RS_G4692__PLA2G4A__PLA2G4A	0.3939	1.7648	1.0591	0	3.7798	0	0.15113	3.5427	0.35835	0	0	6.9035	2.8598	3.4805	2.0013	3.8272	4.5847	7.7553	0.37811	0	0	3.9355	0.16825	0	2.5685	1.1468	4.8091	2.435	3.2342	0.52016	3.5699	2.7344	3.4777
RS_G11896__SLITRK5__SLITRK5	4.4036	3.1192	0.25167	0.55999	7.5383	0.33996	2.6478	1.5099	3.2337	0.23193	0.20843	2.0435	1.4606	1.2422	5.1145	4.0805	3.7712	0.38943	3.1632	0	0.89617	3.81	0.33673	0.21086	3.1578	2.9616	3.3742	0.06974	0.56419	0.60653	3.5177	4.3354	5.212
RS_G5427__SRGN__SRGN	0	0.86436	0	0	1.889	0	0	5.5557	0	0	0.63384	1.3082	1.2829	0.89407	0.3789	3.0125	6.0192	0	9.3304	0.3731	0	9.9268	0	0	0	2.0368	0	0	0.57078	3.6571	3.931	0.7318	0
RS_G12795__NPNT__NPNT	7.6213	2.5915	4.7165	6.7604	0	9.7292	6.8894	0.69471	5.5643	11.2166	9.5247	2.0807	6.5407	4.0569	8.8576	6.2473	0.95379	7.1449	0.13153	7.0112	6.9973	0.55913	6.476	7.469	2.3733	0.20857	2.0193	2.2592	2.6366	2.0589	3.9583	7.4204	3.5592
RS_G10165__DEPDC6__DEPDC6	5.8259	6.1946	7.7825	6.0532	2.4574	5.8304	3.868	5.2335	6.7933	6.4623	4.9882	0.51319	3.5353	4.7511	5.9438	3.252	2.4528	5.9295	7.3951	4.8614	6.0803	1.9036	6.7617	6.0819	5.9379	4.7027	3.6608	8.5343	2.335	3.9324	5.5378	6.0442	4.9031
RS_G12470__CORO6__CORO6	1.3736	5.0261	0.59829	1.6239	4.7642	1.2424	0.53723	2.196	0.58695	1.6114	3.6444	2.0788	3.9669	3.775	2.8041	4.9726	3.2655	1.2535	2.6312	0.73365	0.41837	3.9416	2.9862	3.0768	4.5564	1.1636	4.1819	1.6303	5.1099	4.2711	2.3894	2.0977	1.1167
RS_G13924__C11orf86__C11orf86	1.453	9.9466	0	0.50858	1.1966	0	0	0	0	0	3.5889	0	0	1.786	2.1623	4.2136	0	0	0	0	0	1.6118	0	0	4.8992	0.88539	7.3083	0	3.5987	5.714	0	0	0
RS_G10476__CLSTN2__CLSTN2	5.8455	0.55251	6.1216	6.7817	1.1877	8.6981	5.6714	2.6739	4.8612	6.8926	0	0	2.5088	1.3812	0	5.16	5.5442	0	2.1758	1.5753	6.5852	0	4.6367	6.445	0.59842	0.72	0.84752	2.8968	0	1.6132	4.7589	4.8856	0.39654
