Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB231	MDAMB361	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1
RS_G628__MAGEC2__MAGEC2	0	5.4645	0	0	0.46229	0	0	0.52433	0	0	0	8.2608	0.38012	0	0	3.0872	0	5.0759	5.5432	0	0	0	3.3543	0	0.47823	0	0.27723	4.9092	0.17544	5.6209	0
RS_G9324__ST8SIA6__ST8SIA6	3.8932	0	4.7236	4.8714	2.1798	3.4005	2.6211	0.20409	4.2456	4.6402	4.6694	0	1.0323	0	0	0.86801	0	4.2708	0.3832	4.65	0	2.0304	0	0	1.0637	0.50878	4.465	3.4748	3.3897	0.25324	0.47484
RS_G3505__UNC5B__UNC5B	1.569	4.6928	2.858	2.9021	1.2545	2.3139	2.4338	4.1346	1.5493	1.6312	3.6245	5.6769	5.2498	2.9491	2.4618	5.1625	2.3407	2.4117	4.4737	2.8653	0.54177	6.0143	6.1432	7.6038	5.3655	6.9528	3.0871	3.181	5.8601	5.5405	5.4248
RS_G1552__TCF7__TCF7	0.61235	1.4587	0.64978	2.1217	4.4365	2.2157	4.4352	6.929	1.4072	1.8359	1.2298	4.6583	4.6643	2.1895	2.2238	5.6227	5.6906	6.4672	6.8571	1.3186	3.0334	2.127	1.9959	10.0385	4.341	4.6908	0.4835	3.2071	2.4257	3.3383	1.8283
RS_G13241__LONRF2__LONRF2	3.7903	0.13384	4.3477	6.6943	2.2956	4.2931	1.4733	0.35575	5.1387	7.8064	0.33337	0.31323	0.59924	0.20636	0.11329	0.35946	0.8376	0.035217	0.26581	5.2239	0.66303	4.3186	0.30533	1.1188	0.15278	0.089869	4.0044	3.3933	4.6452	3.8043	3.1669
RS_G3514__ACTA2__ACTA2	1.4899	0.17287	2.2023	3.075	12.7191	6.5566	1.9507	8.7055	0.81938	1.9902	4.283	3.2771	4.8169	3.5235	3.9435	12.9136	9.2125	4.7159	8.2158	4.6158	3.4109	1.6547	0	8.7349	3.9007	4.9748	4.4277	7.0622	4.8706	4.7747	5.8747
RS_G12470__CORO6__CORO6	1.3736	5.0261	0.59829	1.6239	4.7642	1.2424	0.53723	2.196	0.58695	1.6114	3.6444	2.0788	3.9669	3.775	2.8041	4.9726	3.2655	1.2535	2.6312	0.41837	3.9416	2.9862	4.5564	1.1636	4.1819	5.1099	4.2711	2.3894	5.3274	2.0977	1.1167
RS_G4692__PLA2G4A__PLA2G4A	0.3939	1.7648	1.0591	0	3.7798	0	0.15113	3.5427	0.35835	0	0	6.9035	2.8598	3.4805	2.0013	3.8272	4.5847	7.7553	0.37811	0	3.9355	0.16825	2.5685	1.1468	4.8091	3.2342	0.52016	3.5699	0	2.7344	3.4777
RS_G2294__HMOX1__HMOX1	5.2324	7.003	4.0314	6.9044	8.3669	7.1545	6.8174	8.6229	4.7288	5.8914	7.281	6.3735	5.5572	5.7747	6.1383	8.4909	6.3885	7.3288	7.8988	5.1931	6.3582	7.0571	7.157	13.0503	7.1352	7.2448	6.2813	5.8474	6.0204	9.0714	8.756
RS_G18751__COL4A6__COL4A6	0.67594	0.13292	0.082024	0	2.7738	0.18736	0.39431	0.12632	0.04069	0.15342	0.06856	5.2708	4.3231	2.4073	0.27736	0.8942	3.3987	0.59125	2.8252	0.87533	0.68802	3.537	0.099219	0.63428	4.2757	5.7836	3.0149	3.9285	0.34172	0.38657	0.43794
RS_G18145__ACADSB__ACADSB	5.7144	2.0174	6.2904	6.2849	3.5409	4.8607	3.4732	4.5269	6.9104	4.8351	4.3707	5.0549	4.8191	4.277	3.744	4.398	4.0563	3.7095	2.9234	5.8543	5.1703	4.2944	3.4325	1.8983	3.7738	0.85369	10.8001	5.2469	5.1251	5.6484	4.0839
RS_G26921__DIO2__DIO2	0	5.413	1.0247	0.66823	1.9321	0.30803	0.91034	2.4857	0.46269	0.21916	0	0.95514	3.3564	5.9604	1.52	3.0532	5.3403	2.3952	1.5161	1.3381	0.90948	0.96921	5.1246	0.28482	5.3911	0.80293	2.4289	0	0.34973	0.32589	1.8325
RS_G663__RSF1__RSF1	8.1363	5.4289	6.1763	6.8727	6.4504	6.052	6.5173	6.1058	5.822	6.5063	6.8923	7.1095	6.3098	6.3111	6.1479	6.0201	6.6896	6.0028	5.5633	7.0255	6.2483	6.0367	5.0067	5.3046	6.2564	5.2559	8.0708	5.3748	5.8319	5.3245	5.4744
RS_G10280__RAB11FIP1__RAB11FIP1	7.6887	6.2778	7.0128	12.2859	4.5822	8.1106	7.2796	4.0893	8.438	8.7856	8.1977	5.5418	6.2577	5.6096	7.1473	5.7509	6.7727	5.928	3.3836	6.386	5.9329	7.033	6.155	2.8408	4.7669	4.8767	7.8875	7.9949	6.493	9.2453	8.7531
RS_G432__GRAMD1B__GRAMD1B	0.28829	2.1581	0.75376	1.1705	0	0	0	2.6513	0	1.6006	0	3.9056	1.8936	2.5773	0	1.7797	2.2565	1.6947	3.2005	0.57275	0	3.6724	1.9518	0	3.5469	0.14873	3.8339	1.0294	1.0115	1.8371	0.59182
RS_G4856__MUC5B__MUC5B	5.381	6.3991	4.9033	7.2056	0	5.3345	6.1164	0.65399	1.8113	5.2883	6.5749	0.35429	2.0415	0.42452	4.7976	0.20737	0.10243	0.47117	1.1133	4.5554	3.5201	7.1076	0.22595	0.60314	1.5779	1.351	0.050499	0.13512	9.1755	4.8458	6.9805
RS_G7691__FXYD6__FXYD6	5.7685	2.1274	2.1789	3.8716	0	0.3027	5.739	1.3528	0.57647	6.4826	6.0859	0.24504	4.7351	0.27962	0.541	4.212	1.002	0.38471	0.17696	3.1482	0	2.9596	0	1.1793	0.55351	0	0	5.0247	3.1366	2.8838	1.5806
RS_G1762__MMP2__MMP2	0.4728	0.51784	0.16333	0.14627	1.1858	0.21659	6.7222	10.4729	0.2313	0.53378	1.1497	4.3334	3.1849	4.7367	0.71871	0.74091	5.5154	4.458	10.0294	0	0	0.47804	0.71178	8.0913	6.8538	5.4073	1.6774	0	3.3427	0.5521	0
RS_G13778__EFEMP2__EFEMP2	3.0368	3.7343	0.81802	2.088	8.8475	3.118	2.2097	3.9482	1.5864	2.5361	6.5803	2.2688	2.9904	1.7266	1.3615	2.9066	5.1189	3.1477	9.4284	2.0559	0.87765	2.6978	3.4775	8.8083	6.8745	2.7641	2.1223	3.9946	1.3992	5.2468	2.7263
RS_G2983__SNX16__SNX16	4.0779	1.6934	4.2149	4.1823	4.5164	4.3061	3.3166	3.6461	8.2469	3.5318	5.1328	2.4131	1.3807	3.4426	3.6058	5.2872	5.6931	4.6284	4.0156	4.3623	4.6342	2.7031	2.1	2.7695	2.2722	2.6571	2.908	3.3002	2.7071	4.4856	2.4767
RS_G18160__AC110754.4__AC110754.4	3.9514	0.83267	6.4627	8.8805	0.22701	6.9764	1.6741	1.5048	2.9835	9.6862	2.0801	1.2005	1.0817	1.1314	1.2745	1.6006	1.8395	0.67116	1.6999	7.6365	1.7317	8.7503	0.52524	1.0029	1.9295	2.3357	2.9101	7.4037	8.649	8.6863	4.9591
RS_G3919__LIN7A__LIN7A	3.7677	0.35537	7.4724	5.0956	3.1116	2.128	0	0	3.2538	8.0213	0	1.175	0	0	1.5019	0	2.764	0	0.77667	7.3978	2.4763	5.1648	0	2.3303	0	0.58074	0	0	5.0376	5.7957	0.54285
RS_G5810__CD70__CD70	2.1298	0	0	0	9.7205	0	0	1.7744	0	0	2.6289	1.0273	7.8922	0	0	6.1861	6.9112	1.3388	6.277	0	0	0	0	9.1854	7.1955	5.7209	1.9353	4.0443	2.049	2.2205	0
SNP__FLJ20433	0.003	-0.163	0.153	0.184	0.228	0.458	0.184	0.104	1.253	0.274	0.007	-0.09	0.062	-2.744	-0.017	-2.514	0.146	-0.01	-0.088	0.095	0.089	1.099	0.047	-0.158	-0.198	0.091	-0.054	0.292	-0.296	-0.066	0.024
SNP__RPS10P2	0.013	0.304	0.122	0.437	-0.355	0.09	0.165	-0.04	-0.052	-0.073	0.435	-0.752	-0.026	-0.084	0.05	-0.007	0.422	-0.08	0.305	0.109	0.143	-1.165	-0.255	-0.374	0.868	0.024	-0.133	-0.292	-0.31	-0.202	-0.375
RS_G5729__MT1G__MT1G	0	2.6191	0	0	0	0	4.9557	0.62973	0	0.7331	0	5.6489	1.6687	1.2197	1.541	6.9593	2.3812	5.6695	0	0	0	0.53834	4.4929	3.7126	2.7817	2.0164	1.8496	0	3.1253	0	0
RS_G1436__FAP__FAP	0	0	0	0.18706	0.18332	0.19117	0.94484	3.9543	0	0	0	0.83298	0.5157	4.0178	0	5.4188	3.9292	0.45519	5.6902	0	0	0	0	3.5532	5.4313	4.7177	0.20414	0	0	0	0
