Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	1	-1	1	1	1	1	-1	-1	-1	-1
RS_G18941__ELOVL2__ELOVL2	0.97832	0	3.1252	7.4774	5.5966	8.5441	1.7512	1.7666	0.070198	6.2925	0.42152	0.29691	1.3447	0	0.35705	2.9121	4.5434	0.059748	1.7002	1.7841	4.9042	0.3406	4.9088	0	1.7719	0	0.46971	0.37686	2.9014	4.5296	1.4157	3.6414	3.3965
RS_G4160__SMOC2__SMOC2	2.5762	4.2469	4.5958	4.7433	0	3.3104	3.7889	1.0467	0.70265	8.2683	0	0	0.79236	0	0	0	0.15482	0	0.1795	2.3254	3.5263	0	2.8666	0	0.20552	0	0.16283	0.45366	0	1.5942	7.9173	6.6553	5.9139
RS_G2495__BMP7__BMP7	0.16836	6.9255	10.0501	6.3611	0	2.0604	5.351	3.0984	8.6894	4.3807	4.587	3.1715	7.535	3.4675	0	6.6048	4.2437	0	0.6962	11.1485	8.2041	0.37066	5.0916	0	7.9847	3.247	0.39782	1.2355	4.2213	2.7631	7.1515	5.1115	4.2664
RS_G807__CAMK2B__CAMK2B	2.055	1.083	4.9995	6.7296	0.2691	2.5981	1.3003	0.35965	1.7145	6.897	0.053428	0.80048	2.9125	1.3969	0.80405	1.2759	0.92393	0.20156	0.69563	4.7918	4.0117	0.35082	3.2641	0.38027	1.0315	0.54473	1.0781	0.79091	0.12731	2.5763	6.9971	4.9143	4.8944
RS_G5313__TMEM156__TMEM156	6.3667	0.68625	0.25002	1.0743	0.22017	0.68688	2.7164	0.97297	2.409	0.55338	0.20704	4.3234	2.8657	5.3247	1.1203	0.23463	1.0467	4.5866	5.865	0.59194	0.50402	7.439	0.65543	0.54852	0	0.21308	1.9252	2.0397	5.2275	0.75174	0.60236	0.16554	0.45639
RS_G3163__ATP1A3__ATP1A3	4.3274	10.0114	1.9462	7.3666	4.4612	5.383	4.7758	2.7679	2.0801	5.4381	6.8753	4.7827	5.96	4.1124	0.802	4.0167	5.5134	0.82382	2.2676	5.8081	4.8029	5.3107	3.0664	0.25964	7.4159	5.8738	1.5203	3.7056	5.114	5.5049	7.4703	6.2309	6.8914
RS_G6428__OLFM1__OLFM1	6.1853	1.2059	5.2618	8.8231	5.7987	8.0377	3.4766	6.4622	0.27506	8.5601	4.7135	0.70135	0.61996	5.9175	0.25648	5.9528	6.0875	0.12153	0.68657	7.6818	6.9156	0	6.3923	0.44053	0	0.92765	1.374	0.62473	2.8874	8.5529	8.6067	8.172	7.3426
RS_G1589__PGR__PGR	0	0	5.8141	4.6073	0	5.1131	0	0	0	6.0643	0	0	0	0	0	0	0.29135	0	0	5.3098	2.2482	0	4.3203	0.097528	0	0	0	0	0.84492	7.8522	6.9785	6.2611	0.35204
RS_G6333__CBFA2T3__CBFA2T3	1.8336	0	5.3611	7.1927	0	5.2837	1.1064	0	0.54497	5.7199	0	0.42865	0.090715	0	0	0.23609	0.50007	0	0	9.1725	6.5271	0	6.2349	0	0	0	0.1218	2.368	0	7.6543	6.4261	6.7696	6.3594
RS_G2659__SYP__SYP	3.41	2.907	4.3066	4.8543	4.6996	2.4778	3.804	2.9368	6.3522	5.1021	3.8879	1.251	3.4948	2.1223	3.2776	2.2882	1.6438	1.1754	1.3775	2.8633	3.5283	2.0866	3.5634	2.0984	3.6742	3.4633	2.7889	2.2011	2.4082	4.2616	8.0014	5.6485	5.9906
RS_G7691__FXYD6__FXYD6	5.7685	2.1274	2.1789	3.8716	0	0.3027	5.739	1.3528	0.57647	6.4826	6.0859	0.24504	4.7351	0.27962	0.541	4.212	1.002	0.38471	0.17696	4.1257	3.1482	0	2.9596	0	0	1.1793	0.55351	0	0	5.0247	3.1366	2.8838	1.5806
RS_G1662__NKAIN1__NKAIN1	1.1586	0.54586	2.3681	8.0666	4.2997	3.5173	0.79025	1.5941	2.0593	7.749	3.2802	0.56507	2.5763	1.1224	4.6444	0.7549	2.3913	0.48464	0	3.4869	5.489	0.097394	4.325	0	0.66174	2.6062	0.6813	0.76946	1.5224	4.3015	6.468	8.3639	2.5456
RS_G7989__DUSP6__DUSP6	8.8722	4.0294	7.901	5.3174	4.5415	2.485	2.9877	4.2907	6.9751	2.6098	2.9926	7.9465	5.446	7.6316	5.4248	5.0696	3.6727	3.2063	5.8845	3.6147	2.6403	9.3471	8.318	7.6548	3.7186	5.1116	4.5967	8.0483	12.5025	3.7899	5.6693	2.4317	1.0603
RS_G14379__SCUBE2__SCUBE2	3.7581	0.4963	3.3351	10.5351	1.9673	0.99746	0	0.85629	3.3606	10.4571	0.40431	0.41231	0.91397	0.51741	0.26615	0.27683	1.1985	0.064969	0.99204	3.0784	6.7906	0.068117	5.2172	0	0.5589	0.25173	0.14379	0.21735	0.15444	8.5777	7.7732	6.1636	2.3288
