Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	1	1	1
RS_G10216__C8orf38__C8orf38	5.1491	2.3135	7.2087	6.021	6.0859	6.1608	5.772	5.2176	9.8137	6.1035	5.9847	4.9133	6.629	6.0311	6.1521	5.9104	5.835	6.3356	6.2182	4.299	6.6008	5.874	4.967	4.503	4.5255	4.0145	4.2857	4.629	4.5804	5.8105	5.2216	4.6899	5.1276
RS_G6312__CDKN1C__CDKN1C	1.5663	3.4209	1.4135	4.1129	2.0193	1.5752	3.2115	1.6214	0.43044	1.3211	3.7532	1.1465	0.74775	1.2033	1.8338	1.872	1.8139	0.74747	2.187	2.5887	0.62031	3.0532	2.5782	2.8636	0	3.0329	4.9828	5.6167	2.6888	0.80526	2.5041	3.0998	4.1276
RS_G16187__BEGAIN__BEGAIN	1.5527	3.6808	0.77715	4.4646	4.2433	1.7438	3.3344	1.032	0	3.3095	3.7931	1.2583	2.6657	1.2259	0.77226	4.2185	1.838	0.71485	2.033	4.4953	2.4041	0.49161	1.4905	1.4344	1.7416	5.0066	7.3112	2.3465	2.027	1.75	3.1416	2.1009	3.6259
RS_G5781__OPRL1__OPRL1	4.534	1.6695	0.95283	4.2781	1.5212	1.6941	1.5183	0.62697	2.1401	1.4334	3.2103	0.3316	0.80273	0	0.79524	2.1467	2.3743	2.1919	1.2947	4.4101	3.2073	0.48697	1.694	1.73	1.6668	6.922	3.9209	1.6348	1.7889	1.0742	2.0271	3.8285	3.6366
RS_G761__KCNH2__KCNH2	4.3974	7.7662	1.4548	5.3576	0.71042	1.2467	1.9196	0.35086	0.38368	3.1721	6.314	1.4979	1.0985	0.37606	0.31183	0.77169	0.11002	0	0.87414	5.3995	4.2125	0.65077	3.5139	0.86035	3.6229	0.98382	0.73108	3.7015	4.5043	0.55219	5.3417	4.1343	3.3441
SNP__CFHL4	0.651	0.5	0.706	0.482	0.492	0.442	2.355	-2.181	0.09	-0.838	0.434	0.253	0.026	0.136	-1.672	0.221	2.628	-2.421	-0.061	0.408	0.351	0.099	2.833	0.745	0.263	-0.264	-1.268	0.243	0.291	0.282	1.222	0.569	-2.009
RS_G11441__TM4SF18__TM4SF18	0.063627	0.33303	5.7812	5.1303	2.4429	4.9049	7.7835	1.6684	4.4129	6.1745	0.21054	0	6.7182	3.4103	6.1319	3.3713	5.3957	3.9681	0.17964	1.3098	2.3027	8.1172	2.2255	2.2631	0	1.5581	0	0.24403	0.76783	2.6463	0.97751	1.224	0.11762
SNP__LOC220594	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.11	-0.212	0.549	-0.217	-1.546	-0.193	-0.318	-0.144	0.247	0.42133	-0.431	-0.364
SNP__FAM106A	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.11	-0.212	0.549	-0.217	-1.546	-0.193	-0.318	-0.144	0.247	0.357	-0.431	-0.364
SNP__LOC252840	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.11	-0.212	0.549	-0.217	-1.546	-0.193	-0.318	-0.144	0.247	0.357	-0.431	-0.364
SNP__LOC252968	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.11	-0.212	0.549	-0.217	-1.546	-0.193	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LOC654346	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.11	-0.212	0.549	-0.217	-1.546	-0.193	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LOC147158	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.11	-0.212	0.549	-0.217	-1.546	-0.193	-0.318	-0.144	0.247	0.834	-0.431	-0.364
RS_G5137__PCDHB8__PCDHB8	4.1245	0	0.40791	0.19959	1.1122	0.29489	0	4.7627	1.7502	1.5596	0.8932	0	4.7931	0.92476	2.3469	0.75205	1.2825	3.5918	3.0537	5.0151	3.7676	0.57331	2.9026	0.48847	0	4.5919	0	0.94975	0.21773	6.7331	0.99402	0.27829	1.5526
SNP__LOC201288	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.11	-0.212	0.549	-0.217	-1.546	-0.193	-0.318	-0.144	0.247	0.834	-0.431	-0.364
RS_G422__CPS1__CPS1	1.3428	9.0993	1.0211	1.1599	4.925	0.83486	4.9075	0.81184	0.4792	0.87761	4.1395	0.21482	0.82946	0.61374	1.8133	2.6059	6.8249	0.78187	4.417	2.0133	1.2217	3.3367	3.4999	5.4563	7.6831	4.0476	4.5245	0.9641	0.19793	0.38459	1.6239	1.5688	2.0586
RS_G16506__KCNJ12__KCNJ12	5.0094	4.985	0	0.32763	0.36341	0	0.24471	0.27287	1.565	0.20359	0.092253	3.5222	2.7475	0.34782	0	2.5407	1.931	0.046719	1.0266	1.4723	0	0	3.3482	0	1.5272	2.0692	2.4894	2.1048	7.9899	0	2.8029	0	0.27664
SNP__NAALADL2	0.008	-3.295	0.18	-0.944	-1.94	0.062	0.02	0.113	0.076	0.496	0.212	0.196	0.59	0.063	0.315	0.453	0.269	0.409	0.28	0.688	0.56	-0.058	-0.006	0.315	-0.573	0.167	-0.153	-0.704	0.469	0.722	0.061	-0.034	0.008
RS_G4541__WNT6__WNT6	3.0042	3.7368	0.32073	0.73284	0	4.6301	5.7575	0.46473	0	1.5932	5.9361	0.62937	3.7627	0.70526	1.2218	6.7506	0.62494	3.7408	0	5.9402	0	0	1.7939	0	4.0941	0.50468	7.5806	3.3084	0.80164	0	3.4452	1.2905	0
RS_G12844__ENHO__ENHO	2.9089	5.5123	0	3.6537	3.6418	5.0534	0.67716	1.9285	2.9711	3.5391	5.7918	0.65661	2.1981	1.4936	1.0345	4.7065	3.0499	1.6959	5.1131	4.4751	2.2441	0	4.6541	3.5098	6.3113	4.2099	5.1553	0.6459	3.5066	2.3488	2.7699	2.3467	1.2003
