Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
Response	1	1	-1	-1	-1	1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	1	-1
RS_G12120__LARP6__LARP6	4.2188	1.299	3.6514	2.9647	6.568	0.41765	5.2848	8.1059	3.3645	1.9411	9.7435	4.7567	5.4148	3.8387	1.199	5.773	5.0126	6.7561	5.8904	3.7507	2.9315	6.7601	4.6908	0.67497	0	8.9712	6.2283	6.3424	5.1701	5.3971	3.8833	3.6215	3.6772
RS_G12138__AP000926.6__AP000926.6	0.93522	1.4863	0.84409	1.9858	6.1205	0.2896	0.16521	7.2957	0	1.6327	2.942	5.6383	6.523	0.85542	0	1.2249	6.2727	2.4321	7.6418	0.58207	0.72117	2.4918	1.2955	0.72971	0	6.6793	5.9479	2.5442	4.3758	0	1.5434	3.3381	0.95756
RS_G11315__FSTL1__FSTL1	6.1696	3.6176	6.5735	5.6716	12.563	0.96659	3.0155	9.048	1.7602	5.437	5.1741	7.2908	9.4235	7.6366	0.59939	10.3975	9.8128	7.9845	10.7719	0.77713	0.82926	8.5847	1.4346	1.2163	3.6582	5.9561	8.1278	5.414	5.686	1.736	7.4048	0.67477	0.38166
RS_G14548__GPX2__GPX2	4.8242	8.3252	3.7534	2.8777	0	1.6118	6.1796	1.3359	4.7997	3.4838	0	10.0663	6.0728	10.4041	2.2858	5.6684	0.98442	0.92393	2.4784	5.9235	3.1149	0	10.1258	1.5012	7.4542	0.69745	2.1315	5.2688	8.4757	3.3507	2.9068	4.7251	4.0923
RS_G9807__GJA1__GJA1	0.13345	0	0	1.5965	9.6756	1.0466	0	7.367	1.0679	6.27	0.28768	7.3863	0.24719	0.15634	0.31066	1.3307	8.0511	1.5159	7.4051	0	0.44917	6.7865	0.041003	0.28226	0.21191	8.8231	0.16798	0.18699	3.3086	0.85553	3.5435	0	2.5186
RS_G14301__CHST2__CHST2	1.0835	0.13336	0.23835	2.7032	4.1777	0	3.102	3.8426	0.1568	0	2.6096	1.3665	1.1804	0.13922	0	1.2898	4.074	0	6.1227	0.14698	0	4.6798	0	0.26037	0	5.0333	4.8977	1.8192	2.0316	2.7945	0	0.62457	1.5682
RS_G17030__AL391099.12__AL391099.12	0.79472	0	0.34856	3.2495	7.0864	0.12082	0.50749	2.7995	0.34788	1.7984	0.38468	6.4598	0.47817	0.21289	0.22544	3.135	7.1336	0.29773	4.0806	0	0.59638	5.5472	0.11398	0.92648	0	5.2696	1.9796	0	2.6767	0	3.4413	0.16657	3.3942
RS_G3465__GLIS3__GLIS3	1.0417	0	0.7201	0.39469	5.7482	0.065496	2.5089	2.5399	0.25445	0.088391	2.7287	0.32897	0.90898	4.199	0.28977	1.6833	7.1394	4.1606	5.2637	0.31311	0	3.7762	0	0.11367	0	5.3004	1.2236	1.4032	3.5116	0.2903	0.073385	0.090949	1.0128
RS_G1696__AKR1B1__AKR1B1	1.6658	3.0827	2.2074	1.2461	8.3908	0	0.9276	12.6493	0.66845	7.6641	9.1769	9.7921	10.7386	3.4039	4.8033	10.1457	10.6783	12.3341	10.3571	3.372	0	10.1671	2.5479	1.3236	1.821	9.0595	11.5065	3.0981	11.4649	3.3056	0	4.7219	5.5162
RS_G16005__AC132938.1__AC132938.1	3.3968	7.0684	3.238	3.177	1.1178	3.9758	3.6169	3.755	2.6302	3.0794	0.23316	1.5437	0.9469	1.9486	2.0463	2.4857	1.3451	0	0.74679	4.6038	4.1822	0.95226	4.3185	3.5446	4.409	2.2798	1.0105	1.4261	1.6071	1.2745	4.283	9.0349	10.1017
RS_G15547__GAS1__GAS1	0	0	0.20138	0.62347	6.8017	0.35442	3.9425	6.4901	0	0	4.9514	0	3.5582	1.1793	0	5.7523	4.7642	3.202	3.9524	0	0.34607	0	1.0246	0.98655	0	4.0824	5.0688	0.10817	3.4259	0.80311	0.55514	0.66117	0
RS_G7673__TMPRSS4__TMPRSS4	2.699	7.5287	3.7492	3.3157	0	0	4.5026	0.31816	8.8153	1.9174	1.9884	4.8015	5.6948	7.7551	0.89178	4.0871	0	6.8365	0.168	5.3764	5.8953	0.26802	3.6486	0.47906	7.1336	0	0	5.449	4.4458	0.96487	0	5.4337	1.2718
RS_G603__CAPG__CAPG	3.7713	5.9911	3.4112	7.7789	8.6184	2.8678	8.2542	5.4622	4.0234	6.6446	7.9811	7.0527	9.8609	3.8659	4.4783	5.1309	8.2148	10.7234	9.696	7.8073	6.0209	9.9647	7.9837	8.4837	4.4083	13.2979	9.9313	9.0221	10.0039	2.4128	8.5828	6.1577	6.0891
RS_G4220__LOX__LOX	0	0.68991	0.90169	0.66555	10.7791	0.13865	4.9709	5.7714	0.79742	0.96733	5.2774	4.4823	2.895	0.54503	1.9725	5.5501	7.6689	5.766	10.1643	0.90667	0.75454	6.0679	0.45546	0.44199	0	11.6434	8.3827	2.7516	9.2551	0.4056	2.3981	1.3457	0
