Cell lines	21MT1	21NT	600MPE	AU565	BT474	BT549	CAMA1	EFM192A	EFM192B	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	1	1	1	-1	-1	1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	1	-1	1	1	1	-1	-1	1	1	1	1	1
RS_G7932__FBN2__FBN2	2.5004	2.2756	0.019862	0.045061	0.57831	1.946	1.6834	0.20532	1.0267	5.1368	4.5745	0.054308	0.22874	1.2318	3.0649	0.29171	1.1022	5.0247	7.6781	0.089204	5.8631	1.4969	0.18858	0.47837	0.45439	2.9296	1.8496	0	0.99648	1.3781	0.61224	3.0375	0	0.11434	0.25183	0.49504	0.20828
RS_G5897__C20orf114__C20orf114	2.0338	1.1576	7.2811	4.1593	6.4009	0	0.79278	8.2635	5.4224	0.42508	0.85199	5.3667	1.576	0.63302	0	6.651	7.7517	0	0.2615	6.3258	0.30149	1.4389	2.4042	2.3954	0	6.9239	0.24599	6.1223	0	0.87411	2.0639	0	3.1221	4.9933	9.8768	8.9966	6.0651
RS_G11561__PRSS12__PRSS12	5.4723	5.893	1.496	0.54609	0.25057	5.6392	0.8661	0.63318	1.9062	5.8391	2.788	0.085993	0.31015	10.2082	5.2016	4.7765	2.0344	9.7569	4.8767	1.5091	5.9064	2.5647	0.22633	0.48493	4.7183	0.48861	0.70177	0	4.227	6.4227	1.9942	5.4288	0.17025	0	0.1576	1.3084	2.2724
RS_G10056__ADAMTS1__ADAMTS1	4.6277	3.0914	0.40649	0.19684	2.7451	9.1222	3.9788	0	3.8181	5.5768	5.2846	2.2992	7.1431	5.8779	7.4379	3.0483	2.3121	6.6168	5.8881	3.6986	9.0055	8.732	0.10674	0.26857	3.8867	5.6499	6.545	0	2.307	6.9795	5.0715	2.4462	1.1737	1.1843	1.2481	4.9621	4.8179
RS_G7308__CAPN9__CAPN9	0.84906	0.3748	6.4438	3.1332	3.5347	0	1.0939	4.8311	3.1164	0.31269	0.32114	6.6264	0.27084	0.18039	0	0.54781	0.42803	0	0	0.48368	0.58627	0.069143	2.7745	2.9198	0	6.9213	2.4802	2.4484	0	0	3.2866	0	2.8086	4.4383	4.2802	5.3116	6.7046
RS_G12786__IL7R__IL7R	0.46749	0.80689	0	0.251	0	6.5911	0.28503	0	0.56165	6.1027	3.2925	0	0	0.65531	4.9125	6.2297	5.4595	4.9738	6.5351	0.25223	5.1619	0	0	0	5.4855	0.070492	0.82882	0	0	3.6661	0	2.0069	0	0	0	0	0
RS_G16170__PCP4__PCP4	0	0.75619	9.5795	2.6308	3.4364	0	4.7144	4.5185	4.8728	0	1.3531	1.0717	2.5298	0	0	1.3561	0	0.43605	0	1.1567	0	0	4.5612	5.15	0	1.8418	0	7.0218	2.0636	0	1.9718	0	6.293	6.6928	6.8814	1.5702	0
RS_G13976__AGR3__AGR3	0	0	0.96279	0	5.0594	0	0	0.82437	0.61725	0	0	7.9209	0	0	0	0.80972	1.3525	4.4427	0	7.9863	0	0	0.96382	4.7527	0	2.8728	0	0	0	0	2.4631	0	5.5046	5.7254	4.8488	7.679	0.75138
RS_G8562__RGS16__RGS16	3.312	3.2927	3.6383	7.9152	3.1434	0	2.3833	5.8619	6.4472	0.82754	4.8652	7.453	2.0693	4.5062	4.3101	2.672	4.8678	1.5237	0.53533	2.5687	0.83849	3.189	5.7894	7.078	2.0042	4.5416	3.1614	6.6121	8.0521	3.1614	5.7208	4.6667	4.6968	5.3382	4.7611	6.9381	6.5567
RS_G7983__GLIPR1__GLIPR1	4.4429	4.8534	0.55287	0.2859	0.94121	8.8142	0.67508	0	2.595	3.8198	6.0225	0.83764	0.62063	3.6456	5.4165	4.5642	4.8421	6.5035	8.1578	4.0803	7.825	5.5665	0.6577	0.57361	6.5993	0.1263	0	1.235	1.7892	3.8954	0.71376	4.6243	0.72126	1.595	0.29975	0.35881	0.094808
RS_G12975__IL8__IL8	7.4318	6.5168	2.4162	0	0.28144	5.0009	0.48587	0	0.52231	5.3182	3.6831	0.14355	0	4.1919	5.2983	3.3396	5.781	6.7404	4.9168	3.9488	7.2819	2.6425	0.81189	0.25768	6.1665	0.83746	0	0	0.44358	6.3091	3.7779	0.69434	0.7175	0	0	0	0
RS_G5919__SLURP1__SLURP1	0	0	1.6964	3.5263	0.83884	0	0.79327	0.46654	2.1964	0.67817	0	6.8835	1.3081	0	0	3.6621	0.41528	0	0	2.1742	0	0	4.2731	2.746	0	2.0254	0.72351	0	0	0.79023	4.85	0	2.5992	3.9811	3.3385	2.0289	1.0161
RS_G7049__FST__FST	5.6061	4.6626	0.37356	1.2178	0	8.0293	0.17319	0.33999	2.157	7.5365	0.99188	0	0.42735	1.6952	9.288	7.5214	6.4096	5.0857	2.5122	0.29056	8.3569	1.5829	3.785	0	8.5197	1.1726	0.93095	0	1.1072	1.0014	1.8478	6.3474	1.9509	0.36358	2.0237	0.77804	6.4408
RS_G5395__INHBA__INHBA	8.4788	7.4022	0	1.4027	0.57218	8.116	0.34649	0.24918	1.5713	7.4763	6.8731	0.24841	0.79254	1.0776	6.6774	5.5305	6.203	7.1808	4.9604	4.2951	9.2718	8.0321	0.8871	1.8265	3.1375	0.27195	1.5506	0	2.5634	8.5917	1.4331	4.6019	0	1.2706	1.4108	1.0054	0
RS_G920__BCAS1__BCAS1	0.68074	0.78719	6.6372	8.9475	11.0683	0.93032	5.61	9.2586	8.4533	1.127	1.64	10.7186	6.2652	0.25653	0.51932	2.3365	4.0923	1.1356	0.70967	1.8382	0.95512	1.1606	8.6848	6.957	0.83247	6.1234	2.181	9.4061	0.49246	0.40769	7.3227	1.9885	4.6113	6.1188	8.185	7.2271	7.9636
RS_G3361__SERPINE1__SERPINE1	9.4766	9.9103	3.34	3.0676	0.59751	5.0316	0.27016	3.5503	4.9547	6.6992	3.2308	0.83167	1.6028	2.0024	7.2689	6.7282	7.1883	6.7085	6.8413	0.30685	12.9763	12.8163	5.4003	1.4898	9.7718	2.0705	3.8827	2.1126	7.2491	0.86367	4.6185	11.3681	8.7657	0.75362	1.085	1.8838	0.90015
RS_G1729__CEACAM6__CEACAM6	5.086	3.6356	11.2531	7.9363	10.8111	0	1.8647	8.9113	6.9983	1.1825	1.3513	10.349	2.7211	0	3.8865	5.1973	10.3268	2.3833	0	9.8898	0.33274	1.1112	7.0239	6.9464	0	8.5402	0.18692	7.701	0.64487	0	10.0528	1.3566	4.5531	5.094	6.3261	7.8943	9.4952
RS_G2087__CRISP3__CRISP3	0.14427	0.86042	12.2314	7.1355	1.9518	0.23487	0	2.8733	2.588	0	0	7.5024	2.8094	1.3866	0	1.6931	3.6823	1.6394	0.1214	6.0817	0.26944	0.088176	0.2365	2.9367	0	2.0069	0	8.4934	0	1.1939	2.3662	0.36223	12.7601	5.5423	0.31278	4.6837	1.6889
RS_G7014__HMGCS2__HMGCS2	1.6061	3.8663	3.2458	4.7467	9.5647	0	2.0295	0.67883	2.224	0	0.27949	6.5198	1.1194	0	0	0.66734	0	0	0	0	0	0	2.1169	1.2016	1.5586	8.5555	0	3.6267	0	0	4.2566	0	4.6803	5.0264	7.5799	4.8179	3.1114
RS_G21888__SLC44A4__SLC44A4	1.3605	1.5252	10.1997	2.5993	3.2179	0.35858	1.975	4.9965	2.7267	0.68161	1.0928	1.3355	1.6234	1.0694	0.30153	1.3511	0.95468	0.2895	0.70528	5.6633	0.79152	0.58592	1.3571	1.618	0.18325	5.3455	5.4773	5.7888	0.4787	1.0129	0.11083	2.6885	1.277	2.3329	4.2833	8.7733	7.8269
RS_G16432__C1orf64__C1orf64	0	0.70915	7.5817	5.6156	7.5603	0	3.097	7.2045	3.8874	0.1454	0.9382	8.8167	1.8555	0.21876	0.25986	0.25555	0.15475	0	0.16111	0.15095	0.4392	0	0.63111	0.17079	0	6.8421	1.2505	8.026	0	0.46451	4.2383	0	0.096899	2.7013	7.8181	6.8627	5.9547
RS_G2770__GDPD3__GDPD3	6.5806	6.9434	5.7813	10.6318	4.8723	3.3539	6.6958	8.2563	7.918	2.9664	3.776	7.5407	4.0359	3.3238	4.3605	5.7742	4.4425	4.6084	4.1315	4.2824	2.2524	2.7765	7.0924	7.5877	2.1837	5.1432	5.1427	9.0082	5.0971	6.6166	2.9836	4.791	8.2566	4.4144	7.2016	5.7162	3.5616
RS_G2982__NCALD__NCALD	0	0.32703	4.3153	2.4446	5.2968	4.5153	0.51725	2.5656	2.4536	2.7335	0.74221	7.4901	1.4971	0.20432	0.41998	1.7263	0.10957	0.51904	0.31846	3.4817	0.25333	0.082853	1.5508	2.1677	0.39818	2.874	0.75631	4.0623	0.21028	0.42403	4.7842	0	1.5149	3.0914	3.3798	3.9235	1.34
