Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
Response	1	1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	1	1	1	1	-1	-1	-1
RS_G1852__OAS1__OAS1	5.873	7.3675	0.87272	8.3026	0.27817	0	2.6877	0.69174	1.2597	4.9797	8.7283	7.0169	7.0589	5.6182	6.2165	1.7419	1.3085	9.4755	0.57917	4.6882	4.2812	3.7085	0.67147	5.5583	0.85197	5.9702	10.0225	5.7018	7.0538	5.5675	5.011	2.773
RS_G761__KCNH2__KCNH2	4.3974	7.7662	1.4548	5.3576	0.71042	1.2467	1.9196	0.35086	0.38368	3.1721	6.314	1.4979	1.0985	0.37606	0.31183	0.77169	0.11002	0	0.87414	4.2125	0.65077	3.5139	0.86035	3.6229	0.98382	0.73108	2.2861	3.7015	4.5043	0.55219	4.1343	3.3441
RS_G7186__UPK3B__UPK3B	4.3257	6.4156	1.2753	3.3334	0.3283	2.2296	1.8455	1.4654	5.3559	2.2089	1.8358	4.9271	6.6409	1.9608	1.9226	2.5166	0.59218	4.232	0.67228	4.4801	2.0549	1.5968	1.4107	5.4363	1.7678	7.0829	4.2696	9.7015	4.642	9.9793	4.186	2.2517
RS_G13457__KRT13__KRT13	4.7028	5.6353	0	10.5246	0	0	3.7695	0.17168	0.96284	8.3302	0	10.7883	10.8032	4.6532	0.28749	0	0.28252	0.37577	0.17184	0.28982	0	0.39019	0	5.3517	0	0.53341	0.75767	8.4012	4.1338	6.7909	4.6193	0.40504
RS_G5570__C20orf95__C20orf95	7.1527	5.7301	0.36922	6.5895	0	0.95995	0	0.53327	0	3.1196	6.5813	3.8441	4.4064	3.3533	0.32432	0	0.17468	1.2766	0.37972	0.4825	5.4557	7.0925	1.4186	5.6898	0.31651	5.4739	9.1567	5.0249	8.2665	6.8861	5.7786	3.3218
RS_G16506__KCNJ12__KCNJ12	5.0094	4.985	0	0.32763	0.36341	0	0.24471	0.27287	1.565	0.20359	0.092253	3.5222	2.7475	0.34782	0	2.5407	1.931	0.046719	1.0266	0	0	3.3482	0	1.5272	2.0692	2.4894	3.881	2.1048	7.9899	0	0	0.27664
RS_G13247__KRT83__KRT83	4.4686	6.0206	0.84412	2.8622	1.2037	0	1.6	0.15982	1.0608	3.8349	7.5226	0.21658	3.8995	4.0819	5.3611	6.2556	0.2605	0.45353	0	5.1009	1.2838	4.3141	1.0845	5.2935	0.46695	9.9153	7.1214	1.1824	6.0218	0.43923	1.7506	1.8815
RS_G8036__ITGB7__ITGB7	2.8381	3.0819	1.1466	2.1593	0.68558	1.0459	1.566	1.2253	2.9661	2.2489	2.0587	1.0802	2.7707	2.6655	1.8513	0.71429	1.6216	2.2171	0.30674	2.3043	0.258	2.0046	0.91278	1.8192	2.9868	1.7663	2.7812	2.6722	1.5759	3.646	0.84553	0.26265
RS_G3786__CRYAB__CRYAB	7.266	8.3291	0	2.3366	1.0408	1.6832	8.482	1.5039	2.9838	5.1028	5.354	4.559	7.128	0.31225	4.7328	9.9378	4.6023	7.0517	3.9155	1.0565	0	1.715	0.98245	7.0148	4.779	4.9852	10.0216	3.5368	5.8363	4.1438	0	1.7462
RS_G13222__KRT86__KRT86	11.2673	10.5962	1.9711	3.7791	1.8035	1.0905	3.1796	3.3399	2.1769	4.6903	9.0074	1.2196	6.6936	7.2836	3.6764	8.9666	1.7662	3.6699	1.4093	6.508	2.9576	8.4168	1.4122	7.8604	0.88888	11.8716	14.0462	4.6587	13.4224	3.4882	4.8114	2.5588
