Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	1	-1	-1	1	1	-1	-1	1
RS_G13225__KRT75__KRT75	0.1001	0.48837	0.13704	2.6322	0	0.24517	5.1256	5.5198	0	0	2.0876	2.7652	3.4922	6.9589	0.61436	8.326	0	2.9312	1.6538	1.0494	0	0	0	0	1.8503	2.1211	0.93863	2.1169	3.1433	0.25517	0.87163	3.2242	0	0
RS_G3853__C11orf41__C11orf41	0.10845	0.061167	0.16984	0.13559	1.3798	0	4.781	3.4279	0.097979	0.21235	5.1998	6.1774	4.1824	1.2452	0.089237	1.3581	2.648	2.5653	6.7553	0.80288	0.11354	0.14799	0	0	0.11867	2.9811	0.64591	0.3339	1.7011	0.51858	0	0.7605	0.27734	0.58324
RS_G6274__KLK10__KLK10	0.71878	0.20625	1.3396	1.2238	0	0.62219	9.15	0.25601	0.39295	2.0282	2.7793	6.3945	10.9516	1.8961	0.1524	6.979	0.22273	3.3567	0.33246	2.017	0.95155	0.22033	1.1275	0.28013	0	0.27978	1.6485	7.2578	10.3954	0	4.1029	4.0939	1.8135	0.42331
RS_G11215__EN1__EN1	0	1.6203	1.7416	2.0997	3.3363	0	6.9753	4.5556	2.3857	0	6.6847	4.0274	2.9926	1.3909	0.92511	6.7749	1.863	2.198	4.1982	0	0	0	0.12776	0.30582	0	5.4291	7.244	3.8745	1.2845	0	0	0.33268	0	0
RS_G6413__KLHDC7B__KLHDC7B	0.44351	1.5307	0.26069	3.0774	0	0.36018	2.9582	0	0.57664	0.17453	6.5033	2.0385	8.7777	1.2454	1.3979	3.2379	0.23533	9.8389	0.27498	1.5856	0.44704	0.51994	0.11993	0.41783	0	3.5951	9.2685	6.0434	4.1718	0.85166	0.80079	1.2281	2.9772	0
RS_G3267__ITGB8__ITGB8	5.1564	0.27889	2.0303	3.4893	0.14738	0.36513	4.6975	2.6815	3.0352	2.3442	8.4305	4.611	4.1636	5.4276	2.5057	5.2617	1.3995	6.1267	1.6822	0.35153	0.93842	0.53386	0.59803	0.30829	0.15176	0.8868	5.8392	3.6533	5.3211	1.0727	1.298	2.2218	0.45843	0.59579
RS_G13984__TNFRSF10D__TNFRSF10D	0.47373	0	0	0	0.27889	0	7.3456	0.24361	0.43255	0.61535	3.624	5.9027	4.4719	4.3597	0	7.4006	7.5913	1.9892	8.1692	0.93493	0.14914	7.4603	0	0.13627	0	6.4505	0	5.4051	5.1856	0.30762	0	0.68226	4.0385	0.11014
RS_G28377__AL450306.14__AL450306.14	3.5215	4.8024	0.74196	2.0401	1.496	2.6412	2.3114	1.9374	1.9689	3.5546	1.9543	3.28	2.8507	2.0548	3.1078	2.2624	1.7205	2.1189	1.5042	3.1047	3.2992	2.1669	2.5187	2.2729	3.5767	2.7609	5.8757	2.1186	2.6059	4.5232	2.9519	1.7691	2.4941	7.538
RS_G748__FOXC1__FOXC1	1.3467	0	0.44926	2.662	6.5029	0	5.6404	4.9248	2.525	1.692	6.4469	6.2567	3.7813	5.4285	0.63345	5.0029	5.1006	7.1906	5.3363	5.2142	3.7327	4.0817	1.8569	0.68469	0	5.4878	4.8565	4.7414	6.0806	4.0297	4.116	3.9332	2.8678	2.8369
RS_G7480__IL1RN__IL1RN	2.0463	0.66889	2.8104	4.7974	0	2.1334	3.2427	0.13026	1.045	3.8693	1.7232	3.4976	6.3153	4.7985	0.57981	4.6906	0.21629	4.1087	2.7149	3.2843	1.6923	0	1.396	1.4041	1.7651	0	4.5067	4.2315	3.3613	0.2421	0.64061	4.6217	1.8077	1.5411
RS_G17307__KRT14__KRT14	0.24717	1.1678	1.781	1.2666	2.595	1.5424	12.9384	11.6802	1.0895	3.3626	2.6226	13.5674	10.8786	2.5079	0.55228	9.1398	0	7.7913	12.0549	2.3875	0.29759	0.91201	0.29051	5.7017	0.54968	0	7.0103	6.5301	4.5846	0.71452	0.85755	1.1256	0.41714	0.5899
RS_G11693__AC010990.3__AC010990.3	1.7961	0.68784	0	0	0	0	1.0911	1.222	2.59	0	2.9069	1.745	3.1818	6.7489	0	0.13845	2.4197	7.4569	3.2872	2.5149	0.36743	0.63123	0	0	0	2.4176	2.4682	1.5552	3.7252	0.27953	0	0	0	0
RS_G7892__FGF2__FGF2	0.3704	0	0	0.15516	7.5818	0	5.2899	3.8378	0.38255	0.26018	7.8975	2.3116	5.2507	0.14505	0	6.8459	6.6202	2.6134	4.9625	0.11633	0.15511	0	0.019091	0.20773	0	4.444	2.0561	0.77491	2.5446	0	0	0.053869	0.72312	0.11461
RS_G8446__RCN3__RCN3	2.5656	5.646	0.1561	1.0231	6.0513	0.50087	6.6643	7.1184	4.6093	1.7805	6.5676	7.7882	4.1885	2.6545	3.7535	3.5399	4.4844	5.4142	8.2599	4.8105	2.497	0.46976	1.1202	1.2148	4.6915	9.0074	0	5.2147	5.4759	0.54176	3.3249	2.4497	3.0716	0
RS_G2763__MSLN__MSLN	1.9172	1.1072	0.26865	1.2587	0	0.65029	3.3609	0.69047	0.922	0.46614	3.6581	8.9361	4.948	1.1454	0	3.8141	0	4.6543	1.4248	1.3942	0.55045	1.9546	0.64745	0.59172	1.0695	1.0139	12.2802	3.7565	2.7117	1.1483	1.5429	1.1955	1.4456	0.34563
RS_G463__VIM__VIM	2.9652	2.2052	5.3309	4.7875	13.722	3.764	13.663	13.843	4.156	0	10.3261	6.4127	8.4787	10.5793	0.47968	11.7234	13.9024	10.1043	15.089	6.8882	3.1521	13.7198	1.8929	3.5908	2.3972	16.3769	9.8039	3.625	11.237	3.9594	5.7587	8.8159	3.9298	0.37376
RS_G1779__PTHLH__PTHLH	0	0	2.2732	1.8152	2.1658	0	7.2097	4.2484	0	0	0.32391	9.1068	2.3649	2.1959	0	2.287	1.3148	1.5258	4.0306	0	0.76599	0.83936	2.8815	1.3368	0	1.8976	0.5104	2.0936	3.4073	2.0487	0	0	0.48471	0
RS_G6275__KLK8__KLK8	0.33827	2.1437	0	4.4067	0	0	6.9642	0	0	0	0	6.7567	8.6102	9.0065	0	4.5337	0	2.8049	0.24842	1.3141	0	0	0.38986	0	0	0.69648	0.74274	7.5473	9.9341	7.1862	4.1111	7.1867	5.4714	0.31492
RS_G10060__WNT7A__WNT7A	0	0.25843	0	0.29061	0	0	5.6309	0.17319	0	0	0.78406	7.7833	5.9134	0.27412	0.28646	3.6197	0	0	1.9243	0	0	0	0	0.86159	0	1.2965	0	1.2984	4.7626	0.79903	0	0.80956	0	1.6436
RS_G12538__KLK5__KLK5	6.1288	4.2346	0	4.9387	0.87783	0.32442	9.7741	0.50368	0	0	1.7287	9.0743	12.8418	11.5097	0.31511	10.0348	1.7585	4.9998	0.87841	1.9651	0	0	1.6783	2.1958	0	0.54237	1.3136	14.2018	7.7474	10.6798	0	5.3638	4.337	0
RS_G6987__IRAK2__IRAK2	3.1643	1.4718	0.5092	1.1488	4.7227	3.1634	5.6254	5.2952	2.5617	0.94193	6.0897	3.9784	5.1855	5.6527	1.2703	4.5118	4.398	2.653	4.8247	2.0925	1.0345	5.3682	0.65158	0.48601	0.99949	7.2984	3.1827	3.3124	3.6375	0.5055	2.5127	2.9404	1.6147	0.48699
RS_G13648__CALB2__CALB2	7.6915	2.1737	1.662	6.2908	0	0	5.2036	3.9799	1.7043	5.3998	10.1444	5.0336	6.1106	8.6075	1.028	8.2301	3.0522	9.9809	0.80746	0.82851	2.3077	2.8203	1.4489	0.55944	0	0.79094	2.0732	8.9452	4.5404	7.127	0.38243	3.7476	2.8904	0.46928
RS_G16526__ALDH1A3__ALDH1A3	6.9869	6.6244	3.4412	2.4634	1.2073	2.8938	11.2405	5.3582	10.9346	1.4376	5.1885	8.2874	10.8421	12.6084	5.5356	10.846	3.2546	8.3779	5.4292	5.6338	1.6124	4.3207	2.1737	1.7792	7.9504	1.5677	6.6021	7.6667	9.1305	3.6909	6.7618	5.3565	5.1568	3.5552
RS_G17022__IFITM1__IFITM1	4.1688	6.5642	0	9.3264	6.1064	4.4432	9.9995	9.2552	2.5984	3.4169	14.0221	6.7156	9.6267	10.438	3.9334	7.6444	4.3719	13.821	7.8255	8.2274	7.9265	5.5216	1.1189	0	6.0727	7.1558	11.4136	10.9242	7.8003	0.67796	8.022	3.0564	5.2924	0
RS_G14674__FOXC2__FOXC2	0	0	0	0	0	0	5.0339	5.3056	0.44201	0.21381	3.25	5.8163	4.8008	0	0	2.4171	1.153	0	8.6324	0.64546	0	0	0	0	0	5.6112	3.0385	0	3.8454	0.5871	0	0	0	0
RS_G17301__KRT17__KRT17	5.3276	2.3353	2.1138	5.2677	2.8894	1.9821	13.2654	2.0369	0.62214	1.7849	4.7247	11.1935	13.0163	9.171	5.215	13.8349	0	9.2183	4.3464	7.482	1.5306	1.9	4.2829	5.4408	0.99742	3.7136	13.3069	9.6792	13.2998	0.35345	3.8105	3.5577	2.8037	1.9077
