Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	-1	1	-1	1	-1	-1	1	1	-1	1	1	1	1	1	1	1	-1
RS_G7269__HEY2__HEY2	3.6871	0	4.2335	5.6502	1.3674	1.1515	2.5575	0.48244	3.959	1.6937	2.4811	2.3717	2.5058	0.93292	1.007	0	6.9965	3.4334	4.8089	0.82328	2.29	5.3855	0.59431	0	4.2589	0.77271	1.6052	0.28944	3.3842	0.64409	6.0077	5.5727	5.2139
RS_G5851__BMP2__BMP2	0	2.2943	0	0	0.56208	0	6.1433	4.5299	0	0	0	4.5283	4.1967	4.5089	3.7759	1.3779	0.62897	5.0298	0.164	2.2696	0.80063	0	0	1.0794	0.29414	5.7002	0.09744	4.8377	0	0	1.303	0	0
RS_G6440__COL5A1__COL5A1	3.8517	3.1224	0.40165	5.4151	10.1958	7.0167	4.1353	8.0257	0.059076	1.7108	0.44888	3.3905	6.243	6.8198	5.9398	8.5532	1.3704	9.4954	4.8717	3.0794	4.163	1.235	0.099041	0.20663	2.239	5.6444	4.0102	6.5509	4.9687	3.6637	2.6721	2.6056	1.0735
RS_G628__MAGEC2__MAGEC2	0	5.4645	0	0	0.46229	0	0	0.52433	0	0	0	8.2608	0.38012	0	3.0872	0	5.0759	5.5432	0	0	0	0	0	3.3543	0	0.47823	5.1877	0	0.27723	4.9092	0.17544	5.6209	0
RS_G10495__KCNB1__KCNB1	1.009	1.6281	1.3342	0.69095	6.7484	0.95534	1.0196	5.9644	1.3974	0.64929	2.7909	0	4.5119	2.4749	3.1757	1.1316	0.29482	1.5145	0.20345	1.4521	0	1.1101	0.45671	2.4428	0.46397	0.1431	3.7952	0.85425	4.7037	4.3103	1.4735	1.5389	0.28775
RS_G5395__INHBA__INHBA	0	1.4027	0.57218	4.9365	8.116	0.34649	7.4763	6.8731	0.24841	0.79254	1.0776	6.6774	5.5305	6.203	7.1808	4.9604	4.2951	9.2718	0.8871	1.8265	3.1375	0.27195	1.5506	0	2.5634	8.5917	1.4331	4.6019	0	1.2706	1.4108	1.0054	0
RS_G13227__CD14__CD14	4.5079	2.146	0	2.1032	1.7905	2.0092	5.0494	1.3892	0.86762	0.93813	0.75898	3.0681	4.1249	2.2887	1.3699	3.1865	9.9831	2.4861	0.81232	2.7439	1.3486	1.2355	0.47784	2.2491	0.49366	6.0549	6.8506	3.0821	6.2816	1.3333	4.5229	2.5184	0.4014
RS_G13254__IRX1__IRX1	0	0	0	0	0	0	9.066	6.4132	0	0	0.24446	2.8355	0.71958	0.25437	3.6235	3.7902	0	0.86673	0	0.14025	0	0	0	0	0	3.8275	2.9194	0	0	0	0	0	0
RS_G5128__C6orf97__C6orf97	3.1578	0	5.1411	4.0963	0	4.1221	0	0.32115	5.2392	6.3162	4.2969	0.082714	0.15617	0.095144	0	0	0.33528	0.36194	6.6388	6.3693	0.048768	4.0578	0.26259	0	0.26705	0	0	0.29656	0	4.7903	4.3059	5.6965	4.9746
SNP__MGAM	0.006	-2.204	0.355	0.322	-0.135	0.422	0.042	0.662	-0.217	0.305	0.402	-2.603	-0.251	-0.206	0.465	0.018	0.485	0.239	0.196	0.089	-0.145	-0.041	-0.409	-1.689	0.526	-3.317	-0.327	0.23	-0.287	-0.321	-0.317	-0.042	0.028
RS_G9463__JPH2__JPH2	2.9164	6.4318	0.050524	2.0686	6.643	0.13498	3.9489	2.8076	0.049104	4.1973	3.0619	4.5416	6.5243	4.1531	6.73	3.4244	3.5498	4.8069	1.8198	0	0.41633	1.7217	0.15656	4.5877	0.16338	7.7631	6.2006	4.8813	4.0896	5.5659	1.214	1.3387	0
RS_G1436__FAP__FAP	0	0	0	0.18706	0.18332	0.19117	0.94484	3.9543	0	0	0	0.83298	0.5157	4.0178	5.4188	3.9292	0.45519	5.6902	0	0	0	0	0	0	3.5532	5.4313	0	4.7177	0.20414	0	0	0	0
RS_G13459__KRT9__KRT9	0.41554	1.4828	0.54886	0.32451	0	0.1191	4.4878	3.1374	4.9813	0.76367	0	3.221	6.3236	1.2658	4.1905	0	2.8564	3.3175	0.58252	0.58379	0	0.70049	0	2.5455	0	3.6507	3.1486	1.0384	1.7982	0	0.42014	0.97419	0.5673
RS_G12470__CORO6__CORO6	1.3736	5.0261	0.59829	1.6239	4.7642	1.2424	0.53723	2.196	0.58695	1.6114	3.6444	2.0788	3.9669	3.775	4.9726	3.2655	1.2535	2.6312	0.73365	0.41837	3.9416	2.9862	3.0768	4.5564	1.1636	4.1819	1.6303	5.1099	4.2711	2.3894	5.3274	2.0977	1.1167
RS_G11273__ALPP__ALPP	0.61363	3.528	0.28662	0.61007	0.47579	0.3482	6.0634	0.75014	0.094933	0.23971	0.30143	4.7477	9.1099	4.7778	7.3442	0.717	2.647	1.7801	2.5073	0.2582	6.8379	1.0915	0.79138	6.9332	0.45731	9.2234	3.5744	10.3246	7.6574	0.38143	5.5707	0.74304	0.13455
RS_G4856__MUC5B__MUC5B	5.381	6.3991	4.9033	7.2056	0	5.3345	6.1164	0.65399	1.8113	5.2883	6.5749	0.35429	2.0415	0.42452	0.20737	0.10243	0.47117	1.1133	5.5399	4.5554	3.5201	7.1076	2.7576	0.22595	0.60314	1.5779	1.4391	1.351	0.050499	0.13512	9.1755	4.8458	6.9805
RS_G18710__COL13A1__COL13A1	0	2.1135	0.55156	0.67347	0	0	4.4082	1.5079	0.53924	0.11673	0	3.6721	2.5569	3.6181	1.4184	1.9099	0.34586	6.6691	0.67246	0.62644	8.2297	0.038306	0	2.5261	0.52716	0.78937	2.837	0.81764	1.5798	1.0734	1.5228	0.23092	0.83329
RS_G2467__MMP9__MMP9	0.3352	4.7331	0	1.8897	7.2801	1.3299	2.8432	7.1538	0.43548	1.2458	3.165	1.5059	6.2936	0.93467	3.1581	0.63889	0.45168	0.35709	3.8095	3.1157	0	1.3653	0	2.3144	0.54164	4.3212	0	5.3232	3.8646	1.7067	1.7646	2.9642	1.4825
