Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751
Response	1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	-1	1	-1	-1	1	1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	-1
RS_G7__CFH__CFH	1.2601	0.21358	0	0.12495	6.8359	0	0.20366	5.8212	0	0.86297	0.11269	5.1026	0.50616	6.0005	0	1.4161	4.6605	6.9368	6.3026	0	0	0.24742	0.19249	5.7137	0	0	0.17479	0	0	4.5765	1.8511	1.5146	0	0	0.17597
RS_G13359__HAS2__HAS2	0	0	0	0	6.2901	0	0.50167	7.8174	0.34679	2.7205	0	8.4229	1.3124	0	0	0	3.943	0.54231	8.0381	0	0	0	0	3.7323	0	0	5.7447	0	0	2.9735	0	1.4913	0.35491	0	0
RS_G2659__SYP__SYP	3.41	2.907	4.3066	4.8543	4.6996	2.4778	3.804	2.9368	6.3522	5.1021	3.8879	1.251	3.4948	2.1223	3.2776	2.2882	1.6438	1.1754	1.3775	2.8633	3.5283	8.5045	4.247	2.0866	3.5634	2.0984	2.8577	3.6742	3.4633	2.7889	1.1984	2.2011	2.4082	4.2616	5.6485
RS_G6379__KIF1A__KIF1A	0	0.43724	9.0209	8.2331	0	1.6392	9.2069	0.30393	0.79708	3.8381	0.51882	4.1596	0.88601	0.59017	2.9194	1.5711	0.47052	0	0.16233	4.6844	5.0402	5.5668	2.0228	0.054638	7.4877	0	1.9005	0.21917	6.9635	0	5.7396	0.17942	0.32477	0.44344	7.02
RS_G12262__NNMT__NNMT	8.5516	2.0132	0.48442	0	9.4448	0	1.147	7.6778	0	0	1.6205	1.4637	5.9883	7.7288	0	5.9076	6.1323	8.4278	6.7404	1.7656	0	0.46256	3.0779	0.7415	0.55533	0.52928	6.6938	0	9.0646	10.6571	6.6568	6.8006	9.2782	0	0.22668
RS_G3221__UPK1A__UPK1A	0.8528	1.0252	6.1111	8.1689	0.3617	1.1309	1.2971	0.73223	8.1177	2.4971	0.47554	0	2.2747	1.1508	1.9535	2.1001	1.0908	0.93519	4.0595	6.4552	2.0695	3.8393	6.4601	0	4.3151	3.5316	0	0	2.1671	1.3118	1.9598	0.94107	0	2.1181	4.9489
RS_G12188__CRABP1__CRABP1	1.3741	1.4861	2.0796	8.0743	0.52734	11.7665	0.46236	0.32883	2.4799	0	8.2077	1.663	7.1373	0.275	0	4.5932	1.2108	4.8055	0.59695	0	8.5864	10.2975	8.9339	0.88537	8.0075	0	6.9945	2.0754	1.972	0	0	0	0	3.1309	7.1185
RS_G14859__SAMD9L__SAMD9L	3.4575	0.067225	0	2.1607	0.21202	0.077493	0.12401	3.0939	0	2.5986	4.7979	3.7721	2.6339	3.1608	1.4916	1.4255	2.658	6.9834	3.9452	0	0	0.1525	0.1189	3.4066	0	0	4.3633	0	0	0.41083	4.653	2.4155	3.3204	1.6339	0.10744
RS_G11080__DNAJB4__DNAJB4	5.2481	2.6683	2.103	2.8453	9.2845	3.4604	3.6926	7.1968	4.45	2.7546	4.4632	4.5992	3.4336	4.2361	2.4822	5.9018	6.3162	5.4822	6.7432	1.3773	2.6579	4.1523	2.2465	5.9448	1.8261	2.2012	4.6909	3.7086	3.9964	3.852	4.2055	4.099	3.7067	1.7083	3.1523
RS_G10718__TFF3__TFF3	9.803	7.179	11.1887	12.8489	0	6.3298	0.97441	0.986	13.1896	11.0513	1.8337	0	0.53575	1.7682	9.6535	2.2698	0	0	1.8517	9.9781	8.776	7.7139	12.8413	5.8853	12.3423	6.3096	0	5.0467	0	0	6.5283	0	0.69196	8.9041	12.4151
RS_G17577__P2RX2__P2RX2	1.3699	5.6587	1.7281	7.6192	0.25976	0.69501	1.6549	0.15633	5.106	3.9282	4.3574	2.5458	0.38581	0.63772	6.1438	0.69729	0.25811	0	0.54424	6.4267	5.6475	0.38942	5.1452	0.63987	2.6185	1.1863	0	4.2646	0.45772	0	1.0983	0.71099	0	8.5345	4.7114
RS_G11366__IFI16__IFI16	1.3751	1.0912	0.088938	0.077879	0.1516	0	0.25526	8.0208	0	0	6.9257	7.8901	6.2163	8.4592	0.15631	1.9825	7.2647	10.0474	5.8672	0.47945	0	0	0.49689	6.093	0	0	2.2315	0	0	5.6095	5.4474	6.2941	1.6259	3.4074	0.73329
RS_G19430__TGM2__TGM2	5.7731	4.6351	0.075916	1.8639	2.1072	1.5359	1.1001	3.5707	1.4478	2.0468	2.7949	4.4499	9.0075	9.2277	0	2.5436	7.904	4.964	6.8507	5.4294	2.0974	2.9293	4.6858	7.9893	1.2109	1.8048	3.27	2.1179	2.6677	8.7502	0	12.5541	5.6263	0.8381	1.5682
RS_G10423__DPYSL5__DPYSL5	0	0	6.6001	6.5646	0	6.6633	3.5008	0.097144	2.8127	3.7226	3.515	4.8198	4.0043	3.8285	0.31394	1.8907	0.30764	0	0.50048	3.2035	2.2187	8.519	3.983	0.23007	4.7768	0	1.8894	0	0.83944	0	0	0.90375	5.6141	0	5.7104
RS_G7696__CASP1__CASP1	4.6632	1.1639	0	0	0.62808	0	0.76601	2.0008	0	0	4.2846	7.1678	5.4234	7.0633	2.6371	5.507	4.2762	9.1677	3.4113	0	0.35455	0.18699	0	2.6086	0	0.59149	4.4984	3.2346	0	4.6947	5.266	4.4669	3.8963	4.3306	0
RS_G1983__CCDC80__CCDC80	3.047	4.5842	0.24634	0.95276	10.2098	0.12049	5.2177	5.0089	0	1.3406	1.1731	5.231	6.9418	3.9554	0.11679	7.2517	8.6794	7.4749	9.7159	2.3768	1.9402	0.12167	4.6807	6.4667	0.23618	0.2076	3.8	1.7652	4.6926	6.5604	0.13246	6.081	5.2147	2.8761	0.45007
RS_G1317__SEMA3A__SEMA3A	0	1.446	0	0	4.8682	0	0.22776	5.911	0	0.55754	0.085551	5.9332	2.6768	1.7369	0.55589	0	4.2407	4.3885	4.1137	0	0	0	1.2805	5.4226	0.046512	0	0	0	0.32428	0.92652	0.62186	2.2665	0	0.83084	0.13429
RS_G13364__S1PR1__S1PR1	0.14476	0	0	0	7.8764	0	3.4984	0.98351	0	0	0.43828	5.8564	3.4223	0.45575	0	0	5.1403	5.0119	0.46235	0.089312	0	0	0	2.0861	0	0.31238	0	0	2.4689	2.4788	1.362	1.6305	0	0	0
RS_G1450__HOXA9__HOXA9	0.17011	0	0	0	0	0	4.2747	6.0684	0.42162	1.0745	0.51342	2.9381	3.8685	6.2627	0	0	2.0643	3.0713	5.5064	0	0.1108	0	1.3105	0	0.20088	0	7.564	0	0	4.3002	0.78151	3.8141	2.6181	0	0.54402
RS_G10801__S100A1__S100A1	12.2539	5.1734	4.3125	8.846	2.2497	10.0502	6.8321	2.8645	9.8429	7.3739	5.4273	1.8777	3.0618	1.939	10.6979	5.2693	4.0757	5.6141	3.2969	6.1014	4.2464	4.4537	9.6898	2.9113	5.8621	4.0999	11.4276	5.1531	5.5304	2.123	2.0455	4.343	5.0315	5.96	3.8626
RS_G16329__AC005332.1__AC005332.1	1.4126	6.8891	0.52114	0.61053	0.59991	4.3973	2.5319	0	3.8846	3.0082	0.29172	0	4.0142	0.87419	1.029	1.9266	0	0.30182	0.9157	3.5412	1.9513	1.7228	4.6396	0.58014	2.4085	1.8568	0.95239	3.5274	1.8698	1.0444	0.73792	0.87371	0.51986	4.1958	1.2154
RS_G18127__AKR1C3__AKR1C3	7.8865	3.0139	0	3.2792	1.3543	0	7.2095	11.8158	6.4508	2.379	1.5848	10.1685	6.4967	9.7433	0	9.7141	6.0956	11.7722	4.3654	2.3442	4.7688	4.2381	5.4436	5.5606	5.2548	0.65854	6.5484	0	0	5.2862	10.6807	7.8458	3.9155	3.6783	3.7279
RS_G19042__DHRS8__DHRS8	2.7712	0.77854	1.9808	1.5832	2.0503	0.63061	1.8836	4.263	0.36131	1.922	0.31092	5.5881	3.0516	4.4679	1.2183	4.126	7.1145	5.2127	2.7597	0.61182	2.7509	0	0.5197	8.9329	1.5654	0	0	0.76859	3.378	3.6033	1.0421	5.4889	1.2899	0	2.2151
