Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	1	1	-1	1	1	1	1	1	1	1	-1
RS_G10495__KCNB1__KCNB1	1.009	1.6281	1.3342	0.69095	6.7484	0.95534	1.0196	5.9644	1.3974	0.64929	2.7909	0	4.5119	2.4749	3.1757	1.1316	0.29482	1.5145	0.20345	1.4521	4.6198	3.3711	0	1.1101	0.45671	2.97	2.4428	0.46397	0.1431	3.7952	0.85425	4.7037	4.3103	1.4735	1.5389	0.28775
RS_G5851__BMP2__BMP2	0	2.2943	0	0	0.56208	0	6.1433	4.5299	0	0	0	4.5283	4.1967	4.5089	3.7759	1.3779	0.62897	5.0298	0.164	2.2696	0	5.4122	0.80063	0	0	4.4044	1.0794	0.29414	5.7002	0.09744	4.8377	0	0	1.303	0	0
RS_G7269__HEY2__HEY2	3.6871	0	4.2335	5.6502	1.3674	1.1515	2.5575	0.48244	3.959	1.6937	2.4811	2.3717	2.5058	0.93292	1.007	0	6.9965	3.4334	4.8089	0.82328	5.3503	1.4155	2.29	5.3855	0.59431	4.5517	0	4.2589	0.77271	1.6052	0.28944	3.3842	0.64409	6.0077	5.5727	5.2139
RS_G13459__KRT9__KRT9	0.41554	1.4828	0.54886	0.32451	0	0.1191	4.4878	3.1374	4.9813	0.76367	0	3.221	6.3236	1.2658	4.1905	0	2.8564	3.3175	0.58252	0.58379	0.90253	4.5933	0	0.70049	0	5.2496	2.5455	0	3.6507	3.1486	1.0384	1.7982	0	0.42014	0.97419	0.5673
RS_G628__MAGEC2__MAGEC2	0	5.4645	0	0	0.46229	0	0	0.52433	0	0	0	8.2608	0.38012	0	3.0872	0	5.0759	5.5432	0	0	0	0.20818	0	0	0	0	3.3543	0	0.47823	5.1877	0	0.27723	4.9092	0.17544	5.6209	0
RS_G5395__INHBA__INHBA	0	1.4027	0.57218	4.9365	8.116	0.34649	7.4763	6.8731	0.24841	0.79254	1.0776	6.6774	5.5305	6.203	7.1808	4.9604	4.2951	9.2718	0.8871	1.8265	0	6.524	3.1375	0.27195	1.5506	8.0338	0	2.5634	8.5917	1.4331	4.6019	0	1.2706	1.4108	1.0054	0
RS_G9463__JPH2__JPH2	2.9164	6.4318	0.050524	2.0686	6.643	0.13498	3.9489	2.8076	0.049104	4.1973	3.0619	4.5416	6.5243	4.1531	6.73	3.4244	3.5498	4.8069	1.8198	0	0.64612	4.9427	0.41633	1.7217	0.15656	6.7396	4.5877	0.16338	7.7631	6.2006	4.8813	4.0896	5.5659	1.214	1.3387	0
RS_G13254__IRX1__IRX1	0	0	0	0	0	0	9.066	6.4132	0	0	0.24446	2.8355	0.71958	0.25437	3.6235	3.7902	0	0.86673	0	0.14025	0	0	0	0	0	7.2028	0	0	3.8275	2.9194	0	0	0	0	0	0
RS_G1436__FAP__FAP	0	0	0	0.18706	0.18332	0.19117	0.94484	3.9543	0	0	0	0.83298	0.5157	4.0178	5.4188	3.9292	0.45519	5.6902	0	0	0.72062	2.496	0	0	0	0	0	3.5532	5.4313	0	4.7177	0.20414	0	0	0	0
RS_G12470__CORO6__CORO6	1.3736	5.0261	0.59829	1.6239	4.7642	1.2424	0.53723	2.196	0.58695	1.6114	3.6444	2.0788	3.9669	3.775	4.9726	3.2655	1.2535	2.6312	0.73365	0.41837	2.0176	3.8302	3.9416	2.9862	3.0768	3.4635	4.5564	1.1636	4.1819	1.6303	5.1099	4.2711	2.3894	5.3274	2.0977	1.1167
RS_G13227__CD14__CD14	4.5079	2.146	0	2.1032	1.7905	2.0092	5.0494	1.3892	0.86762	0.93813	0.75898	3.0681	4.1249	2.2887	1.3699	3.1865	9.9831	2.4861	0.81232	2.7439	1.229	2.5762	1.3486	1.2355	0.47784	0.70237	2.2491	0.49366	6.0549	6.8506	3.0821	6.2816	1.3333	4.5229	2.5184	0.4014
RS_G5128__C6orf97__C6orf97	3.1578	0	5.1411	4.0963	0	4.1221	0	0.32115	5.2392	6.3162	4.2969	0.082714	0.15617	0.095144	0	0	0.33528	0.36194	6.6388	6.3693	5.8502	0.5478	0.048768	4.0578	0.26259	2.5829	0	0.26705	0	0	0.29656	0	4.7903	4.3059	5.6965	4.9746
RS_G6440__COL5A1__COL5A1	3.8517	3.1224	0.40165	5.4151	10.1958	7.0167	4.1353	8.0257	0.059076	1.7108	0.44888	3.3905	6.243	6.8198	5.9398	8.5532	1.3704	9.4954	4.8717	3.0794	0.85124	2.9642	4.163	1.235	0.099041	1.25	0.20663	2.239	5.6444	4.0102	6.5509	4.9687	3.6637	2.6721	2.6056	1.0735
RS_G2467__MMP9__MMP9	0.3352	4.7331	0	1.8897	7.2801	1.3299	2.8432	7.1538	0.43548	1.2458	3.165	1.5059	6.2936	0.93467	3.1581	0.63889	0.45168	0.35709	3.8095	3.1157	2.482	1.5826	0	1.3653	0	3.4679	2.3144	0.54164	4.3212	0	5.3232	3.8646	1.7067	1.7646	2.9642	1.4825
RS_G11297__AC017048.6__AC017048.6	2.5528	0	0.793	5.4763	0	4.546	2.2023	0	5.1544	4.018	5.1196	4.2404	0.6038	2.0777	0	0	1.8202	5.6593	4.7482	2.4931	1.5275	1.293	7.776	3.7739	0	1.1146	2.5884	5.7413	1.2249	0	3.6146	4.8248	2.2602	4.0825	1.9459	3.7537
RS_G8516__GJA5__GJA5	5.1528	7.3724	0.25609	0.30595	0.75881	0	2.1537	1.8724	0	1.103	0.51023	0.46303	6.1047	3.0129	9.1154	0	1.4256	0.41661	0	0	0.63186	5.1935	0	0	0	7.1706	7.402	0	4.5966	2.5251	1.2018	6.2637	2.113	0.1099	0.3266	0
RS_G21773__GPRIN2__GPRIN2	4.0001	8.3744	0	1.3437	0	0	5.3082	0	0	0	0.23152	4.3886	5.4473	3.7981	5.982	5.0614	3.6002	0.40095	0.65392	0	0	6.6664	0	0.065818	0	4.1445	7.0097	0	6.2273	3.7935	4.7073	0.27671	4.0222	0.54066	0	0.18814
RS_G19397__L1CAM__L1CAM	5.0302	6.9187	1.3538	7.716	0.69507	5.9379	7.576	4.0551	1.4333	4.2916	7.5056	2.0386	4.8733	5.8085	7.6995	6.3652	0	5.7132	9.4903	6.7579	8.1829	9.454	4.142	3.0137	0.26696	5.233	6.4653	1.738	10.535	5.6684	8.13	7.9265	4.4721	9.8766	5.0006	0.9737
RS_G15650__OXTR__OXTR	2.6453	2.4034	1.4046	5.5286	5.2587	3.3789	7.0907	3.0554	3.0154	3.3339	2.5851	2.3122	6.7918	1.8936	5.7407	2.9858	0.11011	5.3866	1.6268	2.3399	3.0596	3.9592	0.87158	2.2215	1.958	4.4511	1.8969	2.2283	0.53598	2.6827	2.7785	1.9298	0.59396	4.8693	3.8192	4.1112
RS_G9080__IGFBP3__IGFBP3	6.2987	3.3656	2.9054	5.2494	11.5393	1.034	12.0229	11.5965	1.9904	0.38514	2.9917	8.8113	10.5079	11.6002	10.8788	9.9252	12.5244	9.3982	3.8586	4.4452	6.8854	9.9608	6.9804	4.4091	8.3923	8.5003	0.25393	4.3852	7.1035	6.5264	7.3456	7.1766	0.7413	7.3833	2.4343	0.70512
RS_G1730__FAT2__FAT2	0.57568	0.94746	0.23243	0.48221	0.63808	0.41813	3.7065	0.74319	0.040265	0.48933	0.74388	6.505	4.6282	1.7543	1.5427	3.8253	3.4034	0.89191	0.30019	0.27443	1.2493	2.9341	0.20058	0.2108	0.46883	5.4965	0.58878	0.59742	0.43138	0.021131	7.0238	0.94431	1.2235	0.23214	0.64995	0.5655
RS_G13794__SLFN11__SLFN11	0.90388	3.9958	0.21697	4.8183	6.7477	0.052023	4.7006	0.22325	0	0	0.17932	5.2052	0.85204	1.2043	0	7.3164	0.13555	0.11312	0.1012	0	0.053939	4.6084	1.3692	4.19	1.0505	0.60708	5.0278	0.1846	0.1044	2.0677	0.81293	6.0743	6.0277	4.5582	3.2933	0
RS_G18710__COL13A1__COL13A1	0	2.1135	0.55156	0.67347	0	0	4.4082	1.5079	0.53924	0.11673	0	3.6721	2.5569	3.6181	1.4184	1.9099	0.34586	6.6691	0.67246	0.62644	0.16907	3.7028	8.2297	0.038306	0	0.51573	2.5261	0.52716	0.78937	2.837	0.81764	1.5798	1.0734	1.5228	0.23092	0.83329
RS_G2464__PLTP__PLTP	0.11482	10.0545	0.75517	1.2357	10.9319	1.1199	0.90633	4.5863	1.0814	0	0.24629	9.5327	6.1663	0.4738	0	7.9012	8.082	6.5859	4.17	1.6206	0.80808	4.8815	3.1098	0.52736	0	3.5639	7.9049	3.0229	6.1828	3.6044	10.4891	2.8626	3.5352	0.76102	0	0
RS_G12538__KLK5__KLK5	6.1288	4.2346	0	4.9387	0.87783	0.32442	9.7741	0.50368	0	0	1.7287	9.0743	12.8418	11.5097	10.0348	1.7585	4.9998	0.87841	1.9651	0	1.4592	12.0662	0	1.6783	2.1958	1.2579	0	0.54237	1.3136	14.2018	7.7474	10.6798	0	5.3638	4.337	0
RS_G15100__GLDC__GLDC	0.26029	7.2337	0.40726	4.2944	3.4418	1.2426	4.4118	2.22	0.14607	4.7534	2.0712	1.7273	4.4029	3.9346	6.0442	2.116	0.61603	1.9099	2.7527	2.1304	4.7021	3.7115	0.45811	0.48042	0	5.2427	7.546	3.6024	1.4389	0	0.89962	7.1951	4.7089	7.464	4.8515	3.1124
RS_G12288__SCNN1G__SCNN1G	0	4.2825	0	4.9145	0	6.1694	5.6465	0.51299	0	4.2032	0.1358	0.4365	1.994	3.6997	2.0358	0	1.0232	0	4.0991	1.07	2.1905	1.7844	0	0.17844	0.26289	0.30298	1.7543	0.49282	0.92144	1.1277	8.2633	6.8146	0.91373	4.3481	3.0802	0.48344
RS_G12786__IL7R__IL7R	0	0.251	0	0.50142	6.5911	0.28503	6.1027	3.2925	0	0	0.65531	4.9125	6.2297	5.4595	4.9738	6.5351	0.25223	5.1619	0	0	0	1.8082	5.4855	0.070492	0.82882	0.68499	0	0	3.6661	0	2.0069	0	0	0	0	0
RS_G11273__ALPP__ALPP	0.61363	3.528	0.28662	0.61007	0.47579	0.3482	6.0634	0.75014	0.094933	0.23971	0.30143	4.7477	9.1099	4.7778	7.3442	0.717	2.647	1.7801	2.5073	0.2582	0.63282	11.8961	6.8379	1.0915	0.79138	0	6.9332	0.45731	9.2234	3.5744	10.3246	7.6574	0.38143	5.5707	0.74304	0.13455
RS_G6259__MMP28__MMP28	0	0	0	1.6614	0	0	0	3.1625	0.41036	0.39913	0	3.4994	6.8926	1.2407	0.21236	0.10499	3.6345	0.4363	0	0.62521	1.5814	1.8646	0	1.1152	0.35892	0	0	0	3.2915	2.044	8.2419	0	2.4898	2.5609	0.82317	0.15459
RS_G13225__KRT75__KRT75	0.1001	0.48837	0.13704	2.6322	0	0.24517	5.1256	5.5198	0	0	2.0876	2.7652	3.4922	6.9589	8.326	0	2.9312	1.6538	1.0494	0	0.44826	7.6739	0	0	0	3.081	1.8503	2.1211	0.93863	2.1169	3.1433	0.25517	0.87163	3.2242	0	0
RS_G8285__BCAS3__BCAS3	6.4726	4.4517	6.8924	6.1476	4.0251	6.3685	4.015	4.6223	5.6088	6.772	5.5922	2.9098	4.2115	4.3633	4.9093	5.4684	4.7074	4.5601	10.9962	10.392	6.1022	4.9169	5.389	5.4788	5.8148	5.8632	3.9992	6.0761	3.7147	6.6211	5.2731	7.1972	6.4245	6.286	5.6277	5.6589
RS_G7127__TCN1__TCN1	3.0187	0.28564	12.4902	0.57705	0	0	2.1014	0.35529	0.33689	0.22798	0.15109	3.8921	1.106	7.5608	0.46196	0	10.507	0.18873	0.56437	0	0.5899	0	2.6547	9.5381	0	0	0	0	4.6244	1.8932	0.47354	0	0	0.98567	4.0451	0.92242
RS_G3172__GRIN2D__GRIN2D	1.2815	7.681	0.11453	0.68008	6.2801	0.3443	5.0838	1.1036	1.736	0.83669	0.90964	7.0748	2.9299	1.246	4.2991	1.361	3.6096	2.9072	3.4213	3.0676	2.3793	3.8963	1.1365	0.84688	0.18568	6.2513	7.0486	4.253	3.6892	1.2689	8.309	7.4344	1.1701	0.90614	2.5652	2.0206
RS_G4856__MUC5B__MUC5B	5.381	6.3991	4.9033	7.2056	0	5.3345	6.1164	0.65399	1.8113	5.2883	6.5749	0.35429	2.0415	0.42452	0.20737	0.10243	0.47117	1.1133	5.5399	4.5554	5.2356	5.2064	3.5201	7.1076	2.7576	8.4507	0.22595	0.60314	1.5779	1.4391	1.351	0.050499	0.13512	9.1755	4.8458	6.9805
RS_G6275__KLK8__KLK8	0.33827	2.1437	0	4.4067	0	0	6.9642	0	0	0	0	6.7567	8.6102	9.0065	4.5337	0	2.8049	0.24842	1.3141	0	0	8.6402	0	0.38986	0	5.6314	0	0.69648	0.74274	7.5473	9.9341	7.1862	4.1111	7.1867	5.4714	0.31492
RS_G26921__DIO2__DIO2	0	5.413	1.0247	0.66823	1.9321	0.30803	0.91034	2.4857	0.46269	0.21916	0	0.95514	3.3564	5.9604	3.0532	5.3403	2.3952	1.5161	0	1.3381	1.6989	5.4614	0.90948	0.96921	0	0	5.1246	0.28482	5.3911	0	0.80293	2.4289	0	0.34973	0.32589	1.8325
RS_G1762__MMP2__MMP2	0.4728	0.51784	0.16333	0.14627	1.1858	0.21659	6.7222	10.4729	0.2313	0.53378	1.1497	4.3334	3.1849	4.7367	0.74091	5.5154	4.458	10.0294	0.50701	0	0.15291	5.9153	0	0.47804	0.67254	6.3519	0.71178	8.0913	6.8538	1.7789	5.4073	1.6774	0	3.3427	0.5521	0
RS_G13159__ADRA1B__ADRA1B	0.18329	1.0437	0	0.11811	0	0.23221	3.1228	2.5203	0.44765	0	0.38564	2.2667	0.17378	3.1453	4.6405	1.2095	0.38458	4.1574	0.32467	0.6723	0.52594	3.0163	4.5454	0.30935	0	1.8242	1.7875	7.9508	2.9802	2.2674	6.7332	1.8183	1.1225	0.92045	1.1506	0
RS_G178__GAS7__GAS7	0.23393	0.79868	3.7512	0.60208	0.060325	0.26435	0.4579	0.89591	1.6052	0.58061	7.4591	0.81088	3.7882	3.5067	2.8269	0.42668	0.02884	0.46526	0.091648	0.1238	0.83713	5.9946	0.059891	0.18529	0.057997	6.4908	0.53052	0.11579	0.34439	5.4391	0.43877	3.5497	2.8263	4.9676	0.13361	0.17756
RS_G7729__STRA6__STRA6	3.1212	4.9445	0.43073	2.7663	2.5699	0.6656	0.51212	3.5324	0.27027	0	0.29404	0.59667	4.9074	6.5711	5.3369	5.7205	8.8652	2.6414	1.7416	1.1844	0.48367	3.9368	0.44146	1.3397	0	0.71356	4.7034	0.16212	7.6926	0	7.8942	2.7278	0.73423	3.3866	0	0.24733
RS_G7676__MMP7__MMP7	0.47687	0.94026	0	0.42652	0.74274	0	11.7365	5.5087	0.45203	0	4.8989	1.9117	1.6535	4.5871	7.6055	7.0237	11.0385	0	0.22602	0.2289	0.4265	6.6786	0	0	0	11.8133	0	0	7.3366	0	2.6851	0	2.303	4.0563	0	0
RS_G13164__FABP6__FABP6	2.3614	5.0613	0	1.2049	0	0	0	1.3002	6.2218	0.68448	0	5.6808	4.4541	2.3389	0.74174	0	0	1.7984	3.477	3.3971	0	1.042	3.6119	0.39506	1.3707	0.94948	1.4427	0	0.53013	3.8371	0	6.9112	4.9649	4.3056	0.70066	0
RS_G7932__FBN2__FBN2	0.019862	0.045061	0.57831	1.1596	1.946	1.6834	5.1368	4.5745	0.054308	0.22874	1.2318	3.0649	0.29171	1.1022	5.0247	7.6781	0.089204	5.8631	0.18858	0.47837	2.2476	0.32467	0.45439	2.9296	1.8496	4.8218	0	0.99648	1.3781	0.61224	3.0375	0	0.11434	0.25183	0.49504	0.20828
RS_G1599__KCNK2__KCNK2	1.0389	0.62798	0	5.2556	5.8207	0	2.2276	6.1906	0.15029	3.4816	1.01	1.3134	2.1757	4.0574	1.2762	2.0309	0	6.6978	0	3.5015	0	4.4907	0.9363	4.4893	4.8645	0.36774	0.74341	0	3.8843	1.4099	0.85665	0	7.8925	0.095964	5.6046	2.9884
