Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751
Response	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1	1	1	-1	1	1
RS_G8682__OSR1__OSR1	0.11123	0.23849	0.2896	0	0.48045	0	4.8216	6.3439	1.8828	0	4.1075	0.57369	0.83199	0	4.8445	2.7179	0.34605	7.5551	0	0	4.4393	4.3569	0.57157	0.45115	7.4307	0	3.2881	3.4287	0	3.2369	0.52938	0	6.3186	0
RS_G5593__PTGIS__PTGIS	3.0378	0.50905	0.24849	0.58746	0.70782	0.66543	0.79291	5.3109	1.0653	0.87824	6.5345	0.52663	5.969	0.73956	0.88407	2.4779	3.1099	3.4734	0.5584	4.7485	4.5107	0.36191	0.50222	0.45283	3.6031	0	0.52522	1.4475	2.7148	0.93871	1.9172	0.38671	4.2777	1.414
RS_G3853__C11orf41__C11orf41	0.10845	0.061167	0.16984	0.13559	1.3798	0	4.781	3.4279	0.097979	0.21235	5.1998	6.1774	4.1824	1.2452	1.3581	2.648	2.5653	6.7553	0.11354	0	4.6097	0.14799	0	0	4.5718	0.11867	2.9811	0.64591	0.3339	1.7011	0.51858	0	0.7605	0.27734
RS_G1450__HOXA9__HOXA9	0.17011	0	0	0	0	0	4.2747	6.0684	0.42162	1.0745	0.51342	2.9381	3.8685	6.2627	0	2.0643	3.0713	5.5064	0.1108	0	1.3105	0	0.20088	0	7.564	0	0	4.3002	0.78151	3.8141	2.6181	0	0.14669	0.54402
RS_G27826__RP5-857K21.10__RP5-857K21.10	5.8107	2.5263	7.2819	6.0612	5.4616	6.7566	5.7699	6.0557	5.9109	6.3595	4.472	10.192	5.0055	6.5499	5.4524	5.212	6.1806	4.031	5.5395	5.1118	3.5761	6.185	4.0503	5.0325	5.359	6.1325	3.2194	11.8036	3.2593	3.9198	4.7339	6.2921	3.4616	4.7608
RS_G8194__TGFB1I1__TGFB1I1	4.2726	2.3439	1.5566	3.0164	9.8909	0.51218	4.6719	3.9998	1.9533	0	6.8274	5.2331	4.7585	0.25652	0.71603	6.9022	4.8033	9.6163	2.0027	4.1516	2.6547	8.2845	0.19792	0	8.5533	1.3892	0.97629	7.6316	0	6.9564	2.8172	1.8548	4.6982	3.2699
RS_G11159__AC013480.3__AC013480.3	2.5096	5.1382	0.84262	2.1165	4.1201	2.8716	0.28818	5.3213	0.27702	0	5.9502	0.39959	3.0285	3.3463	2.3403	5.281	3.6272	4.1734	0.89116	7.8165	5.4132	3.387	4.0187	0	3.5094	0.11989	3.9565	3.5317	1.5217	1.0292	2.6498	0	3.4541	4.7062
RS_G1762__MMP2__MMP2	0.4728	0.51784	0.16333	0.14627	1.1858	0.21659	6.7222	10.4729	0.2313	0.53378	1.1497	4.3334	3.1849	4.7367	0.74091	5.5154	4.458	10.0294	0	0.15291	5.9153	0	0.47804	0.67254	6.3519	0.71178	8.0913	6.8538	1.7789	5.4073	1.6774	0	3.3427	0.5521
RS_G11349__FBLN2__FBLN2	0.39761	11.101	0.2534	6.3401	0.23155	0.89252	10.8382	3.7514	1.0239	4.0648	5.9735	4.6059	8.1195	0.93459	1.9516	0.6412	5.0908	1.9731	0.52712	1.2761	5.399	0	6.3892	0	11.1067	8.4706	3.8971	5.4564	7.4762	7.0764	7.3138	0	10.8093	8.9052
RS_G15970__C1S__C1S	1.1454	2.4353	2.1969	1.3139	7.0906	0.2046	3.227	10.2073	2.1667	0.75472	9.4664	4.1604	5.9223	5.6662	6.9319	7.4507	8.7764	5.3335	1.8366	1.7222	1.0289	1.1111	3.0973	1.1785	8.531	2.0352	3.0277	6.111	1.6759	2.1257	1.762	1.0168	0.55144	3.8718
RS_G7892__FGF2__FGF2	0.3704	0	0	0.15516	7.5818	0	5.2899	3.8378	0.38255	0.26018	7.8975	2.3116	5.2507	0.14505	6.8459	6.6202	2.6134	4.9625	0.15511	0.26957	2.1954	0	0.019091	0.20773	6.8107	0	4.444	2.0561	0.77491	2.5446	0	0	0.053869	0.72312
RS_G4761__ACTL8__ACTL8	0	4.1513	0	0.49839	1.8156	1.7294	1.7722	1.2647	0	1.0987	9.1407	1.2168	2.2249	0.82274	0	0	4.9166	0.76598	2.0632	0.71367	4.2102	0.46473	2.0947	1.0879	3.372	1.4646	0	4.7146	2.9259	2.428	2.758	2.3907	1.9083	4.9194
