Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM44PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	1	1	1	1	1	-1	1	-1	1
SNP__RHD	-2.45	-0.136	-0.234	-0.44	0.218	-0.163	0	-0.081	-0.204	0.122	-0.12	0.025	-0.354	-0.116	-1.366	-0.931	-2.184	-1.757	-2.619	0.132	-2.179	0.23	-0.407	0.288	-1.752	0.344	-0.015	-0.338	0.387	0.194	0.262	0.226	0.206	0.018	-0.156	0.245	-1.382	0.482	-0.299	0.165	-2.045	-1.621
SNP__MGAM	0.006	-2.204	0.355	0.322	-0.135	0.422	0.032	0.042	0.426	0.662	-0.217	0.305	0.402	-2.603	-0.251	-0.206	0.557	0.267	0.465	0.018	0.485	0.239	0.196	0.089	-0.145	-0.041	0.191	0.18	-0.409	0.099	-1.689	0.526	-3.317	-0.006	-0.234	0.23	-0.462	-0.287	-0.321	-0.317	-0.042	0.028
SNP__KRTAP9P1	-1.183	-1.304	-1.258	-1.314	-0.202	0.096	-1.572	-1.506	0.575	-1.732	-0.461	0.346	-0.646	-1.553	-0.373	-0.782	0.407	-0.04	-1.288	1.183	-1.97	-1.631	-1.416	-0.589	-1.122	-1.452	-1.299	-1.634	-0.555	-0.207	-0.938	0.468	-1.484	0.06	0.276	-0.892	-0.43	-1.419	-1.009	0.708	-1.293	-1.371
SNP__GNTIVH	0	0.087	-0.287	0.024	-1.829	0.268	0.006	-0.35	-0.2	-0.324	0.09	0.473	-0.406	-0.148	-0.224	-0.173	-0.316	0.473	-0.286	-0.029	-5.759	-0.242	0.183	0.043	0.167	0.747	0.227	-0.464	-0.018	-0.226	0.049	-0.21	-4.154	0.011	0.196	-0.004	0.174	0.916	0.315	0.074	-0.046	-0.007
SNP__LOC440300	-0.003	-0.195	-0.185	-0.095	0.12	-0.192	0.003	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	0.093	0.064	0.16	-0.455	-0.64	-0.24	-0.238	-2.399	0.202	-0.039	-0.188	0.016	-2.946	-0.224	0	-2.542	0.085	-0.388
SNP__LOC388152	-0.003	-0.195	-0.185	-0.095	0.12	-0.192	0.003	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	0.093	0.064	0.16	-0.455	-0.64	-0.24	-0.238	-2.399	0.202	-0.039	-0.188	0.016	-2.946	-0.224	0	-2.542	0.085	-0.388
SNP__LOC161527	-0.003	-0.195	-0.185	-0.095	0.12	-0.192	0.003	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	0.093	0.064	0.16	-0.455	-0.64	-0.24	-0.238	-2.399	0.202	-0.039	-0.188	0.016	-2.946	-0.224	0	-2.542	0.085	-0.388
SNP__TRBV6-2	0.0098	0.453	0.355	0.322	-0.135	-0.257	-0.564	0.042	-0.1872	-0.706	-1.599	0.29	-2.535	-0.782	-0.251	-0.206	0.557	0.267	-0.3346	0.434	-2.904	-0.1446	-2.003	-0.2195	-0.0176	0.343	0.191	-0.0206	-0.0298	0.099	0.459	0.526	-0.864	0.0144	-0.0908	-0.282	-2.249	0.0294	-0.2956	-0.317	-0.042	0.028
SNP__NEUROD2	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.43	-0.144	0.294	2.132	-0.034	0.021
