Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T4	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	1
SNP__RPS10P2	0.013	0.304	0.122	0.437	-0.355	0.09	-0.023	0.165	0.439	-0.04	-0.052	-0.073	0.435	-0.752	-0.026	-0.084	0.05	-0.604	-0.007	0.422	-0.08	0.305	0.109	0.067	0.143	-1.165	0.252	-2.608	-0.253	-0.255	-0.007	-0.374	0.868	0.028	0.109	0.024	-0.133	-0.354	-0.292	-0.31	-0.202	-0.375
SNP__LOC646663	0.003	-0.119	0.093	-3.962	0.219	0.1	-0.004	0.152	0.408	-0.301	0.1	-2.377	-0.364	0.28	0.594	-2.083	0.955	0.593	-0.392	0.016	0.095	-2.244	-0.177	0.619	0.119	0.189	0.666	0.234	0.182	0.042	-2.396	-0.159	-0.223	0.002	-1.959	0.55	0.802	-4	-0.286	0.078	0.066	0.001
SNP__FLJ20433	0.003	-0.163	0.153	0.184	0.228	0.458	0.293	0.184	0.151	0.104	1.253	0.274	0.007	-0.09	0.062	-2.744	-0.017	-0.066	-2.514	0.146	-0.01	-0.088	0.095	-0.133	0.089	1.099	-0.163	0.271	-0.201	0.047	0.531	-0.158	-0.198	0.02	-0.131	0.091	-0.054	0.182	0.292	-0.296	-0.066	0.024
SNP__LOC646636	-0.647	-0.178	-1.03	-0.402	-0.102	0.044	-0.067	-0.459	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.165	0.285	-2.607	0.797	-0.081	-0.244	0.066	-2.711	-0.842	-0.064	-0.433	-0.219	-0.216	-0.784	-0.833	-2.568	-0.035	-0.357	-1.991	-0.167	-0.356	-0.306	-0.296	-0.064	0.019
SNP__LOC402360	-0.647	-0.203	-1.03	-0.262	0.094	0.044	-0.067	-0.459	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.165	0.285	-2.607	0.797	-0.081	-0.244	0.066	-2.711	-0.865	-0.064	-0.433	-0.219	-0.228	-0.784	-0.833	-2.568	-0.025	-0.357	-1.991	-0.167	-0.356	-0.306	-0.296	-0.064	0.019
SNP__ELAVL2	-0.647	-0.203	-1.03	-0.262	0.094	0.044	-0.067	-0.459	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.165	0.285	-2.607	0.797	-0.081	-0.244	0.066	-2.711	-0.865	-0.064	-0.433	-0.219	-0.228	-0.784	-0.833	-2.568	-0.025	-0.357	-1.991	-0.167	-0.356	-0.306	-0.296	-0.064	0.019
SNP__ZPBP2	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.905	-0.04	0.207	0.424	-0.268	-0.207	-0.505	-0.133	0.11	1.523	-0.333	-0.388	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__FSTL5	-0.003	-0.202	-0.174	-3.627	-0.378	0.066	0.003	-0.441	-0.227	-0.329	-3.392	-0.466	-0.032	-0.143	0.124	-0.241	0.089	-0.09	-1.066	-0.023	-0.254	-0.291	-0.206	-0.168	-1.14	0.116	0.17	-2.551	-0.244	-0.234	-0.103	-0.225	0.382	-0.171	-0.17	-0.008	-3.276	0.04	-0.307	-0.314	-0.04	0.033
SNP__MTAP	-0.648	-0.203	-1.03	-0.275	0.166	0.044	-0.067	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-0.775	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.088	-2.158	0.031	-2.711	-0.845	-0.064	-0.429	-0.219	-0.228	-2.92	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.35	-0.306	-0.296	-0.088	0.022
SNP__GSDML	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.495	-0.04	0.207	0.424	-0.268	-0.207	-0.505	-0.133	0.11	1.523	-0.333	-0.388	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__LOC646609	-0.648	-0.203	-1.03	-0.658	-0.225	0.044	-0.067	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.213	0.031	-2.711	-0.865	-0.064	-0.429	-0.219	-0.228	-0.779	-2.484	-2.568	-0.025	-0.357	-1.991	-0.181	-0.35	-0.306	-0.296	-0.072	0.022
SNP__C9orf53	-0.648	-0.203	-1.03	-0.275	0.166	0.044	-0.067	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.088	-2.158	0.031	-2.711	-0.845	-0.064	-0.429	-0.219	-0.228	-2.92	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.35	-0.306	-0.296	-0.088	0.022
SNP__LOC646611	-0.648	-0.203	-1.03	-0.262	0.032	0.044	-0.067	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.213	0.031	-2.711	-0.865	-0.064	-0.429	-0.219	-0.228	-0.779	-2.484	-2.568	-0.025	-0.357	-1.991	-0.181	-0.35	-0.306	-0.296	-0.072	0.022
SNP__SHCL1	0.37	-3.776	-0.146	0.229	-0.093	0.096	0.186	0.39	-0.191	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.357	-0.586	0.234	0.241	-0.253	-0.189	-0.126	-0.133	0.125	-0.12	-0.315	-0.344	-0.163	-0.576	0.006	-0.138	-0.114	0.06	-0.305	0.334	-0.139	0.101	0.301	0.082	0.011	0.023
SNP__LOC402359	-0.648	-0.203	-1.03	-0.275	0.166	0.044	-0.067	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-0.775	-0.129	-0.221	0.296	-1.152	0.285	-0.464	0.797	-0.088	-0.245	0.031	-2.711	-0.845	-0.064	-0.429	-0.219	-0.228	-2.92	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.35	-0.306	-0.296	-0.088	0.022
SNP__CDKN2B	-0.648	-0.203	-1.03	-0.275	0.166	0.044	-0.067	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-1.026	0.031	-2.711	-0.845	-0.064	-0.429	-0.219	-0.228	-2.92	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.35	-0.306	-0.296	-0.088	0.022
SNP__FLJ35282	-0.648	-0.203	-1.03	-0.658	-1.017	0.044	-0.067	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.213	0.031	-2.711	-0.865	-0.064	-0.429	-0.219	-0.228	-0.779	-2.484	-2.568	-0.025	-0.357	-1.991	-0.181	-0.35	-0.306	-0.296	-0.072	0.022
SNP__RNF152	0.013	-0.2	0.086	-0.162	-2.938	-0.178	-1.059	0.299	-0.247	-0.936	-0.47	-0.079	-0.426	-0.773	-1.002	-0.56	-0.318	-0.825	-0.456	0.725	-0.217	-0.028	-0.556	-0.637	-1.075	-0.73	-0.548	-3.768	-0.263	-0.216	-0.035	0.137	-0.198	-0.015	-0.16	-0.028	-0.793	-0.357	-0.615	-0.284	0.239	0.234
SNP__CDKN2A	-0.648	-0.203	-1.03	-0.275	0.166	0.044	-0.067	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-2.756	-2.158	0.031	-2.711	-0.845	-0.064	-0.429	-0.219	-0.228	-2.92	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.35	-0.306	-0.296	-0.088	0.022
SNP__LOC402095	0.006	0.099	-0.053	-0.097	-0.173	-0.161	-0.004	-0.06	-0.202	-3.918	-3.632	-0.071	-3.064	-4.13	0.029	0.046	0.06	-0.061	-0.404	-0.742	0.019	-0.01	0.096	-0.16	-4.366	0.429	-0.033	0.247	-0.21	0.067	-0.475	0.161	-0.168	-0.029	-0.096	0.031	0.03	0.028	-3.42	-0.806	-0.066	-0.373
SNP__ODF4	-0.021	-0.166	-0.156	-0.362	0.458	-0.517	0.009	0.038	-0.205	0.101	-0.138	-5.279	-0.028	0.258	-0.128	-0.227	-0.276	-0.019	-0.08	-0.412	-4.569	-4.154	-0.199	0.193	0.103	-0.212	-0.317	-4.426	-0.207	-0.217	-0.006	-0.182	0.164	-0.556	-0.156	-0.318	-3.845	-3.502	-0.307	-0.299	-3.855	-4.116
SNP__ACOT1	-0.006	0.339	0.142	-0.418	0.204	-0.18	0.531	0.109	0.97	-0.302	-0.286	-0.06	-0.426	-0.147	-0.064	0.097	-0.191	0.297	0.026	-0.436	-0.187	-0.081	-2.039	-1.651	-0.202	0.111	-0.318	-0.255	1.592	0.04	-0.019	0.184	-0.121	-0.014	0.027	0.006	-0.45	0.429	0.279	-2.152	-0.052	0.276
SNP__LOC646605	-0.648	-0.203	-1.03	-0.275	0.166	0.044	-0.067	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.181	0.031	-2.711	-0.845	-0.064	-0.429	-0.219	-0.228	-0.779	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.35	-0.306	-0.296	-0.088	0.022
SNP__PPARBP	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.445	-0.199	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	1.605	-0.04	0.201	0.22	-0.268	-0.207	-0.505	-0.133	0.11	0.77	-0.333	-0.388	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	1.743	-0.034	0.021
SNP__LOC220929	0.021	-3.307	-0.091	0.102	-2.386	-0.139	-0.37	0.431	-2.209	-0.292	-0.132	-0.014	-0.03	-0.151	-1.897	0.022	0.084	0.183	0.083	0.042	0.762	-2.689	0.09	-0.589	-2.667	0.019	0.213	0.274	-0.22	-1.109	-0.03	0.189	0.189	0.033	0.416	0.008	-0.773	-0.106	-0.302	0.08	-0.074	0.009
SNP__CFHL4	0.651	0.5	0.706	0.482	0.492	0.442	0.058	2.355	0.418	-2.181	0.09	-0.838	0.434	0.253	0.026	0.136	-1.672	0.176	0.221	2.628	-2.421	-0.061	0.351	0.315	0.099	2.833	0.39	0.207	0.152	0.263	0.383	-0.264	-1.268	0	0.029	0.243	0.291	0.034	0.282	1.222	0.569	-2.009
SNP__DMRTA1	-0.648	-0.203	-1.03	-0.275	0.045	0.044	-0.067	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.181	0.031	-2.711	-0.845	-0.064	-0.429	-0.219	-0.228	-0.779	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.35	-0.306	-0.296	-0.088	0.022
