Cell lines	21MT1	21NT	21PT	AU565	BT20	BT474	BT549	CAL120	CAL148	CAL851	CAMA1	EFM19	EFM192A	EFM192B	HCC1143	HCC1187	HCC1419	HCC1428	HCC1569	HCC1806	HCC2185	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751
Response	-1	-1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	-1	1	-1	-1	1	1	1
SNP__BCAS1	-0.003	-0.022	-0.019	1.068	-2.242	2.02	0.515	0.342	0.249	-0.052	0.076	0.832	1.304	1.34	0.13	-0.213	1.117	1.015	0.237	0.233	0.352	0.268	0.169	0.238	0.305	0.634	2.058	2.247	0.637	0.143	0.83	0.252	0.166	1.244	-0.184	0.683	0.028	0.371	0.333	0.855	-0.137	0.32	0.853	0.395
SNP__LOC442117	-0.328	-3.225	-0.364	-0.202	-0.243	-0.174	-0.878	-3.143	-0.094	-1.007	0.066	-0.412	-0.106	-0.022	-0.432	-0.227	-1.141	-0.466	-0.032	-1.806	-0.09	-1.049	-0.029	-0.254	-0.291	-0.384	0.035	-0.206	1.777	-1.562	0.116	0.17	-0.052	-0.234	-1.502	-2.091	-0.171	-0.178	-1.975	-0.008	-1.681	-0.307	-0.324	-0.04
SNP__GNTIVH	-0.152	-0.226	0.029	0.087	-0.89	-0.287	-1.829	-0.366	-0.102	0.04	0.268	0.277	0.184	0.311	-0.35	-0.2	0.09	0.473	-0.406	-0.148	0.473	-0.286	-0.029	-5.759	-0.242	-0.362	0.183	0.043	-0.039	0.167	0.747	0.227	-0.018	0.049	-0.21	-4.154	0.011	0.196	-0.014	-0.004	0.916	0.315	0.074	-0.046
SNP__GBP3	-0.006	-0.292	-0.036	0.102	-0.219	-0.252	0.15	0.108	-0.144	-0.056	-0.545	-0.004	-0.455	-0.398	-0.062	-0.05	0.098	-0.463	-0.029	-0.116	-0.263	0.218	-0.037	0.3	0.226	0.895	-0.47	-0.55	-0.126	0.708	-0.172	-0.032	-0.063	0.266	0.462	0.202	-4.112	-0.139	0.134	-0.035	0.043	-0.3	-3.392	-0.366
SNP__IGHV3-9	0.615	0.882	0.633	-1.798	0.585	0.673	-0.959	0.591	1.474	0.312	0.618	0.738	-0.883	-1.205	-1.653	1.309	0.488	1.422	0.404	0.7	1.632	0.746	1.075	0.515	0.629	0.465	1.192	0.898	1.251	-1.775	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	1.993	0.777	1.049	1.114	-0.949	1.818
SNP__IGHV2-10	0.615	0.882	0.633	-1.798	0.585	0.673	-0.959	0.591	1.474	0.312	0.618	0.738	-0.883	-1.205	-1.653	1.309	0.488	1.422	0.404	0.7	1.632	0.746	1.075	0.515	0.629	0.465	1.192	0.898	1.251	-1.775	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	1.993	0.777	1.049	1.114	-0.949	1.818
SNP__UGT2B28	-1.639	-3.405	-4.195	-0.141	-0.225	-0.182	-0.446	-0.104	-0.099	-0.809	0.075	0.286	-0.098	-0.389	-0.317	-0.225	-0.358	-2.842	-0.056	-2.173	-0.088	-0.067	-0.127	-0.254	-0.291	-0.38	-0.072	-0.197	-0.166	-0.071	-0.759	-0.057	-0.051	-0.232	0.456	0.232	-0.171	1.059	-0.063	-0.859	-0.19	-0.316	-0.326	-0.039
SNP__LOC643827	0.005	-0.01	-0.018	-0.178	-0.209	-0.352	-0.099	-2.388	-0.109	0.001	0.064	-0.427	-2.278	-2.576	0.078	0.129	-0.251	-0.141	0.04	-0.124	-0.29	-0.094	0.287	-4.747	-0.088	0.152	-0.006	-0.191	0.002	-0.159	-0.186	0.2	-0.24	0.047	-2.826	0.168	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159
SNP__FSTL5	-0.328	-0.282	-0.364	-0.202	0.738	-0.174	-0.378	-0.092	-0.094	-0.999	0.066	-3.203	-0.107	-0.022	-0.441	-0.227	-3.392	-0.466	-0.032	-0.143	-0.09	-1.066	-0.023	-0.254	-0.291	-0.384	0.035	-0.206	-0.168	-1.14	0.116	0.17	-0.052	-0.234	-0.225	0.382	-0.171	-0.17	-0.079	-0.008	-3.276	-0.307	-0.314	-0.04
SNP__FHIT	-0.896	-0.907	1.138	-0.512	-0.843	-0.527	-1.144	-3.116	-0.1	-0.357	-0.552	-0.02	-0.5	-0.205	-0.124	-0.233	0.088	-3.014	-0.436	-2.443	-0.262	-1.066	-0.422	-0.748	0.159	-1.689	-0.429	-0.566	-0.69	-0.584	-0.186	-1.065	-0.058	-0.613	-0.183	0.859	0.017	-0.265	-0.361	-2.101	0.266	-0.31	-0.272	-0.059
SNP__LCE3B	0.111	0.284	0.301	0.495	-2.398	-0.129	0.134	-0.014	0.502	0.761	-1.961	0.254	0.201	-1.77	-2.008	-1.872	0.09	0.015	1.19	0.642	0.754	-0.518	0.206	0.277	-0.064	-0.345	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-1.569	-2.222	-1.451	0.291	-1.976	-1.915	-2.744
SNP__ZNFN1A3	-0.316	-0.26	-0.365	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	2.145	1.521	-0.423	-0.199	2.135	-0.411	2.277	-0.144	-0.04	0.207	0.424	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	2.132	-0.034
SNP__MGC48595	-1.466	-1.677	-1.502	0.339	-0.173	0.142	0.204	-0.184	-0.126	-0.356	-0.18	0.223	0.104	0.344	0.109	0.97	-0.286	-0.06	-0.426	-3.549	0.297	0.026	-0.436	-0.187	-0.081	-0.391	-1.966	-2.039	-1.651	-0.202	0.111	-0.318	0.303	0.04	0.184	-0.121	-0.014	0.027	-2.016	0.006	-2.601	0.279	-2.152	-0.052
SNP__DMBT1	-0.329	-0.275	-0.362	-0.15	-0.868	-3.561	-0.159	-0.37	-0.099	-0.346	-0.167	-0.398	-0.114	-0.04	-0.078	-0.204	-0.148	-0.008	-0.386	0.221	-0.264	-0.305	-0.408	-0.268	-0.603	-0.366	0.022	0.108	-0.167	-0.224	0.032	0.319	-0.043	-0.202	0.142	-0.198	0.033	0.008	-4.07	-3.272	-0.254	-0.304	0.08	0.118
SNP__ADCY8	0.387	-2.835	-2.72	-0.538	0.187	0.462	0.56	0.753	-0.1	0.126	0.675	0.242	-0.144	0.019	0.657	0.154	-0.212	0.924	0.583	0.726	-3.152	0.981	0.755	0.486	0.681	0.276	0.212	0.457	0.595	0.171	0.433	0.26	0.397	-0.599	0.633	0.206	0.038	0.142	0.75	-0.4	0.69	0.319	-2.892	0.234
SNP__LCE3C	0.111	0.284	0.301	0.495	-2.398	-0.129	-1.861	-0.014	0.502	0.761	-1.961	-1.775	-1.552	-1.77	-2.008	-1.872	0.09	0.015	1.19	0.642	0.754	-0.518	0.206	0.277	-0.064	-1.672	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-1.569	-2.222	-1.451	-2.241	-1.976	-1.915	-2.744
SNP__LOC653723	0.303	-0.892	0.41	-0.12	-2.97	0.093	0.219	-0.166	-0.105	-2.872	0.475	0.266	0.316	-0.007	0.152	0.408	0.1	-3.66	-2.52	0.255	0.584	-3.227	0.016	0.14	0.287	-2.138	-0.019	-0.177	-0.637	0.119	0.029	0.182	-0.021	0.052	-0.159	-0.223	0.002	0.745	0.286	0.55	-0.388	-0.286	0.088	0.066
SNP__LOC645532	-0.33	-0.261	-0.349	0.125	0.185	0.108	0.226	0.174	-0.094	-0.222	0.439	-0.405	-0.025	0.237	0.797	-0.233	-0.189	-0.009	0.016	-0.155	-0.318	0.581	-0.019	-0.26	0.356	0.032	0.244	-2.168	0.414	0.366	-0.158	0.3	-0.052	0.033	0.474	-0.195	0.037	-2.549	0.25	0.037	0.218	0.053	0.061	-2.489
SNP__SHCL1	-0.316	-0.263	-0.365	-3.776	-0.191	-0.146	-0.093	-0.135	-0.103	0.012	0.096	-0.362	-0.391	-0.378	0.39	-0.191	-0.461	0.284	0.058	-0.119	-0.586	0.234	0.241	-0.253	-0.189	-0.923	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.532	-0.576	-0.138	-0.114	0.06	-0.305	-0.354	0.334	-0.139	0.301	0.082	0.011
