Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1
SNP__ZNFN1A3	0.376	1.965	-0.203	1.862	-0.07	0.096	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__MGAM	0.006	-2.204	0.186	0.355	-0.135	0.422	0.042	0.426	0.662	-0.217	0.305	0.402	-2.603	-0.251	-0.206	0.267	0.465	0.018	0.485	0.239	0.196	0.089	0.122	-0.145	-0.041	0.191	-0.409	-1.689	0.526	-3.317	-0.006	-0.327	0.23	-0.287	-0.321	-0.317	-0.042	0.028
SNP__NEUROD2	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PPP1R1B	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__STARD3	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__BCAS1	0.013	1.068	-2.242	2.02	0.515	0.076	0.13	-0.213	-0.562	1.117	1.015	0.237	0.233	0.336	0.288	0.352	0.268	0.169	0.238	0.305	2.058	2.247	0.637	0.143	0.83	0.252	0.166	1.244	-0.184	0.683	0.028	0.333	0.855	-0.137	0.32	0.853	0.395	0.305
SNP__LOC553158	-0.003	-0.092	-0.2	-0.161	-0.154	0.018	0.287	-0.231	0.306	-0.012	-0.391	0.092	-0.114	-0.193	-0.279	0.328	0.111	0.432	-4.011	0.16	-0.404	-0.52	-3.357	-3.547	-0.223	0.027	0.314	-0.216	-0.182	-0.152	0.004	0.51	0.075	0.009	-0.327	-2.757	-0.431	-0.368
SNP__LOC252968	-1.369	-0.166	-1.456	-0.156	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__C17orf37	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
