Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MDAMB157	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751
Response	-1	1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	1	1	1	1	1	1	1	1	-1	-1
SNP__SLC25A37	0.027	-0.532	-0.856	-0.332	0.511	-0.54	-0.425	0.152	-0.295	0.09	-0.453	-0.37	-3.962	-3.239	-0.59	-0.956	-0.036	-4.159	-0.445	-1.129	0.047	-0.433	-3.29	-0.251	-0.823	-0.414	-0.552	-5.047	-0.129	0.026	-0.957	-0.331	-0.746	-3.624	-0.274	-0.066
SNP__CFHL4	0.651	0.5	0.162	0.706	0.492	0.442	2.355	0.418	-2.181	0.09	-0.838	0.434	0.253	0.026	0.136	-1.672	0.176	0.221	2.628	-2.421	-0.061	0.408	0.315	0.099	2.833	0.745	0.263	-0.264	-1.268	0	0.153	0.243	0.291	0.282	1.222	0.569
SNP__LOC644144	0.37	-3.761	-0.191	-0.146	-0.098	0.096	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.357	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.133	0.125	-0.12	0.004	-0.576	-0.138	0.22	0.06	-0.354	0.334	-3.028	0.301	0.082	0.011
SNP__LCE3B	-1.958	0.495	-2.398	-0.129	0.134	-1.961	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	-2.024	0.754	-0.518	0.206	0.277	-0.064	-2.123	0.833	-0.582	-0.172	-1.643	0.268	-0.255	-0.111	0	-2.222	-1.451	0.291	-1.976	-1.915	-2.744
SNP__RHD	-2.45	-0.136	-0.18	-0.234	0.218	-0.163	-0.081	-0.204	0.122	-0.12	0.025	-0.354	-0.116	-1.366	-0.931	-2.184	-1.757	-2.619	0.132	-2.179	0.23	-0.407	-1.321	-1.752	0.344	0.387	0.262	0.226	0.206	0.018	0.057	0.245	0.482	-0.299	0.165	-2.045
SNP__FLJ10120	0.37	-3.761	-0.191	-0.146	-0.098	0.096	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.357	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.133	0.125	-0.12	0.004	-0.576	-0.138	0.22	0.06	-0.354	0.334	-3.028	0.301	0.082	0.011
SNP__ZNF28	0.003	-0.12	0.172	0.093	0.219	0.1	0.152	0.408	-0.301	0.1	0.43	-0.364	-3.273	0.478	0.334	0.352	0.584	-0.376	0.016	-3.578	0.287	-0.019	-0.641	0.119	0.029	-0.021	-0.158	-0.159	-0.223	0.002	0.286	0.55	0.917	-0.286	0.088	0.066
SNP__KLRC2	0.038	-4.945	0.128	0.073	-0.258	-0.537	-0.087	0.204	-1.394	0.077	-0.416	0.21	0.23	0.269	-0.566	-0.339	0.364	0.146	-0.033	0.007	-0.092	-0.409	-0.322	0.115	0.239	-0.051	-1.749	-0.206	0.108	0.002	0.016	-0.249	0.216	-0.858	-0.32	0.568
SNP__LCE3C	-1.958	0.495	-2.398	-0.129	-1.861	-1.961	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-1.693	-1.825	-2.024	0.754	-0.518	0.206	0.277	-0.064	-2.123	0.833	-0.582	-0.172	-1.643	0.268	-0.255	-0.111	0	-2.222	-1.451	-2.241	-1.976	-1.915	-2.744
SNP__HLA-DRB5	-0.372	-0.275	-0.505	1.173	-1.003	-0.07	0.144	0.266	-0.275	0.042	0.994	0.89	-1.493	1.236	0.357	-0.479	-0.486	-0.785	1.626	0.025	1.158	1.099	0.848	-0.42	-1.807	-0.056	-0.222	1.776	1.042	0.017	0.284	-0.019	1.208	0.011	0.062	-0.222
SNP__C6orf142	0.009	1.173	-0.215	1.823	1.949	1.676	1.548	-0.236	-0.367	1.675	-1.374	2.177	2.205	0.02	1.728	0.706	1.688	1.511	-0.392	2.174	0.149	1.363	2.165	-0.129	0.392	-0.056	1.373	0.473	2.372	0.017	0.346	0.144	-2.114	2.116	0.062	-0.222
SNP__ZNF291	1.389	1.241	1.103	-2.232	-2.143	-1.568	-1.604	1.159	1.567	-1.657	-2.226	1.656	0.899	-1.684	1.304	1.187	-1.828	1.473	-1.248	1.151	-0.318	-1.928	1.228	1.442	1.309	-0.64	1.19	1.798	1.79	1.377	1.133	1.031	-1.919	0	-1.574	1.463
SNP__KRTAP9P1	-1.183	-1.304	-1.218	-1.258	-0.202	0.096	-1.506	0.575	-1.732	-0.461	0.346	-0.646	-1.553	-0.373	-0.782	0.407	-0.04	-1.288	1.183	-1.97	-1.631	-1.416	-0.133	-1.122	-1.452	-0.555	-0.938	0.468	-1.484	0.06	-1.602	-0.892	-1.419	-1.009	0.708	-1.293
SNP__C20orf133	0.013	0.478	-2.773	-3.412	-2.106	0.09	0.165	0.439	0.29	-0.718	-3.747	0.552	-0.752	-3.208	-2.113	-3.5	-2.389	0.214	0.422	-3.787	0.305	0.243	-0.69	0.143	-3.628	0.31	0.582	-0.578	0.868	0.028	-0.267	0.024	-0.782	-0.292	-3.619	-0.277
SNP__MGAM	0.006	-2.204	0.186	0.355	-0.135	0.422	0.042	0.426	0.662	-0.217	0.305	0.402	-2.603	-0.251	-0.206	0.557	0.267	0.465	0.018	0.485	0.239	0.196	0.122	-0.145	-0.041	-0.409	-1.689	0.526	-3.317	-0.006	-0.327	0.23	-0.287	-0.321	-0.317	-0.042
SNP__FLJ20433	0.003	-0.163	-3.396	0.153	0.228	0.458	0.184	0.151	0.104	1.253	0.274	0.007	-0.09	0.062	-2.744	-0.017	-0.066	-2.514	0.146	-0.01	-0.088	-0.038	-0.133	0.089	1.099	-1.534	0.047	-0.158	-0.198	0.02	-0.147	0.091	-0.054	0.292	-0.296	-0.066
SNP__SHCL1	0.37	-3.776	-0.191	-0.146	-0.093	0.096	0.39	-0.191	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.357	-0.586	0.234	0.241	-0.253	-0.189	0.005	-0.133	0.125	-0.12	-0.532	-0.576	-0.138	-0.114	0.06	-0.354	0.334	-0.139	0.301	0.082	0.011
SNP__TRBV6-2	0.0098	0.453	0.186	0.355	-0.135	-0.257	0.042	-0.1872	-0.706	-1.599	0.29	-2.535	-0.782	-0.251	-0.206	0.557	0.267	-0.3346	0.434	-2.904	-0.1446	-2.003	0.122	-0.0176	0.343	-0.0298	0.459	0.526	-0.864	0.0144	-0.273	-0.282	0.0294	-0.2956	-0.317	-0.042
SNP__LOC220929	0.021	-3.307	0.326	-0.091	-2.386	-0.139	0.431	-2.209	-0.292	-0.132	-0.014	-0.03	-0.151	-1.897	0.022	0.084	0.183	0.083	0.042	0.762	-2.689	-0.356	-0.589	-2.667	0.019	-0.043	-1.109	0.189	0.189	0.033	-0.204	0.008	-0.773	-0.302	0.08	-0.074
SNP__LOC645280	-0.014	-0.082	-3.43	-0.134	-0.12	0.05	-2.895	-0.216	-0.288	-0.012	-0.384	0.122	-0.092	0.026	0.799	-0.376	0.041	0.217	0.746	-4.462	0.157	-0.404	-0.131	-0.122	0.062	0.328	-0.202	0.226	-0.148	0.004	0.227	0.174	-0.31	-0.302	0.343	-4.17
SNP__LOC220594	-1.369	-0.166	-1.456	-0.156	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	0.193	0.11	-0.212	0.549	-0.217	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	0.247	0.42133	-0.431
SNP__LOC252968	-1.369	-0.166	-1.456	-0.156	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	0.193	0.11	-0.212	0.549	-0.217	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	0.247	0.834	-0.431
