Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	1	-1	-1	-1	1	1	1	1	-1	1	1	-1	-1
SNP__LOC252968	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LOC654346	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LOC147158	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LOC201288	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LOC220594	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.42133	-0.431	-0.364
SNP__DLG2	-0.634	0.113	0.18	-0.244	-0.632	-1.16	-0.541	-0.389	-0.094	-3.323	-0.323	-0.465	-0.054	0.189	0.841	-0.064	0.306	0.063	0.242	0.23	0.256	-0.225	-0.181	0.19	2.017	-0.109	0.096	-0.208	-0.433	-0.044	0.051	-0.884	-2.328	-0.016	-0.106	0.162	-0.349	-0.024	0.324	0.333	-0.258	-0.386
SNP__FAM106A	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.357	-0.431	-0.364
SNP__LOC252840	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.357	-0.431	-0.364
SNP__FLJ36492	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.654	-1.316	-1.487	0.101	0.844	-0.411	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	-1.31	0.357	-0.431	-0.364
