Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	1	-1
SNP__NAALADL2	0.008	-3.295	0.245	0.18	-0.944	-1.94	0.062	0.02	-0.23	0.113	0.076	0.496	0.212	0.196	0.59	0.063	-0.123	0.453	0.269	0.409	0.28	0.688	0.56	-1.384	-0.058	-0.006	0.455	0.315	-0.573	0.167	-0.153	0.005	-0.156	0.21	-0.704	0.469	0.722	0.061	-0.034	0.008
SNP__EB-1	0	-0.231	-0.895	0.219	0.241	-1.335	0.268	-0.404	-0.23	-0.324	0.09	0.473	-1.84	-0.148	-0.221	1.403	-2.498	-0.286	-0.029	-2.022	-0.242	0.183	0.101	-1.554	0.134	0.719	0.221	-0.062	-0.271	0.162	-0.278	0.011	-1.876	-0.239	-0.004	0.561	0.315	-0.262	-0.046	-0.007
SNP__DLG2	-0.634	0.113	0.18	-0.244	-0.632	-1.16	-0.541	-0.094	-3.323	-0.323	-0.465	-0.054	0.189	0.841	-0.064	0.306	0.242	0.23	0.256	-0.225	-0.181	0.19	2.017	-0.109	0.096	-0.208	-0.433	-0.044	0.051	-0.884	-2.328	-0.016	-0.106	0.162	-0.349	-0.024	0.324	0.333	-0.258	-0.386
SNP__FHIT	0.008	-0.512	-0.843	-0.527	-0.136	-1.144	-0.552	-0.124	-0.233	-0.319	0.088	-3.014	-0.436	-2.443	-0.429	-0.127	-0.262	-1.066	-0.422	-0.748	0.159	-0.429	-0.566	-0.69	-0.584	-0.186	-1.065	-0.058	-0.613	-0.183	0.859	0.017	-0.265	-0.361	-2.101	0.266	-0.31	-0.272	-0.059	-0.371
SNP__CRKRS	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-0.199	-0.316	-0.482	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.182	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__DMBT1	0.014	-0.15	-0.868	-3.561	-0.116	-0.159	-0.167	-0.078	-0.204	0.315	-0.148	-0.008	-0.386	0.221	0.4	-0.208	-0.264	-0.305	-0.408	-0.268	-0.603	0.022	0.108	-0.167	-0.224	0.032	0.319	-0.043	-0.202	0.142	-0.198	0.033	0.008	-4.07	-3.272	-0.254	-0.304	0.08	0.118	-0.366
SNP__C20orf133	0.013	0.478	-2.773	-3.412	0.535	-2.106	0.09	0.165	0.439	0.29	-0.718	-3.747	0.552	-0.752	-3.208	-2.113	-2.389	0.214	0.422	-3.787	0.305	0.243	-0.409	-0.69	0.143	-3.628	0.252	0.31	0.582	-0.578	0.868	0.028	0.109	-0.267	0.024	-0.782	-0.292	-3.619	-0.277	-0.375
SNP__SHCL1	0.37	-3.776	-0.191	-0.146	0.229	-0.093	0.096	0.39	-0.191	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.586	0.234	0.241	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.532	-0.576	-0.138	-0.114	0.06	-0.305	-0.354	0.334	-0.139	0.301	0.082	0.011	0.023
SNP__SLC25A37	0.027	-0.532	-0.856	-0.332	-0.456	0.511	-0.54	-0.425	0.152	-0.295	0.09	-0.453	-0.37	-3.962	-3.239	-0.59	-0.036	-4.159	-0.445	-1.129	0.047	-0.433	-0.537	-3.29	-0.251	-0.823	-0.414	-0.414	-0.552	-5.047	-0.129	0.026	-0.156	-0.957	-0.331	-0.746	-3.624	-0.274	-0.066	0.011
