Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1
SNP__PTPRN2	-0.54	0.091	0.186	0.355	2.806	0.212	0.084	-0.263	-0.23	1.006	2.779	0.286	0.411	-0.76	0.007	-0.229	0.264	0.45	0.006	0.092	0.206	0.691	0.507	-0.225	0.13	-0.332	2.594	-0.039	0.258	0.53	-0.226	0.002	-0.266	-0.906	0.263	-0.308	-0.319	-0.288	-0.046	0.028
SNP__LOC643473	-0.26	-0.178	-0.209	-0.352	-0.211	-0.07	0.064	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.29	-0.094	0.287	-0.184	-6.439	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.211	-0.383	-0.676	0.188	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__ADAM32	0.027	-0.542	-0.174	-0.204	1.083	0.534	0.98	-0.335	0.152	-0.295	0.052	0.27	0.859	-0.137	-0.54	-0.59	-0.036	-0.376	0.243	-1.129	0.042	-0.433	-0.696	0.258	-0.275	0.134	-0.446	0.072	-0.599	-0.199	-0.194	0.026	0.061	0.725	-0.349	1.672	0.319	0.595	-0.507	-0.445
SNP__LOC646227	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-1.661	-1.859	0.7	-0.195	0.037	-2.05	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
SNP__BTNL3	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-1.661	-1.859	0.7	-0.195	0.037	-2.05	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
SNP__GSTM1	1.308	0.102	2.472	-0.243	-0.13	1.142	0.296	0.868	-0.518	-0.31	1.245	0.005	1.479	-0.132	2.103	1.379	-0.257	-0.444	2.34	1.976	1.276	2.435	2.546	1.445	1.813	-0.172	1.723	-0.063	1.282	0.164	0.188	1.108	1.492	-0.384	-0.27	0.043	-0.303	-0.303	1.499	1.386
SNP__GNTIVH	0	0.087	-0.89	-0.287	0.024	-1.829	0.268	-0.35	-0.2	-0.324	0.09	0.473	-0.406	-0.148	-0.224	-0.173	0.473	-0.286	-0.029	-5.759	-0.242	0.183	0.043	-0.039	0.167	0.747	0.227	-0.018	0.049	-0.21	-4.154	0.011	0.196	-0.014	-0.004	0.916	0.315	0.074	-0.046	-0.007
SNP__LOC441440	-0.26	-0.178	-0.209	1.861	2.288	2.394	0.064	-0.573	0.129	0.094	0.347	1.881	0.04	-0.124	-0.018	0.1	-0.29	-0.094	2.423	0.464	-0.088	-0.006	1.694	2.642	-0.159	-0.186	0.2	2.292	0.047	-0.211	2.084	0.002	-0.053	2.049	-0.378	2.062	-0.139	-0.296	1.735	0.024
SNP__LOC440300	-0.003	-0.195	0.157	-0.185	-0.095	0.12	-0.192	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.64	-0.238	-2.399	0.202	-0.039	-0.188	-0.404	0.016	-0.224	0	-2.542	0.085	-0.388
