Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T4	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	-1	1	1	1	1	-1	1	1	-1	1	-1	1	1	1	1	1	1	-1	-1	1	1	1	1	-1	-1
SNP__C6orf142	0.009	1.173	1.823	-0.608	1.949	1.676	2.071	1.548	-0.236	-0.367	1.675	-1.374	2.177	2.205	0.02	1.728	0.706	1.688	1.511	-0.392	2.174	0.149	1.363	0.084	2.165	-0.129	0.392	0.246	-0.426	-0.056	2.279	1.373	0.473	2.372	0.017	1.813	0.144	-2.114	-0.35	2.116	0.062	-0.222	-0.379
SNP__ZNF462	0.003	-0.163	0.13	0.149	0.209	0.064	0.293	0.184	0.133	0.094	-0.15	0.238	-0.022	-0.124	0.274	0.147	0.036	-0.073	-0.126	0.146	-0.019	-0.088	-0.064	0.157	-0.15	-0.147	0.207	-4.605	0.223	-0.633	-0.201	0.047	-0.211	0.161	0.02	0.188	0.028	-0.176	0.182	0.297	-0.296	-0.055	0.024
SNP__LOC220929	0.021	-3.307	-0.091	0.102	-2.386	-0.139	-0.37	0.431	-2.209	-0.292	-0.132	-0.014	-0.03	-0.151	-1.897	0.022	0.084	0.183	0.083	0.042	0.762	-2.689	-0.356	0.09	-0.589	-2.667	0.019	0.213	0.274	-0.043	-0.22	-1.109	0.189	0.189	0.033	0.416	0.008	-0.773	-0.106	-0.302	0.08	-0.074	0.009
SNP__FLJ20433	0.003	-0.163	0.153	0.184	0.228	0.458	0.293	0.184	0.151	0.104	1.253	0.274	0.007	-0.09	0.062	-2.744	-0.017	-0.066	-2.514	0.146	-0.01	-0.088	-0.038	0.095	-0.133	0.089	1.099	-0.163	0.271	-1.534	-0.201	0.047	-0.158	-0.198	0.02	-0.131	0.091	-0.054	0.182	0.292	-0.296	-0.066	0.024
SNP__WWOX	-2.18	-0.55	0.092	0.19	-2.109	-1.822	-0.483	-0.105	0.708	0.091	-0.139	-2.381	-1.667	-0.81	0.304	0.23	-2.29	-1.709	-0.412	-1.319	0.442	-2.607	0.572	0.448	-0.661	-2.395	0.457	-2.223	-2.09	-1.648	-1.899	-0.561	-0.206	-2.091	0.026	0.541	1.107	-0.132	-1.443	-2.033	0.479	-0.056	-0.372
SNP__CRKRS	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.445	-0.199	-0.316	-0.482	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.182	-0.333	-0.388	-0.013	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	1.743	-0.034	0.021
SNP__LCE3B	-1.958	0.495	-0.129	-2.13	0.134	-1.961	-2.495	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	-2.024	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	0.986	-1.643	0.174	0.268	-0.255	-0.111	0	-1.569	-1.451	0.291	0.045	-1.976	-1.915	-2.744	-2.627
SNP__DMBT1	0.014	-0.15	-3.561	-0.116	-0.159	-0.167	-0.068	-0.078	-0.204	0.315	-0.148	-0.008	-0.386	0.221	0.4	-0.208	-0.224	-0.264	-0.305	-0.408	-0.268	-0.603	0.022	0.108	-0.167	-0.224	0.032	0.319	0.013	-0.043	-0.218	-0.202	0.142	-0.198	0.033	0.008	-3.272	-0.254	-0.118	-0.304	0.08	0.118	-0.366
SNP__HLA-DRB5	-0.372	-0.275	1.173	-0.434	-1.003	-0.07	1.314	0.144	0.266	-0.275	0.042	0.994	0.89	-1.493	1.236	0.357	-0.479	-0.486	-0.785	1.626	0.025	1.158	1.099	0.857	0.848	-0.42	-1.807	0.066	-0.934	-0.056	0.359	-0.222	1.776	1.042	0.017	-0.896	-0.019	1.208	-0.35	0.011	0.062	-0.222	-0.379
