Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	-1	-1	1	1	-1	-1	-1	1	1	1	1	1	1	1	-1	-1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1	-1	1	1	1	1	-1	1	-1	1	-1	-1
SNP__ADAM32	0.027	-0.542	-0.174	-0.204	1.083	0.534	0.98	-0.335	0.152	-0.295	0.052	0.27	0.859	-0.137	-0.54	-0.59	-0.036	-0.376	0.243	-1.129	0.042	-0.696	0.258	-0.275	0.134	-0.446	0.072	-0.599	-0.199	-0.194	0.026	0.061	0.725	-0.349	1.672	0.319	0.595	-0.507	-0.445
SNP__ACOT1	-0.006	0.339	-0.173	0.142	-0.418	0.204	-0.18	0.109	0.97	-0.302	-0.286	-0.06	-0.426	-0.147	-0.064	0.097	0.297	0.026	-0.436	-0.187	-0.081	-2.039	-1.651	-0.202	0.111	-0.318	0.303	0.04	0.184	-0.121	-0.014	0.027	-2.016	0.006	-0.45	0.279	-2.152	-0.052	0.276
SNP__MGC48595	-0.006	0.339	-0.173	0.142	-0.418	0.204	-0.18	0.109	0.97	-0.302	-0.286	-0.06	-0.426	-3.549	-0.064	0.097	0.297	0.026	-0.436	-0.187	-0.081	-2.039	-1.651	-0.202	0.111	-0.318	0.303	0.04	0.184	-0.121	-0.014	0.027	-2.016	0.006	-2.601	0.279	-2.152	-0.052	-0.394
SNP__SLC25A18	-0.01	-0.086	-0.197	-0.134	-0.467	2.812	0.05	0.5	-0.216	-0.288	-0.012	-0.384	0.122	-0.116	0.026	-0.136	0.301	0.217	0.723	0.172	0.157	1.888	-0.131	-0.122	0.062	0.04	0.328	-0.202	-0.752	2.554	0.004	-0.206	0.227	0.058	-0.3	-0.32	-0.289	0.37	0.095
SNP__LOC402359	-0.648	-0.203	-0.232	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-0.775	-0.129	-0.221	-1.152	0.285	-0.464	0.797	-0.088	-0.245	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__ADAM5	0.722	-0.542	-0.174	-1.888	1.636	-1.395	1.685	-0.335	0.756	-0.295	0.052	0.27	1.495	-0.137	-1.496	1.673	-0.036	-0.376	0.852	-1.129	0.042	-0.696	0.258	-0.275	0.8	-0.446	0.644	-0.599	0.491	0.417	0.026	0.455	-2.281	-0.349	2.017	0.319	1.256	-0.507	-0.445
SNP__NME7	0.651	0.492	0.162	-0.676	0.603	0.1	0.446	-2.446	-2.095	0.059	0.09	-0.024	0.403	-0.156	-2.232	0.236	0.176	0.183	-0.096	0.277	-0.064	0.296	-1.802	-3.103	-0.222	-0.052	0.286	0.263	-0.23	-0.172	0	0.084	0.089	0.243	0.291	0.282	0.067	0.445	-0.997
SNP__LOC646605	-0.648	-0.203	-0.236	-1.03	-0.275	0.166	0.044	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	-1.152	0.285	-2.607	0.797	-0.081	-0.181	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__C9orf53	-0.648	-0.203	-0.232	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	-1.152	0.285	-2.607	0.797	-0.088	-2.158	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__DMRTA1	-0.648	-0.203	-0.236	-1.03	-0.275	0.045	0.044	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	-1.152	0.285	-2.607	0.797	-0.081	-0.181	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__LOC402095	0.006	0.099	0.191	-0.053	-0.097	-0.173	-0.161	-0.06	-0.202	-3.918	-3.632	-0.071	-3.064	-4.13	0.029	0.046	-0.061	-0.404	-0.742	0.019	-0.01	0.096	-0.16	-4.366	0.429	-0.033	-3.944	0.067	0.161	-0.168	-0.029	-0.096	0.009	0.031	0.03	-3.42	-0.806	-0.066	-0.373
