Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	-1	-1	-1
SNP__CFHL4	0.651	0.5	0.162	0.706	0.482	0.492	0.442	2.355	0.418	-2.181	0.09	-0.838	0.434	0.253	0.026	0.136	0.176	0.221	2.628	-2.421	-0.061	0.408	0.351	0.315	0.099	2.833	0.39	0.745	0.263	-0.264	-1.268	0	0.029	0.153	0.243	0.291	0.282	1.222	0.569	-2.009
SNP__FHIT	0.008	-0.512	-0.843	-0.527	-0.136	-1.144	-0.552	-0.124	-0.233	-0.319	0.088	-3.014	-0.436	-2.443	-0.429	-0.127	-0.262	-1.066	-0.422	-0.748	0.159	-0.429	-0.566	-0.69	-0.584	-0.186	-1.065	-0.058	-0.613	-0.183	0.859	0.017	-0.265	-0.361	-2.101	0.266	-0.31	-0.272	-0.059	-0.371
SNP__SLC44A5	0.014	0.102	-0.219	-0.32	-0.214	0.166	-3.945	-0.041	0.54	-0.944	0.098	-0.494	-0.029	-0.116	-0.193	-0.172	-0.263	-0.062	-3.665	0.254	0.226	-0.47	-0.201	-0.126	0.39	-0.172	-0.032	-0.063	0.279	-3.573	0.174	0.014	-0.139	0.045	-0.082	0.058	-0.3	-0.284	-0.366	-0.36
SNP__DMBT1	0.014	-0.15	-0.868	-3.561	-0.116	-0.159	-0.167	-0.078	-0.204	0.315	-0.148	-0.008	-0.386	0.221	0.4	-0.208	-0.264	-0.305	-0.408	-0.268	-0.603	0.022	0.108	-0.167	-0.224	0.032	0.319	-0.043	-0.202	0.142	-0.198	0.033	0.008	-4.07	-3.272	-0.254	-0.304	0.08	0.118	-0.366
SNP__LOC644144	0.37	-3.761	-0.191	-0.146	0.229	-0.098	0.096	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	0.004	-0.576	-0.138	0.22	0.06	-0.305	-0.354	0.334	-3.028	0.301	0.082	0.011	0.023
SNP__FLJ10120	0.37	-3.761	-0.191	-0.146	0.229	-0.098	0.096	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	0.004	-0.576	-0.138	0.22	0.06	-0.305	-0.354	0.334	-3.028	0.301	0.082	0.011	0.023
SNP__SLC25A24	0.014	0.102	0.444	-0.243	-0.156	0.224	0.456	-0.06	-0.518	-0.31	-4.153	0.005	-0.041	-0.132	0.296	-0.216	-3.632	0.224	0.636	0.251	0.226	0.538	1.121	-0.126	0.534	-0.172	-0.032	-0.063	0.268	0.164	0.188	-4.56	-3.419	0.083	-0.27	0.043	-4.56	-0.303	-0.389	-0.36
SNP__GBP3	0.014	0.102	-0.219	-0.252	-0.189	0.15	-0.545	-0.062	-0.05	-3.626	0.098	-0.463	-0.029	-0.116	0.296	-0.172	-0.263	0.218	-0.037	0.3	0.226	-0.47	-0.55	-0.126	0.708	-0.172	-0.032	-0.063	0.266	0.462	0.202	-4.112	-0.139	0.134	-0.035	0.043	-0.3	-3.392	-0.366	-0.36
SNP__C6orf142	0.009	1.173	-0.215	1.823	-0.608	1.949	1.676	1.548	-0.236	-0.367	1.675	-1.374	2.177	2.205	0.02	1.728	1.688	1.511	-0.392	2.174	0.149	1.363	0.084	2.165	-0.129	0.392	0.246	-0.056	1.373	0.473	2.372	0.017	1.813	0.346	0.144	-2.114	2.116	0.062	-0.222	-0.379
SNP__HLA-DRB5	-0.372	-0.275	-0.505	1.173	-0.434	-1.003	-0.07	0.144	0.266	-0.275	0.042	0.994	0.89	-1.493	1.236	0.357	-0.486	-0.785	1.626	0.025	1.158	1.099	0.857	0.848	-0.42	-1.807	0.066	-0.056	-0.222	1.776	1.042	0.017	-0.896	0.284	-0.019	1.208	0.011	0.062	-0.222	-0.379
SNP__SHCL1	0.37	-3.776	-0.191	-0.146	0.229	-0.093	0.096	0.39	-0.191	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.586	0.234	0.241	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.532	-0.576	-0.138	-0.114	0.06	-0.305	-0.354	0.334	-0.139	0.301	0.082	0.011	0.023
SNP__MGC48595	-0.006	0.339	-0.173	0.142	-0.418	0.204	-0.18	0.109	0.97	-0.302	-0.286	-0.06	-0.426	-3.549	-0.064	0.097	0.297	0.026	-0.436	-0.187	-0.081	-1.966	-2.039	-1.651	-0.202	0.111	-0.318	0.303	0.04	0.184	-0.121	-0.014	0.027	-2.016	0.006	-2.601	0.279	-2.152	-0.052	-0.394
SNP__GSTM1	1.308	0.102	2.472	-0.243	-0.13	1.142	0.296	0.868	-0.518	-0.31	1.245	0.005	1.479	-0.132	2.103	1.379	-0.257	-0.444	2.34	1.976	1.276	2.435	2.546	1.445	1.813	-0.172	1.723	-0.063	1.282	0.164	0.188	1.108	1.492	-0.384	-0.27	0.043	-0.303	-0.303	1.499	1.386
SNP__LOC553158	-0.003	-0.092	-0.2	-0.161	-0.475	-0.154	0.018	0.287	-0.231	0.306	-0.012	-0.391	0.092	-0.114	-0.193	-0.279	0.328	0.111	0.432	-4.011	0.16	-0.404	-0.52	-3.357	-3.547	-0.223	0.027	0.314	-0.216	-0.182	-0.152	0.004	-0.056	0.51	0.075	0.009	-0.327	-2.757	-0.431	-0.368
SNP__LCE3B	-1.958	0.495	-2.398	-0.129	-2.13	0.134	-1.961	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-1.569	-2.222	-1.451	0.291	-1.976	-1.915	-2.744	-2.627
SNP__TRBV6-2	0.0098	0.453	0.186	0.355	0.322	-0.135	-0.257	0.042	-0.1872	-0.706	-1.599	0.29	-2.535	-0.782	-0.251	-0.206	0.267	-0.3346	0.434	-2.904	-0.1446	-2.003	-0.2195	0.122	-0.0176	0.343	0.191	-0.0298	0.459	0.526	-0.864	0.0144	-0.0908	-0.273	-0.282	0.0294	-0.2956	-0.317	-0.042	0.028
