Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	-1	1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	1	-1	1	-1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	-1	-1
SNP__LCE3B	-1.958	0.495	-2.398	-0.129	-2.13	0.134	-1.961	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-1.569	-2.222	-1.451	0.291	-1.976	-1.915	-2.744	-2.627
SNP__LOC643473	-0.26	-0.178	-0.209	-0.352	-0.211	-0.07	0.064	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.29	-0.094	0.287	-0.184	-6.439	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.211	-0.383	-0.676	0.188	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__CSMD1	0.002	-0.578	-0.87	-0.332	-0.507	0.511	-0.562	-0.491	0.256	-0.284	0.07	-0.453	-2.449	-0.152	-0.538	-0.627	-0.059	-0.349	-2.453	-1.129	0.005	-0.433	-0.588	-2.03	-0.312	-0.823	-0.458	-0.438	-0.588	-0.215	-2.326	0.001	-0.354	0.694	-0.402	-0.746	-0.305	-0.305	-0.118	-0.018
SNP__LOC644125	-1.687	-2.113	0.128	0.929	0.894	-1.571	-0.54	-1.657	0.909	-2.359	0.077	-2.166	0.968	1.128	-1.62	-0.648	0.364	0.146	-1.847	0.007	0.651	-2.228	-1.774	-1.502	0.922	-1.829	1.004	-0.051	-1.901	-1.977	0.021	-2.172	-1.48	-1.792	-1.433	-0.348	-1.841	0.456	0.568	0.28
SNP__NCOA7	0.006	0.125	-0.209	0.029	-0.569	-0.095	-0.558	0.183	-0.229	0.04	0.072	-0.438	-0.062	-0.137	0.025	-0.043	0.832	0.244	0.306	-0.24	-0.049	0.201	0.071	-0.248	-0.13	0.144	0.249	0.294	0.044	0.161	-0.195	0.027	-0.227	-0.001	-0.147	0.226	-0.325	0.062	-0.454	0.015
SNP__LCE3C	-1.958	0.495	-2.398	-0.129	-2.13	-1.861	-1.961	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-1.693	-1.825	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-1.569	-2.222	-1.451	-2.241	-1.976	-1.915	-2.744	-2.627
SNP__GBP3	0.014	0.102	-0.219	-0.252	-0.189	0.15	-0.545	-0.062	-0.05	-3.626	0.098	-0.463	-0.029	-0.116	0.296	-0.172	-0.263	0.218	-0.037	0.3	0.226	-0.47	-0.55	-0.126	0.708	-0.172	-0.032	-0.063	0.266	0.462	0.202	-4.112	-0.139	0.134	-0.035	0.043	-0.3	-3.392	-0.366	-0.36
SNP__EB-1	0	-0.231	-0.895	0.219	0.241	-1.335	0.268	-0.404	-0.23	-0.324	0.09	0.473	-1.84	-0.148	-0.221	1.403	-2.498	-0.286	-0.029	-2.022	-0.242	0.183	0.101	-1.554	0.134	0.719	0.221	-0.062	-0.271	0.162	-0.278	0.011	-1.876	-0.239	-0.004	0.561	0.315	-0.262	-0.046	-0.007
SNP__LOC644144	0.37	-3.761	-0.191	-0.146	0.229	-0.098	0.096	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	0.004	-0.576	-0.138	0.22	0.06	-0.305	-0.354	0.334	-3.028	0.301	0.082	0.011	0.023
