Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM44PE	SUM52PE	T47D	ZR751
Response	-1	-1	1	1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	-1	1	1	1	-1	-1	-1
SNP__LOC220929	0.021	-3.307	-0.091	0.102	-2.386	-0.139	-0.37	0.431	-2.209	-0.292	-0.132	-0.014	-0.03	-0.151	-1.897	0.022	0.084	0.183	0.083	0.042	0.762	-2.689	-0.356	0.09	-0.589	-2.667	0.019	0.213	0.274	-0.043	-1.109	0.189	0.189	0.033	0.416	0.008	0.133	-0.773	-0.302	-0.074
SNP__ODF4	-0.021	-0.166	-0.156	-0.362	0.458	-0.517	0.009	0.038	-0.205	0.101	-0.138	-5.279	-0.028	0.258	-0.128	-0.227	-0.276	-0.019	-0.08	-0.412	-4.569	-4.154	-0.429	-0.199	0.193	0.103	-0.212	-0.317	-4.426	-0.61	-0.217	-0.182	0.164	-0.556	-0.156	-0.318	-0.43	-3.845	-0.307	-3.855
SNP__LOC440300	-0.003	-0.195	-0.185	-0.095	0.12	-0.192	0.003	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.455	-0.64	-0.238	-2.399	0.202	-0.039	-0.188	0.016	-2.946	-0.224	0	0.085
SNP__LOC388152	-0.003	-0.195	-0.185	-0.095	0.12	-0.192	0.003	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.455	-0.64	-0.238	-2.399	0.202	-0.039	-0.188	0.016	-2.946	-0.224	0	0.085
SNP__LOC161527	-0.003	-0.195	-0.185	-0.095	0.12	-0.192	0.003	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.455	-0.64	-0.238	-2.399	0.202	-0.039	-0.188	0.016	-2.946	-0.224	0	0.085
SNP__SLC44A5	0.014	0.102	-0.32	-0.214	0.166	-3.945	0.295	-0.041	0.54	-0.944	0.098	-0.494	-0.029	-0.116	-0.193	-0.172	0.048	-0.263	-0.062	-3.665	0.254	0.226	-0.47	-0.201	-0.126	0.39	-0.172	-0.032	0.212	-0.063	0.279	-3.573	0.174	0.014	-0.139	-0.082	-0.425	0.058	-0.3	-0.366
SNP__SLC25A18	-0.01	-0.086	-0.134	-0.467	2.812	0.05	0.131	0.5	-0.216	-0.288	-0.012	-0.384	0.122	-0.116	0.026	-0.136	2.543	0.301	0.217	0.723	0.172	0.157	-0.404	1.888	-0.131	-0.122	0.062	0.04	-0.403	0.328	-0.202	-0.752	2.554	0.004	-0.206	0.058	-0.428	-0.3	-0.32	0.37
SNP__ZNF28	0.003	-0.12	0.093	0.166	0.219	0.1	-0.004	0.152	0.408	-0.301	0.1	0.43	-0.364	-3.273	0.478	0.334	0.352	0.584	-0.376	0.016	-3.578	0.287	-0.019	-0.177	-0.641	0.119	0.029	0.182	0.234	-0.021	-0.158	-0.159	-0.223	0.002	0.457	0.55	-0.401	0.917	-0.286	0.066
SNP__UGT2B17	0.01	-0.141	-0.182	-0.133	-0.365	0.075	-1.995	0.185	-0.225	-0.258	0.075	-1.975	0.354	-0.145	0.018	-0.167	-0.398	-0.088	-0.067	0.394	-0.254	-0.291	-0.072	-0.197	-0.166	-0.37	-0.316	0.435	0.038	-0.051	-0.232	0.456	-0.486	-0.171	0.975	-0.064	-0.032	-1.543	-1.43	-0.039
