Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	-1	1	1
U133A__TSPAN13	9.6774	10.0953	8.3777	10.249	10.7603	5.511	9.5712	7.7338	7.6575	9.9233	6.7565	9.5285	9.5561	9.2752	10.611	8.413	7.5481	10.2011	5.4571	9.1734	9.4408	9.5767	7.3108	10.1409	5.6786	10.1128	10.3424	9.7301	9.8614	8.6711	6.8176	6.1061	11.0026	10.0425	11.2545	10.2015	10.0762	10.0917	10.3821
U133A__AGR2	10.3169	10.6821	4.8118	11.0027	11.4133	4.8801	9.5473	4.7238	4.9574	5.6983	5.7322	9.8422	7.8487	8.9628	11.018	5.5521	4.8807	6.5245	4.9432	9.0223	9.5307	5.3115	4.1066	11.5908	5.8781	10.7955	11.9865	9.8595	9.5144	5.8546	5.7616	4.7808	12.2035	10.6989	11.3355	11.4831	10.6889	9.3155	10.4286
U133A__KIAA0182	8.7175	8.7547	8.2326	9.4399	8.9626	5.5927	8.9031	7.0695	8.2032	9.5198	6.5335	7.1268	7.6521	7.6461	8.5395	7.194	7.6429	7.7941	6.6802	9.3437	9.2681	7.1592	5.5687	8.3507	6.8539	9.4821	8.1927	8.8215	8.4014	6.3604	6.768	6.9346	9.4211	8.9541	8.2608	10.1651	8.3246	9.5845	8.7069
U133A__MAP4K4	6.0673	5.1091	8.0032	6.3952	5.9184	7.3226	5.7528	6.1253	7.425	6.5388	7.2464	7.61	6.8356	7.0288	5.4528	6.7248	7.8366	6.6207	7.9799	6.3307	6.1541	6.5299	8.1798	5.703	6.5193	5.9015	5.0642	4.9385	5.1327	8.1638	8.3236	7.7847	5.9041	6.5972	6.1144	6.0063	5.6747	5.3321	6.2691
U133A__XBP1	10.8344	9.815	7.6964	10.7009	11.15	7.9069	10.6604	7.6036	7.9543	9.2154	7.8611	8.1184	8.313	7.637	10.5899	8.1677	7.1544	8.6517	7.6438	9.3516	10.7117	11.2426	7.2265	11.6896	7.889	11.5911	11.2322	11.2977	10.1574	7.1282	7.1631	8.0768	11.2015	11.1151	10.9035	10.9459	11.0313	11.6974	10.5644
U133A__LGALS1	9.2382	7.7525	11.1622	5.8446	8.8126	11.9757	12.336	12.1952	11.1399	10.6651	11.5613	8.1987	9.9206	10.3303	5.0472	11.7356	11.486	11.2154	12.9455	7.8464	8.893	10.3526	12.5884	11.124	11.6327	5.2613	11.3986	10.2053	8.8885	12.472	11.6862	11.8188	5.4749	9.8542	9.5798	11.0411	10.1593	6.0697	8.6626
U133A__CRIP2	8.2574	9.2634	6.3153	9.209	9.9678	7.8746	8.3415	7.7681	8.0402	9.0021	7.6044	5.5453	6.6722	6.6952	8.8685	7.8221	7.9649	7.9883	7.3507	8.6357	8.6983	8.9642	6.3079	8.3729	5.1886	9.2302	8.0924	7.8109	8.3547	8.1304	6.4487	5.4693	9.8773	9.8924	7.1792	9.294	7.9542	9.0175	9.4029
U133A__MXRA7	7.3883	4.9898	5.2513	6.1786	7.3459	8.8708	7.5332	7.994	7.5735	8.5232	8.4778	9.4836	7.0129	5.6822	5.2279	10.1797	9.496	8.2414	9.2301	5.9779	6.369	8.1878	10.6844	7.7324	9.4217	6.698	5.4442	5.2076	5.147	8.9371	8.2772	8.9797	5.5672	5.5043	5.2859	7.7395	8.9281	5.6894	7.6177
U133A__CD44	4.7486	5.2851	9.2472	4.5395	6.9448	9.4833	4.1435	8.4113	5.113	7.9968	9.5046	10.7234	9.0773	11.1618	4.529	9.4828	9.1421	9.166	11.6044	5.1419	5.1402	7.6727	9.821	4.0806	9.3837	7.2156	8.5655	4.2934	3.3122	10.2795	9.5681	9.6161	4.206	8.0953	3.3732	4.9207	6.2961	5.8441	4.1655
U133A__SHANK2	7.3481	5.9045	4.943	7.6843	6.9359	3.9882	5.1612	5.641	5.3585	5.1934	4.0531	4.7244	4.8992	5.345	6.5754	4.4562	5.1162	6.8101	3.9503	5.2678	5.5006	7.2976	3.8321	6.9453	4.2847	7.5141	6.359	7.3884	5.3379	3.9945	3.8673	4.0287	6.3054	7.4714	6.2082	6.502	6.8877	6.5888	7.1964
U133A__ATP2C2	6.3307	6.2095	5.2594	6.78	6.1865	4.7505	6.4084	5.4049	4.9367	6.2669	4.6402	5.5946	6.105	5.0725	6.7137	6.1365	4.8823	5.9041	4.6599	6.1516	5.6878	5.0964	4.7406	6.6441	4.5629	6.3763	7.4543	5.9877	6.6966	5.0115	5.5817	4.528	7.6748	7.6835	6.0596	5.6751	6.1125	7.0079	5.4811
U133A__CYB561	9.3231	8.9941	7.8642	7.9717	8.632	6.2388	8.0748	7.6969	6.9168	8.6582	8.3664	8.4426	7.8981	7.7693	7.5397	7.7448	7.7648	8.0632	6.9285	9.7372	9.1411	8.1277	7.0833	8.4517	7.3983	10.3813	8.2127	8.7824	8.5366	5.2097	7.0984	6.7225	10.2413	8.9039	9.4326	8.5092	8.6084	8.7911	9.3286
