Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	1	1	-1	1	-1	-1
U133A__ST14	6.2778	7.5491	6.1897	6.5451	6.0697	3.9898	6.2206	4.1856	6.3367	7.2561	6.6181	4.9063	6.9803	7.7047	7.101	7.5368	7.1576	7.4406	4.7531	3.7092	6.126	6.1322	5.9004	4.5615	6.1623	3.929	6.3002	6.4807	6.4503	7.2871	4.9825	6.7263	4.1953	5.3351	6.6592	5.1746	8.3697	5.7941	6.2579
U133A__TNNT1	8.2819	4.9891	6.4262	4.9956	8.3311	7.8062	8.8016	7.7009	8.3106	4.9018	7.2426	7.0991	5.6489	5.7277	7.4717	8.1012	5.7509	7.0071	7.2158	8.2758	7.1092	6.2331	9.388	7.8218	8.5365	7.2242	6.7944	6.3568	7.4262	4.9607	7.6684	6.2444	5.7386	6.0627	4.8809	8.7274	6.5307	7.9068	8.7371
U133A__FASN	10.7788	11.1828	8.2497	11.2606	9.3724	9.1052	8.5659	8.5505	7.7698	10.3198	11.0689	8.5587	9.2366	8.003	8.7145	11.0383	9.0543	8.8339	8.8259	8.0922	10.2977	10.5056	8.8362	9.0354	11.1126	9.0868	10.2173	9.2182	10.1033	11.7652	8.8803	9.9972	8.5825	11.0307	10.3351	9.0381	9.5315	10.1347	11.2674
U133A__DCTD	6.7368	5.2551	7.543	5.1467	5.2233	6.3193	7.0626	6.6695	6.191	5.2222	5.2165	8.2899	7.0776	7.2563	7.3378	4.372	5.1893	5.3932	7.6038	6.8982	5.9638	6.1875	3.9253	7.3325	7.087	8.1583	6.0793	6.8102	6.0422	5.4363	7.4175	8.6957	7.8895	6.5288	6.9611	7.7797	6.4909	6.6284	7.042
U133A__GNE	5.3352	5.3076	6.8641	5.2581	5.499	6.5008	5.4021	6.5984	5.967	4.4695	4.7172	5.5494	5.0627	6.9256	5.3405	4.9399	8.1098	5.192	6.4608	5.9888	4.7223	4.7803	5.7832	7.899	6.9789	6.4229	6.856	6.3987	5.8493	4.9721	5.7542	5.3722	5.1636	3.8687	7.4947	5.399	4.9661	6.238	5.4946
U133A__ATP2C2	6.3307	6.2095	5.2594	6.78	6.1865	4.7505	6.4084	4.8405	5.4049	4.9367	6.2669	4.6402	5.5946	6.105	5.0725	6.6704	6.7137	6.1365	4.8823	4.6599	6.1516	5.6878	5.0964	4.7406	6.6441	4.5629	6.3763	7.4543	5.9877	6.6966	5.0115	5.5817	4.528	7.6748	7.6835	6.0596	5.6751	7.0079	5.4811
U133A__CLDN4	7.8095	7.8886	6.8892	7.4307	8.0102	4.3947	6.203	4.3468	7.5458	8.2974	7.4553	7.4055	6.5293	7.7536	7.9433	8.4582	7.7545	7.8168	6.8585	4.6864	7.6706	6.9713	6.7166	4.3184	9.4105	4.2514	7.1352	7.4668	6.7302	8.1243	4.5668	6.7523	3.8645	9.26	8.5318	6.2457	8.066	7.5057	6.617
U133A__LSM1	7.8171	7.8623	8.5086	7.9043	9.1836	9.2115	9.878	8.3231	8.0733	8.0605	8.9855	9.4091	8.2982	7.8836	8.2887	7.7397	8.4755	8.3307	9.7167	8.9638	8.561	8.0476	11.3265	9.5951	8.9668	8.5705	9.2838	8.1226	8.8467	7.9526	8.0793	8.1342	8.5197	8.9891	7.9489	10.2265	7.9451	9.487	10.0421
U133A__SIDT2	5.8856	8.986	6.2933	7.3246	8.4842	6.6145	6.7782	5.5119	5.727	7.0085	7.2121	6.4307	6.7302	6.8686	5.6188	6.7115	8.9948	6.3065	6.9148	5.7854	7.1027	6.6763	6.7265	7.3668	6.6904	6.4539	7.618	6.7863	7.0954	7.2985	7.8062	5.4073	6.5306	8.0395	7.2792	6.6182	7.7683	7.4488	7.262
