Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	-1	1	1	1	-1	1	-1	1	-1	-1	1	1	-1	1	1	1	-1	1	1	1	-1	1	-1	1	-1	-1	1
U133A__MFAP2	6.1012	6.6076	6.4087	5.9402	7.111	7.5045	5.7163	6.9391	8.4452	7.7932	6.2262	8.1355	7.0665	6.1253	6.7741	5.872	7.9716	6.0081	8.2035	5.8531	6.5901	7.7756	6.9779	6.299	6.5138	6.3103	6.1716	6.4924	6.7567	7.848	8.0483	6.2524	9.4332	5.8981	6.033	6.5117	6.0933	6.4525	6.9361
U133A__UNC13B	5.8654	6.5725	6.247	8.6947	6.836	6.2814	7.5756	6.0785	6.0703	6.063	6.198	6.356	6.456	6.2065	10.5586	7.1594	6.4438	6.3226	6.2149	6.499	7.2795	7.301	6.063	7.1499	6.3471	6.8049	6.9117	7.4585	6.1252	6.9704	5.8598	6.6068	6.5921	7.0466	6.4418	6.7886	7.3338	5.8494	6.6952
U133A__IGF1R	7.4366	6.0432	6.4696	7.616	9.0997	6.7451	5.1784	7.4726	4.8247	7.1078	5.9359	5.9343	6.3173	5.3298	6.252	5.9489	6.6041	5.5932	5.6916	6.2705	7.8115	8.3023	5.3234	5.1774	6.931	7.3309	5.6135	5.2645	5.3017	5.5466	6.4853	4.9335	7.2016	4.7378	7.5757	7.0228	7.4657	5.5772	6.4581
U133A__STOML2	7.2213	8.4844	8.5185	9.9156	8.2398	9.103	9.0795	8.2134	8.6867	8.261	8.9344	8.3241	8.5246	8.7663	11.5332	9.1862	8.097	9.4651	8.2944	8.4101	8.3866	8.7367	8.6208	7.9967	9.327	8.4125	8.6614	8.9936	8.3608	8.7891	8.6857	9.1326	8.089	7.7287	8.0294	8.042	7.9046	8.4869	8.9244
U133A__FST	6.5894	6.5399	6.4906	6.4947	6.3964	7.1555	6.4063	8.1138	6.729	6.605	6.9497	8.7649	7.1819	8.1031	6.4535	7.3188	6.6246	6.2073	9.2037	7.1295	6.879	6.71	6.9117	6.6957	8.7976	6.5755	6.6662	6.6393	6.7865	6.843	6.7208	6.5052	6.9549	6.5913	6.8367	6.4505	6.228	6.782	6.685
U133A__FANCG	5.7529	6.8231	6.2545	7.6	6.4537	7.0761	7.065	6.4867	7.2667	6.451	6.1187	6.9206	6.517	6.4031	9.5935	6.5269	6.0361	7.6104	6.1079	6.78	6.4459	6.9052	6.4125	6.4774	6.8825	6.9184	6.8003	7.3341	6.1179	6.1296	6.6838	6.6105	5.5828	5.7232	5.3223	6.4065	6.3229	5.9315	7.0228
U133A__NFIB	5.1049	8.0429	7.1621	5.5476	8.2244	6.5844	7.7382	7.2318	8.0784	6.7958	8.4369	4.8136	6.7973	7.8837	7.8088	8.563	6.8395	9.0065	6.3652	6.5391	6.6523	3.9047	5.8632	5.138	6.9184	6.2054	5.2087	8.4052	7.2966	5.089	7.8456	6.1568	4.7122	8.5853	5.6226	7.4827	7.2677	7.2396	8.705
U133A__DDHD2	5.7329	5.1869	5.7385	6.3218	7.5291	7.3764	7.6679	5.7755	7.0075	6.4243	6.4252	6.0938	5.7536	5.0022	5.3877	4.7849	8.2977	5.5132	5.3983	4.8431	5.0398	9.4371	6.2164	4.9926	5.8959	7.1894	5.1896	5.0304	5.7845	5.3218	6.174	6.0806	6.4773	5.8549	8.5294	5.6816	7.1608	6.7111	8.0634
U133A__SLC27A3	7.2835	6.8031	4.7907	7.2837	6.4322	4.9482	8.9034	7.3823	7.2365	4.9793	6.363	5.5198	5.3032	6.0769	6.66	6.0547	6.0294	6.3945	5.64	7.0647	7.0305	6.369	6.1087	6.5284	5.2056	6.0497	6.5406	7.6815	6.8684	5.6795	6.2293	5.1971	5.7902	5.6833	5.4264	5.9204	5.941	5.332	7.1086
U133A__KLK6	5.4123	4.917	9.4507	4.8753	4.8251	4.9481	5.1348	9.2735	8.0249	4.9307	5.5788	5.2118	9.1099	11.2762	4.9339	8.6374	5.5375	4.5087	5.3166	5.1605	6.1085	4.7658	4.9606	5.3853	4.769	4.9731	5.1898	5.2134	5.3923	4.8629	4.7454	4.6814	5.0521	8.6083	6.9941	5.0235	5.6345	5.0571	4.6177
U133A__KMO	5.7671	7.6837	5.6079	6.0018	5.9323	5.4186	4.9161	5.6305	4.6965	5.4732	5.4523	4.9175	5.0193	5.6756	7.1436	7.2444	5.8379	4.714	5.3228	4.7488	4.7064	4.5188	5.1243	7.3547	4.6571	7.0098	5.6323	8.8071	6.233	5.1258	5.2933	4.7453	5.5913	8.7828	4.6167	6.1682	5.529	6.2072	4.8873
U133A__PSPH	3.0836	2.8068	6.7289	8.8397	6.7999	6.9781	3.9571	3.5236	4.0114	2.8876	4.9507	5.6603	5.337	4.8724	3.2991	8.5676	4.3599	6.2269	3.3834	3.9784	3.957	3.1641	7.7069	8.0686	6.9336	3.8532	6.5213	3.6251	3.3861	7.1978	6.3427	3.5548	6.222	7.1996	3.3091	3.816	3.4727	2.8167	3.3359
U133A__GCHFR	7.0875	7.7336	7.3299	7.4086	6.3534	5.9174	7.0334	6.0695	5.6255	6.5892	6.057	5.9386	5.6697	6.4225	7.2153	6.4454	5.5521	9.3148	5.7151	6.6593	6.6104	6.846	5.6439	8.0588	4.8651	7.7018	7.5975	8.9348	8.3753	6.5251	6.4883	5.3529	6.5813	7.5842	5.7935	6.8521	6.8993	8.7278	7.0875
U133A__FTL	9.9572	7.7744	11.2056	10.0591	9.0597	10.2013	8.6878	10.819	10.2002	9.6632	9.4582	11.7469	11.211	10.81	10.6899	9.2376	9.8686	11.1678	11.7066	8.6347	9.802	9.7402	10.2633	9.1036	11.4905	9.5794	9.595	8.687	7.3449	12.0038	10.5268	11.4457	11.6906	9.9193	10.7519	8.3996	9.5434	9.0406	8.4759
U133A__CITED2	6.5982	7.7415	6.0367	6.6171	6.2217	8.6066	6.6819	8.129	5.4857	5.8681	6.4711	5.6471	7.2761	5.0942	9.6672	5.0741	7.2485	5.5668	7.7101	6.7048	7.0532	7.0748	6.3869	7.4172	7.5293	6.8764	6.7352	7.2716	8.0474	7.6179	4.1856	7.6259	7.8132	7.6703	8.3585	6.9528	9.1731	8.0739	6.485
U133A__ZNF544	6.9864	6.6867	8.7357	6.9637	7.6542	7.1156	7.4338	7.4326	7.681	7.4451	6.6237	9.6213	8.1072	6.7879	7.0077	6.8549	7.3676	6.9216	7.1203	7.0009	6.9974	7.2612	6.3988	6.4939	7.2039	7.0974	7.1081	6.2996	6.724	7.0081	6.8126	6.8659	7.3366	7.3685	6.3543	6.967	6.629	6.3383	6.9272
U133A__FZD6	6.7006	3.9422	7.33	4.4868	6.9337	6.8117	4.9414	7.6804	7.2916	6.6098	6.2715	7.5106	7.7584	6.7087	8.6151	6.652	6.87	7.1903	6.2951	6.915	6.7272	4.0099	5.152	6.1291	7.589	7.5488	5.7	6.7718	5.6747	5.1705	6.2643	6.0369	7.8236	8.4852	7.8036	3.7516	7.0703	6.2593	7.2885
U133A__ZNF331	6.4667	6.4893	7.1556	6.6717	6.5898	6.001	6.6904	6.412	7.3283	6.6125	5.7946	6.5556	6.7707	5.6242	7.9402	6.0492	6.7359	6.045	6.5582	6.7028	6.8579	6.2326	5.7567	6.372	4.7952	6.3292	6.1146	6.2743	6.3638	6.3851	5.5762	5.4367	5.6572	6.2458	9.3518	6.0682	6.9039	6.5066	6.4904
U133A__AGR2	10.3169	10.6821	4.8118	11.0027	11.4133	4.8801	9.5473	4.7238	4.9574	5.6983	5.7322	9.8422	7.8487	8.9628	11.018	5.5521	4.8807	6.5245	4.9432	9.0223	9.5307	5.3115	4.1066	11.5908	5.8781	10.7955	11.9865	9.8595	9.5144	5.8546	5.7616	4.7808	12.2035	10.6989	11.3355	11.4831	10.6889	9.3155	10.4286
U133A__QPRT	6.2711	9.4457	8.2145	7.4417	6.489	5.6007	6.3278	5.4435	5.1401	7.275	7.3774	5.6756	5.5612	6.3718	8.0511	8.7061	7.02	9.2734	5.9733	7.4239	8.1142	6.9332	8.6614	7.115	5.2379	9.1192	8.4536	6.314	8.5981	5.9379	5.4969	5.6873	7.2077	9.2223	6.3381	7.7665	8.9526	8.0018	5.6556
U133A__HIST1H2BH	5.6812	6.0699	6.681	6.6317	7.5581	5.8329	7.5314	5.3788	5.4489	7.8848	6.2884	6.3517	8.0459	6.4774	8.926	6.4962	8.3146	6.1497	6.5559	6.8639	7.7503	6.9409	7.3871	6.9553	5.6887	8.1245	8.6179	7.6452	6.122	7.1496	6.3953	6.4262	6.8218	7.0021	6.1434	7.3149	5.5171	6.5665	5.6708
U133A__RHOBTB3	5.0787	5.0683	6.7277	5.1065	5.6136	6.0473	6.2514	4.9227	5.6696	8.5462	7.9271	7.835	7.275	6.0499	6.8141	6.2335	6.566	6.6969	5.985	5.5974	8.3924	6.5413	6.3596	3.3827	7.6414	5.9011	7.025	3.8914	5.5555	5.72	3.8442	6.2604	6.5518	6.8905	7.0476	5.4977	6.662	5.3302	4.6212
U133A__SNAP29	6.0753	6.8847	7.0222	6.6089	7.6741	7.0706	7.4019	6.5554	7.2833	6.8021	7.1487	7.2073	7.9185	8.4478	6.7032	7.5518	7.013	7.1292	7.5478	6.7251	7.0938	7.2318	7.2566	7.0695	6.7081	7.2875	7.2888	7.6468	6.3874	7.2314	7.0364	7.2486	6.6066	7.674	6.8386	7.0725	7.5151	7.0041	6.7427
U133A__KIAA0100	8.8681	9.2054	7.9417	8.8628	8.6047	7.4282	8.9246	7.7525	7.5068	7.9503	8.0312	8.2047	7.8415	8.2902	8.4022	8.2701	7.8823	7.6288	7.6848	8.8026	8.3881	7.8276	7.2512	8.327	8.6738	9.0547	7.8274	8.4813	9.7569	7.9615	8.3141	8.6067	7.8017	8.8547	8.3358	9.2605	10.2621	8.2115	8.5997
U133A__TGFA	4.8332	4.3246	7.3547	4.9039	5.3107	4.3647	4.842	7.1015	6.0509	6.5597	5.1702	8.5234	6.108	6.7891	5.8299	5.5923	6.9812	7.2933	4.5175	4.3545	4.9468	5.5489	4.4311	5.0683	6.1549	5.9663	4.9193	4.5688	4.471	4.6219	7.4506	4.4299	5.9042	5.2379	6.3412	5.4055	6.4351	5.2943	5.3319
U133A__LEPREL1	5.2728	5.3422	8.3477	5.4569	5.0282	9.3138	5.5085	7.9786	5.848	5.3502	6.5309	7.5076	8.3214	7.2828	5.1026	5.8493	7.0181	9.188	7.5821	5.5045	5.6844	5.199	6.6369	4.9666	7.9034	4.9339	4.9033	5.3148	5.5942	6.252	5.3512	7.3962	5.376	5.3514	5.1657	5.3306	5.109	5.1199	4.9922
U133A__FGFR4	5.2867	5.3796	4.6769	5.932	7.0564	4.6014	8.8352	4.8179	5.08	5.6192	5.5987	5.5846	4.808	6.2914	5.3225	4.6994	5.1195	4.6729	5.1249	5.0994	4.7136	6.0483	5.4814	5.1906	5.0617	7.1829	6.8866	10.4891	5.3601	5.2254	5.1338	5.1372	5.6779	6.7871	6.0534	5.1223	5.6953	8.0318	7.52
U133A__GCLC	5.843	7.7352	8.5104	7.0728	7.3417	4.4612	8.2977	6.4867	6.2695	7.3886	7.0978	10.3234	7.6686	8.2588	7.4149	7.2031	7.159	7.8009	7.0854	7.2652	7.0561	7.2205	6.7749	5.4782	7.1358	7.9446	7.7615	7.1739	6.5993	7.1532	7.3949	6.4673	5.7956	10.6962	8.8522	7.1964	6.587	5.5308	6.9443
U133A__HIST1H2BK	7.8626	9.2518	9.6636	9.211	10.265	7.7061	10.2513	7.6802	8.4455	9.6962	8.8744	9.1657	10.3357	8.5626	11.4476	8.3287	10.8107	9.2549	7.4624	9.4798	10.0636	8.8671	9.2992	9.3189	8.3553	10.3908	10.9972	9.5832	8.6993	9.5496	8.6964	7.2105	9.793	10.1358	9.1875	10.0889	8.8459	9.1856	8.8304
U133A__DDAH1	8.9187	8.5483	9.3578	7.8829	8.8633	8.3878	7.0164	7.0683	5.6482	8.0142	6.9419	7.8773	8.3529	7.671	8.697	7.4941	8.6928	7.845	9.6453	6.2098	7.4176	9.7077	6.2347	8.0152	10.6373	8.2905	8.9321	8.726	8.7206	8.3137	7.7288	8.0215	8.5239	8.8246	8.3946	8.0016	9.3856	7.7819	8.5761
U133A__C14orf132	6.5685	5.8874	5.444	7.5794	9.1172	5.7191	8.9151	5.7685	5.747	7.4848	6.0918	5.6316	6.0757	6.1224	6.5911	5.947	6.5909	5.5007	6.5415	7.2414	7.1242	8.7075	6.9817	8.2171	4.9994	8.7207	8.7824	6.2356	6.2289	6.637	6.0698	6.9631	6.5585	5.5102	6.156	6.6175	9.5821	5.5833	6.6772
