Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	1	1	-1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	-1	1	1	1	-1	1	1
U133A__FADD	8.5432	7.2253	7.5941	7.3694	7.9263	7.3736	8.6319	7.9796	8.0257	7.5068	7.4055	7.7871	7.4981	9.2216	6.8425	7.4372	7.3283	6.8438	7.0393	7.045	8.2105	7.9457	9.9878	7.5091	8.7146	8.1263	8.5757	10.0277	8.4773	7.1372	6.7516	8.0897	7.4219	7.5246	6.8788	7.3984	7.6765	7.8862	9.1575
U133A__DERA	5.5781	5.9419	6.8346	6.1925	6.5152	6.0295	5.272	6.1059	6.7801	6.0139	6.0557	7.4637	8.1627	5.6616	5.2291	7.1835	7.0636	6.7477	7.7884	5.9393	5.0626	5.592	6.2087	5.1167	5.362	7.5361	7.2845	4.8626	5.9168	5.1172	5.9513	8.5474	6.6315	7.1535	6.6148	8.9576	5.3098	7.4364	7.1865
U133A__CAMK2N1	7.984	9.1459	9.4608	8.3458	8.7947	5.1483	8.6556	6.3505	6.2577	8.6715	6.6419	7.179	7.922	9.9631	8.7955	8.3152	6.6618	7.3195	10.0484	8.0878	9.553	7.2483	11.0058	7.6561	10.238	6.867	9.2583	9.8342	9.6245	9.5868	5.7111	9.1636	7.9183	9.5142	9.8937	8.0816	9.4807	8.5041	6.3299
U133A__EDN1	5.6181	8.6414	5.797	6.3088	5.9544	6.7502	6.322	6.6097	5.8748	5.6839	5.9332	6.4236	6.5458	6.1858	7.0866	7.9709	8.3836	5.5065	5.4335	6.9838	4.9851	5.7256	5.2145	5.375	5.5314	7.0877	5.3953	5.5904	6.2204	7.5528	5.9898	6.2008	6.3783	7.6269	6.4276	7.1655	5.059	6.1272	5.2888
U133A__LPCAT1	7.3577	8.9611	8.569	9.6749	7.1029	7.2521	7.0423	7.74	6.6152	6.6098	6.6442	7.3353	6.5708	10.0197	6.1164	7.112	7.373	6.9475	7.7542	7.1383	7.6529	8.2705	7.4954	7.1965	7.3813	7.7236	8.3462	6.6051	6.3507	8.3357	7.0926	5.9251	7.5598	6.6121	7.2444	7.0242	8.9573	6.3502	6.8462
U133A__RPS11	8.733	5.8508	7.0788	7.4744	7.2067	7.6569	6.6613	7.6723	6.1	7.294	7.0191	5.7544	6.6921	7.6675	7.8685	6.7869	6.3032	7.2814	5.7429	8.4126	9.6242	7.3204	7.1407	7.695	7.8463	8.7658	7.2222	7.9554	7.207	10.1389	6.8246	6.6546	6.9884	6.1506	6.37	6.8314	5.6956	7.144	5.9172
U133A__SPRY4	9.1625	7.666	6.7206	7.0909	6.6778	6.1402	6.2326	6.5822	6.2255	6.1928	6.858	6.8281	6.4451	6.6843	7.6043	6.3436	6.0899	6.4449	6.0177	6.9419	6.1993	6.3284	6.8972	6.7042	8.6704	9.0079	6.9669	6.9797	7.1359	7.2561	6.6597	6.6632	7.669	7.7472	7.2227	6.3081	7.6452	6.1551	6.3391
U133A__POMZP3	5.4865	6.9158	5.512	4.8456	6.8032	4.5827	6.9213	5.5264	7.0392	6.9656	5.8224	5.1062	6.2726	5.167	6.7511	6.4184	5.8832	6.3568	6.674	5.9695	5.8044	5.7527	4.6042	5.6313	5.7987	5.8609	5.5526	6.3727	4.785	7.0482	5.1092	5.7715	4.1477	8.0627	4.7271	5.8462	5.25	6.281	8.1041
U133A__SLC22A18	7.9216	9.8466	8.2002	6.9283	7.348	6.2391	7.5694	7.2846	6.1165	7.0052	7.1159	6.0673	7.2986	7.5464	8.2241	7.0656	6.8706	7.6326	7.6014	6.6027	7.2144	7.285	8.8137	8.6316	8.4775	6.4509	7.087	8.9262	8.4863	8.4106	6.5985	7.3737	6.3947	8.755	6.9685	7.2273	7.5805	7.9351	8.1929
U133A__ABCC3	6.7998	6.3802	6.7733	8.3655	6.3588	6.1449	5.6793	6.2483	5.9088	6.1385	7.0839	6.7611	6.6307	6.1827	9.2992	7.0465	6.1176	8.2582	6.1346	6.2558	7.3609	6.4042	6.7686	6.7769	9.4899	5.8987	8.1698	8.4291	6.7496	6.5224	6.1021	6.8492	6.7801	8.2946	7.6244	6.1232	7.6603	6.0687	5.6685
U133A__FAM174B	7.6688	7.039	8.6806	7.2556	6.398	5.5542	6.0659	5.9859	5.9155	6.0452	5.895	5.4407	6.3246	6.3647	7.21	7.2938	5.6754	5.7021	6.1376	6.1391	6.7886	7.0665	6.8153	5.7914	7.8239	5.7429	7.5637	7.1023	6.5758	6.7257	6.0008	5.608	5.8132	7.6422	6.56	6.7379	8.822	6.8445	6.1006
U133A__ST3GAL5	9.5805	6.4839	6.6923	7.1715	6.4751	6.5116	7.1656	6.8297	6.4177	6.6646	6.2875	6.5189	7.4825	7.0233	8.0535	6.7829	6.2111	6.6579	6.0716	7.1331	6.6666	7.2166	7.8029	7.2347	7.3281	7.1366	8.5636	7.8383	6.8596	6.6984	6.6962	6.5316	6.736	6.6495	8.4997	6.4642	6.9124	8.0021	6.7229
U133A__FAM129A	5.0158	3.7621	4.7228	4.3398	5.5046	7.9531	3.6722	4.8097	5.2083	5.9292	4.647	8.5176	6.8051	3.6708	5.0975	5.0773	6.7572	5.0536	8.9458	4.8652	3.935	3.6517	4.1287	6.924	6.5025	6.8604	6.0223	3.8873	3.8552	3.8009	6.1988	6.8953	4.1109	8.3979	4.7178	5.0793	3.9912	6.4028	4.0884
U133A__ASNS	5.7555	6.9915	8.9025	8.6184	7.1894	8.7816	8.0217	7.2217	8.7944	7.2405	7.4364	8.23	7.3351	6.7055	8.3372	7.0562	7.619	7.5599	9.0102	8.0987	7.5216	7.197	7.7174	7.4411	6.7424	9.2835	6.6397	8.0286	6.3197	7.3892	8.7993	8.3637	7.3568	9.2583	11.7898	6.9057	7.4767	6.5745	7.3136
U133A__GALNT6	8.8821	7.3905	8.324	6.7568	9.7521	5.1143	8.8841	6.8554	6.1052	8.3463	5.6143	6.7577	6.284	8.1603	7.455	8.2228	6.9834	5.9045	7.5279	5.4304	8.8602	7.768	8.6096	5.6215	8.65	5.8084	8.4236	9.1485	9.1731	8.7939	5.665	7.8211	5.8236	8.3165	9.245	7.746	9.7446	7.8728	9.2057
U133A__PSCA	6.6794	6.7882	7.2379	5.2285	4.9533	4.2226	4.8065	5.209	4.548	4.64	4.7495	4.3334	5.1205	5.3627	6.3379	7.273	4.5253	4.1651	4.4817	4.9353	4.7136	5.3853	4.4292	4.5383	9.04	4.3378	10.8662	8.2352	4.6424	5.1155	4.7656	4.5504	4.7827	7.0019	6.9657	4.3908	5.4954	4.3161	4.4651
U133A__DUSP4	10.5675	7.7073	7.2673	8.7557	6.0843	4.1033	3.6137	3.1114	3.4129	3.194	3.6057	4.3157	3.8377	6.9902	6.3384	8.2093	3.5935	6.8971	3.1519	5.7101	6.7026	5.4863	8.3122	5.4229	10.2336	8.0304	8.4695	6.9283	6.4106	9.2095	3.1016	6.4878	3.4488	8.006	8.6117	6.152	9.8113	8.4149	6.4699
U133A__MAP7	7.0294	6.9618	5.9371	6.2892	5.0622	3.3979	5.2062	5.9871	5.1248	4.7305	4.9076	6.0043	6.1708	6.1226	3.6918	7.9469	5.9668	4.6054	5.9177	2.8929	7.3712	5.9184	6.9424	3.6628	6.5938	3.1392	7.5058	7.6036	6.3028	6.4188	3.2386	5.2887	3.0559	7.2001	7.7799	5.1143	6.5055	6.9507	5.9986
U133A__FADS2	5.0818	5.4816	5.1322	9.6465	5.6504	8.0394	6.7684	6.6788	9.8575	5.5179	6.906	6.5907	5.6059	5.1901	9.2965	5.744	5.9413	6.749	8.3327	5.5382	5.4518	6.5012	8.1996	5.9069	7.7532	6.8656	6.9474	8.2342	5.3166	5.3886	6.9133	8.1528	4.4817	10.0084	7.0889	5.6521	6.3014	5.7343	8.0881
U133A__IFI35	5.4977	6.6211	6.8837	5.9007	8.0682	6.7676	7.0366	6.3878	6.7278	6.8486	7.4278	6.9672	8.0101	6.8443	7.6942	5.418	6.0747	7.3015	7.4774	7.0745	5.9294	6.2196	6.5578	8.5606	5.4165	7.0996	6.7662	6.195	5.2079	5.7756	8.126	6.2137	6.6562	7.1166	5.7674	7.0133	6.0084	5.5399	5.1334
U133A__ADI1	7.576	8.4126	9.9636	6.0904	7.5485	8.1381	7.1524	7.9559	5.7867	7.111	7.2265	8.4107	8.9165	8.3018	6.6829	7.5084	6.2243	7.7446	7.2521	7.0495	8.7333	8.131	6.9574	8.6245	5.8795	7.4451	8.669	7.2065	8.8698	7.9541	8.3028	6.8774	8.8092	7.8338	7.9971	6.6821	7.0726	6.8236	7.0473
U133A__CDC42	9.1902	7.7859	8.6319	7.387	8.049	8.2784	8.4174	7.3727	6.9527	10.4798	7.8221	8.6507	7.6629	8.2869	7.6158	7.2827	7.6551	7.989	7.7281	8.7232	10.5883	8.6816	8.9952	8.8079	7.4084	8.292	7.8962	8.422	10.2628	7.9201	8.5298	8.7895	9.9012	7.5759	10.5517	7.5621	9.5678	7.3545	7.5374
U133A__IFRD1	5.4877	4.9609	6.223	6.1315	5.37	6.6057	4.5862	4.8029	8.1135	5.2789	8.2698	5.9761	6.4008	5.8931	5.0595	6.959	7.5063	6.305	7.2214	6.5547	7.5278	5.16	4.7386	6.84	4.7622	6.307	4.2376	5.1419	4.3653	5.7774	5.6285	7.0969	5.726	6.0891	6.9652	3.9585	4.1403	5.2741	5.3617
U133A__SERPINH1	7.3383	7.1112	7.8774	8.1094	7.609	10.5733	9.4768	8.1624	9.1995	7.2126	9.7949	9.0328	9.016	7.5828	8.5273	8.1352	9.7503	8.4767	8.1285	9.4153	8.799	8.2441	7.2596	6.5507	9.796	8.2198	7.7041	7.8123	8.1456	7.2836	9.8089	9.2239	8.8404	8.1488	9.6402	8.6763	7.692	7.3527	6.6774
U133A__RWDD1	7.4205	7.7046	8.7215	7.1539	6.7113	7.8573	7.1267	6.7122	7.0839	7.2993	7.7228	7.3589	8.2412	8.0047	5.4506	11.1379	8.4297	7.6919	7.4456	7.9971	8.4697	7.1268	8.3973	8.1803	7.8542	8.3264	7.9228	8.0948	8.1495	7.8762	8.1894	7.0984	8.5174	7.9832	8.9298	7.2329	7.6671	5.5182	7.5395
U133A__TMEM30B	7.5328	6.8901	7.6466	7.4005	7.841	4.5145	7.2183	6.9133	4.3056	6.7918	4.8118	6.6057	6.9381	7.4909	6.1509	8.128	5.2438	6.5212	6.4775	4.5702	8.4178	7.6244	7.2188	4.4832	7.1355	3.5723	7.4901	7.0626	7.6142	6.6801	4.1736	7.2792	3.6516	8.0335	3.6461	7.2677	8.2243	6.7906	6.8931
U133A__NFIB	5.1049	8.0429	7.1621	5.5476	8.2244	6.5844	7.7382	7.2318	8.0784	6.7958	8.4369	4.8136	6.7973	7.8837	8.0486	7.8088	8.563	6.8395	9.0065	6.3652	6.5391	6.6523	3.9047	5.8632	5.138	6.9184	6.2054	5.2087	8.4052	7.2966	5.089	7.8456	6.1568	8.5853	5.6226	7.4827	7.2677	7.2396	8.705
U133A__C14orf132	6.5685	5.8874	5.444	7.5794	9.1172	5.7191	8.9151	5.7685	5.747	7.4848	6.0918	5.6316	6.0757	6.1224	6.1424	6.5911	5.947	6.5909	5.5007	6.5415	7.2414	7.1242	8.7075	6.9817	8.2171	4.9994	8.7207	8.7824	6.2356	6.2289	6.637	6.0698	6.9631	5.5102	6.156	6.6175	9.5821	5.5833	6.6772
U133A__PHLDA2	5.3424	8.2473	7.9863	4.3806	6.72	3.5057	6.7397	5.2006	4.2696	5.6983	5.0851	7.219	6.1805	8.3388	6.6272	5.2793	7.7485	7.1033	8.0232	8.1311	8.3743	6.4542	8.5457	8.4178	8.7775	9.2722	6.4911	7.7236	7.0746	6.4241	2.9468	8.0806	7.9463	7.5742	6.0942	4.5074	7.5556	5.036	8.6972
U133A__HK2	7.7927	8.267	6.0513	9.3905	8.5865	7.1092	7.2637	6.3978	6.9276	5.9444	7.0521	6.4244	7.008	7.3448	7.9834	7.8368	6.4973	5.5445	7.3185	6.4854	8.2568	7.2834	7.5312	7.3908	7.8934	7.3739	8.0615	7.0305	8.3238	8.5453	6.3299	6.9952	7.351	6.437	7.3711	5.651	8.9271	9.8284	7.313
