Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR7530
Response	1	1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	1	-1	-1	1	1	1
U133A__CYP51A1	7.1379	6.7235	6.252	7.9948	6.9283	6.7289	7.7408	6.9648	7.9976	8.1668	8.4123	6.5777	7.3519	8.1687	7.165	8.4226	7.2755	7.1489	7.556	7.7218	8.3815	7.7393	7.8408	7.125	8.0664	6.2976	7.4839	7.1755	7.9582	6.6826	6.8516	7.0758	9.0446	5.9458	7.5436	6.7678
U133A__GPX3	8.1363	9.0183	5.2304	5.5135	5.2597	4.9768	5.1272	5.336	5.1537	5.6824	5.2059	9.8148	5.1904	5.0707	5.1354	4.915	8.2448	5.1519	5.5082	6.7269	8.0376	7.1621	6.4045	5.4796	7.354	7.9306	6.3995	5.279	6.6626	5.822	5.2433	5.3233	5.3369	8.1058	8.2524	7.7635
U133A__AMIGO2	5.8455	6.5327	5.3052	5.0478	8.1995	8.6579	4.6776	6.3495	4.6129	5.8787	3.9541	4.9778	6.2682	4.6287	5.1466	5.4281	5.7522	5.0069	7.2447	4.8186	7.0588	6.0228	7.047	5.9365	8.2027	7.6933	4.0096	6.5794	5.5099	8.94	7.9447	5.8444	4.696	5.1131	6.6145	5.5833
U133A__CXCR7	3.4505	3.4369	3.5229	6.5177	8.9687	6.7031	3.6681	3.4011	3.3612	7.9158	3.7108	3.5148	3.6332	3.6488	4.1429	3.4287	3.4867	3.3762	3.7256	7.157	7.6049	4.9871	5.3976	7.5315	3.3214	6.8548	3.5821	3.4802	3.4042	3.5035	3.8524	8.5317	3.9559	3.1811	3.3253	3.7854
U133A__LANCL1	6.7689	7.9484	6.1735	7.1973	8.0437	7.4032	6.8113	8.2676	7.471	7.7845	6.858	7.4074	6.1261	6.0262	7.1325	6.5866	8.9228	7.4355	7.3639	6.9245	6.5193	7.6214	7.1381	6.6311	7.2862	7.7475	6.4586	7.6675	9.6917	8.1542	7.5143	6.6789	8.0595	7.3913	7.8901	7.1071
U133A__SQLE	4.6168	4.8927	4.3591	6.8869	5.4736	6.0938	5.7546	5.7628	5.3462	7.445	7.1082	5.9324	6.0501	6.1707	8.6598	6.0786	4.967	7.0212	6.4167	5.7956	7.6022	6.6369	5.7665	6.1527	4.5071	4.947	6.3689	5.9702	6.331	6.4119	5.8236	5.8157	6.6624	5.4748	7.4374	7.6653
U133A__VEGFA	6.0067	7.5865	7.4133	9.3172	8.8928	7.2353	8.7479	7.4108	8.8648	6.898	7.7084	7.3718	8.5349	9.1772	6.1552	7.9471	6.1499	9.1817	7.9602	6.6548	6.5035	6.9542	7.311	6.9627	6.1337	7.1265	7.4277	7.8891	7.5508	6.0449	7.5202	8.2384	8.0846	5.8024	9.2627	7.1004
U133A__ADM	5.277	8.0616	8.6678	6.529	5.3128	7.8679	5.4283	7.2131	7.8738	6.5466	6.1613	8.3814	8.7626	6.6977	6.6973	6.3123	7.5305	5.4869	10.3763	6.8255	6.2425	7.0655	8.2545	7.1649	7.5308	6.2133	6.6996	5.353	6.5454	8.4176	7.011	5.4331	6.3307	7.7379	7.1417	5.593
U133A__TWF1	5.5084	4.4222	5.9488	6.6463	6.0045	5.5635	6.9623	5.9922	4.6291	6.6905	5.6328	6.9483	8.4203	4.8132	7.0744	6.4329	5.2535	6.2329	5.6756	6.0343	7.2103	5.6348	5.244	5.2969	5.6623	5.5977	5.005	5.403	5.5177	6.2422	7.1039	5.8716	6.9819	6.8472	6.2073	5.7632
U133A__IFRD1	5.4877	4.9609	6.223	6.1315	5.37	6.6057	4.5862	4.8029	8.1135	5.2789	8.2698	6.4008	5.8931	5.0595	6.959	7.5063	6.305	7.2214	6.5547	7.5278	5.16	4.7386	6.84	4.7622	6.307	4.2376	5.1419	4.3653	5.7774	5.6285	5.726	8.0212	6.9652	3.9585	4.1403	4.5841
U133A__CDH1	9.4054	3.1026	9.7731	10.1506	10.8025	2.7451	7.2616	8.8869	7.6506	10.3047	8.1115	9.9294	9.3213	10.668	2.9912	9.3955	7.3494	9.9431	3.1604	9.7553	10.3314	4.8896	2.9383	10.1819	3.7691	10.7292	10.1856	5.9099	3.9307	3.1058	3.5212	10.1757	9.7177	9.7436	10.2468	4.1184
U133A__FAR2	6.3903	8.0677	5.6978	6.9496	6.2868	5.9047	5.7329	6.2657	5.466	7.1439	6.4881	5.6582	5.9597	6.8368	7.204	5.8775	6.299	8.1854	7.381	5.6307	5.8298	6.5426	6.0009	6.0981	5.3047	6.5191	7.4616	5.4745	7.7824	5.6838	6.3407	8.1011	7.6185	5.7586	5.2172	6.7164
U133A__MLLT11	6.2166	5.4252	5.4761	5.4696	5.9452	9.2362	5.5842	5.7505	6.2622	6.0969	5.7778	5.6596	5.1106	7.3204	5.3868	5.5513	9.7364	5.8626	8.5124	5.5678	5.6979	8.2225	8.9305	5.5103	5.6819	8.5691	7.7028	7.9421	5.7603	7.4782	7.7591	5.4643	5.7609	6.4866	6.123	5.7367
U133A__SLC9A6	6.4055	7.0008	7.4995	5.2708	4.3228	8.7858	4.4773	6.7706	7.7514	4.2629	6.1563	7.6515	7.1268	4.8025	4.3595	7.158	6.999	7.5777	6.9	5.9238	6.2413	5.5375	6.5963	5.6565	7.8945	6.3295	4.5921	4.9043	4.9311	6.407	7.3206	6.1149	6.3706	5.8012	6.5172	4.9762
U133A__SUSD4	6.6086	6.9508	6.4035	6.7363	7.677	6.2558	6.0884	8.035	9.813	6.3402	6.2625	7.6664	6.2718	6.2591	6.1387	6.5387	6.4985	8.0919	6.1728	6.4318	7.0102	8.3366	6.7017	6.6934	6.3552	6.9363	6.3086	7.1127	6.7029	7.0237	6.4004	6.1749	6.7666	6.2368	7.3472	7.3727
U133A__IPO5	5.6385	6.1856	5.7095	5.5373	5.8466	7.9162	5.8477	5.7546	6.983	5.09	5.8033	7.652	6.3657	3.7682	5.9212	6.7812	7.081	6.3979	5.5539	5.2443	4.6709	5.608	6.7947	5.5339	7.5504	6.15	5.044	4.7743	5.5769	5.0842	6.7795	5.4684	4.6487	5.6728	6.6449	5.8249
U133A__LAMB2	8.1243	6.9331	6.1194	5.3368	6.0646	6.7282	5.7382	6.9642	6.1662	5.2838	5.4219	6.058	5.2916	6.5472	6.3258	6.2431	6.0447	7.3694	6.4274	5.1666	6.2658	7.1113	5.9146	7.8648	6.107	6.676	5.6942	6.7376	6.1559	6.6505	6.1049	8.712	6.7894	7.122	7.2784	7.3197
U133A__ATP2C2	6.3307	6.2095	5.2594	6.78	6.1865	4.7505	6.4084	5.4049	4.9367	6.2669	4.6402	6.105	5.0725	6.6704	6.7137	6.1365	4.8823	5.9041	4.6599	6.1516	5.6878	5.0964	4.7406	6.6441	4.5629	6.3763	7.4543	5.9877	6.6966	5.0115	4.528	7.6748	6.0596	5.6751	6.1125	6.089
U133A__TOP2A	8.3218	7.635	7.5818	6.7714	7.6466	7.4354	8.2835	7.4427	7.6015	6.105	7.0173	7.6242	7.2079	5.574	7.0333	7.8213	8.1878	6.9581	8.3969	7.9242	6.9241	9.1534	8.2413	6.8402	9.352	6.7271	7.4424	6.3468	9.4954	7.4665	8.2323	5.1247	6.7477	8.6761	8.3956	6.8699
U133A__TXNIP	9.0198	6.3159	6.4357	8.3832	9.4834	6.3813	7.8916	9.8559	5.7644	9.3606	6.8518	7.4178	7.8682	9.5912	9.4289	7.6529	6.0667	7.4504	5.6214	6.9145	7.9565	7.329	6.5723	9.169	6.4066	8.9171	8.1792	7.3859	6.7269	5.781	7.9514	10.3303	10.2571	7.8199	8.5902	8.8872
U133A__NDC80	5.5522	5.0453	7.3704	6.0641	4.7678	7.5886	4.8913	6.2093	8.2113	4.6458	5.6359	7.5058	5.4579	4.6172	4.7843	6.5212	6.879	6.771	7.0702	5.4314	5.1758	5.1286	6.8271	4.2246	7.4584	5.221	4.9644	4.8313	4.8279	6.9992	6.0043	3.5759	3.7379	5.2985	5.7214	4.4922
U133A__GBE1	5.9443	6.4724	7.7376	6.6096	6.8172	8.3086	5.6093	6.3136	6.5675	5.634	6.3318	5.9996	6.9661	6.1714	4.7537	6.2946	7.1265	6.681	8.3006	6.7359	6.2895	7.2379	6.9486	5.5154	7.9882	6.2151	4.4946	7.001	6.3652	7.6464	8.4375	4.6733	5.4259	5.6225	8.2007	4.9951
U133A__WBP5	6.7541	3.6889	6.4769	3.8423	5.822	6.6526	3.4188	7.1545	8.993	6.1042	6.1205	7.5367	4.0715	3.9169	3.6347	6.549	7.9524	4.1972	6.6648	3.9113	3.5138	3.6334	7.6132	3.816	8.2161	7.0278	3.947	3.6362	3.6496	7.7813	5.6305	3.7521	5.4815	5.2695	3.583	6.5312
U133A__HIST2H2BE	5.2169	6.1555	6.3954	5.9939	9.4664	4.7581	6.4892	7.028	5.845	9.4831	6.6393	7.3397	5.9223	8.8657	8.9328	6.3304	8.0707	6.4151	4.9797	7.2026	8.2043	7.1567	5.8962	6.2671	5.0337	9.2133	6.6612	6.7257	5.8532	5.39	5.0466	7.1041	5.9142	6.7795	5.2721	6.1089
U133A__ANK3	6.4478	7.308	5.8183	7.5215	7.0276	2.7342	6.8733	7.1104	5.6934	7.8747	7.0227	6.4182	4.6788	5.0538	7.3358	6.7191	6.6335	6.6594	2.6483	5.8109	6.8444	5.6613	3.2294	6.2805	3.5943	7.386	7.623	5.2949	7.0939	2.7388	5.8833	9.1143	5.702	6.1148	6.4416	5.4545
U133A__ABCC5	6.6226	8.0779	7.8607	7.1449	7.6776	6.8408	8.5504	7.4246	7.1746	9.5645	7.9864	7.9396	7.1158	7.6418	9.4831	7.1401	7.208	8.2613	7.2144	8.3302	7.7177	6.6558	7.0907	7.519	6.9575	8.0859	7.7665	8.0521	8.6714	6.9314	6.9156	10.0979	7.4944	8.5541	8.0903	7.1643
U133A__PDLIM2	6.1838	6.4469	6.5686	5.0195	5.6124	8.445	5.1054	6.7985	7.5575	4.7108	6.3607	5.6691	6.1512	4.6418	6.3079	7.0536	6.8265	6.1954	8.6963	6.1059	5.2037	5.8817	6.625	6.3894	6.7859	4.9201	6.5696	4.5589	7.137	7.7536	7.2215	5.3168	4.947	5.8226	6.1853	5.2303
U133A__PDGFC	5.5151	4.7072	6.4241	5.306	4.2114	8.5446	4.2682	7.5679	8.1244	3.5487	4.7294	5.2036	7.8858	6.7858	6.5847	5.6004	6.6393	7.1701	6.9926	4.1352	3.636	4.0802	7.2686	4.8705	9.2966	6.5591	5.3401	5.7983	4.7499	8.8223	7.8914	4.062	5.1023	5.7918	4.4004	4.4081
U133A__RHOD	7.8747	5.2958	7.9209	6.4675	7.5568	5.1077	7.9489	5.7556	6.6789	8.1395	6.8909	7.7422	7.4409	7.2922	7.285	6.8871	6.6721	6.7316	5.5286	7.3222	8.2642	6.9058	5.7004	7.3765	6.1846	7.1356	10.2792	7.6147	5.486	5.0982	5.0527	6.8992	8.2248	8.4567	7.6569	6.6061
U133A__TFF1	12.2913	8.7704	4.8812	12.009	13.0647	4.5823	11.357	5.0347	4.9526	12.0586	5.5069	4.7953	5.1295	7.7444	6.8636	5.3196	4.6565	4.7428	5.032	12.5113	12.6032	7.2875	4.6427	11.0566	4.7941	12.0723	7.1696	5.6426	6.7433	5.0684	4.9279	10.1664	5.2403	4.7042	12.6332	8.9264
U133A__ACAA1	6.1633	8.8997	6.6984	5.2632	6.5332	6.3551	7.0217	6.3772	6.4261	7.1641	7.3011	6.1541	6.6504	7.2811	7.0428	6.9482	6.9299	6.3982	6.6822	7.7278	6.912	5.4479	7.0365	7.5844	6.3811	6.9764	7.9024	6.7552	9.1231	6.4906	6.0876	7.3427	6.6535	6.6359	6.846	6.4082
U133A__KIF14	6.6803	6.4582	6.7575	5.5932	5.6142	7.1136	4.9453	5.6646	8.1398	5.3265	6.9909	6.414	5.3583	5.0707	5.431	6.481	6.2668	7.5613	5.9016	5.7401	6.9772	5.3392	6.6024	5.8901	7.6284	5.4955	6.6597	5.9754	6.0151	5.7495	6.1868	4.6193	5.3477	5.6868	5.8779	6.1667
U133A__MED1	6.789	9.401	6.6315	9.8321	6.7544	6.543	6.5188	6.1616	6.714	5.4657	6.4849	6.2933	5.5168	7.637	6.165	6.7157	6.7015	6.6643	5.9833	5.9938	6.0596	6.5369	6.341	6.0538	7.4592	7.1028	5.6961	6.8213	9.7185	6.1455	6.5327	5.9984	6.2636	7.0154	8.3873	5.1839
U133A__CYR61	7.9058	8.1337	8.7486	7.2872	6.0591	9.9464	5.4504	7.7791	4.4815	7.6012	8.4784	8.0849	8.6439	6.0084	7.6799	9.575	10.4785	5.9019	10.6077	5.8235	5.4758	5.6887	7.6585	7.316	11.0284	6.8624	7.1407	6.9966	8.7828	10.4135	9.6697	6.1964	7.826	8.5165	6.9877	7.9605
U133A__EIF5A	6.1532	10.2322	11.5081	6.6804	8.676	10.141	10.3505	7.0561	6.2771	10.4307	10.9743	7.3039	9.2206	10.7045	10.6954	11.0518	6.7936	10.9733	11.4584	6.2508	7.0806	7.2351	10.9628	6.3987	9.8155	8.213	8.5732	9.7217	9.4725	10.7482	10.6383	7.469	10.9772	6.6051	6.774	6.3053
U133A__RCAN1	9.5061	7.1303	7.6573	5.82	5.6035	7.7765	5.7191	7.9377	6.1191	5.2347	8.8541	6.9518	5.967	5.1898	6.6797	7.3532	6.7074	8.7816	5.7036	5.7352	4.0112	4.6964	6.4032	8.3341	6.0613	5.947	7.4427	5.2858	6.2714	7.7167	6.4412	5.1797	7.3375	7.707	9.0319	5.7327
U133A__DDAH1	8.9187	8.5483	9.3578	7.8829	8.8633	8.3878	7.0164	7.0683	5.6482	8.0142	6.9419	8.3529	7.671	6.9839	8.697	7.4941	8.6928	7.845	9.6453	6.2098	7.4176	9.7077	6.2347	8.0152	10.6373	8.2905	8.9321	8.726	8.7206	8.3137	8.0215	8.5239	8.3946	8.0016	9.3856	9.4862
U133A__RHOBTB3	5.0787	5.0683	6.7277	5.1065	5.6136	6.0473	6.2514	4.9227	5.6696	8.5462	7.9271	7.275	6.0499	4.2318	6.8141	6.2335	6.566	6.6969	5.985	5.5974	8.3924	6.5413	6.3596	3.3827	7.6414	5.9011	7.025	3.8914	5.5555	5.72	6.2604	6.5518	7.0476	5.4977	6.662	4.6308
U133A__SPRY4	9.1625	7.666	6.7206	7.0909	6.6778	6.1402	6.2326	6.5822	6.2255	6.1928	6.858	6.4451	6.6843	7.6043	6.3436	6.0899	6.4449	6.0177	6.9419	6.1993	6.3284	6.8972	6.7042	8.6704	9.0079	6.9669	6.9797	7.1359	7.2561	6.6597	7.669	6.9477	7.2227	6.3081	7.6452	9.786
U133A__MAFB	4.2939	5.2209	6.2054	6.0526	7.1675	4.5699	8.118	4.4545	6.0147	5.8886	5.9523	8.0513	5.6472	7.7452	5.899	5.4665	8.7595	6.8573	6.4104	4.5053	5.7821	6.9794	6.131	5.4416	4.4014	6.1242	5.0501	8.6345	4.3436	4.4115	4.4563	7.0732	7.4185	5.1496	5.3409	4.2219
U133A__TFPI2	7.557	4.6395	8.3102	4.7191	4.3087	6.5383	4.1132	3.9849	4.0743	4.199	4.0486	4.0854	4.3796	4.6333	5.0358	4.0053	6.1919	6.6266	4.2509	4.1836	6.2286	4.2252	8.7661	4.6738	7.4605	7.1817	4.1103	4.1122	4.4394	6.8177	7.5053	5.1922	3.9556	4.0933	4.5088	4.8398
U133A__GDPD3	6.5019	10.0153	6.477	6.1503	6.642	5.7463	7.4532	6.4548	5.9638	6.4119	6.4377	7.0271	6.539	7.1794	7.2005	6.6596	6.229	6.574	5.8339	8.0906	6.7648	6.1995	6	7.6927	6.1031	6.4612	7.043	5.897	8.9869	6.01	6.2605	7.4305	6.1856	6.1103	6.7211	6.3816
U133A__TUBB6	4.8682	6.5678	8.0465	6.253	4.4901	9.8768	4.9213	8.3339	9.2657	7.3934	8.5949	8.7762	7.6112	5.3791	6.6415	9.8152	9.8057	8.0943	9.7499	8.3425	7.4325	7.8191	10.4802	5.4732	9.0045	7.5802	5.0843	5.1846	6.5456	10.1106	9.6441	5.1798	5.5564	7.8651	8.1612	7.0332
U133A__SLC24A3	5.6004	5.5097	4.5251	7.0284	8.6046	4.2919	7.6789	5.7657	8.3801	7.8815	6.0192	4.5344	4.5142	6.0343	7.7085	4.6155	4.9532	6.8012	6.2703	4.6445	6.0407	7.2196	4.3953	5.5787	4.6406	6.2134	5.5668	7.404	5.3517	4.4037	4.696	7.0271	6.5218	6.8955	5.7622	8.3469
U133A__PLEKHF2	7.8227	5.5542	5.4206	8.353	9.5772	5.3539	7.7758	6.2048	6.0169	8.5369	6.5492	8.251	6.1642	5.9198	9.5057	6.5501	5.6869	6.6621	5.3134	7.6518	7.2111	8.3373	5.1421	7.3073	5.4357	9.0386	6.3531	8.0942	4.8166	4.8152	5.4296	6.1804	9.1234	7.8132	8.0893	6.5008
U133A__AGR2	10.3169	10.6821	4.8118	11.0027	11.4133	4.8801	9.5473	4.7238	4.9574	5.6983	5.7322	7.8487	8.9628	11.0145	11.018	5.5521	4.8807	6.5245	4.9432	9.0223	9.5307	5.3115	4.1066	11.5908	5.8781	10.7955	11.9865	9.8595	9.5144	5.8546	4.7808	12.2035	11.3355	11.4831	10.6889	11.2101
U133A__RBPMS	8.4422	7.9156	6.0086	7.3213	7.5491	4.6263	6.6453	6.3405	4.8493	6.4751	6.9032	7.4236	7.5177	5.9548	8.9011	8.4347	5.1093	6.4882	7.4314	6.3886	7.9839	6.0911	6.3852	9.3425	5.4828	6.0819	7.1503	5.089	6.5809	4.624	7.1047	6.7866	6.643	6.4984	9.0655	8.2877
