Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	1	-1	1	-1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	-1	-1	-1	-1	1	-1	1	1	1	1	1	1	-1	1
U133A__PTGES	5.8556	8.0858	9.0162	6.588	8.0169	5.7761	5.7217	6.5808	6.1354	9.2925	5.6676	8.0362	8.0252	9.206	6.6039	7.181	8.1471	6.6073	5.9903	5.8787	6.2111	6.8417	6.2643	6.6813	5.6434	5.524	5.7987	5.4513	7.2475	5.5655	8.5874	7.1294	6.3363	5.9202	7.9707	5.8566	6.4839	6.4179
U133A__S100A8	6.1706	12.5664	8.3351	4.157	7.7019	3.5813	4.7324	3.924	5.4707	9.0826	7.6008	10.1724	11.3533	12.0862	11.5807	11.9267	4.6797	8.514	4.0572	4.4943	4.3478	5.5487	4.143	7.8157	3.962	4.2797	3.922	4.6677	11.5551	3.8788	8.6098	3.9747	8.5694	7.8125	4.319	12.2071	5.4406	9.593
U133A__STOML2	7.2213	8.4844	8.5185	9.9156	8.2398	9.103	9.0795	8.2134	8.6867	8.261	8.9344	8.3241	8.5246	8.7663	11.5332	9.1862	8.097	9.4651	8.2944	8.4101	8.3866	8.7367	8.6208	7.9967	9.327	8.4125	8.6614	8.9936	8.3608	8.7891	8.6857	9.1326	7.7287	8.0294	8.042	7.9046	8.4869	8.9244
U133A__KRT8	10.7115	11.2525	11.4126	11.1708	11.8105	4.6994	10.4767	9.9402	9.7313	11.932	8.4941	8.913	10.6646	11.1743	11.4994	9.9269	9.5922	9.5457	5.7145	11.6793	12.1159	10.506	7.5837	11.0665	8.3426	11.2063	10.4653	9.1194	11.5414	4.6224	9.8963	8.3775	10.994	9.9593	11.9459	11.5683	9.9995	11.4816
U133A__CLTA	8.5441	9.0829	9.4492	8.6889	9.0599	10.0873	9.5486	9.3638	9.2209	9.4214	9.6276	9.3187	9.6784	9.5067	12.2679	9.8756	8.4701	10.062	9.7442	9.0902	9.1292	9.8156	10.0738	9.7081	10.2228	10.4124	9.1562	9.658	9.2826	9.7985	8.6576	9.6315	8.318	8.7302	9.1874	8.7619	9.8217	9.2826
U133A__L1CAM	5.131	6.8401	8.8594	5.4162	6.1226	5.1979	5.9992	5.5173	7.8196	5.2405	5.5027	5.3762	5.4281	5.847	7.5077	7.1837	6.3174	4.9963	5.9868	7.9212	7.0946	7.0356	9.0199	5.9986	5.5005	5.3735	5.5797	5.2012	7.695	5.1086	9.1313	5.2153	5.7168	7.2869	6.3167	7.8844	5.2102	5.2926
U133A__ZNF331	6.4667	6.4893	7.1556	6.6717	6.5898	6.001	6.6904	6.412	7.3283	6.6125	5.7946	6.5556	6.7707	5.6242	7.9402	6.0492	6.7359	6.045	6.5582	6.7028	6.8579	6.2326	5.7567	6.372	4.7952	6.3292	6.1146	6.2743	6.3638	6.3851	5.5762	5.4367	6.2458	9.3518	6.0682	6.9039	6.5066	6.4904
U133A__S100A9	7.9647	11.9201	10.3006	5.7847	6.7985	5.4442	5.8403	6.0309	6.2418	6.3714	8.7074	8.3063	10.7464	12.1734	12.1265	10.5052	5.607	8.7234	5.5487	4.8491	5.2184	5.2175	5.4068	11.3006	5.0361	5.7072	5.0373	5.4591	10.8214	5.383	7.9261	5.5795	8.2792	7.8847	5.9403	11.6483	5.5256	6.655
U133A__GPRC5A	7.4835	8.1924	10.8478	6.6047	8.4387	6.411	7.0096	8.9953	5.7325	6.94	5.5498	8.3772	7.6094	9.252	9.0365	8.5419	8.7773	9.0299	7.3729	7.7901	8.8337	7.6604	5.9316	9.2595	8.1985	7.3947	8.0719	6.3931	6.2926	5.6671	10.3479	6.9332	8.0798	7.8656	6.8201	8.9387	6.3194	6.9714
U133A__HSPB8	7.1855	6.051	8.3424	6.117	10.5584	4.8732	8.9372	5.2653	5.2554	9.9574	5.3779	7.1384	7.7295	5.5586	5.7058	5.2302	6.0879	4.9705	7.4722	5.9505	7.092	7.9963	5.6915	7.4217	5.354	9.502	7.0711	5.3281	5.3147	5.3216	5.8513	6.7961	7.2769	8.4231	7.8393	9.15	5.4253	7.0301
U133A__S100A7	3.9827	9.8627	4.378	3.7425	4.4874	3.7545	3.8373	3.8754	6.8983	4.1202	4.0664	4.1086	9.5441	6.8918	7.5508	11.45	3.5806	4.2457	4.1132	4.0098	3.8376	4.0133	3.8093	4.1274	3.8115	3.9822	4.0015	4.0927	6.568	3.8366	4.4695	3.707	4.5261	3.8059	3.7223	9.5054	3.8849	4.6177
