Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	-1
U133A__KRT81	11.938	11.7362	6.076	5.7523	6.3613	6.2318	6.3563	6.465	9.5941	5.9887	6.4382	11.5769	5.8215	9.4778	12.3672	6.2151	9.0579	12.2114	8.9762	6.0823	6.4617	12.3512	6.732	5.9285	6.3727	12.6895	6.72	7.5076	11.152	5.9101	10.4556	5.9877	12.3689	6.5077	6.5763	12.1746	12.8064	5.8807	6.8635	6.1844	6.9041
U133A__RBPMS	8.4422	7.9156	6.0086	7.3213	7.5491	4.6263	6.6453	5.8481	6.3405	4.8493	6.4751	6.9032	4.9182	7.4236	7.5177	5.9548	8.9011	8.4347	5.1093	6.4882	7.4314	6.3886	7.9839	6.0911	6.3852	9.3425	5.4828	6.0819	7.1503	5.089	6.5809	4.624	5.5321	7.1047	6.7866	6.6405	6.643	6.4984	9.0655	6.277	5.9793
U133A__GPRC5A	7.4835	8.1924	10.8478	6.6047	8.4387	6.411	7.0096	7.2709	8.9953	5.7325	6.94	5.5498	8.3772	7.6094	9.252	7.803	9.0365	8.5419	8.7773	9.0299	7.3729	7.7901	8.8337	7.6604	5.9316	9.2595	8.1985	7.3947	8.0719	6.3931	6.2926	5.6671	10.3479	6.9332	9.4321	8.0798	7.8656	6.8201	8.9387	6.3194	6.9714
U133A__IFI35	5.4977	6.6211	6.8837	5.9007	8.0682	6.7676	7.0366	7.7739	6.3878	6.7278	6.8486	7.4278	6.9672	8.0101	6.8443	7.6942	5.418	6.0747	7.3015	7.4774	7.0745	5.9294	6.2196	6.5578	8.5606	5.4165	7.0996	6.7662	6.195	5.2079	5.7756	8.126	6.2137	6.6562	5.3685	7.1166	5.7674	7.0133	6.0084	5.5399	5.1334
U133A__GDPD3	6.5019	10.0153	6.477	6.1503	6.642	5.7463	7.4532	6.1041	6.4548	5.9638	6.4119	6.4377	5.6627	7.0271	6.539	7.1794	7.2005	6.6596	6.229	6.574	5.8339	8.0906	6.7648	6.1995	6	7.6927	6.1031	6.4612	7.043	5.897	8.9869	6.01	6.9427	6.2605	7.4305	6.4492	6.1856	6.1103	6.7211	6.0486	6.5637
U133A__TRIP13	7.745	8.3821	9.099	8.3399	7.2109	8.4946	8.4298	9.1761	8.1542	8.1616	8.0032	8.2922	9.269	8.9522	11.8558	8.2882	8.7189	8.5732	8.6762	9.2749	9.1383	7.9553	7.9682	8.584	8.3787	7.6696	8.1315	7.9447	8.0787	7.9149	8.2085	8.3646	8.3153	9.9502	6.6053	7.1	7.2737	8.9561	7.5954	6.3957	7.9724
U133A__CNN3	6.5662	5.928	7.2837	6.2459	5.2624	7.9772	7.5358	5.2634	7.333	7.2978	5.852	8.5066	5.2216	8.3566	7.6308	7.8934	5.711	7.0815	8.6543	9.1609	8.1059	3.6902	3.6053	8.2442	7.3666	6.0036	9.026	7.1398	7.5905	8.7984	6.3226	7.2367	6.9493	5.7464	5.5974	9.1542	7.5337	7.6915	8.1608	6.8602	3.467
U133A__TP53I3	6.4026	6.6763	8.2514	6.3293	5.9343	7.1322	6.819	8.4069	7.1618	6.3678	6.5144	7.206	6.7321	7.3316	7.6571	8.1537	5.8259	8.1345	6.9746	6.8374	7.2446	6.7114	7.2028	7.7129	7.0884	6.1951	7.7591	7.3	6.3167	7.4749	6.4755	7.6138	7.5304	7.6483	5.9188	5.8959	6.2309	11.9441	6.5465	6.4171	6.7233
U133A__CYFIP2	6.119	7.2214	5.5471	7.2856	7.9177	5.0692	8.2878	5.1518	5.5729	5.7304	7.8867	5.7349	5.1345	5.1257	5.5263	5.2595	7.4708	6.2103	5.5828	4.7354	5.6666	5.6376	6.6199	6.1386	5.2283	7.4	5.4525	6.2671	5.9559	6.8642	6.9614	5.7687	5.5363	5.436	8.0359	5.4743	8.5498	7.3658	8.2599	5.8194	7.1325
U133A__TFF1	12.2913	8.7704	4.8812	12.009	13.0647	4.5823	11.357	4.4645	5.0347	4.9526	12.0586	5.5069	4.6102	4.7953	5.1295	7.7444	6.8636	5.3196	4.6565	4.7428	5.032	12.5113	12.6032	7.2875	4.6427	11.0566	4.7941	12.0723	7.1696	5.6426	6.7433	5.0684	4.859	4.9279	10.1664	4.8671	5.2403	4.7042	12.6332	7.8516	12.1863
U133A__CLNS1A	9.4608	8.6558	8.2594	6.9005	8.581	8.8302	6.9955	8.0207	7.7269	8.5912	8.5311	9.0546	9.5556	8.4244	8.5211	7.4982	8.0984	9.0511	8.2463	8.0085	8.011	8.7419	8.7794	11.0338	8.2217	9.6021	8.4882	7.6112	7.6521	8.5151	8.1378	8.3304	9.2318	9.4287	8.085	8.3387	10.4912	8.8496	8.6699	7.8664	8.2449
U133A__GADD45A	5.3909	6.2445	7.9181	7.5063	5.2446	7.3392	5.1443	8.6309	7.1551	6.8213	5.8339	6.7283	7.7482	8.4893	7.405	6.8995	5.0377	8.008	6.8747	8.2273	9.7214	5.0571	5.8846	7.9334	7.5512	5.2269	6.8579	6.8197	6.6866	6.5109	5.6789	8.471	7.4893	9.3585	5.2882	7.4148	7.1867	5.4167	6.9506	6.5311	5.8262
U133A__SCNN1A	10.6798	10.2873	7.6271	9.5174	6.3736	5.1269	5.7522	6.965	7.855	7.1514	7.5591	5.0831	7.5561	9.5579	6.8491	6.9399	10.2154	8.2008	8.0919	8.4828	5.1176	7.4845	8.3324	6.7783	5.031	9.9974	4.9415	10.249	9.0519	5.2967	8.9389	5.0404	10.1973	6.488	11.1194	9.4423	10.4939	7.683	8.8468	7.9238	7.3972
U133A__SFRP1	5.1117	5.3705	5.8074	5.4813	5.2707	8.5268	5.2428	8.8216	9.9972	5.5535	5.1718	9.5246	5.3062	10.0981	5.6955	5.8066	5.5267	9.5855	5.8497	6.0073	6.2385	5.3056	5.4548	5.5234	8.2226	5.0257	5.1371	5.8117	5.2424	5.5989	5.185	5.4689	9.8611	5.3713	5.4951	5.5905	5.3988	5.3516	5.0277	5.5497	5.2553
U133A__TXNIP	9.0198	6.3159	6.4357	8.3832	9.4834	6.3813	7.8916	8.9429	9.8559	5.7644	9.3606	6.8518	6.1465	7.4178	7.8682	9.5912	9.4289	7.6529	6.0667	7.4504	5.6214	6.9145	7.9565	7.329	6.5723	9.169	6.4066	8.9171	8.1792	7.3859	6.7269	5.781	8.2045	7.9514	10.3303	8.9095	10.2571	7.8199	8.5902	10.4484	6.8079
U133A__XIST	7.4954	9.2012	4.4356	3.8785	7.8339	3.9121	4.3337	4.4232	4.6098	8.5036	7.7232	4.3864	3.9876	4.0078	3.9	7.8932	4.7839	7.027	8.1843	7.4679	4.8628	4.5531	7.1401	7.2642	7.8189	6.8515	4.3492	4.1485	7.8787	6.4632	7.1041	4.9547	3.8857	6.9101	4.1381	3.7305	7.8729	4.508	8.1491	7.1912	4.174
U133A__PLIN2	5.4596	5.5553	6.7467	6.2866	5.6251	7.1913	6.2276	6.8111	6.3505	7.2035	6.5559	6.8593	7.4369	5.9231	7.2854	6.944	4.7903	5.1821	6.5813	8.6822	5.4414	5.7692	5.7808	5.7218	8.9755	6.506	7.4888	4.9391	5.1107	5.3351	5.6025	5.392	7.0003	4.8307	5.2846	6.4068	4.9712	6.5803	5.9229	6.4567	6.1675
U133A__TSPYL5	3.6622	4.0244	6.8694	3.6776	9.022	3.6848	3.8648	5.2233	8.5831	7.8475	10.848	6.2106	7.8231	7.0585	3.8296	3.8136	3.6174	8.1839	8.8496	5.7356	3.7217	9.129	8.4795	3.8889	5.8008	8.0107	3.5589	3.5408	4.4057	3.6938	4.7196	8.2136	6.338	3.9169	8.5555	3.6322	3.9345	3.9492	8.9721	3.3756	3.5561
U133A__SLC11A2	6.2765	8.4125	6.444	6.1866	7.0199	5.4309	5.2961	5.6531	7.6168	5.6974	5.8892	6.523	6.1864	6.8168	5.5577	5.1303	7.3601	7.0242	6.3274	6.5256	5.6932	6.0948	6.3836	5.8358	5.5979	6.536	5.81	6.6095	6.3764	5.7265	6.8441	5.4316	6.4573	6.2816	8.9095	7.8275	7.3783	7.1257	6.0897	6.0705	6.4142
U133A__PHGDH	7.4108	7.1537	10.3442	8.105	6.4854	8.4641	6.9078	8.1949	7.2091	9.3914	8.3536	7.7658	8.2451	8.4218	7.6994	8.82	7.1137	7.4823	8.446	9.7916	7.6953	7.2645	6.7722	5.8624	7.797	6.6487	6.6278	8.0502	7.8655	7.9675	6.7189	9.1647	8.0666	6.5386	9.6919	9.7963	8.2777	7.7695	7.4865	7.2748	7.6427
U133A__PSMB3	9.6802	9.084	9.8988	12.1363	9.6264	9.5618	10.306	9.8656	8.8918	9.2269	9.1014	10.006	10.2436	9.5561	9.7906	11.3566	9.2113	9.923	10.0025	9.3135	9.7381	8.6375	9.5798	9.9499	10.0309	9.6853	10.0956	10.8509	9.7682	9.7899	8.7196	9.5636	9.7851	9.9523	8.3181	8.917	8.9793	10.2048	11.8259	9.0869	9.9681
U133A__ARHGDIB	8.5293	8.1199	5.8842	6.4501	7.2463	4.7304	4.7976	6.2259	5.607	6.4063	8.0311	5.4551	9.4922	9.2045	7.5589	7.8056	10.3184	8.841	4.8659	9.2277	6.0753	4.7729	5.4535	5.0219	5.5393	10.2407	10.0378	9.1753	10.118	6.7721	8.9124	5.2272	8.2832	6.2232	9.5105	9.0231	7.7081	6.377	9.6437	8.9659	6.9107
U133A__TRIM16	6.1574	6.1974	9.2691	5.7526	6.4896	7.8195	6.6675	6.4563	6.8223	7.0869	5.7686	6.3137	9.1814	8.2659	7.3056	7.7113	6.6343	7.8839	7.5431	5.7772	7.4161	6.4079	6.7198	6.2253	7.6578	5.7971	5.9195	7.4512	6.3	8.2898	7.0752	6.5095	7.3537	6.161	7.2962	7.0737	6.0595	6.0184	6.2297	6.5469	6.4635
