Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	-1	1	-1	-1	1	-1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	-1	-1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1
U133A__TFF3	12.242	7.4282	11.8098	12.1898	5.9539	7.9505	6.1278	5.6693	5.4995	9.7873	5.9862	5.5639	5.8248	5.9636	6.9685	5.7579	5.9571	5.385	6.1336	7.9223	8.6074	8.054	6.0694	12.8617	5.781	12.1275	8.7981	5.6714	6.2142	5.5641	7.2255	6.0829	5.986	5.7096	12.552	6.9097	7.2481	12.881	8.677	10.9125	9.4077
U133A__EXT1	5.9409	6.9912	6.0302	6.0805	8.4548	5.5923	6.9876	6.8187	7.0983	7.327	6.7887	7.3775	8.1855	10.4735	6.8258	8.2801	7.7689	7.6661	9.1103	6.1098	5.6871	5.344	9.0202	6.2664	8.134	6.311	7.1049	8.246	6.3766	7.7789	6.5234	7.4435	8.7782	7.0972	7.003	7.0514	5.8885	6.2246	5.1195	6.942	5.2664
U133A__GADD45A	5.3909	6.2445	7.5063	5.2446	7.3392	5.1443	8.6309	7.1551	6.8213	5.8339	6.7283	7.7482	8.4893	7.405	6.8995	5.0377	8.008	8.2273	9.7214	5.0571	5.8846	7.9334	7.5512	5.2269	6.8579	6.8197	6.6866	8.9886	6.5109	9.8078	5.6789	8.471	7.4893	9.3585	5.2882	7.1867	5.4167	6.9506	6.5311	6.1497	5.8262
U133A__PDGFC	5.5151	4.7072	5.306	4.2114	8.5446	4.2682	7.4629	7.5679	8.1244	3.5487	4.7294	7.0604	5.2036	7.8858	6.7858	6.5847	5.6004	7.1701	6.9926	4.1352	3.636	4.0802	7.2686	4.8705	9.2966	6.5591	5.3401	6.8294	5.7983	8.4198	4.7499	8.8223	6.3115	7.8914	4.062	5.1023	5.7918	4.4004	5.4727	4.4081	5.9931
U133A__TGFBR2	4.7952	5.333	5.0315	4.0804	6.7765	4.5064	6.7981	6.3664	4.7365	4.2208	4.6006	6.7692	5.9237	8.2695	5.0056	4.2784	5.3755	6.5588	7.6766	4.5196	5.7419	4.3473	6.6819	4.3361	7.685	4.9647	5.073	6.9129	4.4376	6.2656	5.0651	7.2266	7.6333	8.8984	4.4958	4.7649	4.3031	4.2663	4.2258	4.2648	4.3092
U133A__TFF1	12.2913	8.7704	12.009	13.0647	4.5823	11.357	4.4645	5.0347	4.9526	12.0586	5.5069	4.6102	4.7953	5.1295	7.7444	6.8636	5.3196	4.7428	5.032	12.5113	12.6032	7.2875	4.6427	11.0566	4.7941	12.0723	7.1696	4.5311	5.6426	4.66	6.7433	5.0684	4.859	4.9279	10.1664	5.2403	4.7042	12.6332	7.8516	8.9264	12.1863
U133A__PTRF	6.1143	6.0022	6.2617	5.8685	9.7082	5.8463	9.004	8.3455	6.1188	5.7173	6.9987	8.6548	8.2281	7.4855	6.7332	6.6073	6.763	7.1768	9.9604	6.0237	6.3204	5.3083	9.1023	6.1647	9.8031	6.2294	7.3507	8.0369	6.3333	7.3438	5.6802	9.5435	8.2916	9.4023	5.267	6.5915	6.796	6.1726	5.4646	6.4682	5.981
U133A__PLAUR	7.2636	7.0817	6.3774	6.0661	7.9196	6.3478	7.0145	8.6018	7.3217	6.6571	6.7499	6.7768	7.13	8.4113	6.868	6.8516	8.1211	7.3607	8.1234	6.4877	6.4579	6.6082	6.9693	6.7436	8.9904	6.1449	6.6998	7.9687	6.2084	8.0323	6.715	7.4222	9.277	7.1697	6.0395	6.7814	6.3108	6.3435	6.3425	6.1753	6.7746
U133A__ERBB3	9.0074	7.5004	8.3846	9.4643	4.1332	7.8718	3.9425	7.0488	7.2396	8.1221	7.1116	6.5673	7.1065	5.2443	8.1957	8.2884	6.1232	7.809	3.9223	7.4837	7.907	7.5422	5.1573	7.8977	4.7362	8.49	7.7735	4.4635	8.3471	6.2743	7.8318	4.3134	6.0561	4.2768	8.8454	6.8618	8.571	8.2939	8.3354	8.1268	7.6055
U133A__PSMB9	4.8843	6.5081	4.5777	6.4754	4.7598	4.9569	7.7952	5.4396	7.3883	5.527	6.1295	8.4128	8.0092	6.9446	7.3893	5.1029	6.1024	9.9119	5.7298	4.7975	4.492	5.0886	8.6041	4.6674	5.0612	5.1089	6.7275	5.4245	4.8534	9.1835	4.6866	6.3482	7.112	7.5584	4.6708	4.9221	5.6582	4.9831	4.8526	4.7699	4.6645
U133A__ANXA1	8.3863	5.1813	6.8058	4.8279	10.1509	4.9132	10.8697	10.2727	4.9733	4.6701	10.5859	11.0167	11.8721	11.347	5.6928	5.3504	11.3303	11.4584	11.0326	4.9591	4.9942	5.0231	10.6713	6.8432	11.1804	5.5085	9.4097	11.2499	5.0185	10.4199	5.8809	10.9965	10.7391	9.9079	9.1288	9.263	4.6556	4.9519	4.8945	6.9477	4.9117
