Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	-1	1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	1	1	-1	1	1	1	1	1	-1	1	1
U133A__TRIL	6.45	7.691	5.7803	8.2706	4.3206	6.0987	4.2621	4.8923	6.7164	6.9271	4.5574	4.0993	4.5377	4.618	7.1587	7.1386	4.4006	4.3815	5.8478	4.3545	4.9991	5.0011	7.308	4.4089	5.3409	4.5657	5.6758	4.9838	4.5005	5.7791	5.5015	7.6403	4.4034	4.3459	4.6801	7.0693	5.9149	7.3008	6.3524	6.3898	6.3861	4.6888
U133A__TSPAN13	9.6774	10.0953	10.249	10.7603	5.511	9.5712	6.4062	7.7338	7.6575	9.9233	6.7565	9.5285	9.5561	9.2752	10.1883	10.611	8.413	7.5481	10.2011	5.4571	9.1734	9.4408	9.5767	7.3108	10.1409	5.6786	10.1128	10.3424	5.3507	9.7301	9.6136	9.8614	8.6711	6.8176	6.1061	11.0026	11.2545	10.2015	10.0762	10.0917	10.4436	10.3821
U133A__COL4A2	6.4635	5.4771	4.9197	4.4398	9.5328	4.7309	7.1	6.7139	4.8079	4.9894	7.5194	8.2333	5.6191	5.1904	5.6325	5.0157	9.3085	8.3007	4.2182	8.3461	4.7889	4.7039	4.7941	9.7331	5.177	5.9915	4.8098	5.2981	5.5286	4.7465	6.0811	5.4106	6.024	9.0196	4.8637	4.61	4.8703	4.9757	4.6655	5.105	5.0212	4.6821
U133A__BCAS2	6.976	7.1565	6.483	7.4139	8.0901	7.4672	7.6244	6.8205	6.4102	7.746	7.7915	7.7371	8.8231	7.59	6.1797	6.9229	8.1268	8.5233	7.5586	7.7816	9.8199	9.9917	7.849	7.5805	6.1488	8.9237	6.9103	7.386	7.2148	7.3388	8.4958	7.0325	7.6049	7.6677	7.9908	6.7666	7.5694	7.1844	6.6756	6.4719	7.2344	6.8578
U133A__TGFB1	5.9513	4.8708	5.4725	7.8468	7.6091	5.426	8.1271	7.5996	5.0132	6.1979	6.213	7.3059	5.6044	5.7321	5.3338	5.1609	5.4784	8.1482	6.8518	9.5736	6.1038	7.11	6.7	9.5702	4.9982	7.0412	7.021	5.5408	6.2917	5.1952	7.1898	5.4666	7.4693	8.4618	8.5279	4.7022	5.0334	5.4006	5.4102	5.4893	5.1232	7.0574
U133A__PGAP3	6.0798	7.7235	7.8242	5.9351	5.2618	5.6344	5.7326	6.0077	5.363	5.2591	5.2674	5.2901	5.1176	8.224	7.6509	5.914	5.4419	5.4125	5.624	5.2056	5.12	5.6348	5.6203	5.1433	5.5062	4.8408	7.3947	5.4054	4.7	5.9113	5.2243	6.9123	5.3523	5.1623	5.3377	5.4946	5.4472	5.34	7.9766	5.7382	8.6703	5.5235
U133A__CAV1	4.2859	4.1942	4.49	4.2497	10.769	3.9335	9.4857	10.2245	4.1066	5.7522	4.5139	10.4314	9.7651	8.6141	5.5414	5.3759	8.5934	9.5218	8.7912	11.4435	5.6543	6.486	3.9209	10.4205	4.2274	10.5667	4.3654	4.8546	9.7885	3.8748	8.9838	5.5985	10.5467	9.5059	10.8746	4.009	4.2529	4.2671	4.1429	3.9104	3.9215	3.9756
U133A__MKNK2	8.8547	9.1024	9.4367	9.134	7.54	8.4693	8.4639	7.416	9.167	9.0655	7.1375	8.6892	8.2033	7.7142	8.8308	8.9706	7.5959	9.0658	8.9596	7.0119	7.0536	7.6164	8.2146	7.3453	8.596	8.3944	8.5317	7.9915	7.5164	9.8256	7.9628	9.3436	6.5736	8.5994	8.4037	11.1721	8.8276	8.2748	9.5034	10.562	8.6244	9.1577
U133A__CD44	4.7486	5.2851	4.5395	6.9448	9.4833	4.1435	8.3319	8.4113	5.113	7.9968	9.5046	10.7234	9.0773	11.1618	4.3106	4.529	9.4828	9.1421	9.166	11.6044	5.1419	5.1402	7.6727	9.821	4.0806	9.3837	7.2156	8.5655	10.2823	4.2934	10.3147	3.3122	10.2795	9.5681	9.6161	4.206	3.3732	4.9207	6.2961	5.8441	6.1734	4.1655
U133A__SHANK2	7.3481	5.9045	7.6843	6.9359	3.9882	5.1612	3.8208	5.641	5.3585	5.1934	4.0531	4.7244	4.8992	5.345	4.6605	6.5754	4.4562	5.1162	6.8101	3.9503	5.2678	5.5006	7.2976	3.8321	6.9453	4.2847	7.5141	6.359	4.7217	7.3884	5.3635	5.3379	3.9945	3.8673	4.0287	6.3054	6.2082	6.502	6.8877	6.5888	7.1154	7.1964
U133A__LAMC2	6.4531	6.0777	5.6348	5.93	6.002	6.0625	6.4877	8.5082	5.881	5.7732	6.2261	8.5525	7.7384	6.1018	7.1326	5.9453	8.8207	6.4814	7.7414	6.8578	6.3223	5.9447	5.8067	7.0817	6.0721	6.1309	6.0593	6.7055	5.9876	5.7604	6.9467	5.9867	6.0108	10.3401	6.2632	5.755	5.8722	5.8433	5.9923	5.9061	6.3937	5.7819
U133A__AUTS2	8.2188	8.3114	8.4291	7.2653	7.3927	3.7114	4.054	5.8691	8.7868	6.4949	8.1057	6.1945	7.6533	4.4486	7.6466	8.6231	6.8757	5.9822	8.5624	4.3504	6.3258	5.1607	5.2775	4.39	8.7609	4.093	3.561	7.8198	4.5523	8.4658	6.7304	6.084	4.5523	3.3971	4.0043	7.8252	7.7387	7.5901	7.1483	5.5548	8.1908	5.9426
U133A__IGFBP7	2.9865	2.8753	2.8187	2.8488	2.9678	2.9102	6.2946	8.1639	2.9617	3.057	9.0694	7.7424	4.9465	2.8659	3.0689	2.8328	7.664	6.8087	5.298	9.287	2.953	2.8392	2.8773	8.7334	2.9882	8.5718	2.8618	4.331	4.3887	2.7709	2.9252	3.7421	3.4559	3.1532	4.3464	2.9303	2.8623	3.2633	3.1601	2.8804	2.8511	2.8224
U133A__TPM4	7.5354	5.8557	7.0182	5.6134	8.444	7.8344	8.6083	7.5265	6.9576	5.253	7.0015	7.1745	8.3884	7.7741	6.8116	7.5146	8.8621	8.0885	6.9763	8.6658	7.2559	8.5262	6.3231	8.5185	7.7302	7.3272	6.6417	6.7652	7.7766	6.6924	6.9241	7.4954	9.1089	8.7288	7.4332	3.4831	4.6367	4.0479	6.0027	6.1841	6.0879	6.0462
