Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1
U133A__FKBP4	7.8938	7.2314	7.3501	7.8308	6.4693	7.5977	6.4888	7.6079	10.106	8.0188	7.4516	7.9534	8.2485	6.7073	8.3906	6.7943	7.4821	6.6219	7.3035	8.5173	9.1486	6.0714	8.2269	7.0025	8.2281	5.9213	7.3097	8.068	6.4055	8.0056	7.8416	7.3206	7.2406	8.8391	7.4746	8.1696	8.6481
U133A__GLS	4.4195	5.7518	7.2918	4.0759	6.6791	3.7784	7.3472	5.1229	5.2186	7.3126	7.012	5.7987	5.3433	5.3827	5.5398	7.1731	7.3676	5.5516	5.2015	5.0259	4.7226	6.4009	4.2736	7.034	4.1183	4.9112	3.4156	4.8237	7.9906	6.7428	6.0561	4.9067	4.4406	4.5268	4.8293	4.3555	4.9851
U133A__LRIG1	8.4873	6.2785	5.1965	6.714	3.8294	5.7543	4.6329	5.669	7.1662	4.7873	4.9515	5.9472	4.8144	5.5033	5.2939	4.0003	5.209	4.8805	5.4309	5.1228	6.6869	4.104	7.4281	4.2748	8.0802	5.1363	8.3706	5.1384	5.4354	5.9374	4.1727	8.3873	5.0683	6.8777	6.743	6.956	6.6563
U133A__TM4SF1	8.362	6.5146	5.874	3.8897	9.4967	4.6259	10.9337	8.3625	6.6237	9.5874	6.9261	9.7401	8.5645	9.6634	8.2595	9.5157	9.932	9.4497	4.0086	3.9065	6.6238	5.6867	3.7921	8.5886	3.6329	8.9573	7.5024	5.3364	9.5365	8.6277	8.4649	8.8941	7.1048	3.6687	6.4787	8.7528	3.6383
U133A__CALD1	4.2559	5.8786	8.3527	3.9365	7.9225	3.6763	6.2884	9.1905	3.4181	8.0223	6.0784	7.1754	4.4506	5.5558	9.2409	8.6378	8.8403	9.3954	3.6019	3.9175	4.3435	7.5768	4.9728	7.2995	5.0421	4.1759	3.5041	4.7812	7.3616	7.3157	7.8436	8.0238	6.7517	4.3805	4.0465	4.0081	3.6434
U133A__MARCKS	4.0846	7.9558	9.3462	9.0052	9.3931	3.1121	7.562	9.3508	6.1638	7.7138	7.8514	8.6914	8.1749	9.5401	8.7765	9.5328	9.2564	9.3228	3.4705	6.1732	9.3868	9.2405	7.1593	8.4118	8.1083	8.134	7.7284	7.2272	7.9364	6.5351	7.3555	8.9906	8.8831	2.8129	7.525	5.898	6.8807
U133A__LEPRE1	6.2087	5.7091	6.5775	6.1438	8.4052	6.4342	6.4995	7.6492	6.3773	6.8821	6.2714	6.0789	6.569	6.3589	6.4817	8.1628	6.4934	8.3715	6.5539	6.4152	6.7285	8.5048	6.4054	7.3179	6.1017	6.1139	6.4774	6.1745	9.4289	6.5793	7.5538	6.7493	6.6992	5.7279	6.434	6.3163	5.9634
U133A__ERBB3	9.0074	7.5004	6.4014	8.3846	4.1332	7.8718	7.0488	7.2396	8.1221	7.1116	6.5673	7.1065	5.2443	8.2884	6.1232	6.1179	7.809	3.9223	7.4837	7.907	7.5422	5.1573	7.8977	4.7362	8.49	7.7735	8.3471	7.8318	4.3134	6.0561	4.2768	8.2685	6.8618	8.571	8.2939	8.3354	7.6055
U133A__ALDH4A1	6.0591	7.4246	6.5647	8.3471	6.082	7.9374	5.962	6.3012	7.4468	6.466	6.4855	7.1706	5.8314	7.2935	6.2652	5.8633	7.3004	6.2349	6.5478	7.738	7.2079	6.0012	7.847	5.8512	7.521	6.2685	9.9506	7.4964	5.9475	6.3586	5.7202	6.7301	6.5002	7.6683	7.696	7.7586	7.7793
