Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	-1	-1	1
U133A__NFIB	5.1049	8.0429	7.1621	5.5476	8.2244	6.5844	7.7382	7.2318	8.0784	6.7958	8.4369	4.8136	6.7973	7.8837	7.8088	8.563	6.8395	9.0065	6.3652	6.5391	6.6523	3.9047	5.8632	5.138	6.9184	6.2054	5.2087	8.4052	7.2966	5.089	7.8456	6.1568	4.7122	8.5853	5.6226	7.4827	7.2677	7.2396	8.705
U133A__ERBB2	9.3202	12.1579	7.8098	12.0098	9.58	7.0802	8.4009	8.7493	7.9295	7.6523	11.8139	7.294	7.8108	11.5446	9.3757	8.9136	8.1445	7.98	6.6782	7.0358	8.5128	6.8815	7.0918	9.2857	6.6117	11.035	7.8448	10.215	11.611	6.9193	6.6093	7.3643	8.4025	13.0449	7.652	8.3078	12.1946	9.1095	8.3688
U133A__KLK6	5.4123	4.917	9.4507	4.8753	4.8251	4.9481	5.1348	9.2735	8.0249	4.9307	5.5788	5.2118	9.1099	11.2762	4.9339	8.6374	5.5375	4.5087	5.3166	5.1605	6.1085	4.7658	4.9606	5.3853	4.769	4.9731	5.1898	5.2134	5.3923	4.8629	4.7454	4.6814	5.0521	8.6083	6.9941	5.0235	5.6345	5.0571	4.6177
U133A__SLC16A1	5.5794	5.7645	8.3004	6.0565	5.5591	7.9693	6.5954	7.3152	6.2764	5.9809	7.3342	8.5427	8.3794	8.0237	5.2666	7.0439	8.327	8.4403	7.6278	6.1698	6.5289	6.4164	7.8131	4.8744	5.4479	5.6483	8.4516	5.5286	5.5178	8.0539	8.2358	8.9896	5.3126	5.4203	6.7675	5.835	6.0467	4.937	7.0823
U133A__SORBS2	8.936	5.4961	5.4941	6.4401	5.4424	5.5175	5.5786	8.6285	5.6054	6.2198	6.3474	6.0802	6.9047	5.4611	6.2066	6.4919	6.1776	7.7611	6.6186	5.7661	5.5938	5.7209	6.9767	6.1543	5.9303	6.5877	6.2867	5.633	5.5737	8.6789	5.8552	6.5495	7.5596	7.7492	6.8821	5.923	5.5824	6.4692	5.6689
U133A__GJA1	2.8251	2.8586	2.9544	2.9839	5.4689	10.2343	2.855	3.0983	2.6954	8.3065	2.8297	7.2101	2.6602	2.7479	2.9591	2.7973	7.2452	2.8227	7.4182	3.0721	3.2832	4.9732	7.1043	2.9603	7.1958	2.8845	2.8895	2.7177	2.747	10.3929	2.8106	7.9029	2.7828	2.8426	2.8623	3.074	2.8055	2.7005	9.3974
U133A__OPN3	7.3667	7.9089	7.2246	8.3329	6.7708	7.5352	6.2531	5.5276	7.6964	5.7019	4.2432	4.6319	6.4417	8.5415	8.6586	6.7565	6.8693	7.7497	5.5873	6.009	7.0329	5.8583	5.4766	7.5529	5.7904	6.102	6.958	7.2383	7.1835	4.5531	6.7869	6.5327	6.1301	8.3869	4.4406	4.4907	7.1688	9.0612	6.9189
U133A__EFNB2	5.4764	4.7613	4.9303	7.0119	6.4386	8.6207	7.4791	8.8445	5.5096	6.4622	4.9044	8.2395	7.0896	7.4331	9.9666	5.9393	6.9153	7.5536	5.9236	6.4018	6.9459	6.1413	8.3547	5.5304	5.5961	7.2819	7.5891	7.6132	4.8166	4.7258	8.8053	8.021	8.057	5.2698	4.9264	5.6351	4.1326	4.9242	7.1568
U133A__S100A7	3.9827	9.8627	4.378	3.7425	4.4874	3.7545	3.8373	3.8754	6.8983	4.1202	4.0664	4.1086	9.5441	6.8918	7.5508	11.45	3.5806	4.2457	4.1132	4.0098	3.8376	4.0133	3.8093	4.1274	3.8115	3.9822	4.0015	4.0927	6.568	3.8366	4.4695	3.707	3.8521	4.5261	3.8059	3.7223	9.5054	3.8849	4.6177
