Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1
U133A__AQP3	6.9417	9.9287	5.2828	3.8137	3.5973	3.5918	5.1623	3.8326	6.214	4.2718	3.5187	3.6389	6.1709	9.5345	5.0948	8.4696	5.3084	9.2208	4.8822	3.9124	3.7876	9.5323	6.4128	3.3584	3.941	4.0983	4.1786	4.6432	4.8068	4.4401	7.8977	3.4774	3.844	3.6942	8.563	7.4664	3.7812	3.6757	7.4606	3.5666
U133A__NR2F2	3.8546	3.9071	7.786	6.5484	6.9842	7.5445	3.0831	6.5883	5.2905	3.3799	5.4746	7.2639	6.7675	4.2238	6.2959	5.1802	7.5495	7.0903	6.3474	6.6617	5.8807	6.2814	8.5361	7.1223	5.9595	8.1206	7.9019	7.1992	6.5105	7.5131	3.6811	6.3605	5.5146	5.5978	6.3304	7.0002	5.6772	7.5591	6.4496	7.0572
U133A__NETO2	4.1866	5.2203	8.556	5.5229	7.0904	8.3314	3.6251	7.3134	4.9915	7.0426	7.6731	6.7208	7.6539	7.7076	8.3348	6.1729	6.592	6.4802	7.0906	8.0553	7.0052	6.605	6.4807	8.0547	5.8595	3.8496	4.3	7.2842	7.0955	8.1756	5.1442	7.8191	7.5577	8.059	8.5558	7.8592	7.8868	4.4382	6.2995	7.593
U133A__DDAH1	8.9187	8.5483	9.3578	7.8829	8.8633	8.3878	7.0164	7.2762	7.0683	5.6482	8.0142	6.9419	7.8773	8.3529	7.671	6.9839	8.697	7.4941	8.6928	7.845	9.6453	6.2098	7.4176	9.7077	6.2347	8.0152	10.6373	8.2905	8.9321	8.726	8.7206	8.3137	7.7288	8.0215	8.5239	8.8246	8.3946	8.0016	7.7819	8.5761
U133A__OXCT1	6.6631	4.7613	7.2969	7.0793	6.9259	7.4812	5.4562	7.2017	6.2693	7.2918	5.6784	7.8659	7.0056	8.1555	6.5847	5.3265	7.3689	8.0283	6.8556	8.6449	6.7992	5.6591	6.2862	7.7316	7.7485	6.5278	5.8589	6.9388	7.5486	6.9538	4.8926	7.0168	6.2843	8.3718	5.3477	7.1209	4.9142	4.9097	6.2448	6.7417
U133A__ABCD3	7.0063	7.9745	7.1436	6.3069	7.8492	6.8135	7.3862	6.6818	5.9183	7.255	8.2673	7.6174	6.9651	8.3466	6.7182	6.5529	7.2546	7.3412	7.5314	9.019	6.6247	4.9952	6.5144	8.4445	6.8172	6.5626	8.4349	6.7162	8.2522	7.3388	7.5039	6.6689	7.1388	7.2822	7.4719	8.3822	7.5774	6.2728	5.995	7.2171
U133A__TSPYL1	7.1208	6.83	8.2478	6.8499	7.5148	6.8558	6.6155	6.5439	6.3823	6.2805	7.2393	6.7611	6.3812	7.6203	7.1452	4.9774	9.9714	7.4672	6.6912	6.8775	6.14	6.7769	7.2514	7.9883	6.4733	7.0354	6.9656	8.3367	7.0077	8.116	6.3896	6.688	6.094	7.0528	7.2503	7.8804	7.8928	7.6083	5.4603	7.6037
U133A__SLC27A3	7.2835	6.8031	4.7907	7.2837	6.4322	4.9482	8.9034	5.6328	7.3823	7.2365	4.9793	6.363	5.5198	5.3032	6.0769	7.0712	6.66	6.0547	6.0294	6.3945	5.64	7.0647	7.0305	6.369	6.1087	6.5284	5.2056	6.0497	6.5406	7.6815	6.8684	5.6795	6.2293	5.1971	5.7902	5.6833	5.4264	5.9204	5.332	7.1086
U133A__GNG12	7.5942	7.7849	9.0112	6.4664	6.5978	9.7447	5.7435	8.5615	7.6541	6.3405	6.7824	8.0676	8.631	8.0184	7.7945	6.6779	7.4507	8.4371	8.502	9.4671	10.163	5.8447	6.4708	6.9607	8.6305	6.6815	9.2273	6.8388	8.3046	7.625	7.4958	9.7275	8.1413	9.2598	7.333	9.1562	8.3668	6.9594	6.9873	7.0425
