Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	1	-1
U133A__RHOD	7.8747	5.2958	7.9209	6.4675	7.5568	5.1077	7.9489	5.7556	6.6789	8.1395	6.8909	8.2529	7.7422	7.4409	7.285	6.8871	6.6721	6.7316	5.5286	7.3222	8.2642	6.9058	5.7004	7.3765	6.1846	7.1356	10.2792	7.6147	5.486	5.0982	7.0881	5.0527	6.8992	7.3789	8.2248	8.4567	7.6569	6.3975	7.906
U133A__CAT	9.2728	8.6882	8.9651	8.6094	8.1768	7.6458	7.9778	7.1926	8.5442	9.183	8.3309	11.1759	8.5523	9.9741	8.1137	9.9591	7.7908	8.3007	7.9061	7.4298	7.812	9.1065	7.2563	8.7414	8.3873	9.0302	7.4691	8.3149	8.1271	8.2005	8.7364	8.0446	6.1542	10.075	8.6121	9.4779	9.0364	7.6033	7.5928
U133A__PSMB3	9.6802	9.084	9.8988	12.1363	9.6264	9.5618	10.306	8.8918	9.2269	9.1014	10.006	10.2436	9.5561	9.7906	9.2113	9.923	10.0025	9.3135	9.7381	8.6375	9.5798	9.9499	10.0309	9.6853	10.0956	10.8509	9.7682	9.7899	8.7196	9.5636	9.7851	9.9523	8.3181	8.917	8.9793	10.2048	11.8259	9.0869	9.9681
U133A__MFAP2	6.1012	6.6076	6.4087	5.9402	7.111	7.5045	5.7163	6.9391	8.4452	7.7932	6.2262	8.1355	7.0665	6.1253	6.7741	5.872	7.9716	6.0081	8.2035	5.8531	6.5901	7.7756	6.9779	6.299	6.5138	6.3103	6.1716	6.4924	6.7567	7.848	8.0483	6.2524	9.4332	5.8981	6.033	6.5117	6.0933	6.4525	6.9361
U133A__SYDE1	6.8379	7.2472	6.8609	7.0885	6.6727	8.0843	6.5162	7.3569	6.8825	6.6175	6.6774	6.5162	6.9342	6.5962	6.8248	6.8539	7.4273	8.6698	7.7618	7.0502	6.8468	6.2236	7.6436	6.8661	8.3824	6.3775	6.5334	6.6439	7.3526	7.8582	7.1119	8.1386	6.6154	6.164	6.431	6.8578	7.313	7.1023	6.6196
U133A__TOM1L1	7.9076	5.7186	6.2969	9.4773	7.1879	5.1145	6.9637	6.7397	4.7466	7.9732	5.146	5.9551	5.8162	5.9377	6.3062	6.4622	6.6798	6.1347	4.2894	7.0622	7.4272	7.1205	5.3791	7.2296	5.9639	8.1008	6.8372	7.168	5.5921	6.9032	5.8708	6.031	6.4239	7.0091	6.756	7.2706	7.6229	8.6175	7.7091
U133A__MREG	7.2904	7.4837	6.8632	7.3162	7.6224	4.1264	6.9158	4.9852	4.4452	7.6384	6.6941	7.6708	6.2989	5.9287	7.3828	6.2187	6.2332	6.664	4.6508	8.3801	8.8786	8.0033	5.5713	7.5852	5.3909	8.2337	7.7519	7.482	6.9532	4.3075	6.558	4.6489	4.8388	7.7298	7.2458	7.0424	8.2713	6.0785	6.4466
U133A__FN1	5.5508	8.2086	8.2103	5.0901	9.0318	10.9376	5.1521	5.7746	5.3775	8.8173	8.8456	4.7236	7.7597	5.8096	9.125	10.8297	11.166	5.7755	12.6523	9.0605	6.3942	8.9727	11.2772	6.6221	6.7443	6.9068	5.3011	4.931	7.9249	9.9495	11.5261	10.6074	6.9136	5.1375	6.0347	6.7769	9.6411	5.6355	5
U133A__C6orf211	4.7061	5.7621	5.6679	7.0185	8.9986	4.6285	6.9624	4.5967	4.1924	8.487	5.0896	6.0769	4.6395	5.7836	6.7831	4.2786	4.0272	5.9741	4.6184	6.7797	7.9113	8.0697	4.908	6.42	5.865	8.5915	6.0873	5.0652	5.1504	4.4327	4.8395	5.1406	4.7754	6.2025	7.0532	6.7713	6.982	4.5541	9.4202
U133A__IGFBP2	8.9994	6.5614	8.0793	8.4756	10.174	4.1337	8.2319	6.9756	5.0969	11.3152	6.6399	5.5755	7.4344	6.2061	6.7846	6.7353	5.7058	4.1339	5.3651	7.4161	8.4871	9.2672	6.523	6.9218	5.18	9.4817	8.7196	9.2216	5.7955	5.3561	5.6784	5.7516	6.6061	8.1112	7.7527	9.675	9.8774	7.0239	9.9643
U133A__BASP1	5.4356	5.7977	4.4396	10.6202	9.2038	11.5185	8.8654	6.594	9.1826	5.6244	6.3603	5.5235	8.6432	5.4185	9.2461	7.096	10.984	5.1029	10.982	9.543	11.1484	8.6087	11.8373	5.8638	9.7536	8.7157	5.3006	6.2352	9.4114	10.254	7.787	10.2463	6.6101	4.8086	5.856	5.2301	8.934	5.5732	5.2642
U133A__TSKU	11.0637	8.2421	8.5092	9.0798	8.5228	7.578	7.5767	7.5938	7.6168	8.2058	8.1601	8.241	8.0502	8.5889	7.7436	8.2928	8.165	6.5287	7.4395	8.035	8.24	8.9638	7.4804	8.8192	7.5084	9.0219	8.4862	8.7443	7.8671	7.6819	8.0746	7.4697	8.6837	8.4816	8.7885	7.7775	8.559	7.7132	7.2394
U133A__PFKFB3	6.4163	5.8115	6.0536	6.5643	8.0618	6.4057	5.4033	5.7092	4.2179	5.9599	5.4297	6.8708	5.8142	6.5936	6.17	5.7306	5.9454	7.4158	5.4595	5.3191	5.7956	6.0067	7.654	6.5726	5.85	5.5781	7.4072	5.907	5.1845	4.5678	5.6563	5.1913	4.7671	6.7484	7.6179	8.8019	8.5879	5.527	6.0006
U133A__PDLIM2	6.1838	6.4469	6.5686	5.0195	5.6124	8.445	5.1054	6.7985	7.5575	4.7108	6.3607	5.2325	5.6691	6.1512	6.3079	7.0536	6.8265	6.1954	8.6963	6.1059	5.2037	5.8817	6.625	6.3894	6.7859	4.9201	6.5696	4.5589	7.137	7.7536	6.8021	7.2215	5.3168	5.6906	4.947	5.8226	6.1853	6.1648	6.9082
U133A__FERMT2	6.0267	7.439	5.8723	5.3801	8.2001	9.8437	6.2531	6.9012	6.5681	6.2655	6.1023	4.3862	7.7149	6.2438	8.7037	9.2104	9.7082	8.4669	8.7483	8.2909	7.0989	6.4247	8.4146	6.1627	9.5633	6.3958	5.8793	7.5523	7.6505	8.7006	8.3695	8.7763	7.4012	8.3016	5.937	7.0412	7.3012	4.5512	7.3271
