Cell lines	AU565	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	1	1	1	1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	1	1	-1	1	1	-1	1	1
U133A__FAM46A	7.9312	6.4989	10.377	6.3097	7.2304	7.6133	5.9835	7.5642	6.5371	6.9581	7.4695	6.0447	7.5333	7.0531	7.658	7.6747	7.1067	7.8607	9.2415	8.8317	7.2835	7.8299	6.9538	7.1539	6.7306	7.5647	6.494	6.2832	6.2753	7.3458	5.9477	6.1602	7.6666	7.0118	6.554
U133A__CTSL1	7.8217	6.5576	9.757	7.4496	7.0288	6.4798	6.048	6.8949	7.4235	7.4542	8.3773	6.2641	7.0943	8.2269	7.8047	8.3916	7.4346	7.6	8.0089	8.9738	6.7347	7.8617	7.5577	5.7749	7.5965	10.5886	7.5244	7.4769	6.9951	6.5554	7.7098	6.1703	7.8203	6.2306	6.448
U133A__IFI6	6.1205	5.4451	5.5759	5.5314	7.4325	7.2127	6.6375	9.9393	6.0926	8.479	8.4356	5.4425	5.726	6.5632	8.5826	6.9663	5.9167	7.0966	7.5224	9.0873	6.7666	6.2391	6.5746	5.8892	5.4492	6.297	5.3162	5.104	5.1714	8.6501	5.6316	5.4146	6.5746	5.244	4.6725
U133A__LGALS3BP	10.7587	6.8374	5.5015	5.9501	6.8983	9.4753	6.0083	8.5182	9.7275	9.2218	9.6623	6.1882	8.7212	6.2656	8.7227	7.8311	6.3716	8.3363	9.0032	8.0311	9.2918	9.1628	8.5284	5.3794	10.3399	6.2185	6.111	8.9061	8.3914	9.4645	6.7879	6.6375	7.1967	6.2108	5.9943
U133A__PPP1R3C	5.3831	6.9823	7.049	7.3675	5.4099	5.1707	6.4353	5.3367	5.5783	6.4418	5.2825	5.6056	5.5377	6.2115	6.2363	5.8868	6.9161	7.2075	5.7518	6.3184	8.2775	6.6878	8.1684	5.5832	5.8696	5.6742	5.4275	5.9204	6.3529	7.8932	5.4165	5.5653	8.3111	6.3951	5.2313
U133A__PHLDA2	8.2473	4.3806	3.5057	6.7397	5.2006	4.2696	5.6983	5.0851	7.219	6.1805	8.3388	5.2793	7.7485	7.1033	8.0232	8.1311	8.3743	6.4542	8.5457	8.4178	8.7775	6.4911	7.7236	7.0746	6.4241	2.9468	8.0806	7.9463	6.2623	7.5742	6.0942	4.5074	7.5556	5.036	8.6972
U133A__SLC22A18	9.8466	6.9283	6.2391	7.5694	7.2846	6.1165	7.0052	7.1159	6.0673	7.2986	7.5464	7.0656	6.8706	7.6326	7.6014	6.6027	7.2144	7.285	8.8137	8.6316	8.4775	7.087	8.9262	8.4863	8.4106	6.5985	7.3737	6.3947	6.8661	8.755	6.9685	7.2273	7.5805	7.9351	8.1929
U133A__IRF9	7.2426	6.4215	7.6644	6.1171	8.3291	8.6936	7.7642	7.5971	6.2636	9.3201	8.0265	6.8795	7.5318	7.4596	9.766	6.7956	6.2872	7.9939	8.6157	7.9128	7.9232	7.5838	7.5909	6.9253	6.1693	6.8573	6.9026	6.0417	6.8427	10.2102	6.3509	6.8277	7.4402	6.3875	6.0362
U133A__QPRT	9.4457	7.4417	5.6007	6.3278	5.4435	5.1401	7.275	7.3774	5.6756	5.5612	6.3718	8.0511	8.7061	7.02	9.2734	5.9733	7.4239	8.1142	6.9332	8.6614	7.115	9.1192	8.4536	6.314	8.5981	5.9379	5.4969	5.6873	7.2077	9.2223	6.3381	7.7665	8.9526	8.0018	5.6556
