Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1
U133A__ALG8	9.4128	8.4278	7.6914	6.5356	8.3549	7.9405	6.6033	6.2182	7.6456	7.6652	7.8702	8.7761	7.8004	8.0008	7.6089	7.3049	7.2125	7.3278	7.5191	7.5858	7.9871	10.7193	7.7998	8.8685	8.7431	7.2719	7.4657	8.1124	8.2403	6.5926	8.0269	7.7542	7.5285	7.8622	9.2336	8.4518	8.2776	7.1673	8.0229
U133A__HMOX1	5.9805	6.3462	7.4205	6.2042	6.0583	9.3758	6.8273	6.6101	6.269	6.5746	7.1662	6.0146	6.2742	5.9549	6.7426	7.6179	6.5557	6.0875	7.9038	5.9175	5.8619	6.4551	6.459	6.0077	6.365	6.3473	6.6004	6.3751	6.243	9.709	5.7164	8.5448	6.5511	6.6615	5.9153	5.9068	5.6787	6.4186	6.8615
U133A__MT1G	9.5396	9.8014	11.1459	9.5375	9.1879	10.2389	9.5497	10.1966	8.9364	10.0569	9.4293	10.1144	9.3626	10.3956	8.9171	9.9396	10.5941	10.0105	11.0897	9.5614	9.4205	9.4776	9.8725	9.5197	10.9873	9.9641	11.216	9.6989	9.9504	10.9458	11.5697	11.2823	9.5986	10.4865	9.9742	9.6423	8.985	9.3284	8.7799
U133A__CDKN1A	8.2831	7.2923	7.3268	7.7668	9.5202	6.794	7.442	8.4726	7.4215	6.9593	8.0665	7.8881	9.2323	8.3044	6.6142	10.089	7.0906	7.2666	8.4832	8.0984	8.6455	9.5528	7.835	8.8575	6.9282	9.465	7.5943	7.1964	7.4332	7.7385	9.0587	7.7207	7.994	8.4722	6.635	8.1709	8.8133	8.4019	9.8192
U133A__RNASET2	8.128	8.9614	7.3384	8.3523	7.6879	6.5304	7.4109	6.2817	7.1632	7.2288	8.724	8.1106	6.9623	7.4644	7.8744	5.444	5.712	7.6474	6.5863	7.8307	8.1873	8.1991	6.5105	7.9749	6.851	9.2695	6.9932	8.1165	8.4278	6.555	7.8822	6.0853	9.1341	8.5411	9.2691	6.3693	10	7.9327	8.4503
U133A__COL5A2	3.6592	4.0376	3.5026	4.6751	3.4526	10.0719	3.8191	3.8886	3.4847	3.7263	3.4448	6.5973	3.7802	3.6864	3.3421	3.6693	9.4833	3.5658	7.0179	3.8522	3.5233	3.4666	8.4776	3.9137	3.5334	3.4515	7.5595	3.711	3.7488	9.9755	3.6722	5.1542	9.1244	7.2526	3.6895	3.8055	3.6153	3.8998	3.5822
U133A__RAB6A	8.3478	8.1354	7.602	9.6089	8.5203	8.235	7.0744	7.5458	8.9785	9.6511	8.2605	8.7391	8.1772	8.2082	9.3203	8.6921	7.8781	8.3045	7.1215	8.4947	8.5233	10.7149	8.1531	8.4794	7.9162	7.769	7.67	7.9761	8.2774	7.0141	8.7486	7.4315	8.176	8.9419	8.722	7.9143	8.5491	7.9982	7.7061
U133A__DUSP6	9.086	4.5862	4.7356	7.2517	5.9772	4.8545	3.8179	3.2318	4.2026	3.781	5.2299	8.0553	4.5799	7.6182	4.4033	4.5763	3.9989	3.4463	6.0844	3.8725	4.1192	7.7835	5.8583	8.4975	9.3144	6.7839	6.3629	7.4639	3.4721	4.239	6.1233	5.2699	7.8927	10.078	10.1408	5.8571	6.0751	3.7037	3.6122
U133A__DUSP4	10.5675	7.7073	7.2673	8.7557	6.0843	4.1033	3.6137	3.1114	3.4129	3.194	3.6057	4.3157	3.8377	6.9902	8.2093	3.5935	6.8971	3.1519	5.7101	6.7026	5.4863	8.3122	5.4229	10.2336	8.0304	8.4695	6.9283	6.4106	9.2095	3.1016	6.4878	3.4488	10.6614	8.006	8.6117	6.152	9.8113	8.4149	6.4699
