Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	-1	1
U133A__TESK1	6.1277	6.4533	6.6844	6.2831	7.0087	6.1632	6.7421	6.6612	6.773	6.5293	6.5209	6.533	5.8371	6.3716	10.6915	6.4996	6.3326	7.0714	6.205	6.4097	6.3519	6.8934	6.7607	6.6341	5.7422	7.5346	6.8662	7.7649	6.2511	6.2481	5.9159	6.4373	7.9816	6.5213	6.8686	6.5403	6.1772	7.1722	6.9118
U133A__NBL1	5.9735	5.5208	5.2898	6.5773	8.0088	6.4156	7.816	6.1978	6.1135	8.2531	6.5199	7.0638	7.4328	5.614	6.0307	6.2699	6.1127	8.421	6.6186	5.6648	5.5864	8.6762	7.2315	5.4859	6.2246	6.6967	8.0563	7.9575	5.6058	5.9892	8.1472	6.4818	5.802	6.6236	5.6896	6.7591	5.391	5.5293	6.3593
U133A__SLC24A3	5.6004	5.5097	4.5251	7.0284	8.6046	4.2919	7.6789	5.7657	8.3801	7.8815	6.0192	4.488	4.5344	4.5142	7.7085	4.6155	4.9532	6.8012	6.2703	4.6445	6.0407	7.2196	4.3953	5.5787	4.6406	6.2134	5.5668	7.404	5.3517	4.4037	4.821	4.696	7.0271	5.4589	6.5218	6.8955	5.7622	5.5253	5.9244
U133A__SHOC2	6.4196	6.4652	5.5	6.926	7.4526	6.3936	7.5677	6.5926	7.2378	8.2063	5.6342	7.8995	6.1507	6.0135	6.8143	6.356	6.268	7.263	5.3781	6.6247	6.8352	7.1692	6.6768	6.7138	7.1528	7.9108	8.2722	8.0058	6.3408	6.6276	5.6485	6.6845	7.9337	7.0982	6.8114	8.0742	7.641	10.5269	9.7141
U133A__EFNB2	5.4764	4.7613	4.9303	7.0119	6.4386	8.6207	7.4791	8.8445	5.5096	6.4622	4.9044	8.2395	7.0896	7.4331	9.9666	5.9393	6.9153	7.5536	5.9236	6.4018	6.9459	6.1413	8.3547	5.5304	5.5961	7.2819	7.5891	7.6132	4.8166	4.7258	8.8053	8.021	8.057	5.2698	4.9264	5.6351	4.1326	4.9242	7.1568
U133A__FNBP1L	5.7282	6.3494	5.7353	6.3034	7.1137	5.7258	7.0659	4.9683	6.9366	5.9928	5.0314	4.7531	5.4856	5.0975	6.6526	6.1696	6.4593	6.5269	4.7117	4.8914	4.3192	7.5094	4.6485	3.3218	5.9207	6.0796	6.3206	7.3428	5.9159	4.2674	4.7058	3.693	6.4658	6.9367	6.033	5.5292	7.0101	5.9501	6.1131
U133A__FST	6.5894	6.5399	6.4906	6.4947	6.3964	7.1555	6.4063	8.1138	6.729	6.605	6.9497	8.7649	7.1819	8.1031	6.4535	7.3188	6.6246	6.2073	9.2037	7.1295	6.879	6.71	6.9117	6.6957	8.7976	6.5755	6.6662	6.6393	6.7865	6.843	6.7208	6.5052	6.9549	6.5913	6.8367	6.4505	6.228	6.782	6.685
U133A__TPM4	7.5354	5.8557	6.4431	7.0182	5.6134	8.444	7.8344	7.5265	6.9576	5.253	7.0015	7.1745	8.3884	7.7741	7.5146	8.8621	8.0885	6.9763	8.6658	7.2559	8.5262	6.3231	8.5185	7.7302	7.3272	6.6417	6.7652	6.6924	7.4954	9.1089	8.7288	7.4332	3.4831	6.4929	4.6367	4.0479	6.0027	6.1841	6.0462
U133A__KDM4B	7.0519	7.1044	6.0515	7.4491	8.6966	7.1928	8.1492	6.1444	7.9974	8.6306	5.6694	6.594	6.2074	5.1967	6.7817	6.8032	6.8838	6.5409	5.945	6.1848	6.9393	9.4039	7.2455	6.7971	6.6163	7.5952	6.4755	8.2976	6.1498	6.6724	6.5498	6.4961	7.8561	6.9118	6.5551	8.9722	7.696	8.1269	7.1149
U133A__CXADR	7.6356	8.125	5.9299	8.0181	6.1243	6.7715	6.9799	9.6569	8.9106	5.2516	7.8702	7.8678	7.9469	7.8178	8.9819	8.0862	7.9097	9.6282	6.0306	5.2912	5.231	8.6152	6.9797	8.4334	6.2083	8.1996	7.5407	8.7362	7.2304	4.3852	7.5256	5.8744	9.329	8.3891	8.1198	8.1157	8.0455	7.9043	7.8021
U133A__HMGCS1	4.7548	6.6928	6.068	8.4489	5.7519	6.6066	5.2763	6.7535	7.7171	7.8134	6.283	6.4676	6.3959	6.2914	7.887	6.3859	6.4413	6.6387	6.5232	5.2901	6.2517	7.4989	7.1959	6.4676	6.68	6.8716	6.897	7.225	5.5922	4.89	5.3679	5.1532	6.8847	8.9645	5.7117	6.1708	6.9066	5.231	6.3642
U133A__MAFB	4.2939	5.2209	6.2054	6.0526	7.1675	4.5699	8.118	4.4545	6.0147	5.8886	5.9523	4.6033	8.0513	5.6472	5.899	5.4665	8.7595	6.8573	6.4104	4.5053	5.7821	6.9794	6.131	5.4416	4.4014	6.1242	5.0501	8.6345	4.3436	4.4115	6.6507	4.4563	7.0732	7.0174	7.4185	5.1496	5.3409	5.6559	6.4191
U133A__KLK6	5.4123	4.917	9.4507	4.8753	4.8251	4.9481	5.1348	9.2735	8.0249	4.9307	5.5788	5.2118	9.1099	11.2762	4.9339	8.6374	5.5375	4.5087	5.3166	5.1605	6.1085	4.7658	4.9606	5.3853	4.769	4.9731	5.1898	5.2134	5.3923	4.8629	4.7454	4.6814	5.0521	8.6083	6.9941	5.0235	5.6345	5.0571	4.6177
U133A__NRIP1	5.5528	7.2417	7.4096	7.0521	7.9732	4.3597	5.9207	6.3574	6.5283	8.4802	5.5339	7.3417	7.1886	7.2016	7.5251	6.4286	8.3895	7.2883	5.6035	6.477	8.2701	9.7614	7.0626	7.0664	5.2151	8.0484	6.1913	8.4174	5.9009	3.7583	6.4733	5.6841	7.5076	7.1235	6.9367	7.2135	7.6569	6.1168	6.4789
U133A__ADORA2B	6.2311	6.1615	8.2451	5.3114	5.5734	8.4773	5.51	7.9456	5.3852	6.126	7.0501	8.6464	7.6821	8.9669	7.1201	7.0246	7.5635	7.1372	8.0401	6.1847	5.779	5.1524	9.0234	6.3393	8.2953	5.5289	6.2769	5.5188	6.1711	7.4778	6.8111	6.6939	5.2126	6.4237	5.9435	5.4204	6.5418	6.1897	6.3068
U133A__GRB10	4.7959	5.4919	6.2638	8.5374	8.2707	5.3595	7.4569	5.402	10.2075	6.5732	6.3604	4.9465	4.8583	6.6414	6.2955	4.6338	6.1154	7.6347	7.8401	5.8101	5.4498	9.6632	7.1144	5.4158	6.6734	6.0157	7.1687	5.4992	4.9824	5.3711	4.4084	7.763	6.053	7.6325	5.8099	6.8667	7.2711	4.8448	6.1565
U133A__CTSH	7.7912	7.8723	8.9284	7.1516	7.8606	7.6416	5.9081	8.2239	6.6067	7.394	8.0708	7.8029	9.1521	8.9282	7.4304	8.2436	7.9671	9.1895	6.2436	7.3984	9.0816	6.3329	6.9505	8.1891	6.9421	6.8663	7.6441	6.3931	7.6669	7.427	8.1701	6.6331	5.5263	8.3996	7.2394	7.1167	9.3313	7.7488	7.101
