Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	-1	1	-1	-1	-1	1
U133A__CLTA	8.5441	9.0829	9.4492	8.6889	10.0873	9.5486	9.3638	9.2209	9.4214	9.6276	9.3187	9.6784	9.5067	12.2679	9.8756	8.4701	10.062	9.7442	9.0902	9.1292	9.8156	10.0738	9.7081	10.2228	10.4124	9.1562	9.658	9.2826	9.7985	8.6576	9.6315	10.4003	8.7302	9.1874	8.7619	9.8217	9.2826
U133A__FKBP11	7.9289	6.4379	5.5652	6.3087	6.2289	6.1656	6.6499	7.5506	5.6176	7.9529	9.0723	7.8138	5.4419	5.5132	5.3126	7.9303	6.8288	8.0248	6.7806	7.6343	6.1916	6.2166	7.3477	5.901	7.3897	7.3281	6.3326	6.706	8.2381	7.5382	9.006	6.0829	6.5844	6.1287	7.3544	7.7315	6.2447
U133A__CRELD2	8.5277	9.2368	8.0881	8.6445	8.6688	8.9179	9.0821	8.7685	8.0203	9.7665	10.7859	8.0359	7.6169	8.3111	8.9344	9.212	9.3579	8.7961	8.8584	8.2566	8.6466	8.3516	9.0627	8.2227	8.2875	10.3251	9.1468	9.006	8.3906	8.2549	8.9392	8.4949	8.646	8.3876	9.3633	8.1463	9.545
U133A__LOXL1	7.6117	4.1966	5.1158	4.3121	8.338	5.7862	4.933	8.9195	5.1848	5.3431	3.9845	4.0034	4.3856	4.1953	4.8002	6.8359	4.9628	9.1502	5.6646	8.9368	6.588	8.3756	3.6902	5.6773	6.3196	7.3211	4.5602	4.2818	9.7542	8.8104	6.6159	5.6259	8.3171	4.6056	5.1326	5.3135	5.2119
U133A__ATP2C2	6.3307	6.2095	5.2594	6.78	4.7505	6.4084	5.4049	4.9367	6.2669	4.6402	5.5946	6.105	5.0725	6.7137	6.1365	4.8823	5.9041	4.6599	6.1516	5.6878	5.0964	4.7406	6.6441	4.5629	6.3763	7.4543	5.9877	6.6966	5.0115	5.5817	4.528	7.6748	6.0596	5.6751	6.1125	7.0079	5.4811
U133A__MLLT11	6.2166	5.4252	5.4761	5.4696	9.2362	5.5842	5.7505	6.2622	6.0969	5.7778	9.3885	5.6596	5.1106	5.3868	5.5513	9.7364	5.8626	8.5124	5.5678	5.6979	8.2225	8.9305	5.5103	5.6819	8.5691	7.7028	7.9421	5.7603	7.4782	7.9219	7.7591	5.4643	5.7609	6.4866	6.123	5.5322	5.3209
U133A__SGCB	5.8037	4.345	4.4165	4.5248	7.8458	4.0945	5.9386	7.1406	5.1858	7.0696	6.3675	4.4416	5.602	3.9234	7.0299	6.7798	4.7882	7.8291	5.4336	5.8159	8.2976	8.6534	5.0713	7.4406	4.5614	4.3851	4.0615	4.7536	6.9454	6.2714	7.184	4.3896	5.3401	5.106	5.3055	4.3728	5.1227
U133A__CYBA	7.5824	8.4801	6.1991	8.2641	5.9814	9.258	6.4165	8.8793	7.1529	9.324	9.0523	10.2521	6.2915	9.1399	6.2252	9.4901	5.747	6.4921	9.1755	10.2423	8.7674	8.5241	9.1094	8.7282	6.2271	7.4685	9.3142	7.853	6.143	10.2727	7.7619	6.4983	6.4006	6.3661	8.2007	9.3755	9.5046
U133A__CSRP2	4.6788	4.979	4.1554	5.0201	7.7089	4.3732	5.1256	8.5335	4.1902	5.8713	8.9537	4.8602	4.5477	5.8602	6.7445	6.1986	3.8214	6.0008	4.9673	4.4735	5.2102	6.9489	4.3389	7.2707	5.5783	4.5925	4.4372	4.4089	6.4662	6.4077	5.9498	4.0688	4.6758	4.0357	4.863	4.0661	5.474
