Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	1	1	-1	1	-1
U133A__IGFBP4	11.0146	5.2361	5.7082	9.7198	7.2318	8.0076	7.3593	7.5275	9.1421	8.2795	8.0721	7.2479	6.0637	6.3741	6.0228	8.3002	8.3906	8.9442	7.3456	9.23	9.7558	7.7929	7.1647	10.3468	9.1055	9.0012	5.6107	6.7255	5.6586	7.7099	9.881	6.4871	5.3041	5.5116	9.5902	10.2401	6.4333	8.2681
U133A__RNF114	6.7798	10.0609	9.3801	8.4793	7.6556	7.3372	7.7277	7.9296	8.0058	8.6718	7.973	8.7477	8.5949	11.4501	8.1842	7.849	8.3651	7.6045	8.3815	8.9345	7.7066	8.9229	8.2818	7.9847	8.1157	8.0394	8.3138	9.5327	6.3469	8.5934	7.3703	8.4966	9.1669	9.7197	8.8963	7.8848	8.0062	8.1745
U133A__PSMB3	9.6802	9.084	9.8988	12.1363	9.5618	10.306	8.8918	9.2269	9.1014	10.006	10.2436	9.5561	9.7906	9.2113	9.923	10.0025	9.3135	9.7381	8.6375	9.5798	9.9499	10.0309	9.6853	10.0956	10.8509	9.7682	9.7899	8.7196	9.5636	9.7851	9.9523	8.3181	8.917	8.9793	10.2048	11.8259	9.0869	9.9681
U133A__MXRA7	7.3883	4.9898	5.2513	6.1786	8.8708	7.5332	7.994	7.5735	8.5232	8.4778	9.4836	7.0129	5.6822	5.2279	10.1797	9.496	8.2414	9.2301	5.9779	6.369	8.1878	10.6844	7.7324	9.4217	6.698	5.4442	5.2076	5.147	8.9371	8.2772	8.9797	5.5672	5.5043	5.2859	7.7395	8.9281	5.6894	7.6177
U133A__FOLR1	7.267	7.2539	5.7563	4.6122	5.2837	5.2817	6.6157	6.049	5.332	5.7393	5.2999	6.8881	5.2769	8.4179	5.9979	5.2837	5.4512	5.5185	4.9262	5.2332	5.3831	5.4749	6.8812	5.3677	5.9134	5.4527	5.4047	5.8875	5.3654	5.6305	5.0397	7.4495	7.0132	7.5242	7.7639	4.9922	6.0473	5.2068
U133A__SLC29A1	7.9369	6.4061	5.6548	6.9671	6.072	8.2586	7.3036	6.0298	7.3864	7.595	6.5218	5.9948	6.6417	6.6939	6.8846	5.7294	5.6648	6.0583	5.899	6.6256	7.2738	5.1861	6.2051	6.8403	6.5509	7.0954	6.9551	5.7701	7.0758	6.8399	7.6483	5.4986	6.1302	6.2922	6.6821	7.5611	7.1754	7.0177
U133A__CLDN4	7.8095	7.8886	6.8892	7.4307	4.3947	6.203	7.5458	8.2974	7.4553	7.4055	6.5293	7.7536	7.9433	7.7545	7.8168	6.8585	7.604	4.6864	7.6706	6.9713	6.7166	4.3184	9.4105	4.2514	7.1352	7.4668	6.7302	8.1243	4.5668	6.7523	3.8645	9.26	8.5318	6.2457	8.066	7.7975	7.5057	6.617
U133A__CAMK2N1	7.984	9.1459	9.4608	8.3458	5.1483	8.6556	6.3505	6.2577	8.6715	6.6419	7.179	7.922	9.9631	8.3152	6.6618	7.3195	10.0484	8.0878	9.553	7.2483	11.0058	7.6561	10.238	6.867	9.2583	9.8342	9.6245	9.5868	5.7111	9.1636	7.9183	9.6719	9.5142	9.8937	8.0816	9.4807	8.5041	6.3299
U133A__RIPK4	6.9369	8.614	8.941	7.3972	6.6705	7.0491	9.796	8.8061	7.3564	7.6975	8.7888	8.9884	8.8039	10.051	7.9447	7.9849	9.5888	8.0963	7.4957	7.1495	6.9917	9.6954	7.2635	6.6804	7.1106	7.1915	7.0182	7.6382	9.5498	8.7522	7.4829	8.2037	7.9776	7.8159	7.7129	8.042	6.7148	7.0509
U133A__ACAA1	6.1633	8.8997	6.6984	5.2632	6.3551	7.0217	6.3772	6.4261	7.1641	7.3011	6.5595	6.1541	6.6504	7.0428	6.9482	6.9299	6.3982	6.6822	7.7278	6.912	5.4479	7.0365	7.5844	6.3811	6.9764	7.9024	6.7552	9.1231	6.4906	6.7173	6.0876	7.3427	6.9957	6.6535	6.6359	6.846	6.6572	6.2702
U133A__GPX1	8.9739	4.0916	9.6587	9.13	9.7074	8.7943	8.6375	3.8954	7.8047	3.5472	8.4418	9.4091	9.7496	3.7548	10.5188	9.1911	8.6679	9.1332	5.2514	5.269	9.851	7.3749	3.9513	9.7794	9.7769	8.2842	9.6262	4.1969	8.82	10.2252	9.2677	3.2767	9.1704	3.978	3.5145	4.9552	3.7776	4.1642
U133A__INPP1	4.5957	4.4569	5.3404	4.9835	5.0794	5.1826	5.963	4.6759	5.639	5.6827	7.4891	8.6164	5.1384	5.405	5.9736	7.2265	6.8993	6.1595	5.0695	5.2167	5.3192	7.3656	4.5652	7.1876	5.2332	5.0871	5.2625	4.6214	5.2558	5.5906	7.2272	4.1464	6.4462	4.8667	4.4657	5.4371	4.7565	4.867
U133A__CYP1B1	7.5192	6.2606	8.5069	4.9105	8.151	4.1785	5.7873	9.7315	5.5791	4.312	6.1979	7.1729	8.4376	5.8894	4.2552	10.1131	8.1797	3.837	7.9674	7.8669	9.832	10.1758	7.9074	5.0661	9.6657	8.156	7.3836	7.387	8.1346	7.4181	3.6701	8.3413	5.3846	8.6291	8.2634	8.1212	8.6215	8.3112
U133A__BNIP3	7.6212	7.8948	5.9232	9.2703	9.4819	7.7395	5.595	7.838	8.4411	7.3292	7.4467	5.1835	7.0648	4.7334	6.4132	7.9987	5.153	7.1221	7.702	8.0036	8.58	7.3753	6.7418	8.1999	8.8301	5.3629	9.1338	7.5778	7.4537	7.48	7.7954	6.9843	8.1186	7.6257	6.803	10.5984	10.5509	8.3751
U133A__ASAH1	6.782	7.6309	6.5642	6.3725	6.263	7.5971	6.3153	6.9968	5.0105	5.7667	4.9323	6.2513	6.0697	8.3842	5.5519	5.7256	5.6042	5.8445	5.7707	5.2513	5.7445	5.9329	8.181	5.5178	6.9474	6.1367	6.0655	7.0733	5.3256	5.8795	4.5582	8.1595	6.9545	6.4194	6.6742	7.7847	7.9367	7.1685
U133A__DPYSL2	6.5499	4.3957	6.3934	5.6905	9.755	6.403	8.6685	6.876	6.4028	8.1874	7.4548	6.1458	4.9671	5.8342	7.3601	7.5697	6.8732	9.3498	4.9229	6.4398	8.4362	7.9753	6.9726	7.9353	6.4448	4.2048	6.5866	3.6449	9.0406	8.4346	8.7608	6.6997	7.2071	7.204	5.519	7.3291	4.2719	7.339
U133A__EVL	6.5819	6.5993	4.6086	7.2508	7.1084	5.4912	5.4509	7.6442	7.3263	5.4225	5.6069	5.8148	5.1213	5.0845	6.1689	6.5112	5.5906	5.4023	4.5521	7.7047	7.3885	6.8544	6.2239	4.7318	7.4779	4.4135	5.965	5.412	5.6858	4.3026	5.815	7.3008	5.4453	4.793	5.3382	7.2771	6.5164	8.1337
U133A__SDC1	7.7805	8.9564	8.3437	7.34	6.396	7.35	6.8305	8.6221	6.73	7.0919	7.2113	8.2425	7.4928	7.8995	7.043	6.0373	8.8431	6.7277	7.6374	6.5287	5.6989	6.5597	10.0445	6.9291	7.3329	7.3949	7.469	8.3341	5.6999	6.0831	5.4268	9.4931	8.1072	8.0011	6.2336	8.0672	6.6757	6.7627
U133A__PCSK1N	8.5701	5.1548	5.3962	6.9004	6.1553	7.586	6.7564	7.5637	7.2533	6.7813	5.7054	6.0571	5.9201	6.8148	6.8731	6.6252	4.8381	5.3818	6.3363	7.0645	8.6712	7.6635	6.1384	5.4779	8.9092	5.3401	5.6267	5.3148	6.3185	5.3578	5.7835	7.1748	4.939	5.9004	5.8583	8.7879	5.7695	6.6894
U133A__L1CAM	5.131	6.8401	8.8594	5.4162	5.1979	5.9992	5.5173	7.8196	5.2405	5.5027	5.3762	5.4281	5.847	7.5077	7.1837	6.3174	4.9963	5.9868	7.9212	7.0946	7.0356	9.0199	5.9986	5.5005	5.3735	5.5797	5.2012	7.695	5.1086	9.1313	5.2153	6.4661	5.7168	7.2869	6.3167	7.8844	5.2102	5.2926
U133A__IGF1R	7.4366	6.0432	6.4696	7.616	6.7451	5.1784	7.4726	4.8247	7.1078	5.9359	5.9343	6.3173	5.3298	6.252	5.9489	6.6041	5.5932	5.6916	6.2705	7.8115	8.3023	5.3234	5.1774	6.931	7.3309	5.6135	5.2645	5.3017	5.5466	6.4853	4.9335	7.2016	4.7378	7.5757	7.0228	7.4657	5.5772	6.4581
U133A__BACE2	9.3765	8.281	8.179	6.3105	6.0657	5.3419	7.5574	6.834	6.793	7.912	7.5191	7.95	7.8842	9.2403	7.9159	7.0988	9.2209	6.3671	7.1378	6.2433	5.9436	6.2496	7.3922	6.7457	6.6809	7.7806	5.4893	9.4037	6.7943	8.3682	6.6684	5.4672	8.3419	6.8133	7.5997	8.4457	6.8962	6.4187
U133A__DHX40	7.0381	5.7867	6.4315	8.6347	5.919	5.9241	6.2316	6.2846	7.014	5.6478	6.411	6.2943	5.4408	6.003	6.5949	7.426	6.0468	5.1125	7.2359	8.2093	6.9354	6.8654	5.6059	6.4999	8.5027	4.9426	6.9965	5.1172	6.5324	3.9736	5.98	5.644	6.7685	6.3122	6.9005	7.842	7.2802	7.0766
