Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	1	-1	1	-1	-1	-1	1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	-1	-1	1
U133A__LOXL1	7.6117	4.1966	5.1158	4.3121	8.338	5.7862	4.933	8.9195	5.1848	5.3431	3.9845	4.0034	4.3856	4.1953	4.8002	6.8359	4.9628	9.1502	5.6646	8.9368	6.588	8.3756	3.6902	5.6773	6.3196	7.3211	4.5602	4.2818	9.7542	8.8104	6.6159	5.6259	3.9347	8.3171	4.6056	5.3135	5.2119
U133A__SLC39A14	6.6658	6.3508	8.5567	5.7462	9.7025	6.6078	6.3584	10.0436	5.8834	7.972	7.7405	6.3612	6.229	6.6312	7.0261	7.3375	6.1078	8.8219	6.2226	6.0328	6.4296	7.3106	6.5998	7.9923	5.6425	6.5311	5.5457	6.6012	10.1244	7.5401	8.3297	7.8884	5.1832	6.6665	6.7652	5.9987	8.1011
U133A__CLU	8.4866	9.6574	5.7652	8.3959	8.5782	9.8983	5.8172	5.9712	9.1287	6.7046	7.4377	7.591	6.1048	10.3969	8.8984	8.0404	5.3966	7.3871	9.4302	9.0676	9.8273	8.1812	9.9721	6.3767	9.5532	10.0333	8.4353	10.2838	7.7568	5.1932	6.4965	7.0545	9.8177	8.4618	11.489	8.2621	5.8636
U133A__DPYSL2	6.5499	4.3957	6.3934	5.6905	9.755	6.403	8.6685	6.876	6.4028	8.1874	7.4548	6.1458	4.9671	5.8342	7.3601	7.5697	6.8732	9.3498	4.9229	6.4398	8.4362	7.9753	6.9726	7.9353	6.4448	4.2048	6.5866	3.6449	9.0406	8.4346	8.7608	6.6997	7.2071	7.204	5.519	4.2719	7.339
U133A__MAP1B	5.2828	4.7448	6.4849	4.9262	7.9119	4.5738	6.6054	8.1982	4.5955	5.1547	5.4784	4.3322	4.8752	4.6449	6.1241	8.077	7.8322	9.7287	4.2933	5.1401	5.3466	8.6245	5.0681	8.226	4.7169	4.9647	4.3393	4.5124	7.7301	5.7202	8.3276	10.7187	6.9184	4.8221	4.5797	4.8576	4.5338
U133A__LEPRE1	6.2087	5.7091	6.5775	6.1438	8.4052	6.4342	6.4995	7.6492	6.3773	6.8821	6.2714	6.0789	6.569	6.3589	6.4817	8.1628	6.4934	8.3715	6.5539	6.4152	6.7285	8.5048	6.4054	7.3179	6.1017	6.1139	6.4774	6.1745	9.4289	6.5793	7.5538	7.6954	6.7493	6.6992	5.7279	6.3163	5.9634
U133A__ATP2C2	6.3307	6.2095	5.2594	6.78	4.7505	6.4084	5.4049	4.9367	6.2669	4.6402	5.5946	6.105	5.0725	6.7137	6.1365	4.8823	5.9041	4.6599	6.1516	5.6878	5.0964	4.7406	6.6441	4.5629	6.3763	7.4543	5.9877	6.6966	5.0115	5.5817	4.528	7.6748	7.6835	6.0596	5.6751	7.0079	5.4811
U133A__KRT19	11.6554	11.9776	10.9191	11.935	3.995	11.6489	10.8671	10.3292	12.2228	3.8177	10.8381	4.5913	4.6342	12.4618	11.0216	10.3341	11.7799	3.831	10.65	11.6347	12.2467	4.0939	12.0447	7.2772	11.6624	11.784	10.9377	12.0028	3.9802	10.1275	3.2941	11.8623	11.6439	11.4468	12.1604	11.9516	11.561
U133A__GCHFR	7.0875	7.7336	7.3299	7.4086	5.9174	7.0334	6.0695	5.6255	6.5892	6.057	5.9386	5.6697	6.4225	7.2153	6.4454	5.5521	9.3148	5.7151	6.6593	6.6104	6.846	5.6439	8.0588	4.8651	7.7018	7.5975	8.9348	8.3753	6.5251	6.4883	5.3529	6.5813	7.5842	5.7935	6.8521	8.7278	7.0875
