Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1
U133A__PAM	6.5936	4.9904	5.7176	7.0863	6.6673	8.1748	5.0662	9.5932	7.0482	4.3977	8.7907	6.5625	5.8	6.8941	4.7078	4.3226	7.3707	8.0552	9.9862	6.6152	4.9939	6.885	5.1649	7.0219	5.2092	7.6517	5.7571	4.5287	5.2073	4.5169	7.177	6.6648	6.9385	8.2732	8.5536	5.5328	7.2031	7.9912	5.8766	6.8036
U133A__SEC23A	5.6536	6.4033	6.0959	6.3551	5.6767	7.5831	5.0365	5.6319	6.0224	3.7853	4.5046	6.0269	5.8319	6.0896	4.0846	7.3692	7.0419	7.823	6.2331	6.2394	6.075	6.6442	5.7261	6.617	6.0018	8.0254	4.5341	5.9943	5.3945	5.3527	6.4626	6.0872	6.8353	7.8656	5.2568	6.3942	5.4397	7.0233	4.3727	6.6133
U133A__ANP32E	7.7696	7.1675	6.183	4.7827	8.1079	8.5756	6.3299	9.2043	9.8021	7.8249	7.8684	7.971	7.8101	3.4688	6.0967	7.0035	8.1617	7.4757	9.4891	7.3647	7.0967	7.6872	7.282	6.932	7.591	9.3323	5.9998	7.3604	7.4851	6.1264	8.0691	7.2748	8.2153	6.6022	7.9594	7.1498	7.5878	8.6942	6.7701	8.739
U133A__BTBD3	6.877	6.7463	6.2463	6.9788	7.7979	7.3751	5.4557	7.5269	7.2278	5.7018	8.6077	6.5997	7.475	5.9069	5.1432	6.3204	6.3245	7.5103	7.5578	5.7128	5.0384	5.403	6.3836	5.318	6.3853	6.1573	5.5976	6.4031	6.3796	6.6153	5.4554	6.4899	6.3747	7.2173	6.4509	7.1558	5.6182	8.8467	6.1618	6.4409
U133A__BTG3	7.0426	7.5953	6.0044	5.9703	5.3371	7.0791	4.2233	8.9466	7.8792	5.0099	8.5942	7.5041	7.8742	8.5126	5.082	7.4848	7.8793	8.5847	8.5934	6.7906	4.2185	4.5037	7.1768	8.6345	6.7812	7.9845	6.3049	6.2882	6.0178	6.2314	7.0501	8.9104	7.0772	6.0982	7.3876	7.1067	3.7357	7.3764	6.5325	7.4161
U133A__GGT1	6.3598	7.8753	6.1146	6.9381	7.2095	5.218	6.6358	5.9838	5.8612	5.8938	6.2897	5.7906	5.633	5.6301	8.5877	6.5264	5.9789	5.836	5.2491	6.162	5.6221	5.586	7.1572	5.3165	6.8532	5.7474	9.3288	5.4845	6.6688	7.0597	5.7279	5.4076	5.5316	5.1897	6.2766	6.0135	6.5047	6.6745	7.9471	5.6866
U133A__ABCD3	7.0063	7.9745	7.1436	6.3069	7.8492	6.8135	7.3862	5.9183	7.255	8.2673	7.6174	6.9651	8.3466	6.7182	6.5529	7.2546	7.3412	7.5314	9.019	6.6247	4.9952	6.5144	8.4445	6.8172	6.5626	8.4349	6.7162	8.2522	7.3388	7.5039	6.6689	7.1388	7.2822	7.4719	8.3822	7.5774	6.2728	7.9323	5.995	7.2171
U133A__SVIL	5.5003	4.8517	6.6509	5.9836	5.9508	5.7247	5.0124	7.332	7.4092	5.6298	5.9932	5.7452	6.6285	6.4526	5.98	6.3594	7.6708	7.1366	8.5448	6.6256	5.809	6.2058	5.4137	6.0857	5.9291	6.7219	5.8165	7.5742	7.3894	4.7982	7.4993	6.5853	5.5299	6.2033	6.9885	4.5356	5.5557	7.8651	5.3402	5.6652
U133A__PTPLA	5.6938	4.6823	8.4154	5.182	6.3219	10.3468	6.3568	6.7459	5.8693	5.5657	8.0611	5.5909	5.7785	6.5564	4.3065	4.9583	7.3047	7.8945	6.0142	6.1322	5.8509	6.5989	6.5047	9.4651	5.5866	7.4552	6.2385	5.0439	5.0779	4.2583	7.0215	6.8608	6.9817	6.4239	5.1713	5.2383	6.5071	7.8667	4.9885	5.9094
U133A__HDAC2	7.3362	7.244	8.606	7.6767	6.867	7.551	6.9395	7.0874	8.1325	6.5409	7.9756	7.3507	7.9535	8.3325	5.4068	10.9012	7.9686	7.3425	7.7932	7.6404	7.0908	6.704	8.7541	7.7129	7.1234	8.2561	7.7281	7.5994	7.9039	6.9991	6.7312	7.6319	8.2541	7.5854	7.5802	7.4804	6.7918	7.5777	5.8817	7.6247
U133A__CPT1A	10.5883	8.887	7.4665	9.5016	8.6701	8.4327	9.4235	7.6056	6.2671	7.5383	8.2799	8.953	7.8024	7.5517	8.5724	9.0395	7.646	7.5211	7.2006	7.6178	10.0183	8.1697	9.418	8.0684	10.2031	7.2216	9.6018	11.1624	6.6204	9.3272	7.9409	8.4929	6.4225	7.706	9.0136	9.8477	8.9331	8.9083	8.9262	9.9244
U133A__OPTN	6.6894	6.7093	6.5911	5.5393	6.345	8.1659	6.364	7.7235	9.3179	7.3846	7.9131	7.5348	7.1387	6.3321	6.0953	6.655	7.9647	8.647	8.9296	7.0793	4.8093	6.1075	7.0115	8.782	5.5732	6.5546	5.5827	6.3509	5.1888	6.4005	8.6671	7.8784	6.3001	6.4963	6.6209	5.9897	6.853	7.3481	5.5903	6.235
U133A__OXCT1	6.6631	4.7613	7.2969	7.0793	6.9259	7.4812	5.4562	6.2693	7.2918	5.6784	7.8659	7.0056	8.1555	6.5847	5.3265	7.3689	8.0283	6.8556	8.6449	6.7992	5.6591	6.2862	7.7316	7.7485	6.5278	5.8589	6.9388	7.5486	6.9538	4.8926	7.0168	6.2843	8.3718	5.3477	7.1209	4.9142	4.9097	6.5453	6.2448	6.7417
U133A__ACAA1	6.1633	8.8997	6.6984	5.2632	6.5332	6.3551	7.0217	6.3772	6.4261	7.1641	7.3011	6.5595	6.1541	6.6504	7.2811	7.0428	6.9482	6.9299	6.3982	6.6822	7.7278	6.912	5.4479	7.0365	7.5844	6.3811	6.9764	7.9024	6.7552	9.1231	6.4906	6.7173	6.0876	7.3427	6.9957	6.6535	6.6359	6.846	6.6572	6.2702
U133A__ALDH4A1	6.0591	7.4246	6.5647	8.3471	6.7169	6.082	7.9374	5.962	6.3012	7.4468	6.466	6.4855	7.1706	5.8314	9.2661	7.2935	6.2652	5.8633	7.3004	6.2349	6.5478	7.738	7.2079	6.0012	7.847	5.8512	7.521	6.2685	9.9506	7.4964	5.9475	6.3586	5.7202	7.4961	6.7301	6.5002	7.6683	7.696	7.7586	7.7793
