Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	-1	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	-1	-1	1	1	1	-1	-1	-1
U133A__PLXND1	8.0278	8.0521	7.2243	6.8569	8.0591	6.1152	6.932	6.9463	6.7389	7.6025	7.7119	7.432	6.9718	7.012	6.7294	7.4985	8.5089	6.3405	7.3005	7.767	7.1712	7.5315	8.1479	8.3326	6.9015	7.1637	6.9815	8.0254	6.8911	7.248	7.013	6.1165	9.3213	7.7929	7.2942	7.5523	6.6068	6.7508
U133A__TESK1	6.1277	6.4533	6.6844	6.2831	7.0087	6.1632	6.7421	6.238	6.6612	6.773	6.5293	6.5209	6.533	5.8371	6.3716	7.4384	10.6915	6.4996	6.3326	7.0714	6.205	6.4097	6.3519	6.7607	5.7422	7.5346	6.8662	7.7649	6.2511	6.2481	5.9159	6.4373	7.9816	6.5213	6.8686	6.5403	7.1722	6.9118
U133A__OBSL1	6.4514	8.9967	8.0289	7.8813	8.0845	7.8676	6.4196	7.4034	6.992	7.3861	7.9661	7.1877	6.5112	6.835	7.0874	7.2713	9.4103	5.8645	7.4016	7.6103	5.0045	8.8911	7.6113	7.3043	6.2485	8.0171	7.5013	8.824	7.9762	6.5707	7.5554	5.2249	7.6849	9.4082	7.1551	5.7054	6.569	5.8275
U133A__TRIL	6.45	7.691	4.9883	5.7803	8.2706	4.3206	6.0987	4.2621	4.8923	6.7164	6.9271	4.5574	4.0993	4.5377	4.618	7.1587	7.1386	4.4006	4.3815	5.8478	4.3545	4.9991	5.0011	4.4089	4.5657	5.6758	4.9838	5.7791	7.6403	4.4034	4.3459	4.6801	7.0693	7.903	5.9149	7.3008	6.3898	4.6888
U133A__SDC1	7.7805	8.9564	8.3437	7.34	8.0596	6.396	7.35	6.6208	6.8305	8.6221	6.73	7.0919	7.2113	8.2425	7.4928	10.0456	7.8995	7.043	6.0373	8.8431	6.7277	7.6374	6.5287	6.5597	6.9291	7.3329	7.3949	7.469	8.3341	5.6999	6.0831	5.4268	9.4931	8.1072	8.0011	6.2336	6.6757	6.7627
U133A__PADI2	9.0532	9.5063	7.2636	8.9317	7.4656	6.5261	6.2835	6.6613	8.362	7.6195	7.363	6.7937	6.3117	8.02	6.7172	9.0101	8.6758	7.7384	7.1875	9.2437	6.653	7.3278	6.7349	6.4413	6.1664	8.651	9.3973	6.8629	8.3672	6.5707	6.1414	6.3046	9.8863	8.7516	8.5155	6.4094	8.2785	7.0584
U133A__TPM4	7.5354	5.8557	6.4431	7.0182	5.6134	8.444	7.8344	8.6083	7.5265	6.9576	5.253	7.0015	7.1745	8.3884	7.7741	6.8116	7.5146	8.8621	8.0885	6.9763	8.6658	7.2559	8.5262	8.5185	7.3272	6.6417	6.7652	6.6924	7.4954	9.1089	8.7288	7.4332	3.4831	6.4929	4.6367	4.0479	6.1841	6.0462
U133A__DENND1B	6.3564	7.0433	6.0849	6.7197	7.3619	5.4436	5.5455	5.2652	6.0512	6.8209	6.9892	5.5922	7.1538	5.8176	6.1389	6.1945	7.6322	6.0845	6.1378	8.7131	4.9544	5.3848	5.9119	5.6715	6.0179	6.6521	6.3554	9.1288	6.1495	4.6695	5.3525	5.3775	7.1013	7.9586	6.5288	4.5367	7.925	10.3512
U133A__CAMK2N1	7.984	9.1459	9.4608	8.3458	8.7947	5.1483	8.6556	6.5119	6.3505	6.2577	8.6715	6.6419	7.179	7.922	9.9631	8.7955	8.3152	6.6618	7.3195	10.0484	8.0878	9.553	7.2483	7.6561	6.867	9.2583	9.8342	9.6245	9.5868	5.7111	9.1636	7.9183	9.6719	9.5142	9.8937	8.0816	8.5041	6.3299
